,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Kogarah Bay,306.0,252.0,76.0,4.0,17.0,46.7,38.5,11.6,0.6,2.6
Koolewong,132.0,106.0,63.0,3.0,4.0,42.9,34.4,20.5,1.0,1.3
Koonawarra,335.0,408.0,495.0,3.0,23.0,26.5,32.3,39.2,0.2,1.8
Kotara,644.0,573.0,247.0,4.0,21.0,43.3,38.5,16.6,0.3,1.4
Kotara South,170.0,173.0,74.0,0.0,13.0,39.5,40.2,17.2,0.0,3.0
Kurnell,241.0,343.0,131.0,5.0,16.0,32.7,46.6,17.8,0.7,2.2
Kyeemagh,144.0,88.0,32.0,3.0,10.0,52.0,31.8,11.6,1.1,3.6
Kyle Bay,130.0,100.0,24.0,0.0,4.0,50.4,38.8,9.3,0.0,1.6
La Perouse,36.0,22.0,75.0,0.0,9.0,25.4,15.5,52.8,0.0,6.3
Lake Haven,510.0,343.0,439.0,48.0,63.0,36.4,24.4,31.3,3.4,4.5
Lake Heights,569.0,345.0,272.0,3.0,43.0,46.2,28.0,22.1,0.2,3.5
Lake Illawarra,366.0,269.0,685.0,22.0,40.0,26.5,19.5,49.6,1.6,2.9
Lakelands (NSW),204.0,218.0,52.0,0.0,5.0,42.6,45.5,10.9,0.0,1.0
Lakemba,1025.0,1126.0,2375.0,29.0,230.0,21.4,23.5,49.6,0.6,4.8
Lalor Park,673.0,945.0,891.0,19.0,95.0,25.7,36.0,34.0,0.7,3.6
Lambton,605.0,609.0,736.0,10.0,54.0,30.0,30.2,36.5,0.5,2.7
Lane Cove,1236.0,1253.0,1186.0,52.0,72.0,32.5,33.0,31.2,1.4,1.9
Lane Cove North,884.0,1321.0,1477.0,73.0,63.0,23.2,34.6,38.7,1.9,1.7
Lane Cove West,264.0,317.0,168.0,0.0,10.0,34.8,41.8,22.1,0.0,1.3
Lansvale,269.0,304.0,134.0,10.0,42.0,35.4,40.1,17.7,1.3,5.5
Lapstone,152.0,130.0,46.0,0.0,4.0,45.8,39.2,13.9,0.0,1.2
Lavender Bay,104.0,69.0,211.0,15.0,7.0,25.6,17.0,52.0,3.7,1.7
Leichhardt (NSW),1242.0,1908.0,2167.0,17.0,108.0,22.8,35.1,39.8,0.3,2.0
Leonay,364.0,355.0,94.0,0.0,10.0,44.2,43.1,11.4,0.0,1.2
Lethbridge Park,317.0,352.0,771.0,10.0,65.0,20.9,23.2,50.9,0.7,4.3
Leumeah,940.0,1269.0,1112.0,13.0,84.0,27.5,37.1,32.5,0.4,2.5
Lewisham (NSW),306.0,349.0,411.0,12.0,16.0,28.0,31.9,37.6,1.1,1.5
Liberty Grove,128.0,323.0,242.0,3.0,10.0,18.1,45.8,34.3,0.4,1.4
Lidcombe,1392.0,1820.0,1718.0,37.0,163.0,27.1,35.5,33.5,0.7,3.2
Lilli Pilli (Sutherland - NSW),183.0,184.0,20.0,3.0,9.0,45.9,46.1,5.0,0.8,2.3
Lilyfield,759.0,956.0,1039.0,10.0,61.0,26.9,33.8,36.8,0.4,2.2
Lindfield,1250.0,979.0,595.0,22.0,47.0,43.2,33.8,20.6,0.8,1.6
Linley Point,62.0,42.0,14.0,0.0,0.0,52.5,35.6,11.9,0.0,0.0
Lisarow,445.0,844.0,262.0,19.0,19.0,28.0,53.1,16.5,1.2,1.2
Little Bay,302.0,298.0,382.0,31.0,29.0,29.0,28.6,36.7,3.0,2.8
Liverpool,1549.0,2007.0,3948.0,54.0,297.0,19.7,25.6,50.3,0.7,3.8
Loftus,605.0,606.0,119.0,3.0,22.0,44.6,44.7,8.8,0.2,1.6
Long Jetty,746.0,515.0,1142.0,24.0,90.0,29.6,20.5,45.4,1.0,3.6
Long Point (Campbelltown - NSW),41.0,25.0,0.0,0.0,0.0,62.1,37.9,0.0,0.0,0.0
Longueville,356.0,216.0,56.0,4.0,5.0,55.9,33.9,8.8,0.6,0.8
Lugarno,957.0,703.0,160.0,11.0,29.0,51.5,37.8,8.6,0.6,1.6
Lurnea,739.0,895.0,1005.0,10.0,99.0,26.9,32.6,36.6,0.4,3.6
Macquarie Fields,899.0,1564.0,1760.0,21.0,157.0,20.4,35.5,40.0,0.5,3.6
Macquarie Hills,294.0,571.0,126.0,5.0,15.0,29.1,56.5,12.5,0.5,1.5
Macquarie Links,78.0,206.0,33.0,0.0,5.0,24.2,64.0,10.2,0.0,1.6
Macquarie Park,368.0,435.0,1510.0,41.0,38.0,15.4,18.2,63.1,1.7,1.6
Malabar,446.0,307.0,448.0,3.0,50.0,35.6,24.5,35.7,0.2,4.0
Mangerton,352.0,363.0,343.0,4.0,17.0,32.6,33.6,31.8,0.4,1.6
Manly (NSW),1551.0,1299.0,3285.0,39.0,152.0,24.5,20.5,51.9,0.6,2.4
Manly Vale,582.0,816.0,815.0,16.0,41.0,25.6,35.9,35.9,0.7,1.8
Marayong,718.0,870.0,759.0,16.0,94.0,29.2,35.4,30.9,0.7,3.8
Mardi,292.0,459.0,345.0,3.0,16.0,26.2,41.2,30.9,0.3,1.4
Marks Point,233.0,175.0,322.0,5.0,32.0,30.4,22.8,42.0,0.7,4.2
Marmong Point,97.0,112.0,57.0,0.0,23.0,33.6,38.8,19.7,0.0,8.0
Maroubra,3362.0,2733.0,4514.0,94.0,319.0,30.5,24.8,41.0,0.9,2.9
