,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%)
Drummoyne,5.0,276.0,1891.0,1570.0,673.0,72.0,2.6,2.3,0.1,6.2,42.1,35.0,15.0,1.6,--,--
Dudley,0.0,11.0,113.0,390.0,307.0,9.0,3.3,2.6,0.0,1.3,13.6,47.0,37.0,1.1,--,--
Dulwich Hill,27.0,603.0,2558.0,1378.0,531.0,79.0,2.4,2.3,0.5,11.6,49.4,26.6,10.3,1.5,--,--
Dundas (NSW),7.0,39.0,287.0,611.0,315.0,16.0,3.0,2.8,0.5,3.1,22.5,47.9,24.7,1.3,--,--
Dundas Valley,51.0,102.0,209.0,813.0,426.0,33.0,3.0,2.7,3.1,6.2,12.8,49.8,26.1,2.0,--,--
Dural (Hornsby - NSW),7.0,50.0,227.0,580.0,1444.0,13.0,3.7,3.0,0.3,2.2,9.8,25.0,62.2,0.6,--,--
Eagle Vale,3.0,5.0,48.0,1030.0,602.0,26.0,3.4,3.2,0.2,0.3,2.8,60.1,35.1,1.5,--,--
Earlwood,16.0,117.0,1310.0,2704.0,1485.0,103.0,3.1,2.8,0.3,2.0,22.8,47.1,25.9,1.8,--,--
East Gosford,23.0,132.0,507.0,827.0,260.0,41.0,2.7,2.0,1.3,7.4,28.3,46.2,14.5,2.3,--,--
East Hills,10.0,90.0,183.0,485.0,375.0,22.0,3.1,2.7,0.9,7.7,15.7,41.6,32.2,1.9,--,--
East Killara,0.0,0.0,12.0,210.0,669.0,10.0,4.1,3.2,0.0,0.0,1.3,23.3,74.3,1.1,--,--
East Lindfield,0.0,9.0,102.0,299.0,702.0,12.0,3.8,3.1,0.0,0.8,9.1,26.6,62.5,1.1,--,--
East Ryde,4.0,4.0,22.0,380.0,347.0,10.0,3.5,2.9,0.5,0.5,2.9,49.5,45.2,1.3,--,--
Eastern Creek,0.0,7.0,40.0,134.0,71.0,6.0,3.1,3.0,0.0,2.7,15.5,51.9,27.5,2.3,--,--
Eastlakes,37.0,172.0,1441.0,616.0,210.0,80.0,2.4,2.5,1.4,6.7,56.4,24.1,8.2,3.1,--,--
Eastwood (NSW),20.0,285.0,1500.0,1950.0,1721.0,96.0,3.0,2.8,0.4,5.1,26.9,35.0,30.9,1.7,--,--
Edensor Park,7.0,0.0,29.0,1136.0,1421.0,47.0,3.6,3.5,0.3,0.0,1.1,43.0,53.8,1.8,--,--
Edgecliff,35.0,301.0,355.0,210.0,56.0,18.0,2.0,1.8,3.6,30.9,36.4,21.5,5.7,1.8,--,--
Edgeworth,3.0,130.0,403.0,1318.0,443.0,48.0,2.9,2.5,0.1,5.5,17.2,56.2,18.9,2.0,--,--
Elanora Heights,0.0,16.0,76.0,480.0,634.0,11.0,3.6,3.1,0.0,1.3,6.2,39.4,52.1,0.9,--,--
Elderslie (Camden - NSW),13.0,44.0,89.0,506.0,794.0,19.0,3.5,2.8,0.9,3.0,6.1,34.5,54.2,1.3,--,--
Eleebana,0.0,15.0,127.0,710.0,1044.0,14.0,3.6,2.8,0.0,0.8,6.6,37.2,54.7,0.7,--,--
Elermore Vale,4.0,45.0,308.0,859.0,614.0,28.0,3.2,2.6,0.2,2.4,16.6,46.2,33.0,1.5,--,--
Elizabeth Bay,421.0,1193.0,914.0,239.0,39.0,59.0,1.4,1.5,14.7,41.6,31.9,8.3,1.4,2.1,--,--
Emerton,3.0,52.0,25.0,508.0,114.0,14.0,3.0,3.1,0.4,7.3,3.5,70.9,15.9,2.0,--,--
Empire Bay,3.0,35.0,119.0,346.0,303.0,14.0,3.2,2.6,0.4,4.3,14.5,42.2,37.0,1.7,--,--
Emu Heights (NSW),0.0,12.0,23.0,529.0,467.0,15.0,3.6,3.1,0.0,1.1,2.2,50.6,44.6,1.4,--,--
Emu Plains,4.0,91.0,173.0,1535.0,980.0,90.0,3.3,2.6,0.1,3.2,6.0,53.4,34.1,3.1,--,--
Enfield (NSW),4.0,55.0,280.0,379.0,207.0,20.0,2.9,2.7,0.4,5.8,29.6,40.1,21.9,2.1,--,--
Engadine,8.0,61.0,756.0,2855.0,1966.0,50.0,3.3,2.9,0.1,1.1,13.3,50.1,34.5,0.9,--,--
Enmore (Marrickville - NSW),60.0,200.0,618.0,386.0,162.0,20.0,2.3,2.2,4.1,13.8,42.7,26.7,11.2,1.4,--,--
Epping (NSW),43.0,183.0,1691.0,2635.0,2478.0,77.0,3.2,2.8,0.6,2.6,23.8,37.1,34.9,1.1,--,--
Erina,6.0,84.0,728.0,465.0,555.0,40.0,2.9,2.2,0.3,4.5,38.8,24.8,29.6,2.1,--,--
Ermington,57.0,134.0,527.0,1620.0,787.0,66.0,3.0,2.8,1.8,4.2,16.5,50.8,24.7,2.1,--,--
Erskine Park,3.0,10.0,18.0,780.0,1066.0,14.0,3.7,3.4,0.2,0.5,1.0,41.2,56.4,0.7,--,--
Erskineville,35.0,759.0,1634.0,647.0,115.0,45.0,2.0,2.1,1.1,23.5,50.5,20.0,3.6,1.4,--,--
Eschol Park,0.0,4.0,18.0,524.0,261.0,10.0,3.4,3.1,0.0,0.5,2.2,64.1,31.9,1.2,--,--
Ettalong Beach,9.0,105.0,705.0,1014.0,207.0,67.0,2.7,2.0,0.4,5.0,33.5,48.1,9.8,3.2,--,--
Fairfield (NSW),36.0,353.0,2254.0,1904.0,850.0,155.0,2.6,3.0,0.6,6.4,40.6,34.3,15.3,2.8,--,--
Fairfield East,3.0,129.0,250.0,662.0,390.0,48.0,3.0,3.2,0.2,8.7,16.9,44.7,26.3,3.2,--,--
Fairfield Heights,11.0,86.0,259.0,1084.0,501.0,66.0,3.1,3.2,0.5,4.3,12.9,54.0,25.0,3.3,--,--
Fairfield West,22.0,28.0,114.0,1839.0,1034.0,68.0,3.3,3.3,0.7,0.9,3.7,59.2,33.3,2.2,--,--
Fairlight,0.0,236.0,829.0,851.0,298.0,23.0,2.6,2.3,0.0,10.5,37.1,38.0,13.3,1.0,--,--
Fairy Meadow,20.0,151.0,1001.0,1051.0,398.0,73.0,2.7,2.4,0.7,5.6,37.2,39.0,14.8,2.7,--,--
Farmborough Heights,0.0,9.0,69.0,712.0,564.0,20.0,3.4,2.9,0.0,0.7,5.0,51.8,41.0,1.5,--,--
Faulconbridge,3.0,23.0,143.0,644.0,595.0,10.0,3.5,2.8,0.2,1.6,10.1,45.4,42.0,0.7,--,--
Fennell Bay,0.0,11.0,122.0,287.0,162.0,8.0,3.1,2.4,0.0,1.9,20.7,48.6,27.5,1.4,--,--
Figtree,11.0,139.0,421.0,1617.0,1460.0,55.0,3.3,2.7,0.3,3.8,11.4,43.7,39.4,1.5,--,--
Five Dock,50.0,152.0,1317.0,1333.0,478.0,73.0,2.7,2.5,1.5,4.5,38.7,39.2,14.0,2.1,--,--
Fletcher (NSW),0.0,0.0,12.0,102.0,681.0,3.0,4.0,3.4,0.0,0.0,1.5,12.8,85.3,0.4,--,--
Flinders (NSW),3.0,30.0,143.0,625.0,894.0,17.0,3.5,3.0,0.2,1.8,8.4,36.5,52.2,1.0,--,--
Floraville,0.0,0.0,51.0,191.0,261.0,11.0,3.6,2.9,0.0,0.0,9.9,37.2,50.8,2.1,--,--
Forest Lodge,61.0,211.0,404.0,331.0,139.0,27.0,2.3,2.2,5.2,18.0,34.4,28.2,11.8,2.3,--,--
Forestville (NSW),5.0,254.0,250.0,1062.0,1108.0,27.0,3.2,2.8,0.2,9.4,9.2,39.2,40.9,1.0,--,--
Forresters Beach,0.0,22.0,108.0,351.0,380.0,13.0,3.4,2.8,0.0,2.5,12.4,40.2,43.5,1.5,--,--
Frenchs Forest,8.0,26.0,146.0,1735.0,2222.0,36.0,3.7,3.1,0.2,0.6,3.5,41.6,53.2,0.9,--,--
Garden Suburb,0.0,5.0,39.0,269.0,323.0,7.0,3.5,2.9,0.0,0.8,6.1,41.8,50.2,1.1,--,--
Gateshead,3.0,68.0,198.0,751.0,275.0,26.0,3.0,2.5,0.2,5.1,15.0,56.9,20.8,2.0,--,--
Georges Hall,3.0,12.0,150.0,1373.0,1015.0,51.0,3.5,3.1,0.1,0.5,5.8,52.7,39.0,2.0,--,--
Georgetown (NSW),3.0,39.0,286.0,435.0,67.0,14.0,2.7,2.3,0.4,4.6,33.9,51.5,7.9,1.7,--,--
Girraween (NSW),3.0,36.0,436.0,752.0,327.0,34.0,3.0,2.9,0.2,2.3,27.5,47.4,20.6,2.1,--,--
Gladesville,37.0,546.0,1437.0,1315.0,976.0,61.0,2.7,2.4,0.8,12.5,32.9,30.1,22.3,1.4,--,--
Glebe (NSW),255.0,1120.0,1621.0,1144.0,538.0,112.0,2.2,2.0,5.3,23.4,33.8,23.9,11.2,2.3,--,--
Glen Alpine,0.0,0.0,13.0,79.0,1128.0,8.0,4.2,3.4,0.0,0.0,1.1,6.4,91.9,0.7,--,--
Glenbrook,0.0,44.0,180.0,603.0,860.0,16.0,3.5,2.9,0.0,2.6,10.6,35.4,50.5,0.9,--,--
Glendale (NSW),5.0,59.0,264.0,648.0,269.0,23.0,2.9,2.5,0.4,4.7,20.8,51.1,21.2,1.8,--,--
Glendenning,0.0,3.0,14.0,961.0,437.0,17.0,3.3,3.4,0.0,0.2,1.0,67.1,30.5,1.2,--,--
Glenfield (NSW),5.0,27.0,451.0,1179.0,722.0,50.0,3.2,2.8,0.2,1.1,18.5,48.4,29.7,2.1,--,--
Glenhaven,0.0,12.0,130.0,365.0,1402.0,15.0,3.9,3.1,0.0,0.6,6.8,19.0,72.9,0.8,--,--
Glenmore Park,5.0,40.0,35.0,1802.0,4236.0,43.0,3.8,3.2,0.1,0.6,0.6,29.2,68.8,0.7,--,--
Glenning Valley,0.0,3.0,19.0,286.0,364.0,0.0,3.6,2.9,0.0,0.4,2.8,42.6,54.2,0.0,--,--
Glenwood (NSW),6.0,4.0,27.0,716.0,3459.0,28.0,3.9,3.6,0.1,0.1,0.6,16.9,81.6,0.7,--,--
Gordon (NSW),5.0,76.0,388.0,771.0,938.0,20.0,3.3,2.8,0.2,3.5,17.7,35.1,42.7,0.9,--,--
Gorokan,4.0,94.0,860.0,1538.0,600.0,96.0,2.9,2.3,0.1,2.9,26.9,48.2,18.8,3.0,--,--
Gosford,18.0,118.0,1047.0,380.0,47.0,34.0,2.2,1.8,1.1,7.2,63.7,23.1,2.9,2.1,--,--
Granville (NSW),37.0,230.0,2183.0,1383.0,523.0,139.0,2.5,2.9,0.8,5.1,48.6,30.8,11.6,3.1,--,--
Grays Point,0.0,4.0,34.0,331.0,492.0,15.0,3.7,3.1,0.0,0.5,3.9,37.8,56.2,1.7,--,--
Green Point (Great Lakes - NSW),0.0,4.0,19.0,125.0,73.0,4.0,3.3,2.5,0.0,1.8,8.4,55.6,32.4,1.8,--,--
Green Valley (NSW),8.0,51.0,53.0,1386.0,1748.0,59.0,3.6,3.6,0.2,1.5,1.6,41.9,52.9,1.8,--,--
Greenacre,56.0,353.0,1021.0,3287.0,1852.0,177.0,3.1,3.3,0.8,5.2,15.1,48.7,27.5,2.6,--,--
Greenfield Park,0.0,5.0,17.0,620.0,634.0,51.0,3.6,3.5,0.0,0.4,1.3,46.7,47.8,3.8,--,--
Greenwich,13.0,90.0,603.0,639.0,584.0,19.0,3.0,2.5,0.7,4.6,31.0,32.8,30.0,1.0,--,--
Greystanes,10.0,93.0,297.0,4116.0,2470.0,104.0,3.4,3.0,0.1,1.3,4.2,58.1,34.8,1.5,--,--
Guildford (NSW),56.0,334.0,1940.0,2312.0,1224.0,188.0,2.8,3.1,0.9,5.5,32.0,38.2,20.2,3.1,--,--
Guildford West,5.0,19.0,221.0,762.0,363.0,28.0,3.1,3.1,0.4,1.4,15.8,54.5,26.0,2.0,--,--
Gwynneville,21.0,103.0,377.0,388.0,176.0,23.0,2.6,2.4,1.9,9.5,34.7,35.7,16.2,2.1,--,--
Gymea,3.0,86.0,1000.0,1221.0,553.0,32.0,2.8,2.4,0.1,3.0,34.5,42.2,19.1,1.1,--,--
Gymea Bay,3.0,24.0,142.0,947.0,1051.0,16.0,3.5,3.1,0.1,1.1,6.5,43.4,48.1,0.7,--,--
Haberfield,4.0,97.0,384.0,1011.0,718.0,30.0,3.1,2.8,0.2,4.3,17.1,45.1,32.0,1.3,--,--
Halekulani,4.0,56.0,270.0,432.0,230.0,30.0,2.9,2.3,0.4,5.5,26.4,42.3,22.5,2.9,--,--
Hamilton (NSW),3.0,182.0,568.0,765.0,211.0,33.0,2.7,2.1,0.2,10.3,32.2,43.4,12.0,1.9,--,--
Hamilton East,0.0,13.0,37.0,183.0,93.0,7.0,3.1,2.6,0.0,3.9,11.1,55.0,27.9,2.1,--,--
Hamilton North,0.0,8.0,123.0,179.0,40.0,5.0,2.8,2.4,0.0,2.3,34.6,50.4,11.3,1.4,--,--
Hamilton South,60.0,157.0,431.0,645.0,298.0,124.0,2.7,2.2,3.5,9.2,25.1,37.6,17.4,7.2,--,--
Hammondville,9.0,15.0,127.0,568.0,252.0,67.0,3.1,2.7,0.9,1.4,12.2,54.7,24.3,6.5,--,--
Harrington Park,3.0,7.0,13.0,179.0,1967.0,16.0,4.0,3.4,0.1,0.3,0.6,8.2,90.0,0.7,--,--
Harris Park,8.0,95.0,1349.0,193.0,56.0,80.0,2.2,2.6,0.4,5.3,75.7,10.8,3.1,4.5,--,--
Hassall Grove,0.0,0.0,14.0,722.0,439.0,27.0,3.4,3.6,0.0,0.0,1.2,60.1,36.5,2.2,--,--
Haymarket,80.0,341.0,866.0,230.0,55.0,70.0,1.9,2.6,4.9,20.8,52.7,14.0,3.3,4.3,--,--
Heathcote (NSW),7.0,123.0,212.0,936.0,717.0,26.0,3.2,2.8,0.3,6.1,10.5,46.3,35.5,1.3,--,--
Hebersham,5.0,27.0,54.0,1105.0,412.0,44.0,3.2,3.2,0.3,1.6,3.3,67.1,25.0,2.7,--,--
Heckenberg,0.0,9.0,34.0,510.0,278.0,30.0,3.3,3.2,0.0,1.0,3.9,59.2,32.3,3.5,--,--
Henley,0.0,5.0,20.0,54.0,72.0,0.0,3.4,2.8,0.0,3.3,13.2,35.8,47.7,0.0,--,--
Highfields (NSW),0.0,5.0,59.0,198.0,116.0,0.0,3.2,2.7,0.0,1.3,15.6,52.4,30.7,0.0,--,--
Hillsborough (Lake Macquarie - NSW),0.0,0.0,3.0,153.0,67.0,3.0,3.4,3.0,0.0,0.0,1.3,67.7,29.6,1.3,--,--
Hillsdale,10.0,88.0,1117.0,588.0,46.0,40.0,2.3,2.5,0.5,4.7,59.1,31.1,2.4,2.1,--,--
Hinchinbrook (NSW),5.0,6.0,43.0,1164.0,1616.0,44.0,3.7,3.6,0.2,0.2,1.5,40.4,56.2,1.5,--,--
Holmesville,0.0,4.0,44.0,297.0,121.0,5.0,3.2,2.9,0.0,0.8,9.3,63.1,25.7,1.1,--,--
Holsworthy,0.0,8.0,30.0,824.0,547.0,17.0,3.4,3.2,0.0,0.6,2.1,57.8,38.4,1.2,--,--
Homebush (NSW),12.0,103.0,967.0,504.0,284.0,27.0,2.6,2.9,0.6,5.4,51.0,26.6,15.0,1.4,--,--
Homebush West,33.0,177.0,1446.0,299.0,86.0,48.0,2.1,2.6,1.6,8.5,69.2,14.3,4.1,2.3,--,--
Horningsea Park,3.0,0.0,5.0,241.0,758.0,9.0,3.8,3.5,0.3,0.0,0.5,23.7,74.6,0.9,--,--
Hornsby,109.0,555.0,3544.0,1977.0,1317.0,105.0,2.6,2.5,1.4,7.3,46.6,26.0,17.3,1.4,--,--
Hornsby Heights,3.0,17.0,80.0,881.0,1031.0,13.0,3.6,3.0,0.1,0.8,4.0,43.5,50.9,0.6,--,--
Horsley,0.0,9.0,31.0,896.0,1250.0,15.0,3.6,3.1,0.0,0.4,1.4,40.7,56.8,0.7,--,--
Hoxton Park,4.0,4.0,27.0,450.0,684.0,11.0,3.6,3.5,0.3,0.3,2.3,38.1,58.0,0.9,--,--
Hunters Hill,13.0,186.0,595.0,891.0,1140.0,40.0,3.2,2.7,0.5,6.5,20.8,31.1,39.8,1.4,--,--
Huntleys Point,0.0,0.0,4.0,15.0,33.0,0.0,3.9,2.5,0.0,0.0,7.7,28.8,63.5,0.0,--,--
Hurlstone Park,8.0,80.0,596.0,721.0,330.0,31.0,2.8,2.6,0.5,4.5,33.7,40.8,18.7,1.8,--,--
Hurstville,86.0,503.0,3551.0,2896.0,1534.0,179.0,2.7,2.9,1.0,5.7,40.6,33.1,17.5,2.0,--,--
Hurstville Grove,3.0,6.0,83.0,301.0,357.0,5.0,3.5,3.1,0.4,0.8,11.0,39.9,47.3,0.7,--,--
Illawong,6.0,10.0,38.0,560.0,1557.0,6.0,3.9,3.2,0.3,0.5,1.7,25.7,71.5,0.3,--,--
Ingleburn,7.0,65.0,861.0,2625.0,1248.0,75.0,3.1,2.8,0.1,1.3,17.6,53.8,25.6,1.5,--,--
Ingleside,3.0,25.0,43.0,98.0,195.0,3.0,3.6,3.0,0.8,6.8,11.7,26.7,53.1,0.8,--,--
Islington,11.0,58.0,300.0,346.0,61.0,17.0,2.5,2.1,1.4,7.3,37.8,43.6,7.7,2.1,--,--
Jamisontown,0.0,59.0,546.0,935.0,452.0,32.0,3.0,2.4,0.0,2.9,27.0,46.2,22.3,1.6,--,--
Jannali,11.0,112.0,579.0,884.0,512.0,36.0,2.9,2.6,0.5,5.2,27.1,41.4,24.0,1.7,--,--
Jesmond,3.0,102.0,404.0,353.0,125.0,46.0,2.6,2.3,0.3,9.9,39.1,34.2,12.1,4.5,--,--
Jewells,3.0,3.0,69.0,579.0,385.0,17.0,3.4,2.8,0.3,0.3,6.5,54.8,36.5,1.6,--,--
Kahibah,6.0,32.0,195.0,460.0,133.0,17.0,2.9,2.4,0.7,3.8,23.1,54.6,15.8,2.0,--,--
Kanahooka,0.0,18.0,272.0,976.0,591.0,29.0,3.2,2.5,0.0,1.0,14.4,51.7,31.3,1.5,--,--
Kangaroo Point (NSW),0.0,0.0,7.0,48.0,124.0,0.0,4.0,3.1,0.0,0.0,3.9,26.8,69.3,0.0,--,--
Kanwal,0.0,51.0,129.0,635.0,473.0,33.0,3.3,2.6,0.0,3.9,9.8,48.1,35.8,2.5,--,--
Kareela,0.0,3.0,17.0,458.0,624.0,14.0,3.7,2.9,0.0,0.3,1.5,41.0,55.9,1.3,--,--
Kariong,0.0,4.0,48.0,994.0,956.0,33.0,3.6,3.1,0.0,0.2,2.4,48.8,47.0,1.6,--,--
Kearns,0.0,0.0,15.0,355.0,450.0,12.0,3.7,3.2,0.0,0.0,1.8,42.7,54.1,1.4,--,--
Keiraville,9.0,68.0,212.0,492.0,413.0,34.0,3.2,2.6,0.7,5.5,17.3,40.1,33.6,2.8,--,--
Kellyville,6.0,17.0,101.0,841.0,4861.0,35.0,4.0,3.4,0.1,0.3,1.7,14.3,82.9,0.6,--,--
Kembla Grange,0.0,4.0,6.0,19.0,44.0,0.0,3.8,2.8,0.0,5.5,8.2,26.0,60.3,0.0,--,--
Kensington (NSW),59.0,587.0,1792.0,927.0,581.0,67.0,2.5,2.4,1.5,14.6,44.7,23.1,14.5,1.7,--,--
Kilaben Bay,0.0,4.0,48.0,203.0,227.0,8.0,3.5,2.7,0.0,0.8,9.8,41.4,46.3,1.6,--,--
Killara (NSW),25.0,114.0,551.0,924.0,1456.0,38.0,3.5,2.8,0.8,3.7,17.7,29.7,46.8,1.2,--,--
Killarney Heights,3.0,6.0,51.0,415.0,917.0,17.0,3.8,3.1,0.2,0.4,3.6,29.5,65.1,1.2,--,--
Killarney Vale,0.0,64.0,404.0,1382.0,665.0,38.0,3.1,2.6,0.0,2.5,15.8,54.1,26.0,1.5,--,--
Kincumber,6.0,83.0,628.0,1087.0,810.0,50.0,3.1,2.4,0.2,3.1,23.6,40.8,30.4,1.9,--,--
Kincumber South,0.0,20.0,223.0,101.0,38.0,13.0,2.5,1.7,0.0,5.1,56.5,25.6,9.6,3.3,--,--
Kings Langley,4.0,54.0,47.0,1194.0,1671.0,38.0,3.6,3.0,0.1,1.8,1.6,39.7,55.6,1.3,--,--
Kings Park (NSW),0.0,6.0,70.0,641.0,438.0,20.0,3.4,2.8,0.0,0.5,6.0,54.6,37.3,1.7,--,--
Kingsford (NSW),129.0,499.0,1910.0,1564.0,876.0,104.0,2.6,2.6,2.5,9.8,37.6,30.8,17.2,2.0,--,--
Kingsgrove,13.0,73.0,878.0,1934.0,955.0,65.0,3.0,2.9,0.3,1.9,22.4,49.4,24.4,1.7,--,--
Kingswood (Tamworth - NSW),4.0,7.0,7.0,106.0,250.0,10.0,3.7,2.8,1.0,1.8,1.8,27.6,65.1,2.6,--,--
Kirrawee,10.0,215.0,688.0,1615.0,797.0,57.0,2.9,2.6,0.3,6.4,20.3,47.8,23.6,1.7,--,--
Kirribilli,96.0,551.0,765.0,293.0,104.0,40.0,1.9,1.7,5.2,29.8,41.4,15.8,5.6,2.2,--,--
Kogarah,28.0,307.0,2578.0,1248.0,380.0,95.0,2.4,2.6,0.6,6.6,55.6,26.9,8.2,2.0,--,--
Kogarah Bay,0.0,6.0,74.0,271.0,293.0,12.0,3.5,3.1,0.0,0.9,11.3,41.3,44.7,1.8,--,--
Koolewong,0.0,13.0,61.0,121.0,109.0,3.0,3.1,2.4,0.0,4.2,19.9,39.4,35.5,1.0,--,--
Koonawarra,0.0,25.0,33.0,874.0,309.0,21.0,3.2,2.7,0.0,2.0,2.6,69.3,24.5,1.7,--,--
Kotara,0.0,25.0,210.0,857.0,386.0,9.0,3.1,2.6,0.0,1.7,14.1,57.6,26.0,0.6,--,--
Kotara South,0.0,3.0,58.0,242.0,115.0,12.0,3.2,2.7,0.0,0.7,13.5,56.3,26.7,2.8,--,--
Kurnell,3.0,21.0,99.0,372.0,230.0,11.0,3.2,3.0,0.4,2.9,13.5,50.5,31.2,1.5,--,--
Kyeemagh,0.0,0.0,45.0,155.0,71.0,4.0,3.2,2.7,0.0,0.0,16.4,56.4,25.8,1.5,--,--
Kyle Bay,0.0,0.0,22.0,89.0,146.0,3.0,3.8,3.2,0.0,0.0,8.5,34.2,56.2,1.2,--,--
La Perouse,3.0,7.0,26.0,60.0,39.0,7.0,3.0,2.8,2.1,4.9,18.3,42.3,27.5,4.9,--,--
Lake Haven,0.0,54.0,259.0,631.0,423.0,37.0,3.1,2.2,0.0,3.8,18.4,44.9,30.1,2.6,--,--
Lake Heights,0.0,34.0,223.0,688.0,259.0,27.0,3.0,2.5,0.0,2.8,18.1,55.9,21.0,2.2,--,--
Lake Illawarra,5.0,119.0,500.0,547.0,183.0,28.0,2.6,2.2,0.4,8.6,36.2,39.6,13.2,2.0,--,--
Lakelands (NSW),0.0,3.0,31.0,124.0,321.0,3.0,3.7,3.0,0.0,0.6,6.4,25.7,66.6,0.6,--,--
Lakemba,40.0,216.0,3047.0,911.0,362.0,209.0,2.3,3.0,0.8,4.5,63.7,19.0,7.6,4.4,--,--
Lalor Park,60.0,79.0,407.0,1552.0,442.0,82.0,2.9,2.6,2.3,3.0,15.5,59.2,16.9,3.1,--,--
Lambton,4.0,117.0,557.0,891.0,412.0,33.0,2.9,2.4,0.2,5.8,27.7,44.2,20.5,1.6,--,--
Lane Cove,56.0,282.0,1534.0,1130.0,740.0,55.0,2.7,2.4,1.5,7.4,40.4,29.8,19.5,1.4,--,--
Lane Cove North,85.0,325.0,1766.0,1066.0,523.0,52.0,2.5,2.3,2.2,8.5,46.3,27.9,13.7,1.4,--,--
Lane Cove West,0.0,55.0,136.0,308.0,255.0,7.0,3.1,2.9,0.0,7.2,17.9,40.5,33.5,0.9,--,--
Lansvale,0.0,10.0,61.0,414.0,243.0,31.0,3.3,3.1,0.0,1.3,8.0,54.5,32.0,4.1,--,--
Lapstone,0.0,9.0,10.0,155.0,154.0,4.0,3.5,2.7,0.0,2.7,3.0,46.7,46.4,1.2,--,--
Lavender Bay,26.0,118.0,147.0,72.0,42.0,4.0,2.0,1.9,6.4,28.9,35.9,17.6,10.3,1.0,--,--
Leichhardt (NSW),78.0,533.0,2327.0,1943.0,455.0,106.0,2.4,2.3,1.4,9.8,42.8,35.7,8.4,1.9,--,--
Leonay,0.0,5.0,14.0,307.0,491.0,5.0,3.7,2.9,0.0,0.6,1.7,37.3,59.7,0.6,--,--
Lethbridge Park,3.0,66.0,83.0,1016.0,290.0,60.0,3.1,2.8,0.2,4.3,5.5,66.9,19.1,4.0,--,--
Leumeah,19.0,103.0,681.0,1680.0,867.0,68.0,3.0,2.6,0.6,3.0,19.9,49.2,25.4,2.0,--,--
Lewisham (NSW),16.0,159.0,404.0,329.0,173.0,13.0,2.5,2.3,1.5,14.5,36.9,30.1,15.8,1.2,--,--
Liberty Grove,3.0,3.0,258.0,382.0,48.0,12.0,2.7,2.8,0.4,0.4,36.5,54.1,6.8,1.7,--,--
Lidcombe,41.0,109.0,1537.0,2089.0,1223.0,130.0,2.9,3.1,0.8,2.1,30.0,40.7,23.8,2.5,--,--
Lilli Pilli (Sutherland - NSW),0.0,0.0,20.0,103.0,271.0,5.0,3.8,3.1,0.0,0.0,5.0,25.8,67.9,1.3,--,--
Lilyfield,33.0,248.0,966.0,1161.0,358.0,60.0,2.6,2.4,1.2,8.8,34.2,41.1,12.7,2.1,--,--
Lindfield,27.0,99.0,529.0,935.0,1262.0,41.0,3.4,2.9,0.9,3.4,18.3,32.3,43.6,1.4,--,--
Linley Point,0.0,3.0,6.0,28.0,80.0,3.0,3.8,2.9,0.0,2.5,5.0,23.3,66.7,2.5,--,--
Lisarow,4.0,7.0,113.0,575.0,881.0,6.0,3.6,3.1,0.3,0.4,7.1,36.3,55.5,0.4,--,--
Little Bay,37.0,136.0,178.0,347.0,317.0,29.0,2.9,2.6,3.5,13.0,17.0,33.2,30.4,2.8,--,--
Liverpool,46.0,384.0,3914.0,2359.0,904.0,247.0,2.5,2.8,0.6,4.9,49.8,30.0,11.5,3.1,--,--
Loftus,0.0,13.0,136.0,698.0,491.0,16.0,3.4,2.9,0.0,1.0,10.0,51.6,36.3,1.2,--,--
Long Jetty,10.0,183.0,816.0,1031.0,405.0,72.0,2.7,2.2,0.4,7.3,32.4,41.0,16.1,2.9,--,--
Long Point (Campbelltown - NSW),0.0,0.0,0.0,17.0,46.0,0.0,4.2,3.1,0.0,0.0,0.0,27.0,73.0,0.0,--,--
Longueville,0.0,0.0,30.0,147.0,456.0,3.0,4.0,3.2,0.0,0.0,4.7,23.1,71.7,0.5,--,--
Lugarno,4.0,7.0,118.0,750.0,963.0,18.0,3.6,2.9,0.2,0.4,6.3,40.3,51.8,1.0,--,--
Lurnea,10.0,93.0,425.0,1526.0,618.0,78.0,3.0,3.0,0.4,3.4,15.5,55.5,22.5,2.8,--,--
Macquarie Fields,17.0,65.0,661.0,2697.0,833.0,127.0,3.0,2.9,0.4,1.5,15.0,61.3,18.9,2.9,--,--
Macquarie Hills,0.0,0.0,22.0,527.0,451.0,13.0,3.5,2.9,0.0,0.0,2.2,52.0,44.5,1.3,--,--
Macquarie Links,0.0,0.0,0.0,51.0,266.0,6.0,4.1,3.4,0.0,0.0,0.0,15.8,82.4,1.9,--,--
Macquarie Park,16.0,368.0,1543.0,374.0,47.0,42.0,2.0,2.0,0.7,15.4,64.6,15.6,2.0,1.8,--,--
Malabar,39.0,103.0,252.0,399.0,418.0,41.0,3.0,2.6,3.1,8.2,20.1,31.9,33.4,3.3,--,--
Mangerton,13.0,83.0,222.0,465.0,281.0,14.0,2.9,2.5,1.2,7.7,20.6,43.1,26.1,1.3,--,--
