,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Tooleybuc,6.0,23.0,47.0,16.0,3.0,6.3,24.2,49.5,16.8,3.2,13902
Balranald,46.0,159.0,178.0,103.0,26.0,9.0,31.1,34.8,20.1,5.1,10168
Corowa,130.0,865.0,776.0,327.0,126.0,5.8,38.9,34.9,14.7,5.7,11080
Mulwala,35.0,338.0,317.0,132.0,47.0,4.0,38.9,36.5,15.2,5.4,12830
Balldale,3.0,9.0,20.0,24.0,0.0,5.4,16.1,35.7,42.9,0.0,10159
Rand,3.0,26.0,14.0,35.0,8.0,3.5,30.2,16.3,40.7,9.3,13311
Oaklands,7.0,43.0,56.0,21.0,12.0,5.0,30.9,40.3,15.1,8.6,13059
Howlong,38.0,354.0,413.0,190.0,59.0,3.6,33.6,39.2,18.0,5.6,11950
Urana,11.0,39.0,52.0,29.0,8.0,7.9,28.1,37.4,20.9,5.8,14052
Deniliquin,213.0,1068.0,1109.0,485.0,171.0,7.0,35.1,36.4,15.9,5.6,11237
Mayrung,0.0,10.0,16.0,14.0,3.0,0.0,23.3,37.2,32.6,7.0,12537
Mathoura,18.0,130.0,169.0,66.0,31.0,4.3,31.4,40.8,15.9,7.5,12522
Barham,31.0,230.0,218.0,117.0,40.0,4.9,36.2,34.3,18.4,6.3,10199
Wakool,7.0,37.0,47.0,34.0,7.0,5.3,28.0,35.6,25.8,5.3,14090
Moulamein,15.0,55.0,67.0,46.0,6.0,7.9,29.1,35.4,24.3,3.2,12743
Koraleigh,3.0,34.0,38.0,36.0,8.0,2.5,28.6,31.9,30.3,6.7,12195
Conargo,0.0,15.0,24.0,13.0,0.0,0.0,28.8,46.2,25.0,0.0,10998
Murray Downs,0.0,14.0,42.0,23.0,3.0,0.0,17.1,51.2,28.0,3.7,12852
Moama,114.0,795.0,942.0,364.0,111.0,4.9,34.2,40.5,15.6,4.8,12654
Warragoon,0.0,10.0,18.0,11.0,0.0,0.0,25.6,46.2,28.2,0.0,14159
Blighty,0.0,10.0,19.0,16.0,0.0,0.0,22.2,42.2,35.6,0.0,10412
Barooga,31.0,228.0,254.0,118.0,41.0,4.6,33.9,37.8,17.6,6.1,10205
Tocumwal,48.0,405.0,386.0,182.0,66.0,4.4,37.3,35.5,16.7,6.1,13886
Finley,45.0,367.0,340.0,166.0,59.0,4.6,37.6,34.8,17.0,6.0,11520
Berrigan,30.0,191.0,136.0,107.0,26.0,6.1,39.0,27.8,21.8,5.3,10318
Jerilderie,23.0,125.0,137.0,75.0,26.0,6.0,32.4,35.5,19.4,6.7,12014
Armidale,683.0,3232.0,2704.0,1172.0,298.0,8.4,40.0,33.4,14.5,3.7,10085
Guyra,46.0,242.0,281.0,142.0,31.0,6.2,32.6,37.9,19.1,4.2,11822
South Guyra,10.0,28.0,52.0,22.0,6.0,8.5,23.7,44.1,18.6,5.1,13586
Llangothlin,0.0,19.0,11.0,16.0,0.0,0.0,41.3,23.9,34.8,0.0,12364
Ben Lomond (NSW),3.0,12.0,24.0,23.0,3.0,4.6,18.5,36.9,35.4,4.6,10286
Black Mountain (NSW),0.0,23.0,35.0,44.0,0.0,0.0,22.5,34.3,43.1,0.0,10387
Thalgarrah,0.0,13.0,31.0,18.0,5.0,0.0,19.4,46.3,26.9,7.5,13810
Hillgrove (Armidale Regional - NSW),0.0,20.0,25.0,19.0,0.0,0.0,31.2,39.1,29.7,0.0,11907
Ebor,0.0,27.0,19.0,22.0,5.0,0.0,37.0,26.0,30.1,6.8,11372
Uralla (NSW),69.0,386.0,377.0,203.0,55.0,6.3,35.4,34.6,18.6,5.0,14051
