,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Molong,50.0,260.0,331.0,234.0,47.0,5.4,28.2,35.9,25.4,5.1,12671
Manildra,22.0,61.0,103.0,77.0,15.0,7.9,21.9,37.1,27.7,5.4,12473
Cargo,4.0,44.0,85.0,64.0,7.0,2.0,21.6,41.7,31.4,3.4,10813
Spring Terrace,0.0,6.0,19.0,21.0,3.0,0.0,12.2,38.8,42.9,6.1,13620
Springside (NSW),0.0,14.0,48.0,35.0,6.0,0.0,13.6,46.6,34.0,5.8,13626
Spring Hill (Cabonne - NSW),0.0,40.0,64.0,47.0,5.0,0.0,25.6,41.0,30.1,3.2,13615
Guyong,0.0,5.0,16.0,15.0,6.0,0.0,11.9,38.1,35.7,14.3,11821
Emu Swamp,0.0,11.0,21.0,28.0,0.0,0.0,18.3,35.0,46.7,0.0,11419
Lewis Ponds,0.0,8.0,19.0,22.0,0.0,0.0,16.3,38.8,44.9,0.0,12312
Lucknow (NSW),0.0,16.0,41.0,39.0,3.0,0.0,16.2,41.4,39.4,3.0,12418
Spring Creek (NSW),0.0,10.0,15.0,20.0,0.0,0.0,22.2,33.3,44.4,0.0,13611
Huntley (Orange - NSW),0.0,7.0,25.0,21.0,3.0,0.0,12.5,44.6,37.5,5.4,11958
Canobolas,3.0,26.0,73.0,57.0,3.0,1.9,16.0,45.1,35.2,1.9,10793
Clergate,0.0,8.0,18.0,40.0,0.0,0.0,12.1,27.3,60.6,0.0,10929
March,0.0,6.0,23.0,17.0,0.0,0.0,13.0,50.0,37.0,0.0,12486
Summer Hill Creek,0.0,9.0,33.0,29.0,0.0,0.0,12.7,46.5,40.8,0.0,13688
Mullion Creek,3.0,13.0,74.0,67.0,3.0,1.9,8.1,46.2,41.9,1.9,12826
Nashdale,0.0,21.0,55.0,46.0,0.0,0.0,17.2,45.1,37.7,0.0,12913
Windera (NSW),0.0,10.0,48.0,24.0,0.0,0.0,12.2,58.5,29.3,0.0,14319
Lidster,0.0,13.0,47.0,29.0,0.0,0.0,14.6,52.8,32.6,0.0,12319
Borenore,0.0,18.0,63.0,60.0,0.0,0.0,12.8,44.7,42.6,0.0,10513
Yeoval,13.0,57.0,49.0,26.0,9.0,8.4,37.0,31.8,16.9,5.8,14507
Grafton,381.0,1711.0,1235.0,502.0,170.0,9.5,42.8,30.9,12.6,4.3,11733
Rushforth,0.0,22.0,35.0,19.0,3.0,0.0,27.8,44.3,24.1,3.8,13446
Great Marlow,0.0,19.0,35.0,15.0,0.0,0.0,27.5,50.7,21.7,0.0,11745
South Grafton,241.0,963.0,717.0,284.0,109.0,10.4,41.6,31.0,12.3,4.7,13582
Junction Hill,9.0,191.0,226.0,92.0,15.0,1.7,35.8,42.4,17.3,2.8,12045
Carrs Creek,0.0,10.0,15.0,17.0,3.0,0.0,22.2,33.3,37.8,6.7,10834
Tucabia,0.0,41.0,61.0,29.0,9.0,0.0,29.3,43.6,20.7,6.4,13945
Ulmarra,16.0,95.0,112.0,56.0,11.0,5.5,32.8,38.6,19.3,3.8,14004
Ramornie,0.0,20.0,41.0,7.0,3.0,0.0,28.2,57.7,9.9,4.2,13308
Nymboida,3.0,42.0,58.0,17.0,0.0,2.5,35.0,48.3,14.2,0.0,13048
Blaxlands Creek,0.0,12.0,15.0,14.0,3.0,0.0,27.3,34.1,31.8,6.8,10408
Glenreagh,9.0,90.0,106.0,71.0,12.0,3.1,31.2,36.8,24.7,4.2,11675
Wells Crossing,4.0,19.0,20.0,16.0,0.0,6.8,32.2,33.9,27.1,0.0,14223
Kungala,0.0,17.0,15.0,24.0,3.0,0.0,28.8,25.4,40.7,5.1,12212
Wooli,11.0,101.0,59.0,20.0,7.0,5.6,51.0,29.8,10.1,3.5,14403
Halfway Creek,0.0,24.0,35.0,20.0,3.0,0.0,29.3,42.7,24.4,3.7,11831
Copmanhurst,5.0,44.0,49.0,20.0,6.0,4.0,35.5,39.5,16.1,4.8,11060
Whiteman Creek,0.0,12.0,20.0,17.0,5.0,0.0,22.2,37.0,31.5,9.3,14277
The Whiteman,0.0,10.0,33.0,13.0,0.0,0.0,17.9,58.9,23.2,0.0,13843
Waterview Heights,3.0,89.0,211.0,146.0,12.0,0.7,19.3,45.8,31.7,2.6,14186
Lawrence (NSW),10.0,136.0,155.0,81.0,23.0,2.5,33.6,38.3,20.0,5.7,12288
Eatonsville,0.0,22.0,31.0,15.0,3.0,0.0,31.0,43.7,21.1,4.2,11370
Seelands,0.0,25.0,67.0,38.0,10.0,0.0,17.9,47.9,27.1,7.1,13515
Mountain View (NSW),0.0,14.0,32.0,13.0,3.0,0.0,22.6,51.6,21.0,4.8,12808
Southgate,0.0,16.0,26.0,23.0,3.0,0.0,23.5,38.2,33.8,4.4,13604
Lower Southgate,0.0,7.0,19.0,13.0,3.0,0.0,16.7,45.2,31.0,7.1,12413
Ashby Heights,0.0,26.0,37.0,19.0,11.0,0.0,28.0,39.8,20.4,11.8,10095
Tullymorgan,0.0,7.0,13.0,16.0,3.0,0.0,17.9,33.3,41.0,7.7,13960
Ashby (NSW),0.0,45.0,62.0,21.0,3.0,0.0,34.4,47.3,16.0,2.3,10094
South Arm (Clarence Valley - NSW),0.0,19.0,26.0,25.0,3.0,0.0,26.0,35.6,34.2,4.1,13574
Woodford Island,3.0,24.0,26.0,28.0,0.0,3.7,29.6,32.1,34.6,0.0,14384
Brushgrove,3.0,25.0,31.0,17.0,7.0,3.6,30.1,37.3,20.5,8.4,10622
Elland,0.0,20.0,44.0,42.0,8.0,0.0,17.5,38.6,36.8,7.0,11399
Coutts Crossing,6.0,102.0,148.0,81.0,24.0,1.7,28.3,41.0,22.4,6.6,11094
Kremnos,0.0,23.0,29.0,16.0,0.0,0.0,33.8,42.6,23.5,0.0,12204
Lanitza,3.0,23.0,43.0,27.0,9.0,2.9,21.9,41.0,25.7,8.6,12270
Braunstone,3.0,17.0,38.0,36.0,4.0,3.1,17.3,38.8,36.7,4.1,10550
Glenugie,0.0,19.0,28.0,25.0,0.0,0.0,26.4,38.9,34.7,0.0,11681
Clarenza,0.0,35.0,72.0,71.0,6.0,0.0,19.0,39.1,38.6,3.3,10922
Swan Creek (NSW),0.0,15.0,17.0,13.0,0.0,0.0,33.3,37.8,28.9,0.0,13706
Pillar Valley,3.0,31.0,46.0,34.0,4.0,2.5,26.3,39.0,28.8,3.4,13204
Minnie Water,0.0,39.0,37.0,12.0,6.0,0.0,41.5,39.4,12.8,6.4,12640
Tyndale,5.0,22.0,30.0,14.0,4.0,6.7,29.3,40.0,18.7,5.3,13997
Ilarwill,0.0,28.0,44.0,15.0,0.0,0.0,32.2,50.6,17.2,0.0,11970
Yamba (NSW),166.0,1331.0,789.0,226.0,127.0,6.3,50.4,29.9,8.6,4.8,14458
Gulmarrad,3.0,139.0,299.0,127.0,18.0,0.5,23.7,51.0,21.7,3.1,11795
Angourie,3.0,32.0,39.0,18.0,0.0,3.3,34.8,42.4,19.6,0.0,10059
Brooms Head,14.0,40.0,41.0,7.0,8.0,12.7,36.4,37.3,6.4,7.3,10603
Wooloweyah,0.0,52.0,86.0,20.0,3.0,0.0,32.3,53.4,12.4,1.9,14411
Woombah,8.0,116.0,150.0,59.0,13.0,2.3,33.5,43.4,17.1,3.8,14414
Maclean,88.0,510.0,295.0,116.0,56.0,8.3,47.9,27.7,10.9,5.3,12431
Iluka (NSW),50.0,383.0,253.0,76.0,37.0,6.3,47.9,31.7,9.5,4.6,11975
Harwood,5.0,40.0,42.0,28.0,3.0,4.2,33.9,35.6,23.7,2.5,11865
Chatsworth (NSW),0.0,20.0,18.0,17.0,3.0,0.0,34.5,31.0,29.3,5.2,10894
Townsend,8.0,146.0,113.0,51.0,17.0,2.4,43.6,33.7,15.2,5.1,13928
Palmers Channel,0.0,5.0,28.0,12.0,3.0,0.0,10.4,58.3,25.0,6.2,13135
James Creek,0.0,4.0,31.0,30.0,0.0,0.0,6.2,47.7,46.2,0.0,11999
Palmers Island,0.0,29.0,86.0,42.0,4.0,0.0,18.0,53.4,26.1,2.5,13136
Bellingen,60.0,594.0,545.0,155.0,60.0,4.2,42.0,38.5,11.0,4.2,10273
Brierfield,0.0,35.0,48.0,29.0,3.0,0.0,30.4,41.7,25.2,2.6,10568
Fernmount,0.0,41.0,47.0,40.0,7.0,0.0,30.4,34.8,29.6,5.2,11509
Darkwood,3.0,32.0,27.0,3.0,3.0,4.4,47.1,39.7,4.4,4.4,11210
Thora,3.0,28.0,57.0,22.0,8.0,2.5,23.7,48.3,18.6,6.8,13849
Gleniffer,0.0,57.0,65.0,26.0,5.0,0.0,37.3,42.5,17.0,3.3,11668
Valery,3.0,9.0,22.0,16.0,3.0,5.7,17.0,41.5,30.2,5.7,14066
Kalang,3.0,24.0,32.0,21.0,4.0,3.6,28.6,38.1,25.0,4.8,12050
Coffs Harbour,957.0,4125.0,3153.0,1213.0,441.0,9.7,41.7,31.9,12.3,4.5,10959
North Boambee Valley,32.0,269.0,262.0,95.0,22.0,4.7,39.6,38.5,14.0,3.2,12983
Coramba,3.0,72.0,120.0,74.0,10.0,1.1,25.8,43.0,26.5,3.6,11065
Nana Glen,9.0,90.0,146.0,109.0,14.0,2.4,24.5,39.7,29.6,3.8,12889
Upper Orara,0.0,53.0,139.0,65.0,14.0,0.0,19.6,51.3,24.0,5.2,14041
Bucca (NSW),0.0,31.0,76.0,69.0,9.0,0.0,16.8,41.1,37.3,4.9,10625
Karangi,0.0,31.0,83.0,52.0,5.0,0.0,18.1,48.5,30.4,2.9,12072
Megan,0.0,10.0,26.0,11.0,9.0,0.0,17.9,46.4,19.6,16.1,12558
Ulong,3.0,33.0,20.0,14.0,4.0,4.1,44.6,27.0,18.9,5.4,14005
Lowanna,0.0,56.0,47.0,25.0,3.0,0.0,42.7,35.9,19.1,2.3,12398
Dorrigo,44.0,232.0,153.0,67.0,20.0,8.5,45.0,29.7,13.0,3.9,11278
Deer Vale,0.0,20.0,23.0,11.0,0.0,0.0,37.0,42.6,20.4,0.0,11232
Fernbrook,0.0,18.0,26.0,12.0,0.0,0.0,32.1,46.4,21.4,0.0,11506
Hernani,0.0,4.0,21.0,17.0,0.0,0.0,9.5,50.0,40.5,0.0,11896
Bostobrick,0.0,9.0,16.0,16.0,5.0,0.0,19.6,34.8,34.8,10.9,10516
North Dorrigo,0.0,27.0,32.0,19.0,0.0,0.0,34.6,41.0,24.4,0.0,12989
Sapphire Beach,10.0,256.0,352.0,139.0,16.0,1.3,33.1,45.5,18.0,2.1,13491
Emerald Beach,10.0,215.0,371.0,164.0,25.0,1.3,27.4,47.3,20.9,3.2,11411
Korora,11.0,279.0,404.0,168.0,16.0,1.3,31.8,46.0,19.1,1.8,12197
Moonee Beach,9.0,128.0,295.0,172.0,11.0,1.5,20.8,48.0,28.0,1.8,12703
Toormina,220.0,1124.0,730.0,270.0,120.0,8.9,45.6,29.6,11.0,4.9,13912
Boambee East,43.0,736.0,794.0,294.0,58.0,2.2,38.2,41.2,15.3,3.0,10422
Boambee,13.0,124.0,233.0,156.0,21.0,2.4,22.7,42.6,28.5,3.8,10421
Sawtell,91.0,612.0,563.0,173.0,66.0,6.0,40.7,37.4,11.5,4.4,13498
Bonville,5.0,203.0,356.0,255.0,18.0,0.6,24.3,42.5,30.5,2.2,10474
Bundagen,5.0,42.0,9.0,3.0,3.0,8.1,67.7,14.5,4.8,4.8,10669
Mylestom,4.0,65.0,50.0,23.0,14.0,2.6,41.7,32.1,14.7,9.0,12875
Raleigh,4.0,50.0,91.0,64.0,4.0,1.9,23.5,42.7,30.0,1.9,13307
Urunga,94.0,538.0,408.0,179.0,66.0,7.3,41.9,31.8,13.9,5.1,14061
Repton,0.0,75.0,111.0,51.0,12.0,0.0,30.1,44.6,20.5,4.8,13352
Valla,3.0,79.0,130.0,96.0,5.0,1.0,25.2,41.5,30.7,1.6,14067
Woolgoolga,143.0,758.0,623.0,287.0,132.0,7.4,39.0,32.1,14.8,6.8,14402
Safety Beach (NSW),3.0,113.0,154.0,56.0,7.0,0.9,33.9,46.2,16.8,2.1,13462
Sandy Beach,20.0,273.0,331.0,139.0,23.0,2.5,34.7,42.1,17.7,2.9,13479
Upper Corindi,0.0,18.0,15.0,17.0,4.0,0.0,33.3,27.8,31.5,7.4,14020
Corindi Beach,14.0,185.0,242.0,110.0,30.0,2.4,31.8,41.7,18.9,5.2,11073
Red Rock,4.0,67.0,53.0,32.0,6.0,2.5,41.4,32.7,19.8,3.7,13334
Arrawarra,11.0,169.0,56.0,12.0,22.0,4.1,62.6,20.7,4.4,8.1,10088
Arrawarra Headland,7.0,57.0,81.0,46.0,10.0,3.5,28.4,40.3,22.9,5.0,10089
Mullaway,5.0,62.0,81.0,42.0,7.0,2.5,31.5,41.1,21.3,3.6,12822
Bourke,85.0,243.0,172.0,58.0,52.0,13.9,39.8,28.2,9.5,8.5,10522
Wanaaring,0.0,9.0,3.0,12.0,0.0,0.0,37.5,12.5,50.0,0.0,14126
North Bourke,0.0,26.0,38.0,20.0,8.0,0.0,28.3,41.3,21.7,8.7,12985
Enngonia,8.0,11.0,15.0,6.0,3.0,18.6,25.6,34.9,14.0,7.0,11426
Brewarrina,93.0,134.0,69.0,44.0,34.0,24.9,35.8,18.4,11.8,9.1,10563
Cobar,92.0,478.0,549.0,232.0,68.0,6.5,33.7,38.7,16.3,4.8,10949
Coonamble,93.0,343.0,300.0,157.0,57.0,9.8,36.1,31.6,16.5,6.0,11044
Gulargambone,32.0,75.0,61.0,33.0,16.0,14.7,34.6,28.1,15.2,7.4,11792
Quambone,3.0,21.0,21.0,15.0,3.0,4.8,33.3,33.3,23.8,4.8,13287
Nyngan,76.0,284.0,283.0,133.0,44.0,9.3,34.6,34.5,16.2,5.4,13049
Nevertire,0.0,10.0,26.0,24.0,5.0,0.0,15.4,40.0,36.9,7.7,12936
Warren,37.0,195.0,193.0,94.0,31.0,6.7,35.5,35.1,17.1,5.6,14171
Hermidale,0.0,4.0,18.0,17.0,3.0,0.0,9.5,42.9,40.5,7.1,11894
Ravenswood (NSW),21.0,73.0,54.0,20.0,14.0,11.5,40.1,29.7,11.0,7.7,13321
Cumborah,6.0,35.0,25.0,12.0,10.0,6.8,39.8,28.4,13.6,11.4,11158
Goodooga,19.0,30.0,13.0,15.0,3.0,23.8,37.5,16.2,18.8,3.8,11702
Carinda,3.0,21.0,26.0,17.0,4.0,4.2,29.6,36.6,23.9,5.6,10814
Pilliga,3.0,28.0,18.0,17.0,7.0,4.1,38.4,24.7,23.3,9.6,13205
Come By Chance,0.0,6.0,21.0,20.0,0.0,0.0,12.8,44.7,42.6,0.0,10993
Walgett,128.0,212.0,176.0,120.0,49.0,18.7,30.9,25.7,17.5,7.2,14096
Burren Junction,3.0,16.0,36.0,36.0,11.0,2.9,15.7,35.3,35.3,10.8,10710
Lightning Ridge,105.0,420.0,256.0,132.0,83.0,10.5,42.2,25.7,13.3,8.3,12320
Collarenebri,52.0,74.0,50.0,41.0,12.0,22.7,32.3,21.8,17.9,5.2,10969
Rowena,0.0,9.0,20.0,21.0,3.0,0.0,17.0,37.7,39.6,5.7,13431
Broken Hill,692.0,2939.0,2270.0,899.0,418.0,9.6,40.7,31.4,12.5,5.8,10592
White Cliffs,4.0,18.0,9.0,19.0,3.0,7.5,34.0,17.0,35.8,5.7,14274
Menindee,25.0,86.0,44.0,23.0,29.0,12.1,41.5,21.3,11.1,14.0,12571
Wilcannia,62.0,79.0,43.0,41.0,12.0,26.2,33.3,18.1,17.3,5.1,14290
Tibooburra,5.0,17.0,12.0,12.0,5.0,9.8,33.3,23.5,23.5,9.8,13860
Pooncarie,0.0,9.0,19.0,14.0,4.0,0.0,19.6,41.3,30.4,8.7,13242
Ivanhoe (NSW),4.0,20.0,16.0,40.0,8.0,4.5,22.7,18.2,45.5,9.1,11991
Baradine,25.0,113.0,104.0,62.0,13.0,7.9,35.6,32.8,19.6,4.1,10190
Coonabarabran,115.0,471.0,401.0,181.0,76.0,9.2,37.9,32.2,14.5,6.1,11043
Binnaway,19.0,100.0,73.0,52.0,13.0,7.4,38.9,28.4,20.2,5.1,10372
Mendooran,9.0,61.0,77.0,62.0,15.0,4.0,27.2,34.4,27.7,6.7,12570
Coolah,20.0,131.0,164.0,118.0,18.0,4.4,29.0,36.4,26.2,4.0,11024
Bugaldie,0.0,17.0,25.0,16.0,6.0,0.0,26.6,39.1,25.0,9.4,10646
Ulamambri,0.0,14.0,34.0,20.0,0.0,0.0,20.6,50.0,29.4,0.0,14001
Tambar Springs,7.0,25.0,14.0,21.0,3.0,10.0,35.7,20.0,30.0,4.3,13743
Merrygoen,3.0,7.0,17.0,17.0,4.0,6.2,14.6,35.4,35.4,8.3,12587
Dubbo,858.0,4706.0,5098.0,2537.0,585.0,6.2,34.1,37.0,18.4,4.2,11296
Terramungamine,0.0,8.0,37.0,40.0,0.0,0.0,9.4,43.5,47.1,0.0,13801
Brocklehurst,3.0,21.0,51.0,32.0,5.0,2.7,18.8,45.5,28.6,4.5,10583
Wongarbon,0.0,41.0,113.0,77.0,6.0,0.0,17.3,47.7,32.5,2.5,14373
Elong Elong,3.0,14.0,22.0,10.0,3.0,5.8,26.9,42.3,19.2,5.8,11406
Gollan,0.0,8.0,20.0,12.0,3.0,0.0,18.6,46.5,27.9,7.0,11694
Eumungerie,0.0,27.0,59.0,28.0,3.0,0.0,23.1,50.4,23.9,2.6,11456
Minore,0.0,12.0,24.0,17.0,3.0,0.0,21.4,42.9,30.4,5.4,12641
Ballimore,0.0,9.0,21.0,26.0,3.0,0.0,15.3,35.6,44.1,5.1,10161
Gilgandra,100.0,427.0,378.0,210.0,54.0,8.6,36.5,32.3,18.0,4.6,11619
Collie (NSW),0.0,13.0,24.0,27.0,5.0,0.0,18.8,34.8,39.1,7.2,10975
Armatree,0.0,10.0,13.0,14.0,3.0,0.0,25.0,32.5,35.0,7.5,10084
Curban,0.0,4.0,22.0,14.0,0.0,0.0,10.0,55.0,35.0,0.0,11166
Tooraweenah,0.0,18.0,34.0,29.0,4.0,0.0,21.2,40.0,34.1,4.7,13911
Narromine,115.0,519.0,577.0,368.0,88.0,6.9,31.1,34.6,22.1,5.3,12911
Burroway,0.0,11.0,13.0,17.0,0.0,0.0,26.8,31.7,41.5,0.0,10715
Trangie,23.0,151.0,138.0,104.0,35.0,5.1,33.5,30.6,23.1,7.8,13932
Tomingley,0.0,23.0,43.0,36.0,3.0,0.0,21.9,41.0,34.3,2.9,13896
Wellington (NSW),213.0,649.0,412.0,190.0,89.0,13.7,41.8,26.5,12.2,5.7,14221
Mumbil,8.0,39.0,34.0,26.0,7.0,7.0,34.2,29.8,22.8,6.1,12832
Stuart Town,0.0,16.0,38.0,21.0,8.0,0.0,19.3,45.8,25.3,9.6,13680
Euchareena,0.0,11.0,20.0,22.0,6.0,0.0,18.6,33.9,37.3,10.2,11452
Neurea,0.0,8.0,7.0,21.0,0.0,0.0,22.2,19.4,58.3,0.0,12933
Mount Arthur,0.0,17.0,13.0,18.0,6.0,0.0,31.5,24.1,33.3,11.1,12747
Maryvale (NSW),0.0,12.0,26.0,28.0,0.0,0.0,18.2,39.4,42.4,0.0,12517
Geurie,3.0,71.0,102.0,80.0,9.0,1.1,26.8,38.5,30.2,3.4,11608
Montefiores,5.0,81.0,90.0,35.0,6.0,2.3,37.3,41.5,16.1,2.8,12685
Greta (NSW),23.0,272.0,390.0,241.0,47.0,2.4,28.0,40.1,24.8,4.8,11778
Lower Belford,0.0,17.0,40.0,63.0,6.0,0.0,13.5,31.7,50.0,4.8,12401
Belford,0.0,4.0,25.0,20.0,0.0,0.0,8.2,51.0,40.8,0.0,10258
Branxton,21.0,157.0,277.0,198.0,31.0,3.1,23.0,40.5,28.9,4.5,10549
Pokolbin,7.0,65.0,171.0,79.0,8.0,2.1,19.7,51.8,23.9,2.4,13236
Keinbah,0.0,9.0,17.0,19.0,0.0,0.0,20.0,37.8,42.2,0.0,12084
Lovedale,0.0,23.0,74.0,56.0,7.0,0.0,14.4,46.2,35.0,4.4,12396
East Branxton,17.0,161.0,302.0,114.0,22.0,2.8,26.1,49.0,18.5,3.6,11346
North Rothbury,6.0,66.0,144.0,66.0,12.0,2.0,22.4,49.0,22.4,4.1,13004
Leconfield,0.0,6.0,21.0,14.0,3.0,0.0,13.6,47.7,31.8,6.8,12291
Cessnock,425.0,2129.0,1760.0,737.0,261.0,8.0,40.1,33.1,13.9,4.9,10878
Nulkaba,4.0,33.0,72.0,92.0,10.0,1.9,15.6,34.1,43.6,4.7,13031
Aberdare,49.0,349.0,315.0,159.0,45.0,5.3,38.1,34.4,17.3,4.9,10006
Kearsley,13.0,75.0,102.0,81.0,8.0,4.7,26.9,36.6,29.0,2.9,12080
Bellbird,27.0,208.0,277.0,159.0,36.0,3.8,29.4,39.2,22.5,5.1,10268
Bellbird Heights,3.0,84.0,128.0,63.0,12.0,1.0,29.0,44.1,21.7,4.1,10269
Ellalong,6.0,92.0,135.0,105.0,17.0,1.7,25.9,38.0,29.6,4.8,11398
Kitchener,7.0,37.0,63.0,45.0,3.0,4.5,23.9,40.6,29.0,1.9,12174
Abernethy,0.0,25.0,29.0,32.0,5.0,0.0,27.5,31.9,35.2,5.5,10011
Mulbring,6.0,36.0,91.0,64.0,6.0,3.0,17.7,44.8,31.5,3.0,12813
Buchanan (NSW),0.0,7.0,20.0,32.0,0.0,0.0,11.9,33.9,54.2,0.0,10628
Millfield,8.0,87.0,142.0,63.0,9.0,2.6,28.2,46.0,20.4,2.9,12620
Paxton,11.0,95.0,108.0,83.0,4.0,3.7,31.6,35.9,27.6,1.3,13162
Black Hill (NSW),0.0,25.0,60.0,74.0,5.0,0.0,15.2,36.6,45.1,3.0,10385
Mount Vincent,0.0,17.0,49.0,46.0,3.0,0.0,14.8,42.6,40.0,2.6,12799
Brunkerville,0.0,15.0,31.0,23.0,0.0,0.0,21.7,44.9,33.3,0.0,10620
Quorrobolong,3.0,27.0,64.0,61.0,3.0,1.9,17.1,40.5,38.6,1.9,13302
Congewai,0.0,15.0,27.0,20.0,3.0,0.0,23.1,41.5,30.8,4.6,11007
Mount View,0.0,7.0,12.0,17.0,3.0,0.0,17.9,30.8,43.6,7.7,12798
Paynes Crossing,0.0,10.0,14.0,8.0,3.0,0.0,28.6,40.0,22.9,8.6,13163
Laguna,3.0,20.0,28.0,12.0,4.0,4.5,29.9,41.8,17.9,6.0,12237
Wollombi,0.0,30.0,33.0,11.0,3.0,0.0,39.0,42.9,14.3,3.9,14355
Watagan,0.0,21.0,18.0,9.0,0.0,0.0,43.8,37.5,18.8,0.0,14180
Murrays Run,0.0,19.0,30.0,12.0,4.0,0.0,29.2,46.2,18.5,6.2,12855
Bucketty,0.0,18.0,31.0,12.0,3.0,0.0,28.1,48.4,18.8,4.7,10634
Clarence Town,11.0,132.0,300.0,214.0,18.0,1.6,19.6,44.4,31.7,2.7,10920
Dungog,52.0,365.0,267.0,111.0,37.0,6.2,43.9,32.1,13.3,4.4,11320
Bendolba,3.0,22.0,36.0,11.0,0.0,4.2,30.6,50.0,15.3,0.0,10291
Paterson (NSW),6.0,54.0,134.0,98.0,6.0,2.0,18.1,45.0,32.9,2.0,13159
Martins Creek,3.0,28.0,55.0,44.0,4.0,2.2,20.9,41.0,32.8,3.0,12511
Torryburn (Dungog - NSW),0.0,10.0,19.0,25.0,0.0,0.0,18.5,35.2,46.3,0.0,13920
Vacy,0.0,27.0,101.0,79.0,8.0,0.0,12.6,47.0,36.7,3.7,14063
East Gresford,0.0,42.0,42.0,24.0,4.0,0.0,37.5,37.5,21.4,3.6,11350
Gresford,4.0,31.0,40.0,19.0,5.0,4.0,31.3,40.4,19.2,5.1,11777
Glen Martin,0.0,9.0,30.0,19.0,0.0,0.0,15.5,51.7,32.8,0.0,11650
Wallarobba,0.0,11.0,31.0,26.0,4.0,0.0,15.3,43.1,36.1,5.6,14111
Hilldale,0.0,11.0,23.0,29.0,7.0,0.0,15.7,32.9,41.4,10.0,11906
Glen Oak,0.0,10.0,34.0,54.0,0.0,0.0,10.2,34.7,55.1,0.0,11652
Glen William,0.0,13.0,17.0,14.0,0.0,0.0,29.5,38.6,31.8,0.0,11654
Brookfield (NSW),0.0,18.0,21.0,32.0,3.0,0.0,24.3,28.4,43.2,4.1,10596
Abermain,30.0,274.0,291.0,198.0,27.0,3.7,33.4,35.5,24.1,3.3,10010
Weston (NSW),83.0,428.0,458.0,280.0,53.0,6.4,32.9,35.2,21.5,4.1,14262
Kurri Kurri,183.0,875.0,725.0,400.0,113.0,8.0,38.1,31.6,17.4,4.9,12221
Stanford Merthyr,10.0,75.0,73.0,49.0,11.0,4.6,34.4,33.5,22.5,5.0,13647
Pelaw Main,25.0,147.0,143.0,74.0,19.0,6.1,36.0,35.0,18.1,4.7,13177
Heddon Greta,18.0,152.0,307.0,191.0,23.0,2.6,22.0,44.4,27.6,3.3,11888
Neath,11.0,86.0,58.0,25.0,8.0,5.9,45.7,30.9,13.3,4.3,12917
Cliftleigh,4.0,56.0,116.0,47.0,5.0,1.8,24.6,50.9,20.6,2.2,10932
Sawyers Gully,3.0,19.0,54.0,72.0,7.0,1.9,12.3,34.8,46.5,4.5,13499
Hunterview,15.0,253.0,449.0,231.0,24.0,1.5,26.0,46.2,23.8,2.5,11955
Redbournberry,0.0,12.0,33.0,24.0,3.0,0.0,16.7,45.8,33.3,4.2,13337
Singleton (NSW),162.0,772.0,663.0,294.0,64.0,8.3,39.5,33.9,15.0,3.3,13549
Whittingham,0.0,26.0,50.0,50.0,0.0,0.0,20.6,39.7,39.7,0.0,14279
Gowrie (Singleton - NSW),0.0,12.0,51.0,42.0,0.0,0.0,11.4,48.6,40.0,0.0,11729
Glenridding,9.0,31.0,32.0,29.0,4.0,8.6,29.5,30.5,27.6,3.8,11676
Singleton Heights,65.0,553.0,661.0,318.0,54.0,3.9,33.5,40.0,19.3,3.3,13550
Wattle Ponds,0.0,35.0,159.0,127.0,5.0,0.0,10.7,48.8,39.0,1.5,14193
McDougalls Hill,3.0,16.0,28.0,16.0,0.0,4.8,25.4,44.4,25.4,0.0,12541
Darlington (Singleton - NSW),4.0,48.0,66.0,27.0,0.0,2.8,33.1,45.5,18.6,0.0,11213
Broke (NSW),0.0,42.0,63.0,59.0,11.0,0.0,24.0,36.0,33.7,6.3,10590
Putty,0.0,7.0,8.0,12.0,0.0,0.0,25.9,29.6,44.4,0.0,13279
Howes Valley,0.0,7.0,10.0,3.0,3.0,0.0,30.4,43.5,13.0,13.0,11948
Bulga (NSW),0.0,25.0,42.0,40.0,6.0,0.0,22.1,37.2,35.4,5.3,10651
Jerrys Plains,3.0,29.0,35.0,28.0,0.0,3.2,30.5,36.8,29.5,0.0,12021
Maison Dieu,0.0,0.0,27.0,15.0,0.0,0.0,0.0,64.3,35.7,0.0,12448
Bridgman,0.0,10.0,31.0,23.0,3.0,0.0,14.9,46.3,34.3,4.5,10567
Mount Olive (Singleton - NSW),0.0,8.0,26.0,21.0,0.0,0.0,14.5,47.3,38.2,0.0,12781
Westbrook (NSW),0.0,3.0,17.0,30.0,0.0,0.0,6.0,34.0,60.0,0.0,14257
Reedy Creek (NSW),0.0,6.0,19.0,26.0,0.0,0.0,11.8,37.3,51.0,0.0,13342
Sedgefield,0.0,3.0,21.0,24.0,0.0,0.0,6.2,43.8,50.0,0.0,13514
Mitchells Flat,0.0,10.0,22.0,34.0,4.0,0.0,14.3,31.4,48.6,5.7,12651
Glendon,0.0,8.0,15.0,16.0,0.0,0.0,20.5,38.5,41.0,0.0,11660
