,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Kellyville,"1,335","5,899","5,667",,,"1,510","1,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,22.6,21.7,,,5.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kembla Grange,,101,93,,,13,25,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,29.2,,,4.1,7.9,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington,,"2,448","2,362",,,"1,161",,,,,,"2,704",745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,14.8,,,7.3,,,,,,16.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilaben Bay,,601,593,,,153,156,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,32.8,,,8.5,8.6,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killara,,"2,510","2,809",,,960,828,,,,,"1,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,23.3,,,7.9,6.9,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killarney Heights,,"1,307","1,642",,,483,427,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,27.1,,,8.0,7.0,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killarney Vale,,"3,187","2,981",,,790,567,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,32.5,,,8.6,6.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kincumber,,"2,960","3,041",,,854,724,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,33.1,,,9.3,7.9,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kincumber South,,242,319,,,94,84,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,35.5,,,10.5,9.4,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Langley,439,"3,211","2,893",,,853,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,26.5,23.9,,,7.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings Park,154,"1,218","1,027",,,335,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,27.8,23.4,,,7.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsford,,"2,040","2,000",,,863,,,,,,"3,967","1,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,11.9,,,5.1,,,,,,23.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsgrove,926,"1,602","1,381",,,,,,,,,"1,933","2,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,11.9,10.3,,,,,,,,,14.4,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingswood,,559,468,,,159,133,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,30.9,,,10.5,8.8,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirrawee,,"3,579","3,437",,,"1,112",777,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,28.7,,,9.3,6.5,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirribilli,,761,"1,308",,,535,406,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,26.7,,,10.9,8.3,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kogarah,,"1,281","1,431",,,,,,,,,"2,568",863,,,,,,,,,,,,,,,,,,,,828,,,,,,,,,8.8,9.9,,,,,,,,,17.7,5.9,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,
Kogarah Bay,162,349,363,,,,,,,,,187,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,14.1,14.7,,,,,,,,,7.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koolewong,,289,361,,,127,75,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,33.2,,,11.7,6.9,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koonawarra,,"1,477","1,508",,,284,314,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.6,,,6.0,6.6,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotara,,"1,753","1,619",,,555,461,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,30.1,,,10.3,8.6,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotara South,,543,495,,,124,150,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,32.0,,,8.0,9.7,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurnell,,955,858,,,237,188,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,29.5,,,8.1,6.5,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyeemagh,48,124,104,,,,,,,,,,232,,60,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,13.2,11.1,,,,,,,,,,24.8,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Bay,,179,181,,,,51,,,,,114,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,16.9,,,,4.8,,,,,10.6,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Perouse,,141,89,,,31,,,,,,,22,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,27.6,17.5,,,6.1,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,19.2,,,,,,
Lake Haven,,"1,414","1,396",,,343,288,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,31.9,,,7.8,6.6,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Heights,354,792,629,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,289,,,,,,8.8,19.7,15.6,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,7.2,,,,,
Lake Illawarra,,"1,202","1,232",,,294,264,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,30.6,,,7.3,6.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakelands,,619,616,,,181,162,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,30.8,,,9.0,8.1,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakemba,,"1,050",980,,,,,,,,,"1,058",,,"1,700",,,,,,,,,,,,,"1,862",,,,,,,,,,,,,,6.2,5.7,,,,,,,,,6.2,,,10.0,,,,,,,,,,,,,10.9,,,,,,,,,,,,
Lalor Park,,"2,507","2,179",,,642,502,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,24.0,,,7.1,5.5,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton,,"2,041","1,927",,,573,567,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,29.0,,,8.6,8.5,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove,,"2,664","3,056",,,"1,277",920,,,,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,24.1,,,10.1,7.3,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove North,,"2,317","2,635",,,893,686,,,,,"1,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,21.7,,,7.3,5.6,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Cove West,,713,670,,,312,225,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,21.7,,,10.1,7.3,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansvale,,379,351,,,,,,,,,220,,,126,616,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,12.5,,,,,,,,,7.9,,,4.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,
Lapstone,,361,414,,,144,122,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,32.7,,,11.4,9.6,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Bay,,208,316,,,151,132,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,26.3,,,12.6,11.0,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leichhardt,"1,439","3,633","4,267",,,"1,924","1,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,19.7,23.2,,,10.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonay,,987,956,,,318,256,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,29.4,,,9.8,7.9,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethbridge Park,,"1,708","1,404",,,292,292,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,24.2,,,5.0,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leumeah,,"3,135","3,128",,,771,674,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.6,,,6.3,5.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,,827,824,,,369,270,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,21.0,,,9.4,6.9,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Grove,,230,228,,,,,240,,,,494,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,9.8,9.7,,,,,10.2,,,,21.0,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,
Lidcombe,,"1,234","1,200",,,,,,,,,"4,374",,,785,,,,,,,"1,968",,,,,,,,,,,,,,,,,,,,6.7,6.5,,,,,,,,,23.7,,,4.3,,,,,,,10.7,,,,,,,,,,,,,,,,,,
Lilli Pilli,53,507,555,,,173,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,29.4,32.2,,,10.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilyfield,580,"2,256","2,426",,,972,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,22.7,24.4,,,9.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindfield,,"2,471","2,648",,,941,807,,,,,"1,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,23.1,,,8.2,7.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linley Point,,74,105,,,31,39,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,20.1,,,5.9,7.5,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisarow,,"2,266","2,223",,,555,524,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,32.0,,,8.0,7.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Bay,,829,867,,,327,199,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,22.9,,,8.7,5.3,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,,"2,249","2,007",,,,,"2,126",,,,,,,,,,,,,"2,310",,,,,,,,,"1,582",,,,,,,,,,,,8.4,7.5,,,,,8.0,,,,,,,,,,,,,8.6,,,,,,,,,5.9,,,,,,,,,,
Loftus,119,"1,796","1,707",,,582,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,32.3,30.7,,,10.5,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Jetty,,"2,468","2,399",,,684,566,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,31.1,,,8.9,7.3,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Point,,78,62,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,28.9,23.0,,,5.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,
Longueville,134,773,753,,,366,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,26.2,25.5,,,12.4,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lugarno,,"1,666","1,688",,,553,449,,,,,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,23.5,,,7.7,6.3,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurnea,389,"1,715","1,495",,,324,,,,,,,,,"1,196",,,,,,,,,,,,,,,,,,,,,,,,,,3.8,16.9,14.7,,,3.2,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Fields,,"3,536","3,168",,,741,747,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,19.3,,,4.5,4.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Hills,,"1,422","1,235",,,314,363,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,29.9,,,7.6,8.8,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Links,,288,190,,,,,69,124,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,14.3,,,,,5.2,9.3,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macquarie Park,,895,"1,064",,,360,,391,,,,"1,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,14.5,,,4.9,,5.3,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malabar,,"1,114","1,068",,,436,269,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,17.8,,,7.3,4.5,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangerton,148,963,945,,,324,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,25.3,24.8,,,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manly,,"3,683","5,923",,,"2,091","1,524",,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,29.4,,,10.4,7.6,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manly Vale,,"1,768","2,055",,,660,488,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,26.9,,,8.6,6.4,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marayong,,"1,935","1,686",,,442,,448,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,18.9,,,5.0,,5.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardi,98,"1,353","1,316",,,393,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,29.8,29.0,,,8.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marks Point,,704,818,,,199,201,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,35.4,,,8.6,8.7,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmong Point,,314,335,,,80,95,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,33.7,,,8.1,9.6,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroubra,,"6,007","5,783",,,"2,759",,,,,,"4,332","2,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,15.7,,,7.5,,,,,,11.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marrickville,,"4,785","5,074",,,"2,413",,,,,,,"2,434",,,"1,846",,,,,,,,,,,,,,,,,,,,,,,,,,15.3,16.3,,,7.7,,,,,,,7.8,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,
Marsfield,658,"2,014","2,123",,,692,,,,,,"4,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,13.7,14.4,,,4.7,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,"3,613","3,137",,,639,735,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,31.0,,,6.3,7.3,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryville,,553,569,,,204,212,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,28.6,,,10.3,10.7,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mascot,,"1,884","1,678",,,673,,,,,,"1,449",802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,13.6,,,5.4,,,,,,11.7,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matraville,482,"2,323","1,969",,,909,,,,,,"1,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,20.3,17.2,,,8.0,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield,,"3,564","3,526",,,"1,165",925,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,28.7,,,9.5,7.5,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield East,,742,640,,,214,170,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,27.7,,,9.2,7.3,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield West,,693,698,,,191,165,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,29.8,,,8.1,7.0,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mays Hill,,90,107,,,,,76,,,,84,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,13.2,,,,,9.4,,,,10.4,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,
McMahons Point,,568,863,,,328,243,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,27.9,,,10.6,7.8,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadowbank,,461,541,,,,,258,,,,793,,,,,,,,,,460,,,,,,,,,,,,,,,,,,,,10.8,12.6,,,,,6.0,,,,18.5,,,,,,,,,,10.8,,,,,,,,,,,,,,,,,,
Melrose Park,,429,388,,,190,110,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,20.3,,,9.9,5.7,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menai,569,"3,975","3,434",,,"1,053",820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,28.5,24.7,,,7.6,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merewether,,"4,338","4,344",,,"1,560","1,324",,,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.2,,,10.9,9.2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merewether Heights,,608,643,,,169,202,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,32.1,,,8.4,10.1,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrylands,,"3,388","2,804",,,,,"1,198",,,,"2,014",,,"5,496",,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,9.2,,,,,3.9,,,,6.6,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,
Merrylands West,,"1,069",917,,,304,,,,,,372,,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,12.5,,,4.2,,,,,,5.1,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Cove,,406,478,,,168,118,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,27.5,,,9.7,6.8,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miller,,739,629,,,144,,,,,,,,,387,199,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,17.3,,,4.0,,,,,,,,,10.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,
Millers Point,,319,433,,,194,142,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,20.2,,,9.1,6.6,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milperra,,"1,666","1,302",,,408,287,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,26.2,,,8.2,5.8,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milsons Point,,300,497,,,182,133,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,20.4,,,7.5,5.4,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minchinbury,,"1,298","1,127",,,,,265,618,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,,,,,19.4,16.9,,,,,4.0,9.3,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,
Minmi,,340,350,,,70,74,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,36.0,,,7.2,7.6,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minto,,"2,602","2,284",,,548,,602,,,,,,,,,,,,,,,,,,,,663,,,,,,,,,,,,,,20.7,18.2,,,4.4,,4.8,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,
Miranda,674,"4,716","4,770",,,"1,601","1,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,25.1,25.4,,,8.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mona Vale,396,"3,607","4,231",,,"1,109",987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,26.6,31.2,,,8.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,190,709,703,,,266,,,,,,,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,13.7,13.6,,,5.1,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorebank,503,"1,971","1,751",,,499,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,20.9,18.6,,,5.3,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortdale,,"2,424","2,421",,,866,657,,,,,"1,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,19.7,,,7.0,5.3,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortlake,89,164,206,,,71,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,16.5,20.8,,,7.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mosman,,"7,706","10,848",,,"3,692","3,105",,,"1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,29.0,,,9.9,8.3,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Annan,459,"4,563","3,676",,,"1,006",858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,32.4,26.1,,,7.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Colah,,"2,730","2,656",,,793,673,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,27.5,,,8.2,7.0,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Druitt,,"2,259","2,006",,,,,"1,052","2,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,734,,,,,12.5,11.1,,,,,5.8,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,
Mount Hutton,,"1,371","1,412",,,297,309,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,33.9,,,7.1,7.4,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Keira,123,571,533,,,165,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,27.6,25.8,,,8.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Kembla,73,413,404,,,133,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,29.4,28.7,,,9.5,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Lewis,,134,122,,,,,,,,,,94,,408,65,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,9.8,,,,,,,,,,7.5,,32.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,
Mount Ousley,122,561,559,,,165,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,27.2,27.1,,,8.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant,114,393,416,,,141,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,25.4,,,8.6,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pritchard,659,"1,559","1,355",,,,,,,,,575,,,,"1,319",,,,,,,,,,,,,,,,,,,,,,,,,6.2,14.7,12.7,,,,,,,,,5.4,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,
Mount Riverview,,"1,320","1,221",,,424,308,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,29.5,,,10.2,7.4,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Saint Thomas,,564,443,,,119,121,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,24.1,,,6.5,6.6,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Warrigal,,"1,604","1,669",,,361,329,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,28.4,,,6.1,5.6,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narara,,"3,413","3,369",,,886,756,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,31.9,,,8.4,7.2,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narellan,,"1,576","1,456",,,366,284,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,31.4,,,7.9,6.1,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narellan Vale,335,"3,350","2,641",,,653,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,34.5,27.2,,,6.7,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
