,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Blue Haven,183,"2,981","2,548",,,596,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,36.4,31.1,,,7.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton Point,,"1,016","1,025",,,220,224,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,33.8,,,7.3,7.4,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi,,"1,795","2,441",,,"1,190",626,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,14.6,19.9,,,9.7,5.1,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,
Bondi Beach,,"2,103","3,236",,,"1,459",825,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,22.8,,,10.3,5.8,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bondi Junction,,"1,468","2,067",,,"1,093",580,,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,18.8,,,9.9,5.3,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnet Bay,,906,854,,,264,215,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,29.1,,,9.0,7.3,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnyrigg,,688,545,,,,,,,,,"1,073",,,,"2,031",,,,459,,,,,,,,,,,,,,,,,,,,,,7.6,6.0,,,,,,,,,11.8,,,,22.3,,,,5.0,,,,,,,,,,,,,,,,,,,,
Bonnyrigg Heights,648,580,,,,,,,,,,938,,,,"1,017",,,,,508,,,,,,,,,,,,,,,,,,,,7.9,7.0,,,,,,,,,,11.4,,,,12.3,,,,,6.2,,,,,,,,,,,,,,,,,,,
Booker Bay,,468,476,,,149,118,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,30.9,,,9.7,7.7,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolaroo,,460,378,,,88,101,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,30.0,,,7.0,8.0,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booragul,,541,589,,,140,122,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1,31.7,,,7.5,6.6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bossley Park,"2,037","1,613","1,293","1,379",,,,,,,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,9.9,7.9,8.5,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botany,,"2,738","2,330",,,927,633,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,20.2,,,8.1,5.5,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Bowing,,471,326,,,94,,103,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,16.3,,,4.7,,5.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradbury,,"3,126","2,995",,,863,690,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,26.5,,,7.6,6.1,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadmeadow,,586,574,,,200,148,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,27.8,,,9.7,7.2,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
