,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander,Average number of people per household,Average number of people per bedroom,Median household income,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander (%),Average number of people per household (%),Average number of people per bedroom (%),Median household income (%)
Newcastle West,,2.9,1.0,1375.0,,--,--,--
Newington (NSW),,1.5,1.0,1733.0,,--,--,--
Newport (NSW),,3.2,1.3,2750.0,,--,--,--
Newtown (NSW),,2.3,1.2,1114.0,,--,--,--
Niagara Park,,2.9,1.0,840.0,,--,--,--
Norah Head,,5.0,1.0,1375.0,,--,--,--
Noraville,,2.9,1.1,820.0,,--,--,--
North Avoca,,3.9,1.0,1666.0,,--,--,--
North Balgowlah,,4.0,1.0,0.0,,--,--,--
North Bondi,,2.1,1.0,1291.0,,--,--,--
North Gosford,,2.6,1.1,777.0,,--,--,--
North Lambton,,3.1,1.3,1300.0,,--,--,--
North Manly,,3.0,1.5,1375.0,,--,--,--
North Narrabeen,,2.9,1.2,2583.0,,--,--,--
North Parramatta,,2.3,1.3,977.0,,--,--,--
North Rocks,,4.0,1.3,1699.0,,--,--,--
North Ryde,,3.8,1.4,982.0,,--,--,--
North St Marys,,3.2,1.1,916.0,,--,--,--
North Strathfield,,1.8,1.0,1166.0,,--,--,--
North Sydney,,3.0,1.0,2583.0,,--,--,--
North Wollongong,,2.7,1.4,1687.0,,--,--,--
Northbridge (NSW),,4.0,1.5,3250.0,,--,--,--
Northmead,,2.9,1.1,1750.0,,--,--,--
Oak Flats,,3.3,1.2,1265.0,,--,--,--
Oakhurst (NSW),,3.9,1.1,1517.0,,--,--,--
Oatlands (NSW),,2.9,1.0,1125.0,,--,--,--
Oatley,,2.7,1.2,1549.0,,--,--,--
Old Guildford,,3.8,1.3,1166.0,,--,--,--
Old Toongabbie,,3.2,1.0,2250.0,,--,--,--
Ourimbah,,2.9,1.1,1021.0,,--,--,--
Oxley Park,,3.3,1.2,966.0,,--,--,--
Oyster Bay,,3.4,1.2,3583.0,,--,--,--
Paddington (NSW),,2.8,1.2,2833.0,,--,--,--
Padstow,,3.1,1.2,1231.0,,--,--,--
Padstow Heights,,3.3,1.0,100.0,,--,--,--
Pagewood,,3.2,1.5,1708.0,,--,--,--
Panania,,3.4,1.1,1424.0,,--,--,--
Parramatta,,2.4,1.2,1562.0,,--,--,--
Peakhurst,,3.3,1.3,1166.0,,--,--,--
Peakhurst Heights,,4.0,1.4,1262.0,,--,--,--
Pelican (NSW),,3.8,1.0,1375.0,,--,--,--
Pendle Hill,,2.2,1.0,840.0,,--,--,--
Pennant Hills,,4.0,1.0,974.0,,--,--,--
Penrith,,2.9,1.2,1032.0,,--,--,--
Penrose (Wollongong - NSW),,3.1,1.2,700.0,,--,--,--
Penshurst (NSW),,2.7,1.2,1410.0,,--,--,--
Petersham,,2.8,1.3,1700.0,,--,--,--
Phillip Bay,,3.7,1.0,1045.0,,--,--,--
Picnic Point,,2.9,1.0,1399.0,,--,--,--
Plumpton (NSW),,3.6,1.1,1523.0,,--,--,--
Point Clare,,3.7,1.2,900.0,,--,--,--
