,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Nelson (The Hills Shire - NSW),0.0,5.0,8.0,31.0,94.0,6.0,3.9,3.0,0.0,3.5,5.6,21.5,65.3,4.2,--,--,12922
Box Hill (NSW),0.0,4.0,20.0,64.0,163.0,15.0,3.9,3.1,0.0,1.5,7.5,24.1,61.3,5.6,--,--,10539
Blacktown,54.0,445.0,3366.0,6828.0,3733.0,497.0,3.0,3.0,0.4,3.0,22.6,45.8,25.0,3.3,--,--,10397
Kings Park (NSW),0.0,8.0,66.0,606.0,451.0,18.0,3.5,2.9,0.0,0.7,5.7,52.7,39.3,1.6,--,--,12150
Acacia Gardens,0.0,0.0,9.0,358.0,725.0,16.0,3.7,3.4,0.0,0.0,0.8,32.3,65.4,1.4,--,--,10014
Quakers Hill,4.0,65.0,289.0,4086.0,3606.0,144.0,3.5,3.2,0.0,0.8,3.5,49.9,44.0,1.8,--,--,13286
Marayong,11.0,131.0,295.0,1343.0,658.0,91.0,3.1,2.9,0.4,5.2,11.7,53.1,26.0,3.6,--,--,12485
Woodcroft (NSW),3.0,26.0,12.0,545.0,1206.0,32.0,3.8,3.5,0.2,1.4,0.7,29.9,66.1,1.8,--,--,14381
Bungarribee,0.0,3.0,3.0,84.0,586.0,9.0,4.1,3.8,0.0,0.4,0.4,12.3,85.5,1.3,--,--,10682
Doonside,9.0,132.0,344.0,2349.0,1178.0,140.0,3.2,3.1,0.2,3.2,8.3,56.6,28.4,3.4,--,--,11275
Seven Hills (NSW),29.0,241.0,665.0,3433.0,1800.0,169.0,3.2,2.9,0.5,3.8,10.5,54.2,28.4,2.7,--,--,13518
Lalor Park,73.0,121.0,434.0,1519.0,502.0,101.0,2.9,2.6,2.7,4.4,15.8,55.2,18.3,3.7,--,--,12261
Kings Langley,0.0,47.0,55.0,1114.0,1760.0,52.0,3.7,3.0,0.0,1.6,1.8,36.8,58.1,1.7,--,--,12149
Toongabbie (NSW),8.0,102.0,848.0,2199.0,1262.0,120.0,3.1,3.0,0.2,2.2,18.7,48.4,27.8,2.6,--,--,13907
Prospect (NSW),6.0,14.0,95.0,700.0,616.0,32.0,3.4,3.0,0.4,1.0,6.5,47.8,42.1,2.2,--,--,13266
Glenwood (NSW),3.0,11.0,31.0,698.0,3614.0,50.0,4.0,3.6,0.1,0.2,0.7,15.8,82.0,1.1,--,--,11682
Parklea,0.0,0.0,62.0,105.0,478.0,12.0,3.8,3.6,0.0,0.0,9.4,16.0,72.8,1.8,--,--,13153
Stanhope Gardens,0.0,30.0,237.0,736.0,1723.0,61.0,3.6,3.2,0.0,1.1,8.5,26.4,61.8,2.2,--,--,13649
Kellyville Ridge,3.0,28.0,188.0,321.0,2297.0,41.0,3.9,3.5,0.1,1.0,6.5,11.2,79.8,1.4,--,--,12089
The Ponds,0.0,8.0,87.0,387.0,2744.0,42.0,4.0,3.5,0.0,0.2,2.7,11.8,84.0,1.3,--,--,13835
Riverstone,6.0,49.0,204.0,1101.0,903.0,57.0,3.3,2.9,0.3,2.1,8.8,47.5,38.9,2.5,--,--,13368
Schofields,4.0,15.0,66.0,575.0,842.0,37.0,3.6,3.1,0.3,1.0,4.3,37.4,54.7,2.4,--,--,13502
Shanes Park,0.0,7.0,11.0,43.0,50.0,0.0,3.4,3.0,0.0,6.3,9.9,38.7,45.0,0.0,--,--,13524
Marsden Park,0.0,21.0,110.0,85.0,122.0,13.0,3.0,2.5,0.0,6.0,31.3,24.2,34.8,3.7,--,--,12505
Colebee,0.0,0.0,3.0,23.0,502.0,8.0,4.2,3.4,0.0,0.0,0.6,4.3,93.7,1.5,--,--,10965
Bidwill (NSW),8.0,44.0,45.0,956.0,186.0,44.0,3.0,2.9,0.6,3.4,3.5,74.5,14.5,3.4,--,--,10340
Hebersham,7.0,22.0,70.0,1034.0,423.0,69.0,3.2,3.2,0.4,1.4,4.3,63.6,26.0,4.2,--,--,11886
Dharruk,3.0,11.0,27.0,554.0,211.0,32.0,3.3,3.2,0.4,1.3,3.2,66.1,25.2,3.8,--,--,11248
Blackett,3.0,30.0,36.0,668.0,257.0,44.0,3.2,3.0,0.3,2.9,3.5,64.4,24.8,4.2,--,--,10392
Emerton,5.0,53.0,29.0,485.0,106.0,18.0,3.0,3.0,0.7,7.6,4.2,69.7,15.2,2.6,--,--,11413
Glendenning,0.0,4.0,15.0,925.0,467.0,22.0,3.4,3.5,0.0,0.3,1.0,64.5,32.6,1.5,--,--,11659
Dean Park,0.0,12.0,33.0,649.0,233.0,11.0,3.2,3.1,0.0,1.3,3.5,69.2,24.8,1.2,--,--,11224
Plumpton (NSW),3.0,18.0,82.0,1195.0,1103.0,56.0,3.5,3.6,0.1,0.7,3.3,48.6,44.9,2.3,--,--,13230
Oakhurst (NSW),6.0,12.0,38.0,1059.0,747.0,35.0,3.5,3.5,0.3,0.6,2.0,55.8,39.4,1.8,--,--,13058
Hassall Grove,6.0,13.0,31.0,685.0,471.0,22.0,3.4,3.5,0.5,1.1,2.5,55.8,38.4,1.8,--,--,11866
Shalvey,4.0,10.0,18.0,697.0,237.0,38.0,3.2,3.2,0.4,1.0,1.8,69.4,23.6,3.8,--,--,13523
Willmot,3.0,42.0,20.0,464.0,170.0,30.0,3.1,3.0,0.4,5.8,2.7,63.6,23.3,4.1,--,--,14302
Tregear,6.0,74.0,48.0,640.0,352.0,57.0,3.2,3.0,0.5,6.3,4.1,54.4,29.9,4.8,--,--,13934
Lethbridge Park,5.0,88.0,93.0,982.0,295.0,57.0,3.0,2.8,0.3,5.8,6.1,64.6,19.4,3.8,--,--,12307
Ropes Crossing,3.0,16.0,189.0,572.0,1019.0,25.0,3.5,3.2,0.2,0.9,10.4,31.4,55.9,1.4,--,--,13397
Mount Druitt,13.0,121.0,1426.0,2078.0,1150.0,142.0,3.0,3.2,0.3,2.5,28.9,42.2,23.3,2.9,--,--,12756
Whalan,19.0,76.0,99.0,1146.0,453.0,70.0,3.1,2.9,1.0,4.1,5.3,61.5,24.3,3.8,--,--,14266
Eastern Creek,0.0,0.0,36.0,122.0,75.0,10.0,3.3,3.2,0.0,0.0,14.8,50.2,30.9,4.1,--,--,11366
Minchinbury,3.0,5.0,40.0,673.0,840.0,33.0,3.7,3.5,0.2,0.3,2.5,42.2,52.7,2.1,--,--,12633
Rooty Hill,3.0,53.0,194.0,2096.0,1621.0,88.0,3.4,3.3,0.1,1.3,4.8,51.7,40.0,2.2,--,--,13395
Botany,38.0,347.0,1210.0,1380.0,596.0,78.0,2.7,2.8,1.0,9.5,33.2,37.8,16.3,2.1,--,--,10517
Mascot,24.0,739.0,2341.0,1407.0,583.0,101.0,2.4,2.7,0.5,14.2,45.1,27.1,11.2,1.9,--,--,12519
Eastlakes,23.0,163.0,1426.0,621.0,248.0,105.0,2.4,2.6,0.9,6.3,55.1,24.0,9.6,4.1,--,--,11368
Rosebery (NSW),9.0,566.0,1580.0,1005.0,465.0,99.0,2.4,2.5,0.2,15.2,42.4,27.0,12.5,2.7,--,--,13405
Pagewood,24.0,54.0,226.0,498.0,425.0,27.0,3.2,2.9,1.9,4.3,18.0,39.7,33.9,2.2,--,--,13125
Daceyville,8.0,139.0,174.0,130.0,52.0,28.0,2.2,1.9,1.5,26.2,32.8,24.5,9.8,5.3,--,--,11185
Hillsdale,10.0,125.0,1120.0,589.0,59.0,53.0,2.3,2.6,0.5,6.4,57.3,30.1,3.0,2.7,--,--,11911
Eastgardens,3.0,22.0,50.0,134.0,71.0,16.0,2.9,2.8,1.0,7.4,16.9,45.3,24.0,5.4,--,--,11367
Matraville,15.0,268.0,758.0,1263.0,932.0,86.0,3.0,2.8,0.5,8.1,22.8,38.0,28.1,2.6,--,--,12524
Marrickville,118.0,1257.0,4057.0,2754.0,1293.0,280.0,2.5,2.5,1.2,12.9,41.6,28.2,13.2,2.9,--,--,12504
Petersham,93.0,630.0,1106.0,820.0,426.0,82.0,2.3,2.3,2.9,20.0,35.0,26.0,13.5,2.6,--,--,13190
Dulwich Hill,47.0,702.0,2558.0,1447.0,584.0,135.0,2.4,2.3,0.9,12.8,46.7,26.4,10.7,2.5,--,--,11303
Newtown (NSW),355.0,1382.0,2215.0,1501.0,495.0,150.0,2.1,2.1,5.8,22.7,36.3,24.6,8.1,2.5,--,--,12960
Lewisham (NSW),20.0,220.0,420.0,363.0,161.0,27.0,2.4,2.3,1.7,18.2,34.7,30.0,13.3,2.2,--,--,12313
Stanmore (NSW),43.0,546.0,908.0,986.0,448.0,91.0,2.5,2.3,1.4,18.1,30.0,32.6,14.8,3.0,--,--,13650
Camperdown (NSW),361.0,1883.0,1377.0,554.0,193.0,98.0,1.7,1.8,8.1,42.2,30.8,12.4,4.3,2.2,--,--,10781
Enmore (Inner West - NSW),67.0,245.0,588.0,397.0,191.0,49.0,2.3,2.3,4.4,15.9,38.3,25.8,12.4,3.2,--,--,11425
St Peters (NSW),4.0,127.0,534.0,375.0,137.0,30.0,2.5,2.4,0.3,10.5,44.2,31.1,11.4,2.5,--,--,13644
Sydenham (NSW),0.0,31.0,152.0,158.0,55.0,14.0,2.7,2.5,0.0,7.6,37.1,38.5,13.4,3.4,--,--,13714
Tempe,6.0,45.0,384.0,572.0,185.0,37.0,2.8,2.7,0.5,3.7,31.2,46.5,15.1,3.0,--,--,13785
Darlinghurst,371.0,2061.0,1637.0,549.0,242.0,173.0,1.7,1.8,7.4,40.9,32.5,10.9,4.8,3.4,--,--,11212
Erskineville,41.0,791.0,1703.0,690.0,138.0,78.0,2.0,2.1,1.2,23.0,49.5,20.1,4.0,2.3,--,--,11439
Alexandria,33.0,1005.0,1529.0,731.0,215.0,74.0,2.0,2.1,0.9,28.0,42.6,20.4,6.0,2.1,--,--,10030
Glebe (NSW),214.0,1088.0,1553.0,1129.0,557.0,241.0,2.2,2.1,4.5,22.8,32.5,23.6,11.6,5.0,--,--,11641
Forest Lodge,59.0,449.0,747.0,393.0,190.0,46.0,2.1,2.2,3.1,23.8,39.6,20.9,10.1,2.4,--,--,11546
Annandale (NSW),122.0,539.0,1233.0,1161.0,466.0,82.0,2.4,2.3,3.4,15.0,34.2,32.2,12.9,2.3,--,--,10061
Darlington (Sydney - NSW),107.0,353.0,265.0,196.0,207.0,38.0,2.1,2.2,9.2,30.3,22.7,16.8,17.8,3.3,--,--,11214
Potts Point,448.0,1808.0,1024.0,191.0,55.0,94.0,1.3,1.5,12.4,49.9,28.3,5.3,1.5,2.6,--,--,13256
Elizabeth Bay,379.0,1234.0,872.0,239.0,39.0,93.0,1.4,1.5,13.3,43.2,30.5,8.4,1.4,3.3,--,--,11395
Sydney,227.0,2097.0,2768.0,623.0,56.0,255.0,1.7,2.4,3.8,34.8,45.9,10.3,0.9,4.2,--,--,13715
Woolloomooloo,125.0,600.0,706.0,322.0,74.0,50.0,1.8,1.7,6.7,32.0,37.6,17.2,3.9,2.7,--,--,14406
Rushcutters Bay,257.0,518.0,371.0,93.0,16.0,37.0,1.3,1.6,19.9,40.1,28.7,7.2,1.2,2.9,--,--,13444
Pyrmont,58.0,1270.0,2733.0,1125.0,62.0,109.0,2.0,2.2,1.1,23.7,51.0,21.0,1.2,2.0,--,--,13284
Ultimo,140.0,1048.0,1064.0,333.0,148.0,121.0,1.7,2.4,4.9,36.7,37.3,11.7,5.2,4.2,--,--,14006
Redfern,125.0,1381.0,2460.0,1125.0,453.0,236.0,2.1,2.0,2.2,23.9,42.6,19.5,7.8,4.1,--,--,13339
Eveleigh,4.0,59.0,98.0,53.0,31.0,5.0,2.2,2.3,1.6,23.6,39.2,21.2,12.4,2.0,--,--,11471
Chippendale,269.0,1517.0,970.0,339.0,133.0,121.0,1.6,2.0,8.0,45.3,29.0,10.1,4.0,3.6,--,--,10907
Surry Hills,295.0,2734.0,2608.0,912.0,444.0,204.0,1.8,1.9,4.1,38.0,36.2,12.7,6.2,2.8,--,--,13699
Haymarket,48.0,441.0,1039.0,301.0,41.0,92.0,1.9,3.0,2.4,22.5,53.0,15.3,2.1,4.7,--,--,11877
Dawes Point,0.0,0.0,50.0,87.0,7.0,3.0,2.8,2.0,0.0,0.0,34.0,59.2,4.8,2.0,--,--,11222
Millers Point,13.0,172.0,283.0,167.0,22.0,17.0,2.0,1.8,1.9,25.5,42.0,24.8,3.3,2.5,--,--,12619
Barangaroo,0.0,16.0,35.0,9.0,0.0,0.0,1.9,1.9,0.0,26.7,58.3,15.0,0.0,0.0,--,--,10191
Balmain East,13.0,112.0,277.0,217.0,154.0,17.0,2.5,2.2,1.6,14.2,35.1,27.5,19.5,2.2,--,--,10165
The Rocks (Sydney - NSW),0.0,92.0,84.0,57.0,4.0,7.0,1.9,1.9,0.0,37.7,34.4,23.4,1.6,2.9,--,--,13840
Waterloo (NSW),233.0,1652.0,3377.0,882.0,106.0,241.0,1.8,2.0,3.6,25.5,52.0,13.6,1.6,3.7,--,--,14183
Zetland,14.0,1188.0,2344.0,477.0,71.0,108.0,1.9,2.2,0.3,28.3,55.8,11.4,1.7,2.6,--,--,14524
Beaconsfield (NSW),0.0,33.0,173.0,144.0,30.0,16.0,2.5,2.3,0.0,8.3,43.7,36.4,7.6,4.0,--,--,10239
Bronte,34.0,235.0,959.0,529.0,645.0,43.0,2.7,2.6,1.4,9.6,39.2,21.6,26.4,1.8,--,--,10594
Tamarama,0.0,79.0,237.0,139.0,114.0,18.0,2.6,2.4,0.0,13.5,40.4,23.7,19.4,3.1,--,--,13741
Bondi,95.0,618.0,1945.0,862.0,348.0,126.0,2.2,2.2,2.4,15.5,48.7,21.6,8.7,3.2,--,--,10464
Bondi Beach,156.0,1084.0,2350.0,722.0,281.0,150.0,2.0,2.1,3.3,22.9,49.5,15.2,5.9,3.2,--,--,10465
North Bondi,29.0,339.0,1315.0,776.0,707.0,87.0,2.6,2.6,0.9,10.4,40.4,23.9,21.7,2.7,--,--,12984
Waverley (NSW),40.0,254.0,614.0,315.0,238.0,30.0,2.4,2.3,2.7,17.0,41.2,21.1,16.0,2.0,--,--,14200
Bondi Junction,105.0,672.0,1366.0,995.0,356.0,127.0,2.3,2.2,2.9,18.6,37.7,27.5,9.8,3.5,--,--,10467
Queens Park (NSW),9.0,82.0,283.0,368.0,325.0,16.0,3.0,2.6,0.8,7.6,26.1,34.0,30.0,1.5,--,--,13294
Centennial Park (NSW),71.0,338.0,422.0,110.0,128.0,24.0,2.0,2.0,6.5,30.9,38.6,10.1,11.7,2.2,--,--,10873
Darling Point,10.0,212.0,810.0,625.0,152.0,47.0,2.4,1.9,0.5,11.4,43.6,33.7,8.2,2.5,--,--,11211
Edgecliff,34.0,314.0,396.0,287.0,73.0,24.0,2.1,1.9,3.0,27.8,35.1,25.4,6.5,2.1,--,--,11379
Double Bay,4.0,160.0,940.0,582.0,243.0,61.0,2.5,2.1,0.2,8.0,47.2,29.2,12.2,3.1,--,--,11281
Bellevue Hill,28.0,318.0,1275.0,1046.0,1122.0,80.0,2.9,2.5,0.7,8.2,33.0,27.0,29.0,2.1,--,--,10271
Rose Bay (NSW),28.0,414.0,1591.0,1019.0,726.0,93.0,2.6,2.4,0.7,10.7,41.1,26.3,18.8,2.4,--,--,13398
Paddington (NSW),244.0,948.0,1510.0,1739.0,741.0,110.0,2.4,2.2,4.6,17.9,28.5,32.9,14.0,2.1,--,--,13115
Point Piper,0.0,40.0,157.0,186.0,140.0,14.0,3.0,2.4,0.0,7.4,29.2,34.6,26.1,2.6,--,--,13233
Vaucluse,3.0,119.0,894.0,802.0,1257.0,62.0,3.2,2.8,0.1,3.8,28.5,25.6,40.1,2.0,--,--,14071
Dover Heights,7.0,32.0,203.0,360.0,632.0,20.0,3.5,3.0,0.6,2.6,16.2,28.7,50.4,1.6,--,--,11284
Watsons Bay,0.0,19.0,77.0,84.0,70.0,15.0,2.9,2.5,0.0,7.2,29.1,31.7,26.4,5.7,--,--,14187
Woollahra,10.0,323.0,1061.0,877.0,517.0,124.0,2.6,2.2,0.3,11.1,36.4,30.1,17.8,4.3,--,--,14404
Clovelly,3.0,173.0,702.0,490.0,389.0,28.0,2.7,2.5,0.2,9.7,39.3,27.5,21.8,1.6,--,--,10938
South Coogee,60.0,215.0,496.0,597.0,625.0,70.0,2.9,2.5,2.9,10.4,24.0,28.9,30.3,3.4,--,--,13579
Coogee (NSW),26.0,829.0,3064.0,1400.0,566.0,144.0,2.3,2.3,0.4,13.8,50.8,23.2,9.4,2.4,--,--,11015
La Perouse,0.0,3.0,21.0,51.0,47.0,7.0,3.3,2.7,0.0,2.3,16.3,39.5,36.4,5.4,--,--,12230
Little Bay,20.0,276.0,325.0,410.0,389.0,146.0,2.7,2.5,1.3,17.6,20.8,26.2,24.8,9.3,--,--,12349
Malabar,47.0,109.0,217.0,413.0,485.0,30.0,3.1,2.6,3.6,8.4,16.7,31.7,37.3,2.3,--,--,12453
Chifley (NSW),18.0,46.0,214.0,387.0,384.0,22.0,3.1,2.9,1.7,4.3,20.0,36.1,35.9,2.1,--,--,10901
Phillip Bay,0.0,12.0,21.0,78.0,98.0,6.0,3.5,3.2,0.0,5.6,9.8,36.3,45.6,2.8,--,--,13193
Kensington (NSW),118.0,920.0,1886.0,934.0,658.0,118.0,2.3,2.4,2.5,19.9,40.7,20.2,14.2,2.5,--,--,12099
Kingsford (NSW),134.0,657.0,1881.0,1563.0,1005.0,168.0,2.6,2.7,2.5,12.1,34.8,28.9,18.6,3.1,--,--,12156
Maroubra,95.0,1112.0,4201.0,3281.0,2292.0,373.0,2.7,2.5,0.8,9.8,37.0,28.9,20.2,3.3,--,--,12501
Randwick,72.0,1648.0,5660.0,2455.0,1393.0,252.0,2.4,2.3,0.6,14.4,49.3,21.4,12.1,2.2,--,--,13312
Georges Hall,3.0,16.0,158.0,1280.0,1099.0,65.0,3.5,3.2,0.1,0.6,6.0,48.8,41.9,2.5,--,--,11601
Bass Hill,48.0,121.0,314.0,1153.0,962.0,84.0,3.2,3.2,1.8,4.5,11.7,43.0,35.9,3.1,--,--,10224
Yagoona,40.0,283.0,1182.0,2102.0,1453.0,182.0,3.0,3.2,0.8,5.4,22.5,40.1,27.7,3.5,--,--,14453
Villawood,37.0,151.0,424.0,736.0,343.0,74.0,2.8,2.9,2.1,8.6,24.0,41.7,19.4,4.2,--,--,14074
Greenacre,41.0,406.0,937.0,3042.0,2120.0,214.0,3.1,3.4,0.6,6.0,13.9,45.0,31.4,3.2,--,--,11757
Potts Hill,0.0,6.0,55.0,65.0,122.0,6.0,3.4,3.3,0.0,2.4,21.7,25.6,48.0,2.4,--,--,13255
Milperra,0.0,5.0,28.0,673.0,551.0,8.0,3.5,3.0,0.0,0.4,2.2,53.2,43.6,0.6,--,--,12625
Revesby,22.0,216.0,724.0,2012.0,1530.0,114.0,3.1,2.9,0.5,4.7,15.7,43.6,33.1,2.5,--,--,13355
Condell Park,5.0,65.0,317.0,1482.0,1260.0,88.0,3.4,3.4,0.2,2.0,9.9,46.1,39.2,2.7,--,--,11001
Bankstown,71.0,413.0,4520.0,2619.0,1654.0,308.0,2.6,3.1,0.7,4.3,47.2,27.3,17.3,3.2,--,--,10180
Mount Lewis,0.0,5.0,57.0,146.0,122.0,13.0,3.3,3.3,0.0,1.5,16.6,42.6,35.6,3.8,--,--,12774
Punchbowl (Canterbury-Bankstown - NSW),38.0,221.0,1684.0,2146.0,1396.0,209.0,2.9,3.4,0.7,3.9,29.6,37.7,24.5,3.7,--,--,13273
Padstow,9.0,220.0,683.0,1965.0,1502.0,93.0,3.2,2.8,0.2,4.9,15.3,43.9,33.6,2.1,--,--,13120
Padstow Heights,5.0,84.0,151.0,510.0,459.0,24.0,3.2,2.7,0.4,6.8,12.2,41.4,37.2,1.9,--,--,13121
Panania,3.0,175.0,553.0,1783.0,1534.0,83.0,3.2,2.9,0.1,4.2,13.4,43.2,37.1,2.0,--,--,13144
East Hills,7.0,111.0,131.0,461.0,384.0,31.0,3.1,2.7,0.6,9.9,11.6,41.0,34.1,2.8,--,--,11351
Picnic Point,3.0,8.0,105.0,869.0,959.0,31.0,3.6,3.0,0.2,0.4,5.3,44.0,48.6,1.6,--,--,13199
Revesby Heights,0.0,3.0,38.0,205.0,266.0,5.0,3.5,3.1,0.0,0.6,7.4,39.7,51.5,1.0,--,--,13356
Birrong,12.0,23.0,135.0,416.0,297.0,23.0,3.2,3.2,1.3,2.5,14.9,45.9,32.8,2.5,--,--,10379
Belmore,19.0,211.0,1758.0,1419.0,736.0,107.0,2.7,2.8,0.4,5.0,41.4,33.4,17.3,2.5,--,--,10279
Belfield,6.0,106.0,508.0,871.0,549.0,46.0,3.0,2.9,0.3,5.1,24.4,41.8,26.3,2.2,--,--,10257
Campsie,43.0,503.0,4606.0,1602.0,971.0,238.0,2.4,2.9,0.5,6.3,57.8,20.1,12.2,3.0,--,--,10782
Canterbury (NSW),23.0,248.0,1167.0,708.0,379.0,65.0,2.5,2.6,0.9,9.6,45.1,27.3,14.6,2.5,--,--,10797
Clemton Park,3.0,31.0,87.0,260.0,119.0,13.0,3.0,2.9,0.6,6.0,17.0,50.7,23.2,2.5,--,--,10928
Earlwood,14.0,120.0,1219.0,2580.0,1693.0,130.0,3.1,2.9,0.2,2.1,21.2,44.8,29.4,2.3,--,--,11343
Kingsgrove,10.0,104.0,852.0,1951.0,1143.0,84.0,3.1,2.9,0.2,2.5,20.6,47.1,27.6,2.0,--,--,12158
Riverwood,97.0,437.0,1476.0,1555.0,663.0,155.0,2.6,2.6,2.2,10.0,33.7,35.5,15.1,3.5,--,--,13371
Roselands,5.0,114.0,921.0,1453.0,996.0,111.0,3.0,3.0,0.1,3.2,25.6,40.4,27.7,3.1,--,--,13409
Beverly Hills,8.0,135.0,709.0,1477.0,932.0,76.0,3.1,2.9,0.2,4.0,21.2,44.3,27.9,2.3,--,--,10331
Narwee,5.0,200.0,557.0,655.0,439.0,66.0,2.8,2.8,0.3,10.4,29.0,34.1,22.8,3.4,--,--,12912
Lakemba,40.0,237.0,3114.0,898.0,429.0,188.0,2.3,3.2,0.8,4.8,63.5,18.3,8.7,3.8,--,--,12257
Wiley Park,7.0,93.0,1913.0,616.0,336.0,121.0,2.4,3.1,0.2,3.0,62.0,20.0,10.9,3.9,--,--,14293
Hurstville,38.0,759.0,3879.0,2824.0,1768.0,247.0,2.7,3.0,0.4,8.0,40.8,29.7,18.6,2.6,--,--,11964
Carlton (NSW),5.0,125.0,1464.0,1199.0,697.0,117.0,2.8,2.9,0.1,3.5,40.6,33.2,19.3,3.2,--,--,10819
Penshurst (NSW),12.0,184.0,1868.0,1327.0,882.0,109.0,2.7,2.8,0.3,4.2,42.6,30.3,20.1,2.5,--,--,13186
Oatley,5.0,41.0,729.0,1314.0,1416.0,65.0,3.3,2.8,0.1,1.1,20.4,36.8,39.7,1.8,--,--,13064
Mortdale,0.0,174.0,1580.0,1122.0,797.0,76.0,2.8,2.6,0.0,4.6,42.1,29.9,21.3,2.0,--,--,12728
Peakhurst,30.0,170.0,470.0,1515.0,1180.0,81.0,3.2,2.8,0.9,4.9,13.6,44.0,34.2,2.4,--,--,13168
Hurstville Grove,0.0,6.0,67.0,303.0,436.0,12.0,3.6,3.2,0.0,0.7,8.1,36.8,52.9,1.5,--,--,11965
Lugarno,0.0,10.0,103.0,697.0,1020.0,25.0,3.7,3.0,0.0,0.5,5.6,37.6,55.0,1.3,--,--,12421
Peakhurst Heights,0.0,25.0,50.0,342.0,381.0,18.0,3.5,2.8,0.0,3.1,6.1,41.9,46.7,2.2,--,--,13169
South Hurstville,0.0,54.0,476.0,653.0,436.0,34.0,3.0,2.9,0.0,3.3,28.8,39.5,26.4,2.1,--,--,13587
Blakehurst,3.0,40.0,184.0,661.0,981.0,39.0,3.6,3.1,0.2,2.1,9.6,34.6,51.4,2.0,--,--,10403
Kyle Bay,0.0,0.0,14.0,94.0,201.0,4.0,3.9,3.1,0.0,0.0,4.5,30.0,64.2,1.3,--,--,12227
Connells Point,0.0,0.0,60.0,333.0,497.0,6.0,3.7,3.1,0.0,0.0,6.7,37.2,55.5,0.7,--,--,11013
Carss Park,0.0,27.0,63.0,146.0,184.0,3.0,3.3,2.9,0.0,6.4,14.9,34.5,43.5,0.7,--,--,10837
Arncliffe,23.0,249.0,1253.0,1158.0,653.0,109.0,2.7,2.9,0.7,7.2,36.4,33.6,19.0,3.2,--,--,10086
Wolli Creek,3.0,663.0,1449.0,257.0,14.0,87.0,1.8,2.4,0.1,26.8,58.6,10.4,0.6,3.5,--,--,14353
Turrella,8.0,63.0,254.0,261.0,159.0,22.0,2.8,3.1,1.0,8.2,33.1,34.0,20.7,2.9,--,--,13982
Bardwell Valley,0.0,50.0,120.0,357.0,228.0,24.0,3.1,2.9,0.0,6.4,15.4,45.8,29.3,3.1,--,--,10196
Bardwell Park,5.0,18.0,149.0,337.0,239.0,16.0,3.2,2.9,0.7,2.4,19.5,44.1,31.3,2.1,--,--,10195
Bexley,13.0,160.0,1952.0,2400.0,1379.0,141.0,2.9,2.9,0.2,2.6,32.3,39.7,22.8,2.3,--,--,10334
Kogarah,18.0,418.0,2915.0,1315.0,459.0,150.0,2.4,2.7,0.3,7.9,55.3,24.9,8.7,2.8,--,--,12181
Bexley North,5.0,78.0,325.0,597.0,354.0,32.0,3.0,2.8,0.4,5.6,23.4,42.9,25.4,2.3,--,--,10335
Allawah,9.0,68.0,1101.0,632.0,178.0,44.0,2.5,2.7,0.4,3.3,54.2,31.1,8.8,2.2,--,--,10038
Beverley Park,0.0,11.0,198.0,354.0,227.0,18.0,3.1,2.8,0.0,1.4,24.5,43.8,28.1,2.2,--,--,10330
Kogarah Bay,0.0,3.0,49.0,242.0,307.0,9.0,3.6,3.1,0.0,0.5,8.0,39.7,50.3,1.5,--,--,12182
Kyeemagh,0.0,3.0,49.0,148.0,98.0,6.0,3.2,2.8,0.0,1.0,16.1,48.7,32.2,2.0,--,--,12226
Brighton-le-Sands,28.0,245.0,1642.0,881.0,407.0,77.0,2.5,2.3,0.9,7.5,50.1,26.9,12.4,2.3,--,--,10569
Rockdale,28.0,433.0,2869.0,1151.0,571.0,164.0,2.4,2.8,0.5,8.3,55.0,22.1,10.9,3.1,--,--,13379
Monterey,0.0,43.0,681.0,562.0,370.0,32.0,2.8,2.5,0.0,2.5,40.3,33.3,21.9,1.9,--,--,12686
Banksia,3.0,15.0,259.0,510.0,245.0,27.0,3.0,3.0,0.3,1.4,24.5,48.2,23.1,2.5,--,--,10178
Sandringham (NSW),0.0,5.0,148.0,177.0,138.0,6.0,3.1,2.5,0.0,1.1,31.2,37.3,29.1,1.3,--,--,13478
Dolls Point,0.0,49.0,440.0,179.0,61.0,14.0,2.4,2.1,0.0,6.6,59.2,24.1,8.2,1.9,--,--,11267
Sans Souci,20.0,153.0,1179.0,1553.0,918.0,104.0,2.9,2.5,0.5,3.9,30.0,39.5,23.4,2.6,--,--,13489
Ramsgate,0.0,17.0,122.0,141.0,90.0,11.0,2.9,2.8,0.0,4.5,32.0,37.0,23.6,2.9,--,--,13309
Ramsgate Beach,3.0,33.0,346.0,248.0,64.0,19.0,2.5,2.1,0.4,4.6,48.5,34.8,9.0,2.7,--,--,13310
Concord,23.0,189.0,890.0,2032.0,1576.0,90.0,3.2,2.9,0.5,3.9,18.5,42.3,32.8,1.9,--,--,10999
Breakfast Point,0.0,292.0,780.0,550.0,105.0,21.0,2.3,2.2,0.0,16.7,44.6,31.5,6.0,1.2,--,--,10557
