,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Lillian Rock,3.0,19.0,30.0,22.0,16.0,0.0,2.3,1.9,3.3,21.1,33.3,24.4,17.8,0.0,--,--,12323
Fawcetts Plain,0.0,0.0,3.0,24.0,19.0,0.0,3.3,2.6,0.0,0.0,6.5,52.2,41.3,0.0,--,--,11498
New Park,4.0,3.0,6.0,17.0,27.0,4.0,3.1,2.3,6.6,4.9,9.8,27.9,44.3,6.6,--,--,12945
Homeleigh,0.0,0.0,10.0,24.0,7.0,0.0,2.8,2.0,0.0,0.0,24.4,58.5,17.1,0.0,--,--,11931
Cawongla,3.0,8.0,17.0,32.0,17.0,0.0,2.7,2.1,3.9,10.4,22.1,41.6,22.1,0.0,--,--,10864
Green Pigeon,0.0,5.0,17.0,22.0,14.0,0.0,3.0,2.1,0.0,8.6,29.3,37.9,24.1,0.0,--,--,11752
Collins Creek,0.0,0.0,13.0,20.0,5.0,3.0,2.9,2.0,0.0,0.0,31.7,48.8,12.2,7.3,--,--,10978
East Lismore,18.0,95.0,425.0,841.0,430.0,52.0,2.9,2.3,1.0,5.1,22.8,45.2,23.1,2.8,--,--,11358
Lismore (NSW),19.0,124.0,407.0,518.0,230.0,72.0,2.7,2.2,1.4,9.1,29.7,37.8,16.8,5.3,--,--,12344
Lismore Heights,0.0,21.0,138.0,509.0,219.0,11.0,3.1,2.2,0.0,2.3,15.4,56.7,24.4,1.2,--,--,12345
South Lismore,5.0,31.0,158.0,326.0,134.0,21.0,2.9,2.4,0.7,4.6,23.4,48.3,19.9,3.1,--,--,13589
Girards Hill,5.0,17.0,181.0,270.0,78.0,22.0,2.7,2.1,0.9,3.0,31.6,47.1,13.6,3.8,--,--,11631
Monaltrie,0.0,3.0,8.0,41.0,30.0,4.0,3.3,2.4,0.0,3.5,9.3,47.7,34.9,4.7,--,--,12674
North Lismore,5.0,8.0,54.0,145.0,72.0,8.0,3.0,2.3,1.7,2.7,18.5,49.7,24.7,2.7,--,--,12994
Loftville,20.0,56.0,38.0,5.0,11.0,7.0,1.5,1.4,14.6,40.9,27.7,3.6,8.0,5.1,--,--,12372
Modanville,0.0,5.0,17.0,71.0,107.0,3.0,3.5,2.7,0.0,2.5,8.4,35.0,52.7,1.5,--,--,12655
Clunes (NSW),0.0,5.0,31.0,138.0,123.0,6.0,3.4,2.6,0.0,1.7,10.2,45.5,40.6,2.0,--,--,10939
Terania Creek,0.0,9.0,24.0,28.0,12.0,3.0,2.7,2.4,0.0,11.8,31.6,36.8,15.8,3.9,--,--,13794
The Channon,7.0,10.0,20.0,63.0,42.0,0.0,2.8,2.5,4.9,7.0,14.1,44.4,29.6,0.0,--,--,13816
Koonorigan,0.0,5.0,14.0,63.0,42.0,0.0,3.2,2.3,0.0,4.0,11.3,50.8,33.9,0.0,--,--,12188
Rosebank,3.0,15.0,27.0,64.0,41.0,0.0,2.8,2.3,2.0,10.0,18.0,42.7,27.3,0.0,--,--,13401
Corndale (NSW),0.0,7.0,20.0,43.0,47.0,0.0,3.3,2.6,0.0,6.0,17.1,36.8,40.2,0.0,--,--,11076
East Coraki,4.0,9.0,12.0,30.0,26.0,0.0,2.9,2.5,4.9,11.1,14.8,37.0,32.1,0.0,--,--,11347
Tregeagle,0.0,0.0,6.0,58.0,88.0,0.0,3.7,2.7,0.0,0.0,3.9,38.2,57.9,0.0,--,--,13933
Wyrallah,0.0,3.0,7.0,57.0,72.0,4.0,3.6,2.8,0.0,2.1,4.9,39.9,50.3,2.8,--,--,14449
South Gundurimba,0.0,4.0,9.0,66.0,39.0,3.0,3.2,2.6,0.0,3.3,7.4,54.5,32.2,2.5,--,--,13585
Caniaba,0.0,4.0,11.0,69.0,118.0,3.0,3.7,2.9,0.0,2.0,5.4,33.7,57.6,1.5,--,--,10790
Blakebrook,0.0,0.0,4.0,24.0,23.0,0.0,3.4,2.6,0.0,0.0,7.8,47.1,45.1,0.0,--,--,10402
Booerie Creek,3.0,4.0,10.0,23.0,20.0,0.0,2.9,2.3,5.0,6.7,16.7,38.3,33.3,0.0,--,--,10475
Goolmangar,0.0,3.0,14.0,41.0,13.0,0.0,3.1,2.6,0.0,4.2,19.7,57.7,18.3,0.0,--,--,11708
Keerrong,0.0,3.0,7.0,17.0,19.0,4.0,3.1,2.8,0.0,6.0,14.0,34.0,38.0,8.0,--,--,12083
Tullera,0.0,0.0,18.0,38.0,34.0,0.0,3.2,2.6,0.0,0.0,20.0,42.2,37.8,0.0,--,--,13956
