,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Kelso (NSW),838.0,413.0,276.0,6823.0,9.3,4.6,3.1,76.1,12090
O'Connell (NSW),49.0,27.0,17.0,409.0,8.8,4.8,3.0,73.3,13052
Brewongle,18.0,8.0,5.0,84.0,14.4,6.4,4.0,67.2,10564
Trunkey Creek,9.0,5.0,0.0,95.0,7.4,4.1,0.0,78.5,13942
Perthville,41.0,28.0,22.0,478.0,6.6,4.5,3.6,77.3,13189
Sofala,23.0,4.0,11.0,72.0,17.2,3.0,8.2,53.7,13569
Wattle Flat (NSW),34.0,14.0,16.0,157.0,13.4,5.5,6.3,62.1,14191
Peel,28.0,14.0,20.0,195.0,9.7,4.9,6.9,67.7,13174
Limekilns,6.0,6.0,0.0,83.0,5.9,5.9,0.0,82.2,12330
Clear Creek,13.0,0.0,10.0,89.0,10.7,0.0,8.3,73.6,10925
Rockley,25.0,7.0,14.0,110.0,13.1,3.7,7.3,57.6,13380
Georges Plains,18.0,3.0,15.0,163.0,7.2,1.2,6.0,64.9,11602
Duramana,17.0,4.0,6.0,167.0,8.4,2.0,3.0,82.3,11330
Billywillinga,29.0,9.0,3.0,141.0,14.8,4.6,1.5,71.9,10357
Mount Rankin,31.0,12.0,28.0,286.0,8.1,3.1,7.3,74.7,12786
Rock Forest,14.0,18.0,8.0,154.0,6.7,8.6,3.8,73.3,13377
Evans Plains,20.0,4.0,7.0,123.0,11.8,2.4,4.1,72.8,11470
The Lagoon,17.0,8.0,9.0,163.0,8.2,3.9,4.3,78.7,13828
Wisemans Creek,8.0,9.0,3.0,82.0,7.0,7.9,2.6,71.9,14343
Yetholme,18.0,8.0,10.0,177.0,7.6,3.4,4.2,74.7,14513
Meadow Flat,48.0,30.0,16.0,201.0,15.1,9.4,5.0,63.2,12549
Tarana,14.0,13.0,10.0,112.0,8.5,7.9,6.1,67.9,13760
Glanmire (NSW),12.0,9.0,11.0,120.0,7.6,5.7,7.0,76.4,11640
Napoleon Reef,32.0,8.0,11.0,91.0,21.8,5.4,7.5,61.9,12893
Oberon,390.0,171.0,105.0,2202.0,12.0,5.3,3.2,67.8,13068
Black Springs (NSW),31.0,11.0,7.0,150.0,13.9,4.9,3.1,67.3,10389
Condobolin,162.0,76.0,87.0,2783.0,4.6,2.2,2.5,79.8,11002
Tullamore,16.0,20.0,8.0,336.0,3.8,4.7,1.9,79.2,13954
Lake Cargelligo,77.0,36.0,27.0,1119.0,5.2,2.4,1.8,76.1,12242
Tullibigeal,11.0,8.0,4.0,194.0,4.5,3.3,1.6,79.8,13957
Ungarie,26.0,19.0,12.0,432.0,4.7,3.4,2.2,77.7,14011
Euabalong,3.0,0.0,4.0,158.0,1.6,0.0,2.1,84.5,11449
Fifield,4.0,4.0,10.0,101.0,3.0,3.0,7.6,76.5,11514
Tottenham (NSW),24.0,8.0,10.0,325.0,5.3,1.8,2.2,71.9,13923
Cowra,776.0,370.0,294.0,7729.0,7.7,3.7,2.9,76.8,11099
Canowindra,135.0,89.0,52.0,1835.0,6.0,4.0,2.3,81.4,10796
Woodstock (Cowra - NSW),70.0,33.0,14.0,513.0,10.0,4.7,2.0,73.3,14394
Gooloogong,36.0,25.0,5.0,302.0,9.2,6.4,1.3,76.8,11709
Mandurama,42.0,17.0,14.0,247.0,11.6,4.7,3.9,68.2,12467
Wattamondara,12.0,8.0,4.0,181.0,5.7,3.8,1.9,85.4,14190
Darbys Falls,28.0,14.0,11.0,168.0,11.3,5.6,4.4,67.7,11205
Billimari,17.0,4.0,5.0,98.0,11.3,2.6,3.3,64.9,10354
Moorbel,14.0,8.0,9.0,185.0,6.2,3.5,4.0,81.9,12709
Forbes (NSW),409.0,240.0,167.0,6783.0,4.9,2.8,2.0,80.4,11536
Eugowra,39.0,40.0,22.0,628.0,5.0,5.1,2.8,79.8,11454
Warroo (NSW),3.0,4.0,4.0,106.0,2.4,3.2,3.2,85.5,14175
Bedgerabong,13.0,10.0,0.0,115.0,8.2,6.3,0.0,72.8,10247
Grenfell,192.0,84.0,94.0,2016.0,7.5,3.3,3.7,78.4,11776
Greenethorpe,22.0,10.0,10.0,143.0,9.2,4.2,4.2,59.8,11760
Quandialla,13.0,8.0,4.0,146.0,6.6,4.1,2.0,74.5,13290
Caragabal,4.0,3.0,6.0,145.0,2.2,1.7,3.3,80.6,10806
Parkes (NSW),783.0,403.0,296.0,8816.0,6.9,3.5,2.6,77.3,13151
Cookamidgera,12.0,11.0,0.0,119.0,7.6,7.0,0.0,75.3,11016
Peak Hill (NSW),79.0,46.0,35.0,814.0,7.2,4.2,3.2,73.9,13166
Trundle,41.0,22.0,9.0,528.0,6.0,3.2,1.3,77.8,13940
Bogan Gate,16.0,3.0,7.0,212.0,5.5,1.0,2.4,72.4,10438
Alectown,14.0,7.0,5.0,132.0,8.1,4.1,2.9,76.7,10029
West Wyalong,215.0,98.0,66.0,2351.0,6.8,3.1,2.1,74.6,14256
Wyalong,37.0,14.0,12.0,527.0,5.6,2.1,1.8,80.5,14431
Weethalle,14.0,13.0,3.0,200.0,5.6,5.2,1.2,80.3,14215
Tallimba,8.0,4.0,12.0,135.0,4.3,2.2,6.5,73.4,13732
Barellan,23.0,19.0,14.0,421.0,4.3,3.5,2.6,78.0,10197
Ardlethan,38.0,19.0,14.0,367.0,7.3,3.7,2.7,70.6,10076
Ariah Park,27.0,12.0,14.0,402.0,5.5,2.5,2.9,82.2,10081
Barmedman,27.0,20.0,3.0,363.0,5.9,4.4,0.7,79.8,10202
Beckom,7.0,3.0,0.0,104.0,5.4,2.3,0.0,80.6,10244
South Bowenfels,135.0,67.0,30.0,841.0,11.6,5.8,2.6,72.5,13578
Marrangaroo,39.0,20.0,8.0,374.0,4.3,2.2,0.9,41.2,12502
Lithgow,723.0,292.0,211.0,3545.0,13.9,5.6,4.1,68.2,12347
Bowenfels,212.0,100.0,65.0,1391.0,10.4,4.9,3.2,68.4,10529
Rydal,17.0,13.0,4.0,132.0,7.9,6.0,1.9,61.4,13452
Pottery Estate,18.0,11.0,0.0,83.0,13.3,8.1,0.0,61.5,13254
Oakey Park,37.0,17.0,7.0,230.0,11.7,5.4,2.2,72.6,13055
Morts Estate,58.0,39.0,23.0,446.0,9.1,6.2,3.6,70.3,12732
Hermitage Flat,47.0,29.0,26.0,218.0,13.4,8.3,7.4,62.1,11895
McKellars Park,26.0,16.0,9.0,161.0,11.3,6.9,3.9,69.7,12544
South Littleton,28.0,23.0,12.0,213.0,9.5,7.8,4.1,72.0,13590
Littleton,61.0,39.0,26.0,629.0,7.6,4.9,3.2,78.6,12360
Vale Of Clwydd,65.0,18.0,11.0,322.0,13.6,3.8,2.3,67.5,14064
Portland (NSW),214.0,111.0,64.0,1753.0,8.8,4.6,2.6,72.1,13250
Lidsdale,26.0,17.0,14.0,306.0,6.1,4.0,3.3,71.3,12318
Wallerawang,164.0,80.0,43.0,1452.0,8.3,4.0,2.2,73.4,14114
Little Hartley,116.0,45.0,23.0,287.0,22.4,8.7,4.4,55.4,12352
Hartley (NSW),47.0,31.0,6.0,297.0,11.4,7.5,1.4,71.7,11861
Clarence,33.0,6.0,16.0,121.0,16.3,3.0,7.9,59.9,10919
Glen Davis,20.0,4.0,3.0,63.0,17.9,3.6,2.7,56.2,11646
Cullen Bullen,14.0,12.0,9.0,155.0,5.0,4.3,3.2,55.8,11148
Megalong Valley,31.0,3.0,3.0,84.0,21.8,2.1,2.1,59.2,12557
Kanimbla (NSW),29.0,13.0,5.0,63.0,25.0,11.2,4.3,54.3,12065
Capertee,26.0,4.0,6.0,90.0,17.6,2.7,4.1,60.8,10802
Running Stream,16.0,4.0,5.0,85.0,11.8,2.9,3.7,62.5,13441
Mudgee,1005.0,468.0,350.0,8061.0,9.2,4.3,3.2,73.8,12812
Putta Bucca,23.0,3.0,18.0,153.0,10.2,1.3,8.0,68.0,13278
Bombira,37.0,15.0,16.0,263.0,10.4,4.2,4.5,74.1,10457
Burrundulla,3.0,3.0,3.0,113.0,2.1,2.1,2.1,78.5,10717
Spring Flat,13.0,8.0,3.0,153.0,6.5,4.0,1.5,76.5,13613
Kandos,140.0,60.0,49.0,888.0,10.6,4.6,3.7,67.4,12057
Rylstone,111.0,43.0,38.0,659.0,11.9,4.6,4.1,70.9,13457
Ilford,13.0,12.0,11.0,117.0,7.0,6.5,5.9,63.2,11971
Clandulla,22.0,7.0,5.0,129.0,11.4,3.6,2.6,66.8,10916
Charbon,15.0,5.0,3.0,90.0,11.8,3.9,2.4,70.9,10883
Lue,16.0,13.0,9.0,130.0,8.2,6.6,4.6,66.3,12420
Gulgong,184.0,87.0,85.0,1869.0,7.3,3.5,3.4,74.3,11794
Dunedoo,75.0,37.0,19.0,878.0,6.2,3.1,1.6,72.4,11316
Leadville,16.0,4.0,4.0,103.0,9.1,2.3,2.3,58.9,12290
Cassilis (NSW),35.0,9.0,16.0,225.0,11.5,3.0,5.3,74.0,10844
Tallawang,4.0,7.0,6.0,108.0,2.4,4.2,3.6,65.1,13731
Beryl,5.0,5.0,6.0,98.0,3.8,3.8,4.5,74.2,10327
Stubbo,19.0,11.0,7.0,160.0,8.3,4.8,3.1,70.2,13682
Cope,15.0,13.0,7.0,64.0,11.6,10.1,5.4,49.6,11057
Yarrawonga (NSW),51.0,25.0,20.0,272.0,12.1,6.0,4.8,64.8,14486
Piambong,10.0,5.0,16.0,107.0,6.4,3.2,10.3,68.6,13197
Cooks Gap,65.0,15.0,23.0,365.0,12.1,2.8,4.3,68.1,11018
Frog Rock,23.0,7.0,7.0,106.0,15.0,4.6,4.6,69.3,11570
Cooyal,15.0,10.0,3.0,78.0,13.5,9.0,2.7,70.3,11055
St Fillans,27.0,11.0,9.0,172.0,11.3,4.6,3.8,72.3,13634
Eurunderee,14.0,11.0,3.0,124.0,8.6,6.7,1.8,76.1,11467
Budgee Budgee (NSW),6.0,15.0,8.0,151.0,3.1,7.7,4.1,77.4,10641
Kains Flat,34.0,12.0,6.0,105.0,20.1,7.1,3.6,62.1,12049
Menah,10.0,0.0,3.0,118.0,6.7,0.0,2.0,78.7,12566
Grattai,40.0,29.0,21.0,209.0,12.2,8.9,6.4,63.9,11741
Hargraves,29.0,12.0,10.0,191.0,10.8,4.5,3.7,71.3,11854
Windeyer (NSW),29.0,19.0,4.0,100.0,16.2,10.6,2.2,55.9,14322
Bocoble,17.0,9.0,6.0,92.0,11.4,6.0,4.0,61.7,10432
Mount Frome,13.0,7.0,3.0,92.0,9.8,5.3,2.3,69.7,12760
Buckaroo,25.0,5.0,4.0,90.0,19.4,3.9,3.1,69.8,10630
Blayney,241.0,144.0,90.0,2626.0,7.1,4.3,2.7,77.7,10410
Millthorpe,88.0,56.0,56.0,962.0,7.0,4.4,4.4,76.3,12623
Carcoar,29.0,20.0,6.0,217.0,9.9,6.8,2.1,74.3,10808
Lyndhurst (Blayney - NSW),26.0,7.0,11.0,299.0,7.2,1.9,3.1,83.1,12426
Forest Reefs,28.0,34.0,13.0,420.0,5.3,6.5,2.5,80.2,11547
Neville,23.0,15.0,3.0,170.0,9.5,6.2,1.2,70.0,12937
Barry (Blayney - NSW),9.0,0.0,3.0,139.0,5.5,0.0,1.8,84.8,10218
Newbridge (NSW),20.0,8.0,7.0,130.0,10.8,4.3,3.8,69.9,12948
Orange,4593.0,1851.0,1173.0,27657.0,12.1,4.9,3.1,72.6,13092
Clifton Grove,74.0,26.0,35.0,676.0,8.7,3.1,4.1,79.9,10934
Cumnock,45.0,17.0,13.0,343.0,10.0,3.8,2.9,76.2,11159
Cudal,45.0,25.0,23.0,441.0,8.0,4.5,4.1,78.8,11140
Molong,194.0,110.0,96.0,1975.0,7.5,4.3,3.7,76.7,12671
Manildra,30.0,12.0,14.0,614.0,4.0,1.6,1.8,80.9,12473
Cargo,38.0,19.0,16.0,474.0,6.4,3.2,2.7,79.9,10813
Spring Terrace,12.0,5.0,3.0,99.0,9.3,3.9,2.3,76.7,13620
Springside (NSW),39.0,20.0,10.0,223.0,12.9,6.6,3.3,73.8,13626
Spring Hill (Cabonne - NSW),39.0,24.0,22.0,377.0,7.7,4.7,4.3,74.2,13615
Guyong,11.0,5.0,5.0,83.0,8.5,3.9,3.9,64.3,11821
Emu Swamp,18.0,3.0,9.0,116.0,11.1,1.9,5.6,71.6,11419
Lewis Ponds,12.0,3.0,0.0,113.0,8.2,2.0,0.0,76.9,12312
Lucknow (NSW),14.0,16.0,5.0,238.0,4.7,5.4,1.7,80.1,12418
Spring Creek (NSW),14.0,6.0,12.0,95.0,10.4,4.5,9.0,70.9,13611
Huntley (Orange - NSW),12.0,10.0,9.0,120.0,7.7,6.5,5.8,77.4,11958
Canobolas,65.0,20.0,22.0,350.0,13.6,4.2,4.6,73.2,10793
Clergate,3.0,0.0,0.0,190.0,1.5,0.0,0.0,93.6,10929
March,3.0,8.0,0.0,96.0,2.7,7.3,0.0,87.3,12486
Summer Hill Creek,33.0,4.0,7.0,161.0,15.3,1.9,3.2,74.5,13688
Mullion Creek,46.0,27.0,20.0,427.0,8.2,4.8,3.6,75.8,12826
Nashdale,44.0,16.0,19.0,302.0,10.8,3.9,4.7,74.0,12913
Windera (NSW),31.0,21.0,22.0,220.0,10.2,6.9,7.2,72.4,14319
Lidster,31.0,15.0,16.0,213.0,10.3,5.0,5.3,71.0,12319
Borenore,30.0,19.0,10.0,359.0,6.5,4.1,2.2,78.0,10513
Yeoval,35.0,7.0,13.0,332.0,8.3,1.7,3.1,78.3,14507
Grafton,673.0,425.0,303.0,7925.0,6.5,4.1,2.9,76.2,11733
Rushforth,30.0,7.0,7.0,185.0,12.4,2.9,2.9,76.4,13446
Great Marlow,21.0,6.0,5.0,145.0,11.0,3.1,2.6,75.9,11745
South Grafton,387.0,232.0,178.0,4812.0,6.4,3.8,2.9,79.4,13582
Junction Hill,76.0,60.0,32.0,1149.0,5.5,4.4,2.3,83.7,12045
Carrs Creek,4.0,3.0,9.0,112.0,3.1,2.3,6.9,85.5,10834
Tucabia,30.0,14.0,12.0,283.0,8.0,3.7,3.2,75.5,13945
Ulmarra,38.0,29.0,20.0,626.0,4.9,3.7,2.6,79.9,14004
Ramornie,32.0,15.0,13.0,126.0,15.2,7.1,6.2,60.0,13308
Nymboida,54.0,26.0,5.0,190.0,17.9,8.6,1.7,63.1,13048
Blaxlands Creek,11.0,3.0,5.0,88.0,9.6,2.6,4.4,77.2,10408
Glenreagh,86.0,68.0,32.0,609.0,9.6,7.6,3.6,68.2,11675
Wells Crossing,25.0,4.0,3.0,107.0,16.0,2.6,1.9,68.6,14223
Kungala,21.0,5.0,0.0,97.0,15.0,3.6,0.0,69.3,12212
Wooli,46.0,14.0,10.0,320.0,10.9,3.3,2.4,76.0,14403
Halfway Creek,29.0,21.0,8.0,170.0,11.3,8.2,3.1,66.4,11831
Copmanhurst,41.0,14.0,17.0,192.0,13.9,4.7,5.8,65.1,11060
Whiteman Creek,15.0,10.0,4.0,116.0,9.3,6.2,2.5,71.6,14277
The Whiteman,11.0,6.0,6.0,112.0,8.1,4.4,4.4,83.0,13843
Waterview Heights,101.0,56.0,26.0,1085.0,7.6,4.2,2.0,81.7,14186
Lawrence (NSW),101.0,53.0,34.0,763.0,9.7,5.1,3.3,73.6,12288
Eatonsville,19.0,3.0,9.0,177.0,8.9,1.4,4.2,83.1,11370
Seelands,37.0,10.0,24.0,297.0,8.9,2.4,5.8,71.2,13515
Mountain View (NSW),9.0,5.0,3.0,146.0,4.8,2.7,1.6,78.1,12808
Southgate,15.0,15.0,0.0,146.0,8.0,8.0,0.0,77.7,13604
Lower Southgate,9.0,4.0,0.0,93.0,8.1,3.6,0.0,83.8,12413
Ashby Heights,24.0,10.0,11.0,168.0,10.2,4.2,4.7,71.2,10095
Tullymorgan,7.0,12.0,5.0,88.0,5.3,9.0,3.8,66.2,13960
Ashby (NSW),54.0,9.0,16.0,227.0,16.7,2.8,4.9,70.1,10094
South Arm (Clarence Valley - NSW),27.0,11.0,6.0,177.0,11.4,4.7,2.5,75.0,13574
Woodford Island,18.0,12.0,3.0,195.0,7.4,4.9,1.2,79.9,14384
Brushgrove,18.0,8.0,10.0,145.0,9.2,4.1,5.1,74.0,10622
Elland,39.0,15.0,14.0,230.0,11.5,4.4,4.1,68.0,11399
Coutts Crossing,73.0,46.0,44.0,819.0,6.9,4.3,4.2,77.4,11094
Kremnos,29.0,10.0,5.0,115.0,16.7,5.7,2.9,66.1,12204
Lanitza,29.0,25.0,12.0,204.0,9.8,8.4,4.1,68.9,12270
Braunstone,18.0,15.0,10.0,222.0,6.1,5.1,3.4,75.5,10550
Glenugie,23.0,11.0,6.0,149.0,11.0,5.3,2.9,71.3,11681
Clarenza,49.0,30.0,17.0,411.0,8.9,5.5,3.1,75.0,10922
Swan Creek (NSW),10.0,4.0,5.0,83.0,9.4,3.8,4.7,78.3,13706
Pillar Valley,41.0,8.0,15.0,216.0,13.0,2.5,4.8,68.6,13204
Minnie Water,19.0,19.0,15.0,155.0,8.3,8.3,6.5,67.4,12640
Tyndale,13.0,3.0,8.0,142.0,7.2,1.7,4.4,78.5,13997
Ilarwill,23.0,8.0,4.0,167.0,10.7,3.7,1.9,78.0,11970
Yamba (NSW),819.0,329.0,235.0,4187.0,13.5,5.4,3.9,68.9,14458
Gulmarrad,186.0,118.0,70.0,1234.0,11.0,7.0,4.1,72.8,11795
Angourie,29.0,9.0,14.0,148.0,12.9,4.0,6.2,66.1,10059
Brooms Head,23.0,14.0,6.0,163.0,10.8,6.6,2.8,76.9,10603
Wooloweyah,48.0,20.0,19.0,276.0,11.8,4.9,4.7,68.0,14411
Woombah,95.0,46.0,36.0,569.0,11.3,5.5,4.3,67.7,14414
Maclean,249.0,120.0,77.0,1946.0,9.5,4.6,2.9,74.1,12431
Iluka (NSW),181.0,76.0,62.0,1253.0,10.5,4.4,3.6,73.0,11975
Harwood,9.0,13.0,8.0,239.0,3.1,4.5,2.8,83.0,11865
Chatsworth (NSW),12.0,6.0,11.0,114.0,7.6,3.8,7.0,72.2,10894
Townsend,69.0,52.0,25.0,685.0,7.8,5.8,2.8,77.0,13928
Palmers Channel,15.0,8.0,5.0,86.0,12.4,6.6,4.1,71.1,13135
James Creek,24.0,13.0,13.0,151.0,11.1,6.0,6.0,69.6,11999
Palmers Island,42.0,32.0,17.0,337.0,9.1,6.9,3.7,72.9,13136
Bellingen,663.0,325.0,222.0,2309.0,17.5,8.6,5.9,61.1,10273
Brierfield,70.0,21.0,14.0,210.0,20.5,6.2,4.1,61.6,10568
Fernmount,38.0,32.0,15.0,241.0,10.7,9.0,4.2,67.7,11509
Darkwood,35.0,19.0,3.0,98.0,19.9,10.8,1.7,55.7,11210
Thora,37.0,25.0,12.0,223.0,11.2,7.6,3.6,67.8,13849
Gleniffer,82.0,26.0,20.0,209.0,22.7,7.2,5.5,57.9,11668
Valery,25.0,4.0,0.0,99.0,18.9,3.0,0.0,75.0,14066
Kalang,55.0,23.0,18.0,132.0,21.2,8.9,6.9,51.0,12050
Coffs Harbour,4748.0,1498.0,1084.0,16016.0,18.4,5.8,4.2,62.2,10959
North Boambee Valley,373.0,114.0,71.0,1144.0,18.7,5.7,3.6,57.3,12983
Coramba,90.0,56.0,26.0,575.0,11.1,6.9,3.2,70.8,11065
Nana Glen,121.0,70.0,57.0,721.0,11.5,6.6,5.4,68.3,12889
Upper Orara,147.0,41.0,30.0,509.0,18.1,5.0,3.7,62.5,14041
Bucca (NSW),75.0,20.0,35.0,383.0,13.6,3.6,6.3,69.4,10625
Karangi,70.0,36.0,25.0,376.0,12.0,6.2,4.3,64.4,12072
Megan,19.0,5.0,5.0,98.0,13.1,3.4,3.4,67.6,12558
Ulong,29.0,7.0,8.0,138.0,12.3,3.0,3.4,58.5,14005
Lowanna,28.0,23.0,10.0,233.0,7.8,6.4,2.8,64.9,12398
Dorrigo,150.0,81.0,63.0,842.0,12.5,6.8,5.3,70.3,11278
Deer Vale,14.0,3.0,6.0,122.0,8.9,1.9,3.8,77.2,11232
Fernbrook,16.0,7.0,0.0,81.0,13.7,6.0,0.0,69.2,11506
Hernani,4.0,4.0,4.0,100.0,3.1,3.1,3.1,78.1,11896
Bostobrick,15.0,13.0,6.0,96.0,10.9,9.4,4.3,69.6,10516
North Dorrigo,19.0,8.0,4.0,141.0,10.1,4.2,2.1,74.6,12989
Sapphire Beach,425.0,127.0,133.0,1259.0,20.5,6.1,6.4,60.6,13491
Emerald Beach,378.0,177.0,115.0,1462.0,16.9,7.9,5.2,65.5,11411
Korora,482.0,165.0,116.0,1550.0,19.3,6.6,4.6,62.0,12197
Moonee Beach,259.0,129.0,92.0,1345.0,13.4,6.7,4.8,69.5,12703
Toormina,767.0,417.0,250.0,4317.0,12.4,6.7,4.0,69.7,13912
Boambee East,652.0,336.0,193.0,3763.0,12.4,6.4,3.7,71.8,10422
Boambee,286.0,109.0,73.0,1092.0,17.2,6.6,4.4,65.6,10421
Sawtell,476.0,234.0,147.0,2605.0,12.9,6.4,4.0,70.8,13498
Bonville,376.0,152.0,113.0,1769.0,14.7,6.0,4.4,69.3,10474
Bundagen,36.0,15.0,14.0,56.0,26.5,11.0,10.3,41.2,10669
Mylestom,30.0,15.0,12.0,268.0,8.8,4.4,3.5,79.1,12875
Raleigh,83.0,44.0,32.0,448.0,12.8,6.8,4.9,69.0,13307
Urunga,276.0,181.0,124.0,2177.0,9.2,6.0,4.1,72.5,14061
Repton,80.0,55.0,35.0,433.0,12.4,8.5,5.4,67.1,13352
Valla,124.0,45.0,52.0,638.0,13.2,4.8,5.5,67.9,14067
Woolgoolga,1480.0,256.0,253.0,2836.0,28.0,4.8,4.8,53.7,14402
Safety Beach (NSW),183.0,67.0,24.0,619.0,19.6,7.2,2.6,66.4,13462
Sandy Beach,318.0,135.0,124.0,1558.0,13.9,5.9,5.4,68.0,13479
Upper Corindi,21.0,4.0,3.0,107.0,13.8,2.6,2.0,70.4,14020
Corindi Beach,222.0,89.0,77.0,1179.0,13.2,5.3,4.6,70.3,11073
Red Rock,46.0,23.0,15.0,310.0,10.7,5.3,3.5,72.1,13334
Arrawarra,90.0,28.0,16.0,319.0,17.4,5.4,3.1,61.8,10088
Arrawarra Headland,74.0,30.0,27.0,377.0,13.6,5.5,5.0,69.4,10089
Mullaway,63.0,29.0,36.0,388.0,11.0,5.1,6.3,67.7,12822
Bourke,94.0,60.0,29.0,1362.0,4.9,3.1,1.5,71.1,10522
Wanaaring,5.0,4.0,3.0,79.0,3.5,2.8,2.1,55.2,14126
North Bourke,17.0,7.0,5.0,191.0,5.8,2.4,1.7,65.4,12985
Enngonia,0.0,0.0,0.0,123.0,0.0,0.0,0.0,84.8,11426
Brewarrina,30.0,26.0,16.0,939.0,2.6,2.3,1.4,81.3,10563
Cobar,381.0,148.0,135.0,2785.0,9.6,3.7,3.4,69.9,10949
Coonamble,102.0,42.0,45.0,2099.0,3.7,1.5,1.6,76.2,11044
Gulargambone,18.0,14.0,7.0,449.0,3.0,2.4,1.2,75.7,11792
Quambone,6.0,9.0,3.0,127.0,3.5,5.3,1.8,74.7,13287
Nyngan,137.0,48.0,43.0,1718.0,6.4,2.2,2.0,79.6,13049
Nevertire,15.0,5.0,10.0,128.0,8.3,2.8,5.6,71.1,12936
Warren,85.0,39.0,19.0,1116.0,6.1,2.8,1.4,80.6,14171
Hermidale,6.0,0.0,4.0,107.0,4.5,0.0,3.0,79.9,11894
Ravenswood (NSW),17.0,18.0,6.0,370.0,3.4,3.6,1.2,73.4,13321
Cumborah,21.0,11.0,10.0,133.0,8.6,4.5,4.1,54.5,11158
Goodooga,4.0,9.0,0.0,227.0,1.6,3.6,0.0,91.9,11702
Carinda,6.0,4.0,0.0,136.0,3.7,2.5,0.0,84.5,10814
Pilliga,7.0,4.0,3.0,165.0,3.3,1.9,1.4,78.9,13205
Come By Chance,3.0,3.0,8.0,103.0,2.3,2.3,6.0,77.4,10993
Walgett,123.0,54.0,23.0,1636.0,5.7,2.5,1.1,76.2,14096
Burren Junction,15.0,9.0,5.0,215.0,5.5,3.3,1.8,79.3,10710
Lightning Ridge,481.0,85.0,59.0,1354.0,21.1,3.7,2.6,59.4,12320
Collarenebri,25.0,17.0,7.0,543.0,3.8,2.6,1.1,83.5,10969
Rowena,5.0,7.0,0.0,134.0,2.9,4.0,0.0,77.5,13431
Broken Hill,1093.0,681.0,384.0,13885.0,6.1,3.8,2.2,77.9,10592
White Cliffs,9.0,5.0,3.0,120.0,6.1,3.4,2.0,81.1,14274
Menindee,24.0,20.0,10.0,399.0,4.3,3.6,1.8,72.2,12571
Wilcannia,29.0,11.0,12.0,581.0,3.9,1.5,1.6,78.2,14290
Tibooburra,9.0,8.0,5.0,99.0,6.7,6.0,3.7,73.9,13860
Pooncarie,9.0,4.0,3.0,115.0,5.3,2.4,1.8,67.6,13242
Ivanhoe (NSW),11.0,14.0,6.0,185.0,3.3,4.2,1.8,56.1,11991
Baradine,45.0,25.0,17.0,626.0,5.9,3.3,2.2,81.4,10190
Coonabarabran,239.0,134.0,93.0,2478.0,7.3,4.1,2.8,75.4,11043
Binnaway,67.0,30.0,13.0,441.0,10.9,4.9,2.1,71.8,10372
Mendooran,48.0,27.0,14.0,411.0,8.5,4.8,2.5,72.9,12570
Coolah,85.0,45.0,40.0,960.0,6.6,3.5,3.1,74.9,11024
Bugaldie,11.0,3.0,3.0,110.0,7.9,2.2,2.2,79.1,10646
Ulamambri,14.0,3.0,3.0,158.0,6.7,1.4,1.4,75.6,14001
Tambar Springs,9.0,19.0,6.0,123.0,4.6,9.6,3.0,62.4,13743
Merrygoen,6.0,0.0,0.0,93.0,5.3,0.0,0.0,82.3,12587
Dubbo,3593.0,1393.0,976.0,29924.0,9.2,3.6,2.5,76.8,11296
Terramungamine,13.0,9.0,7.0,222.0,4.8,3.3,2.6,82.2,13801
Brocklehurst,12.0,6.0,11.0,297.0,3.3,1.6,3.0,81.6,10583
Wongarbon,42.0,31.0,26.0,600.0,5.5,4.0,3.4,77.9,14373
Elong Elong,13.0,7.0,5.0,86.0,10.8,5.8,4.2,71.7,11406
Gollan,3.0,5.0,4.0,80.0,2.4,3.9,3.1,63.0,11694
Eumungerie,20.0,15.0,5.0,223.0,6.8,5.1,1.7,75.3,11456
Minore,17.0,11.0,3.0,113.0,11.6,7.5,2.0,76.9,12641
Ballimore,3.0,3.0,6.0,145.0,1.6,1.6,3.1,75.5,10161
Gilgandra,159.0,107.0,49.0,2511.0,5.1,3.4,1.6,80.4,11619
Collie (NSW),6.0,3.0,3.0,151.0,3.1,1.6,1.6,79.1,10975
Armatree,10.0,0.0,3.0,125.0,6.5,0.0,1.9,80.6,10084
Curban,3.0,5.0,11.0,97.0,2.3,3.8,8.4,74.0,11166
Tooraweenah,11.0,6.0,12.0,182.0,4.9,2.7,5.3,80.5,13911
Narromine,204.0,140.0,96.0,3791.0,4.4,3.0,2.1,81.0,12911
Burroway,5.0,0.0,3.0,93.0,4.2,0.0,2.5,77.5,10715
Trangie,53.0,29.0,25.0,934.0,4.5,2.4,2.1,78.8,13932
Tomingley,23.0,13.0,3.0,221.0,7.7,4.4,1.0,74.4,13896
Wellington (NSW),238.0,133.0,108.0,3085.0,5.8,3.3,2.6,75.5,14221
Mumbil,37.0,8.0,13.0,198.0,12.6,2.7,4.4,67.3,12832
Stuart Town,15.0,15.0,5.0,173.0,6.2,6.2,2.1,71.8,13680
Euchareena,11.0,15.0,9.0,127.0,5.6,7.7,4.6,65.1,11452
Neurea,6.0,6.0,3.0,93.0,4.6,4.6,2.3,71.5,12933
Mount Arthur,19.0,9.0,3.0,123.0,11.0,5.2,1.7,71.5,12747
