,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Windellama,64.0,13.0,11.0,222.0,18.1,3.7,3.1,62.7,14318
Bigga,10.0,7.0,3.0,179.0,4.1,2.9,1.2,74.0,10346
Tirrannaville,29.0,13.0,6.0,161.0,12.4,5.6,2.6,68.8,13883
Lake Bathurst,51.0,17.0,4.0,123.0,21.7,7.2,1.7,52.3,12239
Quialigo,44.0,11.0,9.0,181.0,16.9,4.2,3.5,69.6,13297
Laggan,23.0,5.0,14.0,292.0,6.4,1.4,3.9,81.8,12235
Grabben Gullen,14.0,8.0,9.0,176.0,5.4,3.1,3.5,68.0,11731
Parkesbourne,21.0,9.0,4.0,125.0,12.6,5.4,2.4,74.9,13152
Yarra,11.0,5.0,4.0,132.0,6.3,2.9,2.3,75.4,14468
Crookwell,178.0,88.0,72.0,2101.0,6.8,3.3,2.7,79.9,11123
Bungonia,89.0,24.0,14.0,219.0,23.8,6.4,3.7,58.6,10685
Collector,40.0,18.0,9.0,225.0,12.7,5.7,2.8,71.2,10972
Middle Arm,36.0,13.0,15.0,271.0,10.3,3.7,4.3,77.9,12599
Taralga,30.0,12.0,18.0,360.0,6.5,2.6,3.9,78.3,13759
Tarlo,25.0,6.0,6.0,118.0,14.7,3.5,3.5,69.4,13767
Wayo,13.0,6.0,7.0,82.0,10.9,5.0,5.9,68.9,14204
Kingsdale,22.0,12.0,0.0,131.0,12.6,6.9,0.0,74.9,12155
Bannister (NSW),16.0,6.0,5.0,93.0,12.7,4.8,4.0,73.8,10183
Brayton,33.0,16.0,3.0,96.0,19.1,9.2,1.7,55.5,10554
Greenwich Park,20.0,4.0,0.0,73.0,18.2,3.6,0.0,66.4,11771
Tallong,177.0,53.0,31.0,509.0,21.7,6.5,3.8,62.5,13733
Carrick (NSW),13.0,6.0,12.0,89.0,9.6,4.4,8.8,65.4,10828
Brisbane Grove,22.0,3.0,8.0,86.0,16.8,2.3,6.1,65.6,10577
Binda,17.0,15.0,10.0,192.0,6.1,5.4,3.6,69.1,10363
Towrang,18.0,3.0,3.0,131.0,10.5,1.7,1.7,76.2,13930
Mummel,21.0,4.0,9.0,65.0,18.9,3.6,8.1,58.6,12835
Baw Baw (NSW),31.0,15.0,10.0,176.0,11.8,5.7,3.8,67.2,10234
Boxers Creek,37.0,8.0,4.0,161.0,16.2,3.5,1.7,70.3,10541
Gundary,36.0,14.0,17.0,198.0,13.0,5.1,6.1,71.5,11806
Yass,633.0,368.0,277.0,4769.0,9.7,5.7,4.3,73.4,14493
Bookham,9.0,5.0,5.0,122.0,5.5,3.0,3.0,74.4,10478
Binalong,52.0,40.0,26.0,395.0,9.5,7.3,4.7,71.8,10362
Jugiong,19.0,9.0,4.0,165.0,8.6,4.1,1.8,74.3,12044
Galong,14.0,15.0,12.0,159.0,6.2,6.7,5.3,70.7,11580
Manton (NSW),40.0,22.0,19.0,190.0,13.7,7.5,6.5,64.8,12481
Yass River,59.0,33.0,15.0,212.0,17.0,9.5,4.3,61.1,14494
Rye Park,15.0,12.0,5.0,200.0,5.8,4.6,1.9,77.2,13455
Dalton,16.0,13.0,3.0,151.0,8.3,6.7,1.6,78.2,11194
Gundaroo,187.0,103.0,72.0,712.0,16.2,8.9,6.3,61.9,11805
Bowning,65.0,22.0,18.0,416.0,11.5,3.9,3.2,73.5,10535
Bellmount Forest,25.0,8.0,5.0,74.0,21.6,6.9,4.3,63.8,10274
Gunning,61.0,28.0,29.0,496.0,9.3,4.3,4.4,75.5,11813
Lade Vale,13.0,7.0,3.0,92.0,11.0,5.9,2.5,78.0,12232
Good Hope,7.0,9.0,4.0,122.0,4.2,5.5,2.4,73.9,11700
Wallaroo (NSW),141.0,44.0,52.0,392.0,19.8,6.2,7.3,55.0,14112
Murrumbateman,539.0,239.0,196.0,2059.0,16.7,7.4,6.1,63.9,12860
Springrange,46.0,22.0,20.0,195.0,15.3,7.3,6.7,65.0,13625
Jeir,36.0,18.0,9.0,178.0,14.0,7.0,3.5,69.3,12004
Marchmont,26.0,14.0,10.0,166.0,11.7,6.3,4.5,74.4,12487
Nanima,25.0,16.0,12.0,115.0,14.5,9.2,6.9,66.5,12891
Young,775.0,414.0,317.0,7999.0,7.5,4.0,3.1,77.6,14518
Kingsvale,21.0,3.0,10.0,128.0,12.0,1.7,5.7,73.1,12161
Burrangong,26.0,14.0,4.0,179.0,11.4,6.1,1.8,78.5,10706
Wyangala,25.0,8.0,5.0,116.0,14.4,4.6,2.9,66.7,14434
Wombat,14.0,13.0,7.0,177.0,6.2,5.8,3.1,78.3,14364
Cunningar,12.0,4.0,3.0,114.0,8.2,2.7,2.1,78.1,11164
Harden,174.0,50.0,55.0,1630.0,8.6,2.5,2.7,80.2,11851
Boorowa,109.0,57.0,45.0,1299.0,6.6,3.5,2.7,79.1,10503
