,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
Cardiff,"1,468",,"1,501",910,,235,,460,,,,,,,,,,,25.3,,25.9,15.7,,4.1,,7.9,,,,,,,,,,
Cardiff Heights,732,,639,379,,92,,249,,,,,,,,,,,27.2,,23.8,14.1,,3.4,,9.3,,,,,,,,,,
Cardiff South,658,,807,424,,111,,256,,,,,,,,,,,22.8,,28.0,14.7,,3.9,,8.9,,,,,,,,,,
Caringbah,"6,767",,"5,896","2,598",,762,,"1,024",,,,,,,,,,,31.8,,27.7,12.2,,3.6,,4.8,,,,,,,,,,
Carlingford,"4,992",,"3,520","4,166",,,,"1,129",,,"1,176",,,,,,,,23.4,,16.5,19.5,,,,5.3,,,5.5,,,,,,,
Carlton,"2,105","1,844","1,012","1,373",,,,,584,,,,,,,,,,21.8,19.1,10.5,14.3,,,,,6.1,,,,,,,,,
Carramar,868,,229,257,,,,,242,,539,,,,,,,,29.3,,7.7,8.7,,,,,8.2,,18.2,,,,,,,
Carrington,419,,470,358,,56,,78,,,,,,,,,,,23.3,,26.2,19.9,,3.1,,4.3,,,,,,,,,,
Carss Park,357,242,236,103,,,,47,,,,,,,,,,,29.4,19.9,19.4,8.5,,,,3.9,,,,,,,,,,
Cartwright,518,,398,158,,,,,228,,156,,,,,,,,24.9,,19.1,7.6,,,,,10.9,,7.5,,,,,,,
Castle Cove,659,,479,416,,,,84,,,,,,,117,,,,27.7,,20.1,17.5,,,,3.5,,,,,,,4.9,,,
Castle Hill,"11,591",,"7,756","4,113",,"1,081",,"1,697",,,,,,,,,,,32.8,,21.9,11.6,,3.1,,4.8,,,,,,,,,,
Castlecrag,748,,737,548,,,,106,,,,,,,99,,,,26.6,,26.3,19.5,,,,3.8,,,,,,,3.5,,,
Casula,"4,784","1,154","1,458",852,,,,,"1,371",,,,,,,,,,36.2,8.7,11.0,6.5,,,,,10.4,,,,,,,,,
Caves Beach,"1,166",,"1,091",614,,182,,344,,,,,,,,,,,28.2,,26.3,14.8,,4.4,,8.3,,,,,,,,,,
Cecil Hills,"3,279",583,348,297,,,,,,,646,,,,,,,,48.4,8.6,5.1,4.4,,,,,,,9.5,,,,,,,
Centennial Park,531,53,324,443,,,,,,,,,,,120,,,,24.8,2.5,15.2,20.7,,,,,,,,,,,5.6,,,
Charlestown,"3,188",,"2,868","1,758",,466,,992,,,,,,,,,,,27.2,,24.5,15.0,,4.0,,8.5,,,,,,,,,,
Charmhaven,522,,709,359,,69,,110,,,,,,,,,,,23.6,,32.1,16.2,,3.1,,5.0,,,,,,,,,,
Chatswood,"3,054",,"1,413","3,327",,598,,,,,"1,095",,,,,,,,22.6,,10.5,24.6,,4.4,,,,,8.1,,,,,,,
Chatswood West,"1,802",,"1,358","1,888",,,,306,,,322,,,,,,,,23.2,,17.5,24.3,,,,3.9,,,4.1,,,,,,,
