,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
South Turramurra,672,,791,483,,113,,263,,,,,,,,,,,22.4,,26.3,16.1,,3.8,,8.8,,,,,,,,,,
South Wentworthville,"2,100",260,811,399,,,,,437,,,,,,,,,,40.7,5.0,15.7,7.7,,,,,8.5,,,,,,,,,
Speers Point,760,,830,473,,148,,305,,,,,,,,,,,24.5,,26.7,15.2,,4.8,,9.8,,,,,,,,,,
Springfield,994,,"1,100",596,,123,,237,,,,,,,,,,,24.5,,27.1,14.7,,3.0,,5.8,,,,,,,,,,
Springwood,"1,972",,"1,935","1,678",,406,,,,,,,382,,,,,,24.0,,23.6,20.4,,4.9,,,,,,,4.7,,,,,
St Andrews,"2,156",,"1,352",539,,,177,,356,,,,,,,,,,36.2,,22.7,9.1,,,3.0,,6.0,,,,,,,,,
St Clair,"8,086",,"4,210","1,994",,,,737,586,,,,,,,,,,40.2,,20.9,9.9,,,,3.7,2.9,,,,,,,,,
St Helens Park,"1,878",,"1,584",793,,,,166,163,,,,,,,,,,30.6,,25.8,12.9,,,,2.7,2.7,,,,,,,,,
St Huberts Island,385,,334,117,,39,,56,,,,,,,,,,,35.1,,30.5,10.7,,3.6,,5.1,,,,,,,,,,
St Ives,"2,798",,"3,478","2,090",,,,869,,,,,,,"1,959",,,,19.7,,24.5,14.7,,,,6.1,,,,,,,13.8,,,
St Ives Chase,707,,734,453,,,,189,,,,,,,357,,,,22.6,,23.5,14.5,,,,6.0,,,,,,,11.4,,,
St Johns Park,"1,903",549,264,296,,,,,,,"1,580",,,,,,,,35.0,10.1,4.9,5.5,,,,,,,29.1,,,,,,,
St Leonards,716,,378,"1,033",,,119,,,,253,,,,,,,,18.0,,9.5,26.0,,,3.0,,,,6.4,,,,,,,
St Marys,"3,191",292,"1,995","1,218",,305,,,,,,,,,,,,,32.8,3.0,20.5,12.5,,3.1,,,,,,,,,,,,
St Peters,626,149,285,675,,,,,,,111,,,,,,,,24.1,5.7,11.0,26.0,,,,,,,4.3,,,,,,,
Stanhope Gardens,"1,185",,767,430,,,,,208,,,,,224,,,,,27.8,,18.0,10.1,,,,,4.9,,,,,5.3,,,,
Stanmore,"1,935",375,857,"1,955",,,,,,,205,,,,,,,,27.1,5.2,12.0,27.3,,,,,,,2.9,,,,,,,
Stockton,"1,055",,"1,405",544,,207,,285,,,,,,,,,,,25.1,,33.4,12.9,,4.9,,6.8,,,,,,,,,,
Strathfield,"6,420",,"1,441","2,595",,,"2,138",,,,"1,427",,,,,,,,31.3,,7.0,12.7,,,10.4,,,,7.0,,,,,,,
Strathfield South,"1,164",197,253,362,,,247,,,,,,,,,,,,37.5,6.3,8.1,11.7,,,8.0,,,,,,,,,,,
Summer Hill,"1,638",193,694,"1,627",,,,,,,241,,,,,,,,26.7,3.1,11.3,26.5,,,,,,,3.9,,,,,,,
Surry Hills,"2,608",332,"1,373","3,860",,,,,,,744,,,,,,,,17.3,2.2,9.1,25.7,,,,,,,4.9,,,,,,,
Sutherland,"2,494",,"2,413","1,506",,287,,390,,,,,,,,,,,26.2,,25.4,15.8,,3.0,,4.1,,,,,,,,,,
Swansea,969,,"1,449",695,,285,,401,,,,,,,,,,,20.9,,31.2,15.0,,6.1,,8.6,,,,,,,,,,
Swansea Heads,132,,164,107,,30,,39,,,,,,,,,,,21.9,,27.2,17.7,,5.0,,6.5,,,,,,,,,,
Sydenham,231,81,78,185,,,,,,,122,,,,,,,,24.0,8.4,8.1,19.3,,,,,,,12.7,,,,,,,
Sydney,"1,594",,531,"2,303",,282,,,,,"1,398",,,,,,,,11.8,,3.9,17.0,,2.1,,,,,10.3,,,,,,,
Sylvania,"2,674","1,098","2,426","1,055",,,,463,,,,,,,,,,,27.8,11.4,25.2,11.0,,,,4.8,,,,,,,,,,
Sylvania Waters,881,475,563,313,,,,,,,93,,,,,,,,29.1,15.7,18.6,10.3,,,,,,,3.1,,,,,,,
Tacoma,205,,227,111,,17,,53,,,,,,,,,,,28.5,,31.6,15.4,,2.4,,7.4,,,,,,,,,,
Tacoma South,83,,89,46,,,,19,,,,,6,,,,,,30.3,,32.5,16.8,,,,6.9,,,,,2.2,,,,,
Tamarama,342,,268,358,,33,,,,,,,,,74,,,,22.6,,17.7,23.7,,2.2,,,,,,,,,4.9,,,
Taren Point,275,143,375,147,,,,41,,,,,,,,,,,21.8,11.3,29.7,11.6,,,,3.2,,,,,,,,,,
Tarrawanna,470,102,316,166,,,,89,,,,,,,,,,,32.3,7.0,21.7,11.4,,,,6.1,,,,,,,,,,
Tascott,445,,474,267,,55,,92,,,,,,,,,,,26.2,,27.9,15.7,,3.2,,5.4,,,,,,,,,,
Tempe,747,446,327,625,,,,,,,159,,,,,,,,23.5,14.0,10.3,19.7,,,,,,,5.0,,,,,,,
Teralba,270,,464,228,,62,,138,,,,,,,,,,,18.5,,31.8,15.6,,4.3,,9.5,,,,,,,,,,
Terrey Hills,657,,824,467,,90,,167,,,,,,,,,,,22.8,,28.7,16.2,,3.1,,5.8,,,,,,,,,,
Terrigal,"2,699",,"2,587","1,419",,352,,611,,,,,,,,,,,27.7,,26.5,14.6,,3.6,,6.3,,,,,,,,,,
The Entrance,810,,721,336,,98,,107,,,,,,,,,,,30.8,,27.4,12.8,,3.7,,4.1,,,,,,,,,,
The Entrance North,293,,316,188,,42,,31,,,,,,,,,,,26.5,,28.6,17.0,,3.8,,2.8,,,,,,,,,,
The Hill,392,,387,518,,68,,69,,,,,,,,,,,18.7,,18.4,24.7,,3.2,,3.3,,,,,,,,,,
The Junction,438,,321,215,,38,,61,,,,,,,,,,,33.8,,24.8,16.6,,2.9,,4.7,,,,,,,,,,
Thirroul,"1,475",,"1,386","1,178",,169,,367,,,,,,,,,,,26.6,,25.0,21.3,,3.0,,6.6,,,,,,,,,,
Thornleigh,"2,109",,"1,577","1,208",,,,542,,,,,257,,,,,,27.5,,20.6,15.7,,,,7.1,,,,,3.3,,,,,
Tighes Hill,329,,328,393,,,,77,,,,,34,,,,,,22.2,,22.1,26.5,,,,5.2,,,,,2.3,,,,,
Tingira Heights,639,,918,435,,129,,333,,,,,,,,,,,20.0,,28.8,13.6,,4.0,,10.4,,,,,,,,,,
Toongabbie,"4,176",,"2,135","1,345",,,736,483,,,,,,,,,,,33.8,,17.3,10.9,,,6.0,3.9,,,,,,,,,,
Toowoon Bay,125,,155,56,,21,,,,,,,18,,,,,,25.6,,31.8,11.5,,4.3,,,,,,,3.7,,,,,
Toronto,"1,063",,"1,388",928,,192,,527,,,,,,,,,,,20.6,,26.9,18.0,,3.7,,10.2,,,,,,,,,,
Toukley,"1,108",,"1,384",604,,185,,148,,,,,,,,,,,26.4,,33.0,14.4,,4.4,,3.5,,,,,,,,,,
Towradgi,"1,004",,707,436,,132,,190,,,,,,,,,,,32.6,,23.0,14.2,,4.3,,6.2,,,,,,,,,,
Tregear,"1,077",,901,458,,163,,126,,,,,,,,,,,28.3,,23.7,12.0,,4.3,,3.3,,,,,,,,,,
Tuggerah,267,,272,149,,30,,38,,,,,,,,,,,28.4,,29.0,15.9,,3.2,,4.0,,,,,,,,,,
Tuggerawong,326,,365,147,,36,,46,,,,,,,,,,,28.3,,31.7,12.8,,3.1,,4.0,,,,,,,,,,
Tumbi Umbi,"1,244",,"1,375",577,,169,,251,,,,,,,,,,,28.7,,31.8,13.3,,3.9,,5.8,,,,,,,,,,
Turramurra,"2,213",,"3,113","1,611",,375,,918,,,,,,,,,,,21.4,,30.1,15.6,,3.6,,8.9,,,,,,,,,,
Turrella,206,158,47,104,,,,,277,,,,,,,,,,20.4,15.6,4.7,10.3,,,,,27.4,,,,,,,,,
Ultimo,677,,281,"1,390",,,125,,,,497,,,,,,,,12.2,,5.1,25.0,,,2.3,,,,9.0,,,,,,,
Umina Beach,"3,990",,"4,637","2,263",,491,,618,,,,,,,,,,,25.9,,30.1,14.7,,3.2,,4.0,,,,,,,,,,
Unanderra,"1,703",325,"1,371",745,,,,304,,,,,,,,,,,28.9,5.5,23.3,12.7,,,,5.2,,,,,,,,,,
Valentine,"1,374",,"1,569",869,,237,,612,,,,,,,,,,,24.2,,27.6,15.3,,4.2,,10.8,,,,,,,,,,
Valley Heights,345,,276,291,,99,,43,,,,,,,,,,,25.8,,20.6,21.8,,7.4,,3.2,,,,,,,,,,
Vaucluse,"1,601",493,"1,345","1,044",,,,,,,,,,,"2,169",,,,17.6,5.4,14.7,11.4,,,,,,,,,,,23.8,,,
Villawood,"1,288",,537,275,,,,,880,,839,,,,,,,,25.1,,10.5,5.4,,,,,17.2,,16.4,,,,,,,
Voyager Point,417,79,253,77,,,108,,,,,,,,,,,,31.9,6.0,19.4,5.9,,,8.3,,,,,,,,,,,
Wahroonga,"3,235",,"3,882","2,118",,450,,"1,128",,,,,,,,,,,22.8,,27.4,15.0,,3.2,,8.0,,,,,,,,,,
Waitara,"1,162",,821,997,,,230,214,,,,,,,,,,,22.7,,16.0,19.5,,,4.5,4.2,,,,,,,,,,
Wakeley,"1,871",440,255,,396,,,,,,873,,,,,,,,39.2,9.2,5.3,,8.3,,,,,,18.3,,,,,,,
Wallsend,"2,778",,"3,225","1,643",,443,,"1,072",,,,,,,,,,,23.5,,27.3,13.9,,3.8,,9.1,,,,,,,,,,
Wamberal,"1,556",,"1,511",936,,202,,289,,,,,,,,,,,27.2,,26.4,16.4,,3.5,,5.1,,,,,,,,,,
Warabrook,625,,495,279,,,,124,,,,,123,,,,,,28.9,,22.9,12.9,,,,5.7,,,,,5.7,,,,,
Waratah,"1,128",,962,617,,164,,256,,,,,,,,,,,26.3,,22.4,14.4,,3.8,,6.0,,,,,,,,,,
Waratah West,792,,621,402,,72,,197,,,,,,,,,,,29.0,,22.7,14.7,,2.6,,7.2,,,,,,,,,,
Wareemba,835,40,159,120,,36,,,,,,,,,,,,,60.1,2.9,11.4,8.6,,2.6,,,,,,,,,,,,
Warilla,"1,559",,"1,709",803,,193,,217,,,,,,,,,,,27.8,,30.4,14.3,,3.4,,3.9,,,,,,,,,,
Warners Bay,"1,755",,"1,878","1,072",,264,,591,,,,,,,,,,,25.0,,26.8,15.3,,3.8,,8.4,,,,,,,,,,
Warrawee,506,,880,355,,122,,233,,,,,,,,,,,19.3,,33.5,13.5,,4.6,,8.9,,,,,,,,,,
Warrawong,"2,103",712,679,454,,,,,176,,,,,,,,,,42.1,14.2,13.6,9.1,,,,,3.5,,,,,,,,,
Warriewood,"1,440",,"1,206",886,,,,238,,,,,,169,,,,,28.8,,24.1,17.7,,,,4.8,,,,,,3.4,,,,
Warrimoo,548,,483,480,,107,,,,,,,106,,,,,,24.0,,21.1,21.0,,4.7,,,,,,,4.6,,,,,
Warwick Farm,"1,096",422,437,279,,,,,347,,,,,,,,,,28.2,10.9,11.2,7.2,,,,,8.9,,,,,,,,,
Watanobbi,933,,"1,040",638,,116,,142,,,,,,,,,,,26.0,,29.0,17.8,,3.2,,4.0,,,,,,,,,,
Waterloo,"1,936",340,837,"1,514",,,,,,,476,,,,,,,,22.8,4.0,9.8,17.8,,,,,,,5.6,,,,,,,
Watsons Bay,178,,166,126,,20,,,,,,,,,60,,,,25.8,,24.0,18.2,,2.9,,,,,,,,,8.7,,,
Wattle Grove,"2,228",295,"1,306",850,,,325,,,,,,,,,,,,32.4,4.3,19.0,12.4,,,4.7,,,,,,,,,,,
Waverley,"1,269",120,725,787,,,,,,,,,,,258,,,,30.4,2.9,17.3,18.8,,,,,,,,,,,6.2,,,
Waverton,761,,599,759,,89,,128,,,,,,,,,,,24.1,,19.0,24.0,,2.8,,4.1,,,,,,,,,,
Wentworthville,"2,801",,"1,209","1,257",,,"1,572",,600,,,,,,,,,,25.9,,11.2,11.6,,,14.5,,5.5,,,,,,,,,
Werrington,987,,849,495,,,119,,,,,89,,,,,,,28.0,,24.1,14.0,,,3.4,,,,,2.5,,,,,,
Werrington County,"1,338",,"1,092",454,,161,,150,,,,,,,,,,,35.2,,28.7,11.9,,4.2,,3.9,,,,,,,,,,
Werrington Downs,"1,129",,"1,000",426,,104,,103,,,,,,,,,,,34.0,,30.1,12.8,,3.1,,3.1,,,,,,,,,,
West Gosford,391,,389,264,,74,,79,,,,,,,,,,,23.7,,23.5,16.0,,4.5,,4.8,,,,,,,,,,
West Hoxton,"3,365",675,712,,,,,,399,,450,,,,,,,,42.6,8.6,9.0,,,,,,5.1,,5.7,,,,,,,
West Pennant Hills,"4,728",,"3,350","2,371",,617,,985,,,,,,,,,,,28.7,,20.3,14.4,,3.7,,6.0,,,,,,,,,,
West Pymble,"1,189",,"1,346",773,,176,,335,,,,,,,,,,,25.1,,28.5,16.3,,3.7,,7.1,,,,,,,,,,
West Ryde,"3,366",,"1,351","1,833",,,580,,,,469,,,,,,,,30.0,,12.1,16.4,,,5.2,,,,4.2,,,,,,,
West Wallsend,294,,456,335,,80,,135,,,,,,,,,,,18.3,,28.4,20.9,,5.0,,8.4,,,,,,,,,,
West Wollongong,"1,158",349,802,611,,,,240,,,,,,,,,,,27.9,8.4,19.4,14.7,,,,5.8,,,,,,,,,,
Westleigh,"1,231",,"1,218",682,,,,345,,,,,155,,,,,,27.2,,26.9,15.1,,,,7.6,,,,,3.4,,,,,
Westmead,"2,138",,788,"1,070",,,"1,886",,752,,,,,,,,,,22.5,,8.3,11.3,,,19.9,,7.9,,,,,,,,,
Wetherill Park,"3,108",466,426,322,,,,,,,393,,,,,,,,50.7,7.6,7.0,5.3,,,,,,,6.4,,,,,,,
Whalan,"1,657",,"1,317",696,,182,,,214,,,,,,,,,,30.1,,23.9,12.6,,3.3,,,3.9,,,,,,,,,
Whitebridge,701,,614,349,,92,,272,,,,,,,,,,,28.1,,24.6,14.0,,3.7,,10.9,,,,,,,,,,
Wickham,210,,174,189,,19,,53,,,,,,,,,,,23.5,,19.5,21.2,,2.1,,5.9,,,,,,,,,,
Wiley Park,"1,669",565,,591,,,,,"3,151",,675,,,,,,,,18.7,6.3,,6.6,,,,,35.3,,7.6,,,,,,,
Willmot,629,,636,264,,80,,,63,,,,,,,,,,26.2,,26.5,11.0,,3.3,,,2.6,,,,,,,,,
Willoughby,"1,642",233,"1,050","1,045",,,,,,,,,,,,149,,,30.3,4.3,19.4,19.3,,,,,,,,,,,,2.8,,
Willoughby East,556,,408,297,,50,,,,,43,,,,,,,,33.7,,24.7,18.0,,3.0,,,,,2.6,,,,,,,
Windale,585,,969,434,,120,,156,,,,,,,,,,,21.0,,34.7,15.6,,4.3,,5.6,,,,,,,,,,
Windang,767,,761,250,,96,,120,,,,,,,,,,,31.9,,31.6,10.4,,4.0,,5.0,,,,,,,,,,
Winmalee,"1,789",,"1,626","1,096",,340,,238,,,,,,,,,,,28.2,,25.6,17.3,,5.4,,3.8,,,,,,,,,,
Winston Hills,"3,066",,"1,938","1,018",,288,,427,,,,,,,,,,,34.6,,21.9,11.5,,3.3,,4.8,,,,,,,,,,
Wollongong,"3,453","1,459","2,236","2,462",,,,516,,,,,,,,,,,24.0,10.2,15.6,17.1,,,,3.6,,,,,,,,,,
Wollstonecraft,"1,756",,"1,419","1,932",,,,301,,,267,,,,,,,,23.2,,18.7,25.5,,,,4.0,,,3.5,,,,,,,
Wombarra,221,,147,258,,20,,33,,,,,,,,,,,27.0,,18.0,31.5,,2.4,,4.0,,,,,,,,,,
Woodbine,875,,587,228,,69,,,194,,,,,,,,,,33.2,,22.3,8.6,,2.6,,,7.4,,,,,,,,,
Woodcroft,"2,557",,337,306,,,456,,340,,,,,,,,,,47.7,,6.3,5.7,,,8.5,,6.3,,,,,,,,,
Woodpark,523,62,251,62,,,,,123,,,,,,,,,,40.8,4.8,19.6,4.8,,,,,9.6,,,,,,,,,
Woodrising,435,,409,228,,61,,150,,,,,,,,,,,27.7,,26.1,14.5,,3.9,,9.6,,,,,,,,,,
Woollahra,"1,486",,"1,636","1,305",,199,,,,,,,,,563,,,,20.4,,22.4,17.9,,2.7,,,,,,,,,7.7,,,
Woolloomooloo,826,66,430,709,,,,,,,140,,,,,,,,23.5,1.9,12.2,20.2,,,,,,,4.0,,,,,,,
Woolooware,"2,357",273,"1,907",907,,,,376,,,,,,,,,,,32.9,3.8,26.7,12.7,,,,5.3,,,,,,,,,,
Woolwich,240,,190,122,,23,,23,,,,,,,,,,,29.6,,23.4,15.0,,2.8,,2.8,,,,,,,,,,
Woonona,"3,003",,"2,807","1,689",,558,,812,,,,,,,,,,,27.6,,25.8,15.5,,5.1,,7.5,,,,,,,,,,
Woronora,704,,567,313,,,,92,,,,,66,,,,,,32.7,,26.4,14.6,,,,4.3,,,,,3.1,,,,,
Woronora Heights,"1,161",,855,346,,92,,192,,,,,,,,,,,37.8,,27.8,11.3,,3.0,,6.3,,,,,,,,,,
Woy Woy,"2,626",,"3,125","1,267",,388,,383,,,,,,,,,,,26.3,,31.3,12.7,,3.9,,3.8,,,,,,,,,,
Woy Woy Bay,199,,190,119,,21,,23,,,,,,,,,,,27.6,,26.3,16.5,,2.9,,3.2,,,,,,,,,,
Wyoming,"2,160",,"2,537","1,481",,322,,484,,,,,,,,,,,24.6,,28.9,16.9,,3.7,,5.5,,,,,,,,,,
Wyong,750,,943,479,,80,,133,,,,,,,,,,,24.1,,30.3,15.4,,2.6,,4.3,,,,,,,,,,
Wyongah,437,,563,320,,,,67,,,,,53,,,,,,24.0,,30.9,17.5,,,,3.7,,,,,2.9,,,,,
Yagoona,"4,627","1,534","1,395",,,,,,"2,328",,"1,371",,,,,,,,31.1,10.3,9.4,,,,,,15.6,,9.2,,,,,,,
Yarrawarrah,491,,422,212,,45,,95,,,,,,,,,,,33.5,,28.8,14.5,,3.1,,6.5,,,,,,,,,,
Yattalunga,102,,139,82,,17,,20,,,,,,,,,,,21.4,,29.2,17.2,,3.6,,4.2,,,,,,,,,,
Yennora,373,,117,72,,,,,182,,209,,,,,,,,27.9,,8.8,5.4,,,,,13.6,,15.6,,,,,,,
Yowie Bay,"1,105",156,"1,162",480,,,,206,,,,,,,,,,,29.6,4.2,31.1,12.8,,,,5.5,,,,,,,,,,
Zetland,560,73,280,676,,,,,,,151,,,,,,,,21.4,2.8,10.7,25.9,,,,,,,5.8,,,,,,,
