,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%)
Padstow,532.0,532.0,525.0,1272.0,2659.0,9.0,9.0,8.9,21.6,45.1
Padstow Heights,154.0,153.0,161.0,300.0,710.0,9.7,9.7,10.2,19.0,44.9
Pagewood,149.0,180.0,174.0,307.0,745.0,9.1,11.0,10.7,18.8,45.6
Palm Beach (NSW),116.0,109.0,81.0,50.0,340.0,15.6,14.7,10.9,6.7,45.8
Panania,503.0,476.0,498.0,1091.0,2386.0,9.6,9.0,9.5,20.7,45.3
Parramatta,659.0,1011.0,747.0,2675.0,4408.0,6.6,10.2,7.5,26.9,44.3
Peakhurst,406.0,424.0,405.0,835.0,1897.0,9.6,10.0,9.5,19.7,44.7
Peakhurst Heights,128.0,100.0,114.0,182.0,455.0,12.3,9.6,11.0,17.5,43.8
Pearl Beach,34.0,18.0,34.0,14.0,55.0,20.5,10.8,20.5,8.4,33.1
Pelican (NSW),26.0,44.0,43.0,62.0,158.0,7.4,12.6,12.3,17.7,45.1
Pendle Hill,216.0,231.0,229.0,691.0,1188.0,8.0,8.6,8.5,25.7,44.1
Pennant Hills,462.0,335.0,344.0,552.0,1653.0,13.2,9.6,9.8,15.8,47.3
Penrith,427.0,415.0,430.0,1153.0,2370.0,8.3,8.1,8.4,22.4,46.1
Penrose (Wollongong - NSW),74.0,64.0,64.0,144.0,239.0,11.8,10.2,10.2,23.0,38.1
Penshurst (NSW),511.0,590.0,567.0,1326.0,2471.0,8.8,10.2,9.8,22.8,42.6
Petersham,332.0,360.0,391.0,774.0,2199.0,7.8,8.4,9.2,18.1,51.5
Phillip Bay,38.0,30.0,29.0,47.0,128.0,12.7,10.0,9.7,15.7,42.8
Picnic Point,293.0,291.0,315.0,441.0,1390.0,10.1,10.0,10.9,15.2,47.9
Plumpton (NSW),260.0,273.0,336.0,1138.0,1604.0,6.8,7.1,8.8,29.7,41.8
Point Clare,210.0,169.0,171.0,289.0,637.0,13.3,10.7,10.9,18.3,40.4
Point Frederick,97.0,81.0,92.0,157.0,354.0,11.8,9.9,11.2,19.1,43.2
Point Piper,63.0,50.0,64.0,35.0,346.0,10.7,8.5,10.9,5.9,58.7
Port Kembla,181.0,195.0,196.0,403.0,672.0,10.2,11.0,11.0,22.7,37.8
Potts Point,224.0,305.0,283.0,618.0,2898.0,5.0,6.8,6.3,13.7,64.4
Prairiewood,91.0,112.0,101.0,272.0,489.0,7.9,9.7,8.7,23.5,42.2
Prestons,489.0,498.0,579.0,1672.0,3083.0,7.3,7.4,8.6,24.9,45.9
Primbee,64.0,58.0,66.0,133.0,260.0,10.2,9.2,10.5,21.2,41.4
Prospect (NSW),188.0,173.0,206.0,558.0,1103.0,7.9,7.3,8.7,23.5,46.5
Punchbowl (Canterbury - NSW),670.0,624.0,578.0,1366.0,2163.0,11.3,10.5,9.7,23.0,36.5
Putney,235.0,236.0,175.0,271.0,1064.0,11.2,11.2,8.3,12.9,50.6
Pymble,679.0,540.0,394.0,511.0,2633.0,13.5,10.8,7.9,10.2,52.5
Pyrmont,381.0,552.0,446.0,1066.0,4319.0,5.4,7.8,6.3,15.1,61.2
Quakers Hill,1097.0,1129.0,1165.0,3102.0,6220.0,8.1,8.4,8.6,23.0,46.1
Queens Park (NSW),166.0,140.0,150.0,129.0,813.0,11.2,9.5,10.1,8.7,55.0
Raby,276.0,278.0,295.0,767.0,1435.0,8.5,8.6,9.1,23.6,44.2
Ramsgate,40.0,44.0,37.0,73.0,202.0,9.6,10.6,8.9,17.5,48.4
Ramsgate Beach,57.0,35.0,71.0,106.0,338.0,8.6,5.3,10.8,16.1,51.3
Randwick,1231.0,1347.0,1242.0,2401.0,8319.0,8.0,8.8,8.1,15.7,54.2
Rankin Park,147.0,143.0,133.0,207.0,540.0,11.9,11.6,10.8,16.8,43.8
Redfern,444.0,565.0,472.0,1141.0,3686.0,6.7,8.6,7.2,17.3,55.8
Redhead,222.0,179.0,171.0,245.0,658.0,14.1,11.3,10.8,15.5,41.7
Regents Park (NSW),140.0,152.0,136.0,458.0,641.0,8.5,9.2,8.3,27.8,38.9
Regentville,33.0,30.0,35.0,57.0,133.0,10.3,9.4,11.0,17.9,41.7
Revesby,520.0,531.0,474.0,1270.0,2466.0,9.3,9.5,8.5,22.7,44.0
Revesby Heights,72.0,69.0,69.0,128.0,314.0,10.3,9.8,9.8,18.3,44.8
Rhodes,190.0,248.0,170.0,540.0,1561.0,6.7,8.7,6.0,19.0,55.0
Riverstone,240.0,274.0,295.0,551.0,1296.0,8.5,9.7,10.4,19.5,45.8
Riverview (Lane Cove - NSW),193.0,187.0,164.0,113.0,766.0,12.9,12.5,11.0,7.5,51.2
Riverwood,393.0,366.0,336.0,913.0,1569.0,10.4,9.7,8.9,24.2,41.5
Rockdale,558.0,1003.0,607.0,1695.0,2667.0,8.0,14.4,8.7,24.4,38.4
Rocky Point (NSW),12.0,20.0,9.0,24.0,55.0,9.7,16.1,7.3,19.4,44.4
Rodd Point,71.0,60.0,54.0,68.0,338.0,11.3,9.5,8.6,10.8,53.6
Rooty Hill,465.0,429.0,515.0,1657.0,2440.0,7.9,7.3,8.7,28.0,41.3
Rose Bay (NSW),458.0,429.0,440.0,529.0,2618.0,9.6,9.0,9.3,11.1,55.2
Rosebery (NSW),306.0,348.0,370.0,790.0,2060.0,7.4,8.5,9.0,19.2,50.1
Roselands,389.0,395.0,457.0,983.0,1991.0,8.6,8.7,10.1,21.6,43.8
Rosemeadow,325.0,268.0,325.0,848.0,1419.0,9.5,7.9,9.5,24.8,41.6
Roseville,591.0,457.0,363.0,489.0,2188.0,13.6,10.6,8.4,11.3,50.5
Roseville Chase,106.0,94.0,77.0,57.0,363.0,14.3,12.7,10.4,7.7,49.1
Rouse Hill,322.0,342.0,311.0,632.0,1860.0,8.8,9.3,8.5,17.3,50.8
Rozelle,313.0,377.0,321.0,582.0,3062.0,6.4,7.7,6.6,11.9,62.6
Ruse,236.0,217.0,317.0,656.0,1245.0,8.3,7.6,11.1,22.9,43.5
Rushcutters Bay,72.0,103.0,94.0,254.0,834.0,5.1,7.3,6.7,18.1,59.3
Russell Lea,259.0,227.0,236.0,350.0,1264.0,10.6,9.3,9.6,14.3,51.6
Russell Vale,64.0,63.0,79.0,122.0,270.0,9.7,9.5,12.0,18.5,40.9
Rydalmere,256.0,261.0,248.0,569.0,1298.0,9.2,9.4,8.9,20.4,46.6
Ryde,965.0,1020.0,938.0,2056.0,5087.0,9.1,9.6,8.8,19.4,47.9
Sadleir,84.0,67.0,73.0,218.0,286.0,10.6,8.4,9.2,27.4,35.9
San Remo (NSW),180.0,150.0,203.0,371.0,634.0,10.9,9.1,12.3,22.5,38.4
Sandringham (NSW),55.0,57.0,55.0,68.0,229.0,11.2,11.7,11.2,13.9,46.8
Sans Souci,392.0,419.0,425.0,812.0,2069.0,8.9,9.5,9.7,18.5,47.1
Saratoga,228.0,187.0,225.0,267.0,760.0,12.9,10.6,12.7,15.1,43.1
Scarborough (NSW),11.0,14.0,20.0,20.0,62.0,8.2,10.4,14.9,14.9,46.3
Schofields,180.0,176.0,194.0,365.0,922.0,9.2,8.9,9.9,18.6,46.9
Scotland Island,48.0,43.0,39.0,46.0,191.0,12.4,11.1,10.1,11.9,49.5
Seaforth (NSW),443.0,331.0,301.0,266.0,1602.0,14.4,10.7,9.8,8.6,52.0
Sefton,200.0,156.0,194.0,487.0,785.0,10.3,8.1,10.0,25.2,40.5
Seven Hills (NSW),800.0,759.0,763.0,2008.0,3752.0,9.3,8.8,8.9,23.4,43.7
Shalvey,81.0,102.0,108.0,280.0,433.0,7.4,9.3,9.9,25.5,39.5
Shell Cove,207.0,210.0,187.0,317.0,840.0,11.0,11.2,9.9,16.9,44.7
Shellharbour,156.0,171.0,176.0,278.0,694.0,9.8,10.7,11.0,17.4,43.4
