,Median weekly rent,Median monthly mortgage repayment,Average people per household,Average number of people per bedroom,Median weekly rent (%),Median monthly mortgage repayment (%),Average people per household (%),Average number of people per bedroom (%)
Hamilton East,213.0,1500.0,2.5,1.1,--,--,--,--
Hamilton North,220.0,1400.0,2.2,1.1,--,--,--,--
Hamilton South,90.0,1600.0,2.2,1.1,--,--,--,--
Hammondville,225.0,1690.0,2.8,1.1,--,--,--,--
Harrington Park,350.0,2063.0,3.4,1.0,--,--,--,--
Harris Park,200.0,1400.0,2.5,1.4,--,--,--,--
Hassall Grove,230.0,1625.0,3.6,1.2,--,--,--,--
Haymarket,500.0,2085.0,2.8,1.6,--,--,--,--
Heathcote,285.0,1794.0,2.9,1.1,--,--,--,--
Hebersham,175.0,1300.0,3.2,1.2,--,--,--,--
Heckenberg,150.0,1517.0,3.2,1.2,--,--,--,--
Henley,360.0,2500.0,2.9,1.1,--,--,--,--
Hillsborough (Lake Macquarie),215.0,1083.0,2.9,1.1,--,--,--,--
Hillsdale,225.0,1559.0,2.5,1.3,--,--,--,--
Hinchinbrook,250.0,1733.0,3.6,1.1,--,--,--,--
Holmesville,195.0,1163.0,2.9,1.1,--,--,--,--
Holsworthy,250.0,1733.0,3.3,1.1,--,--,--,--
Homebush,300.0,2000.0,2.8,1.4,--,--,--,--
Homebush West,250.0,1733.0,2.4,1.3,--,--,--,--
Horningsea Park,280.0,2000.0,3.5,1.1,--,--,--,--
Hornsby,266.0,1800.0,2.4,1.2,--,--,--,--
Hornsby Heights,340.0,1838.0,3.0,1.1,--,--,--,--
Horsley,250.0,1603.0,3.2,1.0,--,--,--,--
Hoxton Park,250.0,1800.0,3.5,1.1,--,--,--,--
Hunters Hill,275.0,3000.0,2.6,1.1,--,--,--,--
Huntleys Point,700.0,2600.0,3.2,1.0,--,--,--,--
Hurlstone Park,230.0,1675.0,2.6,1.2,--,--,--,--
Hurstville,270.0,1733.0,2.8,1.3,--,--,--,--
Hurstville Grove,320.0,2000.0,3.1,1.1,--,--,--,--
Illawong,380.0,1824.0,3.4,1.1,--,--,--,--
Ingleburn,190.0,1450.0,2.7,1.1,--,--,--,--
Ingleside,300.0,1751.0,3.1,1.1,--,--,--,--
Islington,188.0,1265.0,2.1,1.1,--,--,--,--
Jamisontown,210.0,1376.0,2.5,1.1,--,--,--,--
Jannali,210.0,1950.0,2.6,1.1,--,--,--,--
Jesmond,180.0,1083.0,2.2,1.1,--,--,--,--
Jewells,240.0,1430.0,2.8,1.0,--,--,--,--
Kahibah,200.0,1300.0,2.4,1.1,--,--,--,--
Kanahooka,215.0,1365.0,2.6,1.0,--,--,--,--
Kangaroo Point,550.0,4000.0,3.1,1.0,--,--,--,--
Kareela,380.0,2000.0,2.9,1.0,--,--,--,--
Kariong,235.0,1532.0,3.1,1.1,--,--,--,--
Kearns,215.0,1560.0,3.2,1.1,--,--,--,--
Keiraville,200.0,1500.0,2.5,1.1,--,--,--,--
Kellyville,370.0,2167.0,3.4,1.0,--,--,--,--
Kembla Grange,150.0,1800.0,2.9,1.1,--,--,--,--
Kensington,300.0,2058.0,2.4,1.2,--,--,--,--
Kilaben Bay,238.0,1534.0,2.7,1.0,--,--,--,--
Killara,410.0,2500.0,2.9,1.1,--,--,--,--
Killarney Heights,500.0,2350.0,3.1,1.0,--,--,--,--
Killarney Vale,200.0,1404.0,2.5,1.1,--,--,--,--
Kincumber,210.0,1408.0,2.4,1.1,--,--,--,--
Kincumber South,126.0,1207.0,1.8,1.0,--,--,--,--
Kings Langley,280.0,1700.0,3.0,1.0,--,--,--,--
Kings Park,245.0,1733.0,2.8,1.1,--,--,--,--
Kingsford,315.0,2015.0,2.6,1.2,--,--,--,--
Kingsgrove,265.0,1733.0,2.8,1.1,--,--,--,--
Kingswood (Penrith),195.0,1400.0,2.4,1.1,--,--,--,--
Kirrawee,238.0,1950.0,2.5,1.1,--,--,--,--
Kirribilli,341.0,2400.0,1.7,1.1,--,--,--,--
Kogarah,240.0,1733.0,2.5,1.3,--,--,--,--
Kogarah Bay,330.0,2200.0,2.9,1.1,--,--,--,--
Koolewong,220.0,1300.0,2.4,1.1,--,--,--,--
Koonawarra,136.0,1213.0,2.8,1.1,--,--,--,--
Kotara,220.0,1300.0,2.5,1.1,--,--,--,--
Kotara South,182.0,1408.0,2.5,1.0,--,--,--,--
Kurnell,300.0,1777.0,2.9,1.1,--,--,--,--
Kyeemagh,350.0,2000.0,2.7,1.1,--,--,--,--
Kyle Bay,395.0,2500.0,3.1,1.1,--,--,--,--
