,Catholic,Anglican,Orthodox,Oriental Christian,No Religion,Presbyterian & Reformed,Uniting Church,Baptist,Islam,Buddhism,Hinduism,Judaism,Pentecostal,"Christian, nfd",Sikhism,Catholic (%),Anglican (%),Orthodox (%),Oriental Christian (%),No Religion (%),Presbyterian & Reformed (%),Uniting Church (%),Baptist (%),Islam (%),Buddhism (%),Hinduism (%),Judaism (%),Pentecostal (%),"Christian, nfd (%)",Sikhism (%)
Claremont Meadows,"1,095",815,,107,350,,,,,,110,,,,,31.4,23.4,,3.1,10.1,,,,,,3.2,,,,
Claymore,824,779,,,347,,,,159,,,,161,,,23.1,21.8,,,9.7,,,,4.5,,,,4.5,,
Clontarf,437,490,,,207,64,63,,,,,,,,,26.7,30.0,,,12.7,3.9,3.9,,,,,,,,
Clovelly,"1,407",869,,,848,106,,,,,,200,,,,32.3,19.9,,,19.5,2.4,,,,,,4.6,,,
Coal Point,394,457,,,252,88,221,,,,,,,,,23.6,27.3,,,15.1,5.3,13.2,,,,,,,,
Coledale,186,244,,,191,36,58,,,,,,,,,20.7,27.1,,,21.2,4.0,6.5,,,,,,,,
Collaroy,"4,013","3,963",,,"1,935",560,630,,,,,,,,,30.5,30.1,,,14.7,4.3,4.8,,,,,,,,
Colyton,"2,943","1,899",307,,708,,276,,,,,,,,,36.2,23.3,3.8,,8.7,,3.4,,,,,,,,
Como,"1,084",935,,,522,155,293,,,,,,,,,29.5,25.5,,,14.2,4.2,8.0,,,,,,,,
Concord,"6,629","1,822",828,,"1,174",,441,,,,,,,,,49.8,13.7,6.2,,8.8,,3.3,,,,,,,,
Concord West,"2,754",887,337,,502,,217,,,,,,,,,46.5,15.0,5.7,,8.5,,3.7,,,,,,,,
Condell Park,"2,985","1,041","1,227",,,,,,"1,262",585,,,,,,33.3,11.6,13.7,,,,,,14.1,6.5,,,,,
Coniston,450,266,467,,213,59,,,,,,,,,,24.2,14.3,25.1,,11.5,3.2,,,,,,,,,
Connells Point,826,665,386,,187,,155,,,,,,,,,29.3,23.6,13.7,,6.6,,5.5,,,,,,,,
Coogee,"4,103","2,290",504,,"2,496",,,,,,,350,,,,30.6,17.1,3.8,,18.6,,,,,,,2.6,,,
Cooks Hill,615,564,,,517,85,123,,,,,,,,,24.4,22.4,,,20.5,3.4,4.9,,,,,,,,
Copacabana,697,775,,,493,79,141,,,,,,,,,25.4,28.3,,,18.0,2.9,5.1,,,,,,,,
Cordeaux Heights,"1,443","1,044",540,,407,,295,,,,,,,,,29.7,21.5,11.1,,8.4,,6.1,,,,,,,,
Corrimal,"3,011","2,258",,,"1,036",422,701,,,,,,,,,31.7,23.8,,,10.9,4.4,7.4,,,,,,,,
Cranebrook,"4,352","3,806",,,"1,547",400,463,,,,,,,,,33.3,29.1,,,11.8,3.1,3.5,,,,,,,,
Cremorne,"2,356","2,643",,,"1,905",414,360,,,,,,,,,23.1,25.9,,,18.7,4.1,3.5,,,,,,,,
Cremorne Point,371,483,,,359,62,72,,,,,,,,,20.8,27.0,,,20.1,3.5,4.0,,,,,,,,
Cringila,558,120,839,,96,,,,461,,,,,,,23.7,5.1,35.7,,4.1,,,,19.6,,,,,,
Cromer,"2,017","2,129",,,876,245,376,,,,,,,,,29.1,30.7,,,12.6,3.5,5.4,,,,,,,,
Cronulla,"4,834","4,516",,,"2,126",618,847,,,,,,,,,29.7,27.7,,,13.1,3.8,5.2,,,,,,,,
Croudace Bay,96,126,,,52,,40,13,,,,,,,,25.0,32.8,,,13.5,,10.4,3.4,,,,,,,
Crows Nest,861,683,,,709,98,101,,,,,,,,,26.1,20.7,,,21.5,3.0,3.1,,,,,,,,
Croydon,"3,800","1,049",701,,"1,114",,,,,344,,,,,,41.8,11.5,7.7,,12.2,,,,,3.8,,,,,
Croydon Park,"4,855","1,130",844,,954,307,,,,,,,,,,46.0,10.7,8.0,,9.0,2.9,,,,,,,,,
Curl Curl,549,521,,,278,66,92,,,,,,,,,29.8,28.2,,,15.1,3.6,5.0,,,,,,,,
Currans Hill,"1,444","1,228",,,484,104,129,,,,,,,,,32.8,27.9,,,11.0,2.4,2.9,,,,,,,,
Daceyville,500,249,91,,93,42,,,,,,,,,,41.0,20.4,7.5,,7.6,3.4,,,,,,,,,
Daleys Point,110,169,,,29,35,,41,,,,,,,,24.1,37.1,,,6.4,7.7,,9.0,,,,,,,
Dapto,"3,119","3,384",,,"1,143",507,815,,,,,,,,,28.9,31.4,,,10.6,4.7,7.6,,,,,,,,
Darling Point,805,"1,032",,,575,128,,,,,,495,,,,19.8,25.3,,,14.1,3.1,,,,,,12.2,,,
Darlinghurst,"1,729","1,158",,,"2,013",195,,,,313,,,,,,18.8,12.6,,,21.9,2.1,,,,3.4,,,,,
Darlington,366,218,,,646,,62,,,93,,,,,,17.9,10.7,,,31.6,,3.0,,,4.6,,,,,
Davidson,660,763,,,313,102,189,,,,,,,,,25.9,30.0,,,12.3,4.0,7.4,,,,,,,,
Davistown,535,662,,,244,54,109,,,,,,,,,27.7,34.3,,,12.6,2.8,5.7,,,,,,,,
Dawes Point,80,55,,,55,7,8,,,,,,,,,23.2,15.9,,,15.9,2.0,2.3,,,,,,,,
Dean Park,"1,307",516,193,,235,,,,170,,,,,,,39.8,15.7,5.9,,7.2,,,,5.2,,,,,,
Dee Why,"4,130","3,329",686,,"2,494",,633,,,,,,,,,25.1,20.3,4.2,,15.2,,3.9,,,,,,,,
Denistone,"1,200",692,,,510,109,232,,,,,,,,,34.4,19.9,,,14.6,3.1,6.7,,,,,,,,
Denistone East,645,374,,,282,67,100,,,,,,,,,33.3,19.3,,,14.6,3.5,5.2,,,,,,,,
Denistone West,226,184,27,,80,,39,,,,,,,,,28.9,23.6,3.5,,10.2,,5.0,,,,,,,,
Dharruk,980,640,,,227,,102,,184,,,,,,,34.2,22.3,,,7.9,,3.6,,6.4,,,,,,
Dolans Bay,333,317,,,135,54,63,,,,,,,,,29.4,28.0,,,11.9,4.8,5.6,,,,,,,,
Dolls Point,344,250,171,,95,,45,,,,,,,,,28.3,20.6,14.1,,7.8,,3.7,,,,,,,,
Doonside,"5,080","2,415",516,,"1,112",,,,567,,,,,,,37.2,17.7,3.8,,8.1,,,,4.2,,,,,,
Double Bay,675,658,104,,461,,,,,,,334,,,,20.9,20.4,3.2,,14.3,,,,,,,10.4,,,
Dover Heights,468,217,167,,242,,,,,,,"1,583",,,,14.0,6.5,5.0,,7.2,,,,,,,47.3,,,
Drummoyne,"3,308","2,045",569,,"1,418",392,,,,,,,,,,32.1,19.9,5.5,,13.8,3.8,,,,,,,,,
Dudley,527,635,,,345,92,240,,,,,,,,,23.3,28.1,,,15.3,4.1,10.6,,,,,,,,
Dulwich Hill,"3,819","1,066","1,379",,"2,054",,,,721,,,,,,,30.6,8.5,11.1,,16.5,,,,5.8,,,,,,
Dundas,"2,814","1,665",,,"1,311",389,443,,,,,,,,,29.4,17.4,,,13.7,4.1,4.6,,,,,,,,
Dundas Valley,"1,973","1,092",,,865,308,439,,,,,,,,,29.3,16.2,,,12.8,4.6,6.5,,,,,,,,
Dural,"1,140",943,,,380,,189,155,,,,,,,,30.1,24.9,,,10.0,,5.0,4.1,,,,,,,
Eagle Vale,"2,217","1,385",,,500,,,,275,199,,,,,,37.6,23.5,,,8.5,,,,4.7,3.4,,,,,
Earlwood,"5,521","1,337","4,668",,"1,243",,,,553,,,,,,,32.8,7.9,27.7,,7.4,,,,3.3,,,,,,
East Gosford,955,907,,,441,158,202,,,,,,,,,28.7,27.2,,,13.2,4.7,6.1,,,,,,,,
East Hills,764,742,95,,199,,111,,,,,,,,,30.1,29.2,3.7,,7.8,,4.4,,,,,,,,
East Killara,543,499,,,590,,180,,,,,192,,,,19.0,17.5,,,20.6,,6.3,,,,,6.7,,,
East Lindfield,691,891,,,521,,236,,,,,209,,,,20.4,26.3,,,15.4,,7.0,,,,,6.2,,,
