,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Quirindi,--,--,27.4,7.1,13301
Wallabadah,--,--,31.9,2.1,14098
Currabubula,--,--,21.2,11.5,11172
Quipolly,--,--,19.6,15.7,13300
Willow Tree,--,--,33.7,3.0,14305
Hillvue,--,--,15.1,13.7,11914
Calala,--,--,13.9,10.8,10748
Kingswood (Tamworth Regional - NSW),--,--,11.3,17.5,12164
South Tamworth,--,--,33.1,3.1,13597
West Tamworth,--,--,34.4,4.0,14252
North Tamworth,--,--,26.2,9.7,13011
Tamworth,--,--,40.7,10.2,13746
East Tamworth,--,--,18.6,14.2,11363
Oxley Vale,--,--,22.0,7.4,13111
Nemingha,--,--,18.2,12.7,12926
Westdale (Tamworth Regional - NSW),--,--,14.9,6.3,14259
Kootingal,--,--,21.1,6.3,12194
Duri,--,--,15.9,12.6,11332
Bithramere,--,--,18.6,11.9,10381
Winton (NSW),--,--,11.8,19.1,14336
Rushes Creek,--,--,42.9,14.3,13445
Somerton (NSW),--,--,23.9,7.6,13572
Bective,--,--,13.3,15.0,10245
Attunga,--,--,19.1,5.2,10105
Garthowen,--,--,16.3,25.6,11593
Limbri,--,--,32.5,0.0,12327
Tintinhull,--,--,19.8,9.9,13879
Loomberah,--,--,11.3,20.7,12386
Moonbi,--,--,25.5,6.1,12699
Bendemeer,--,--,33.3,5.8,10289
Watsons Creek (NSW),--,--,42.5,0.0,14188
Halls Creek (NSW),--,--,35.0,0.0,11834
Barraba,--,--,40.5,3.8,10206
Manilla,--,--,35.2,3.3,12474
Daruka,--,--,11.5,26.7,11218
Moore Creek,--,--,6.7,23.9,12710
Hallsville,--,--,10.8,13.9,11835
Nundle,--,--,45.5,1.7,13043
Ogunbil,--,--,29.3,12.1,13071
Dungowan,--,--,17.9,11.6,11321
Piallamore,--,--,13.6,7.4,13195
Woolomin,--,--,27.0,5.6,14408
Warral,--,--,14.4,19.2,14163
Timbumburi,--,--,15.0,10.0,13870
Windale,--,--,46.3,1.5,14315
Jewells,--,--,16.2,15.2,12024
Belmont North,--,--,18.8,12.5,10277
Belmont (NSW),--,--,30.0,12.5,10276
Floraville,--,--,12.4,22.1,11535
Blacksmiths,--,--,31.9,8.8,10396
Pelican (NSW),--,--,24.3,9.8,13178
Marks Point,--,--,31.2,8.6,12492
Belmont South,--,--,28.9,5.8,10278
Kahibah,--,--,19.8,15.8,12048
Charlestown (NSW),--,--,18.4,14.2,10885
Whitebridge,--,--,17.4,19.0,14276
Gateshead,--,--,30.9,4.8,11594
Dudley,--,--,14.5,28.8,11300
Highfields (NSW),--,--,14.5,18.0,11902
Garden Suburb,--,--,11.5,25.0,11587
Hillsborough (Lake Macquarie - NSW),--,--,13.7,12.8,11909
Warners Bay,--,--,21.3,13.0,14153
Argenton,--,--,30.1,4.5,10078
Glendale (NSW),--,--,24.1,8.2,11658
Elermore Vale,--,--,21.5,13.9,11394
Macquarie Hills,--,--,9.8,17.4,12434
Kotara,--,--,15.3,17.2,12200
Cardiff Heights,--,--,21.5,18.0,10810
Cardiff South,--,--,21.5,10.2,10811
New Lambton Heights,--,--,9.2,32.9,12943
Rankin Park,--,--,14.1,18.2,13315
Tingira Heights,--,--,15.1,17.4,13875
Mount Hutton (NSW),--,--,24.4,10.4,12766
Eleebana,--,--,11.9,26.4,11393
Redhead,--,--,27.2,19.5,13340
Caves Beach,--,--,18.3,17.3,10862
Nords Wharf,--,--,15.8,17.5,12975
Swansea (NSW),--,--,34.1,5.7,13711
Swansea Heads,--,--,14.9,18.1,13712
Catherine Hill Bay,--,--,8.0,16.0,10857
Cams Wharf,--,--,21.2,23.1,10784
Murrays Beach,--,--,8.3,27.6,12854
Valentine,--,--,13.7,22.0,14065
Croudace Bay,--,--,16.5,20.6,11128
Lakelands (NSW),--,--,13.3,27.9,12256
Boolaroo,--,--,25.6,8.8,10482
Booragul,--,--,32.5,5.7,10495
Fennell Bay,--,--,23.4,9.4,11500
Marmong Point,--,--,16.8,19.0,12498
Woodrising,--,--,16.1,9.1,14391
Bolton Point,--,--,28.4,5.8,10449
Teralba,--,--,27.9,8.2,13793
Fassifern (NSW),--,--,23.1,10.6,11495
Balcolyn,--,--,25.2,7.3,10145
Yarrawonga Park,--,--,16.4,7.8,14487
Mirrabooka (NSW),--,--,18.4,6.6,12647
Sunshine (NSW),--,--,22.6,5.5,13694
Silverwater (Lake Macquarie - NSW),--,--,23.7,11.8,13546
Bonnells Bay,--,--,20.0,10.1,10468
Brightwaters,--,--,18.3,14.9,10570
Morisset Park,--,--,14.5,16.3,12724
Edgeworth,--,--,25.0,4.7,11381
Cameron Park,--,--,7.4,20.8,10775
Cooranbong,--,--,21.7,10.2,11052
Wyee,--,--,24.1,11.7,14438
Morisset,--,--,35.5,5.2,12723
Wyee Point,--,--,11.6,16.5,14439
Mandalong,--,--,25.5,12.7,12465
Dora Creek,--,--,19.0,8.7,11277
Eraring,--,--,24.6,15.9,11429
Martinsville,--,--,11.2,22.4,12512
Blackalls Park,--,--,25.1,9.3,10390
Toronto,--,--,27.9,6.8,13918
Kilaben Bay,--,--,16.2,20.7,12125
Coal Point,--,--,13.9,26.9,10943
Awaba,--,--,13.0,13.9,10118
Carey Bay,--,--,24.8,13.4,10812
Buttaba,--,--,18.0,16.1,10723
Fishing Point,--,--,14.9,12.2,11526
Rathmines,--,--,17.8,9.8,13319
Arcadia Vale,--,--,20.3,13.2,10073
Balmoral (Lake Macquarie - NSW),--,--,17.0,13.9,10166
Holmesville,--,--,16.6,8.5,11924
Barnsley,--,--,15.0,9.8,10204
Seahampton,--,--,15.2,15.2,13511
West Wallsend,--,--,20.8,6.7,14253
Killingworth (NSW),--,--,10.5,13.1,12137
Wakefield,--,--,0.0,21.9,14088
Adamstown Heights,--,--,13.7,23.1,10017
Adamstown,--,--,22.3,14.9,10016
Kotara South,--,--,20.8,13.2,12201
Beresfield,--,--,27.0,4.1,10301
Hexham (NSW),--,--,26.9,0.0,11898
Hamilton South,--,--,35.5,19.9,11841
Broadmeadow,--,--,22.5,9.0,10578
Hamilton East,--,--,14.9,26.7,11839
Newcastle West,--,--,26.9,9.6,12951
Hamilton North,--,--,20.2,13.8,11840
Hamilton (NSW),--,--,22.1,15.8,11838
New Lambton,--,--,20.9,18.0,12942
Lambton,--,--,25.1,15.7,12264
Jesmond,--,--,36.0,3.1,12023
Maryland (Newcastle - NSW),--,--,15.9,11.2,12514
Fletcher (NSW),--,--,6.0,27.5,11533
Minmi,--,--,12.6,14.9,12638
Warabrook,--,--,20.8,11.4,14140
Mayfield West,--,--,25.4,8.9,12536
Mayfield (Newcastle - NSW),--,--,27.0,8.1,12530
Mayfield East,--,--,21.3,9.9,12534
Merewether Heights,--,--,9.7,34.1,12574
Merewether,--,--,17.2,26.9,12573
The Junction,--,--,20.0,23.2,13827
Cooks Hill,--,--,22.6,20.8,11019
Bar Beach,--,--,29.2,28.3,10187
Newcastle,--,--,14.4,25.1,12949
The Hill,--,--,16.7,19.7,13826
Newcastle East,--,--,25.9,23.1,12950
Carrington (Newcastle - NSW),--,--,23.8,10.7,10830
Shortland,--,--,27.3,5.0,13542
Birmingham Gardens,--,--,28.4,4.1,10377
Sandgate (NSW),--,--,17.0,9.4,13474
North Lambton,--,--,24.0,9.6,12993
Stockton (NSW),--,--,23.3,12.7,13662
Fern Bay,--,--,25.9,11.8,11501
Fullerton Cove,--,--,16.0,8.8,11575
Wallsend,--,--,26.1,8.1,14118
Georgetown (NSW),--,--,19.4,12.6,11603
Waratah West,--,--,25.5,8.8,14142
Waratah (NSW),--,--,29.5,9.6,14141
Wickham (NSW),--,--,20.0,15.5,14285
Maryville,--,--,18.9,15.8,12518
Tighes Hill,--,--,22.1,11.1,13863
Islington,--,--,20.9,11.4,11990
Ballina,--,--,36.0,3.8,10162
West Ballina,--,--,28.7,5.0,14240
East Ballina,--,--,19.2,10.7,11345
Skennars Head,--,--,18.2,14.0,13554
Alstonville,--,--,26.5,7.4,10046
Wollongbar,--,--,17.7,7.7,14357
Wardell,--,--,25.8,4.6,14144
East Wardell,--,--,22.3,7.4,11365
Empire Vale,--,--,19.3,14.0,11416
Meerschaum Vale,--,--,18.3,11.7,12556
Dalwood (Ballina - NSW),--,--,16.2,17.6,11195
Marom Creek,--,--,10.0,0.0,12499
Rous,--,--,14.3,17.9,13427
Pimlico (NSW),--,--,24.2,5.1,13207
Coolgardie (NSW),--,--,10.3,24.1,11031
Keith Hall,--,--,14.3,9.5,12086
Uralba,--,--,12.0,12.0,14050
Tuckombil,--,--,18.8,25.0,13947
Fernleigh,--,--,16.2,12.2,11508
Tintenbar,--,--,14.3,22.2,13878
Cumbalum,--,--,6.4,17.4,11154
Brooklet,--,--,12.7,22.8,10598
Knockrow,--,--,26.2,6.2,12178
Newrybar,--,--,12.9,14.3,12957
Alstonvale,--,--,14.0,18.6,10045
Teven,--,--,15.0,17.5,13807
Lynwood (NSW),--,--,14.3,15.9,12427
Rous Mill,--,--,17.5,14.3,13428
Ewingsdale,--,--,18.4,17.9,11474
Eureka (NSW),--,--,22.2,12.2,11461
Coorabell,--,--,29.9,13.1,11051
Possum Creek,--,--,16.5,15.4,13252
Bangalow,--,--,16.6,12.1,10174
Coopers Shoot,--,--,22.2,21.0,11049
Skinners Shoot,--,--,41.0,17.9,13556
Talofa,--,--,20.0,32.0,13739
Nashua,--,--,29.4,7.1,12914
Federal (NSW),--,--,24.9,14.9,11499
Binna Burra (NSW),--,--,14.8,14.8,10371
Brunswick Heads,--,--,36.2,4.9,10621
Ocean Shores,--,--,24.7,5.8,13070
Tyagarah,--,--,32.7,8.2,13993
New Brighton,--,--,26.7,9.5,12939
South Golden Beach,--,--,26.2,6.7,13581
Wooyung,--,--,54.5,0.0,14418
Byron Bay,--,--,26.7,12.0,10733
Suffolk Park,--,--,19.9,16.3,13684
Woodburn (Richmond Valley - NSW),--,--,28.3,2.2,14379
Broadwater (Richmond Valley - NSW),--,--,29.5,6.4,10580
Rileys Hill,--,--,21.7,0.0,13364
Evans Head,--,--,30.7,6.4,11469
Bungawalbin,--,--,26.8,0.0,10683
New Italy,--,--,12.2,6.1,12941
Swan Bay (Richmond Valley - NSW),--,--,21.5,7.7,13705
Doonbah,--,--,36.5,3.5,11274
Lennox Head,--,--,14.9,17.9,12303
Myocum,--,--,24.8,10.7,12877
Billinudgel,--,--,34.4,10.9,10355
Yelgun,--,--,29.4,0.0,14499
The Pocket,--,--,31.6,6.6,13834
Middle Pocket,--,--,12.2,12.2,12606
Main Arm,--,--,24.9,6.8,12445
Upper Main Arm,--,--,42.7,3.7,14035
Mullumbimby,--,--,29.6,5.8,12828
Mullumbimby Creek,--,--,30.3,9.0,12829
Wilsons Creek,--,--,27.8,6.3,14310
Goonengerry,--,--,38.2,11.0,11712
Huonbrook,--,--,54.8,0.0,11962
Whian Whian,--,--,29.2,12.5,14272
Yorklea,--,--,23.3,8.3,14517
Casino,--,--,32.8,3.0,10843
North Casino,--,--,12.0,10.6,12987
Fairy Hill,--,--,25.2,5.0,11483
Bonalbo,--,--,42.0,3.6,10463
Coraki,--,--,32.6,3.0,11063
Mallanganee,--,--,44.4,0.0,12457
Backmede,--,--,21.1,7.9,10130
Stratheden,--,--,14.5,11.6,13674
Woodview,--,--,19.0,7.1,14397
Bentley (NSW),--,--,26.9,7.5,10298
Spring Grove,--,--,15.0,6.0,13614
McKees Hill,--,--,20.6,9.3,12543
Tatham,--,--,26.5,0.0,13773
Ellangowan (NSW),--,--,18.9,3.2,11400
Leeville,--,--,9.0,4.5,12295
Shannon Brook,--,--,26.0,6.0,13525
Rappville,--,--,46.3,0.0,13318
Goonellabah,--,--,25.3,7.1,11711
Chilcotts Grass,--,--,20.9,17.9,10903
Eden Creek,--,--,33.3,7.0,11376
West Wiangaree,--,--,23.9,19.6,14254
Doubtful Creek,--,--,28.3,0.0,11282
Ettrick (NSW),--,--,42.9,6.1,11448
Kyogle,--,--,35.3,3.9,12229
Cedar Point,--,--,22.1,8.8,10871
Geneva,--,--,24.8,5.3,11599
Upper Horseshoe Creek,--,--,41.4,0.0,14028
Barkers Vale,--,--,54.2,0.0,10201
Lillian Rock,--,--,46.8,3.8,12323
Fawcetts Plain,--,--,15.4,7.7,11498
New Park,--,--,43.8,16.7,12945
Cawongla,--,--,41.3,4.0,10864
Green Pigeon,--,--,45.1,5.9,11752
Collins Creek,--,--,31.7,7.3,10978
East Lismore,--,--,31.0,5.1,11358
Lismore (NSW),--,--,37.3,3.3,12344
Lismore Heights,--,--,24.8,6.4,12345
South Lismore,--,--,35.5,1.7,13589
Girards Hill,--,--,30.7,4.4,11631
Monaltrie,--,--,12.3,5.5,12674
North Lismore,--,--,33.2,4.2,12994
Loftville,--,--,63.6,2.5,12372
Modanville,--,--,13.8,12.2,12655
Clunes (NSW),--,--,14.6,9.0,10939
Terania Creek,--,--,37.1,0.0,13794
The Channon,--,--,30.8,8.3,13816
Koonorigan,--,--,16.8,9.3,12188
Rosebank,--,--,30.1,12.5,13401
Corndale (NSW),--,--,17.4,18.3,11076
East Coraki,--,--,20.6,0.0,11347
Tregeagle,--,--,12.6,20.7,13933
Wyrallah,--,--,12.3,10.8,14449
South Gundurimba,--,--,13.3,10.5,13585
Caniaba,--,--,9.8,15.8,10790
Blakebrook,--,--,28.9,0.0,10402
Goolmangar,--,--,20.0,13.8,11708
Keerrong,--,--,27.8,0.0,12083
Tullera,--,--,13.5,12.4,13956
Bexhill,--,--,14.2,12.8,10333
Richmond Hill (NSW),--,--,14.5,17.9,13361
McLeans Ridges,--,--,8.5,20.3,12545
Eltham (NSW),--,--,12.1,20.2,11409
Lindendale,--,--,16.9,15.5,12336
Nimbin,--,--,49.7,1.7,12965
Stony Chute,--,--,40.8,0.0,13667
Blue Knob,--,--,50.0,0.0,10416
Tuntable Creek,--,--,34.6,4.9,13971
Tucki Tucki,--,--,11.9,14.3,13946
Larnook,--,--,43.8,2.3,12279
Georgica,--,--,33.7,4.3,11604
Jiggi,--,--,25.6,10.4,12026
Rock Valley,--,--,20.3,5.4,13378
Dunoon,--,--,21.7,6.1,11325
Numulgi,--,--,6.8,16.9,13041
Fingal Head,--,--,21.6,13.6,11519
Casuarina (NSW),--,--,8.8,23.3,10851
Kingscliff,--,--,22.6,13.7,12154
Chinderah,--,--,48.7,2.6,10905
Cudgen,--,--,16.7,12.8,11143
Murwillumbah,--,--,29.9,3.8,12866
South Murwillumbah,--,--,30.5,4.6,13593
Bray Park (NSW),--,--,29.3,3.7,10552
Smiths Creek (Tweed - NSW),--,--,26.0,4.2,13562
Mount Burrell,--,--,47.0,0.0,12749
Byrrill Creek,--,--,42.9,7.1,10734
Pumpenbil,--,--,38.0,11.3,13272
Limpinwood,--,--,33.3,11.1,12333
Tyalgum,--,--,33.7,3.7,13994
Dum Dum,--,--,13.3,0.0,11304
Byangum,--,--,37.0,6.5,10729
Eungella (NSW),--,--,24.1,7.2,11460
Crystal Creek (NSW),--,--,17.5,11.2,11138
Chillingham,--,--,34.9,7.2,10904
Stokers Siding,--,--,25.2,4.5,13664
Upper Crystal Creek,--,--,29.5,8.2,14021
Nobbys Creek,--,--,16.8,14.7,12968
Dungay,--,--,15.6,16.9,11318
Dunbible,--,--,25.7,9.2,11309
Fernvale (NSW),--,--,16.2,10.8,11511
Kielvale,--,--,20.7,7.3,12122
Tygalgah,--,--,22.5,15.0,13996
Dulguigan,--,--,16.7,7.1,11302
Urliup,--,--,24.2,8.1,14060
Eviron,--,--,12.7,10.9,11472
Condong,--,--,14.9,8.5,11003
Farrants Hill,--,--,19.1,17.0,11493
Clothiers Creek,--,--,19.7,22.4,10936
Nunderi,--,--,15.7,12.6,13042
Bogangar,--,--,22.6,8.5,10439
Mooball,--,--,23.6,9.1,12687
Cabarita Beach,--,--,25.7,14.3,10737
Pottsville,--,--,20.1,8.3,13257
Crabbes Creek,--,--,29.9,6.9,11102
Upper Burringbar,--,--,40.4,0.0,14015
Burringbar,--,--,24.7,6.6,10713
Hastings Point,--,--,40.0,1.0,11868
Round Mountain,--,--,11.9,16.7,13425
Cudgera Creek,--,--,16.3,16.3,11144
Tweed Heads,--,--,31.1,6.6,13984
Tweed Heads West,--,--,34.7,3.9,13986
Piggabeen,--,--,21.3,11.2,13202
Bilambil Heights,--,--,18.7,9.6,10348
Cobaki,--,--,5.8,17.3,10947
Bilambil,--,--,24.6,9.0,10347
Carool,--,--,17.3,13.5,10822
Glengarrie,--,--,63.5,0.0,11666
Banora Point,--,--,25.6,6.8,10185
Terranora,--,--,13.1,21.4,13802
North Tumbulgum,--,--,17.5,13.8,13012
Tweed Heads South,--,--,35.6,3.7,13985
Griffith (NSW),--,--,21.7,10.5,11782
Yoogali,--,--,11.6,15.8,14516
Bilbul,--,--,18.0,15.6,10349
Yenda (NSW),--,--,22.1,6.8,14504
Beelbangera,--,--,15.8,7.5,10251
Myall Park (NSW),--,--,10.0,20.0,12873
Binya,--,--,7.7,7.7,10373
Hillston,--,--,23.5,9.4,11912
Whitton,--,--,29.6,2.6,14280
Tharbogang,--,--,17.6,16.0,13811
Hanwood,--,--,17.8,12.3,11850
Coleambally,--,--,22.0,11.0,10964
Darlington Point,--,--,24.3,2.5,11215
Goolgowi,--,--,28.4,4.5,11705
Nericon,--,--,17.4,12.8,12927
Lake Wyangan,--,--,15.6,24.2,12255
Murrami,--,--,13.4,7.5,12850
Stanbridge,--,--,22.4,8.2,13646
Leeton,--,--,23.3,8.0,12293
Yanco,--,--,28.6,4.8,14460
Corbie Hill,--,--,19.4,11.1,11068
Merungle Hill,--,--,16.4,11.0,12590
Narrandera,--,--,32.4,5.5,12906
Grong Grong,--,--,20.3,11.4,11784
Boree Creek,--,--,32.3,4.6,10512
Gillenbah,--,--,28.2,10.3,11622
Tumbarumba,--,--,27.0,4.9,13961
Khancoban,--,--,32.4,7.2,12111
Rosewood (Snowy Valleys - NSW),--,--,27.6,0.0,13415
Tooma,--,--,29.4,23.5,13906
Tumut,--,--,28.8,6.6,13966
Gilmore (NSW),--,--,21.2,15.2,11626
Batlow,--,--,30.8,3.0,10232
Talbingo,--,--,31.3,0.0,13730
Gocup,--,--,23.1,15.4,11690
Bombowlee,--,--,15.3,12.9,10459
Lacmalac,--,--,17.1,17.1,12231
Mundongo,--,--,7.1,10.7,12840
Adelong,--,--,32.7,4.7,10018
Cootamundra,--,--,30.7,6.0,11053
Stockinbingal,--,--,33.6,5.2,13660
Wallendbeen,--,--,17.5,16.2,14113
Gundagai,--,--,32.0,5.0,11803
South Gundagai,--,--,27.6,7.5,13584
Tumblong,--,--,16.7,11.7,13963
Nangus,--,--,33.8,10.8,12890
Coolac,--,--,27.1,6.8,11022
Junee,--,--,26.3,8.2,12046
Harefield,--,--,8.6,34.3,11853
Old Junee,--,--,18.7,12.1,13078
Illabo,--,--,24.4,8.9,11972
Bethungra,--,--,40.7,11.9,10328
Wantabadgery,--,--,22.4,19.0,14136
Temora,--,--,28.8,6.5,13784
Lake Albert (NSW),--,--,15.0,16.0,12238
East Wagga Wagga,--,--,25.6,12.8,11364
Kooringal (NSW),--,--,23.0,8.4,12193
Gumly Gumly,--,--,18.7,14.3,11800
Tatton,--,--,8.7,28.1,13775
Estella,--,--,12.2,15.0,11444
Boorooma,--,--,1.3,19.6,10501
North Wagga Wagga,--,--,18.4,13.0,13014
Cartwrights Hill,--,--,15.5,20.7,10839
Springvale (Wagga Wagga - NSW),--,--,6.2,36.8,13628
Lloyd,--,--,8.7,18.9,12365
Bourkelands,--,--,9.4,17.4,10523
Glenfield Park,--,--,16.3,7.1,11665
Tolland,--,--,31.3,7.1,13887
Mount Austin,--,--,32.4,3.7,12748
Turvey Park,--,--,17.8,13.8,13983
San Isidore,--,--,14.7,19.6,13469
Ashmont,--,--,34.4,3.2,10101
Wagga Wagga,--,--,25.1,9.6,14083
Kapooka,--,--,0.0,14.6,12068
Moorong,--,--,17.9,38.5,12715
Ladysmith,--,--,13.0,9.3,12233
The Rock,--,--,24.0,9.1,13838
Forest Hill (NSW),--,--,15.1,5.3,11544
Collingullie,--,--,13.6,10.6,10976
Lockhart,--,--,31.3,8.4,12369
Pleasant Hills,--,--,38.9,8.3,13228
Ganmain,--,--,32.1,7.9,11585
Matong,--,--,22.7,15.9,12523
Yerong Creek,--,--,27.8,7.8,14508
Uranquinty,--,--,14.3,10.3,14055
Currawarna,--,--,20.4,6.1,11178
Oura,--,--,11.3,12.9,13102
Eunanoreenya,--,--,6.7,22.2,11457
Gobbagombalin,--,--,4.7,16.9,11689
Brucedale,--,--,6.1,30.6,10613
Downside,--,--,9.1,36.4,11285
Euberta,--,--,18.2,42.4,11451
Marrar,--,--,13.5,18.0,12503
Coolamon,--,--,20.8,11.2,11025
Tarcutta,--,--,28.3,7.6,13763
Gregadoo,--,--,9.7,21.0,11773
Big Springs,--,--,22.9,11.4,10345
Mangoplah,--,--,9.2,9.2,12470
Gelston Park,--,--,7.9,28.9,11597
Berry,--,--,20.9,11.7,10322
Kangaroo Valley,--,--,21.2,13.4,12061
Barrengarry,--,--,22.9,16.7,10213
Upper Kangaroo River,--,--,28.9,20.0,14030
Broughton Vale,--,--,5.2,24.1,10606
Bellawongarah,--,--,13.8,20.7,10267
Beaumont (NSW),--,--,17.5,20.0,10242
Far Meadow,--,--,13.4,23.9,11488
Coolangatta (NSW),--,--,12.3,22.2,11026
Jaspers Brush,--,--,15.8,20.0,12002
Shoalhaven Heads,--,--,34.5,6.6,13540
Callala Bay,--,--,26.8,8.4,10757
Callala Beach,--,--,28.9,6.3,10758
Currarong,--,--,29.4,6.5,11176
Myola (NSW),--,--,35.9,7.7,12878
Orient Point,--,--,30.8,3.4,13096
Numbaa,--,--,13.6,9.1,13035
Huskisson,--,--,34.7,6.8,11966
Vincentia,--,--,20.2,13.3,14075
Hyams Beach,--,--,14.0,20.0,11967
Bomaderry,--,--,31.0,4.8,10453
Cambewarra,--,--,20.3,23.0,10763
North Nowra,--,--,24.8,7.0,13000
Bangalee (NSW),--,--,15.2,23.8,10173
Meroo Meadow,--,--,14.0,22.1,12579
Cambewarra Village,--,--,11.6,23.5,10764
Tapitallee,--,--,12.5,26.6,13755
Worrigee,--,--,16.1,8.9,14423
Nowra,--,--,36.3,3.3,13028
Nowra Hill,--,--,10.8,19.0,13029
Terara,--,--,34.0,7.2,13795
South Nowra,--,--,22.1,8.6,13594
St Georges Basin,--,--,26.4,5.2,13636
Worrowing Heights,--,--,32.5,3.1,14424
Basin View,--,--,29.5,4.4,10223
Sanctuary Point,--,--,31.4,3.0,13472
Wrights Beach,--,--,9.5,9.5,14428
Old Erowal Bay,--,--,30.7,1.7,13075
Sussex Inlet,--,--,36.0,3.3,13700
Berrara,--,--,28.9,5.6,10313
Cudmirrah,--,--,26.0,0.0,11145
Falls Creek (NSW),--,--,15.8,11.6,11487
Tomerong,--,--,20.2,11.0,13894
Wandandian,--,--,14.6,12.4,14127
Woollamia,--,--,20.7,8.3,14405
Parma,--,--,18.4,16.3,13155
Ulladulla,--,--,34.3,3.5,14003
Kings Point,--,--,19.5,4.9,12153
Burrill Lake,--,--,31.7,2.5,10712
Dolphin Point,--,--,33.8,5.9,11269
Milton (NSW),--,--,26.3,8.6,12630
Mollymook Beach,--,--,25.7,5.5,12670
Narrawallee,--,--,26.9,6.2,12909
Mollymook,--,--,26.4,5.7,12669
Manyana,--,--,27.9,4.8,12482
Conjola,--,--,10.3,25.6,11011
Fishermans Paradise,--,--,39.7,1.7,11523
Lake Tabourie,--,--,32.8,3.8,12254
Conjola Park,--,--,30.9,8.9,11012
Lake Conjola,--,--,31.2,1.7,12244
Yatte Yattah,--,--,17.9,10.7,14497
Little Forest,--,--,27.1,10.2,12351
Morton,--,--,15.9,14.3,12730
Woodstock (Shoalhaven - NSW),--,--,15.5,12.7,14396
Bawley Point,--,--,33.5,6.5,10235
Kioloa,--,--,34.9,5.5,12165
Termeil,--,--,15.0,11.2,13797
Bowral,--,--,21.0,16.4,10536
Burradoo,--,--,14.7,26.6,10701
Woodlands (Wingecarribee - NSW),--,--,15.7,24.1,14388
Balmoral (Wingecarribee - NSW),--,--,14.0,17.1,10167
Hill Top (Wingecarribee - NSW),--,--,15.7,10.4,11905
Colo Vale,--,--,16.0,14.3,10985
Alpine,--,--,8.6,20.0,10044
Aylmerton,--,--,13.2,8.8,10119
Mittagong,--,--,25.2,11.9,12653
Willow Vale (Wingecarribee - NSW),--,--,15.2,9.2,14307
Renwick,--,--,10.2,18.6,13350
Balaclava (NSW),--,--,17.8,8.1,10143
Welby,--,--,28.8,7.4,14219
Braemar,--,--,16.3,11.9,10545
Moss Vale,--,--,25.2,10.6,12739
Sutton Forest,--,--,20.6,18.4,13703
Berrima,--,--,15.3,20.7,10320
New Berrima,--,--,24.5,6.7,12938
Robertson (NSW),--,--,19.5,11.9,13374
Kangaloon,--,--,20.5,34.1,12058
Wildes Meadow,--,--,20.2,31.0,14292
Burrawang,--,--,14.6,24.4,10708
Avoca (NSW),--,--,16.1,14.5,10113
Fitzroy Falls,--,--,28.1,25.0,11529
Bundanoon (NSW),--,--,25.5,10.0,10670
Wingello,--,--,19.0,8.4,14330
Exeter (NSW),--,--,18.4,16.2,11475
Medway,--,--,25.8,9.7,12555
Canyonleigh,--,--,23.3,13.5,10799
Penrose,--,--,35.8,12.3,13185
Baulkham Hills,--,--,10.8,29.3,10233
Bella Vista,--,--,7.2,49.1,10263
Glenhaven,--,--,11.2,37.4,11667
Castle Hill (NSW),--,--,12.4,34.3,10847
West Pennant Hills,--,--,9.3,44.6,14249
Cherrybrook,--,--,9.8,39.1,10898
Kellyville,--,--,7.0,39.9,12088
Kenthurst,--,--,9.8,42.5,12100
Glenorie,--,--,11.9,29.8,11673
Maroota,--,--,10.2,22.8,12500
Canoelands,--,--,12.8,19.1,10794
Cattai,--,--,16.4,30.0,10859
South Maroota,--,--,9.4,21.9,13592
Dural (Hornsby - NSW),--,--,14.1,34.7,11328
Sackville North,--,--,6.2,26.2,13459
Lower Portland,--,--,14.1,15.4,12412
Middle Dural,--,--,12.6,41.3,12603
Annangrove,--,--,8.5,39.6,10062
Galston,--,--,16.1,28.3,11582
Arcadia (NSW),--,--,9.0,37.7,10072
Fiddletown,--,--,8.3,36.7,11513
Berowra Waters,--,--,36.4,13.6,10311
Berrilee,--,--,5.1,33.9,10319
Bilpin,--,--,19.6,10.1,10358
Colo Heights,--,--,22.7,12.5,10984
Lower Macdonald,--,--,19.0,7.6,12408
Cumberland Reach,--,--,6.5,19.6,11156
Bowen Mountain,--,--,11.8,18.8,10528
Grose Vale,--,--,10.3,31.4,11785
Grose Wold,--,--,8.3,35.0,11786
Kurrajong,--,--,12.3,29.7,12218
Kurrajong Hills,--,--,10.5,34.8,12220
Kurrajong Heights,--,--,13.3,24.1,12219
Kurmond,--,--,11.0,22.0,12215
The Slopes,--,--,5.1,22.8,13842
East Kurrajong,--,--,9.1,29.1,11356
Wilberforce (NSW),--,--,14.8,23.2,14288
Freemans Reach,--,--,12.7,19.1,11564
Sackville,--,--,10.8,21.6,13458
Ebenezer (NSW),--,--,12.1,22.7,11371
Glossodia,--,--,9.3,16.6,11684
Blaxlands Ridge,--,--,12.5,23.2,10409
Tennyson (NSW),--,--,13.6,28.2,13789
Vineyard,--,--,34.1,15.9,14076
McGraths Hill,--,--,9.9,19.4,12542
Maraylya,--,--,12.1,29.6,12484
Oakville,--,--,8.7,28.2,13060
Pitt Town,--,--,8.3,29.6,13226
Pitt Town Bottoms,--,--,16.0,40.0,13227
Rouse Hill,--,--,8.2,34.9,13429
Beaumont Hills,--,--,5.5,44.9,10243
Nelson (The Hills Shire - NSW),--,--,10.3,25.9,12922
