,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%)
East Killara,12.0,227.0,474.0,177.0,11.0,1.3,25.2,52.6,19.6,1.2
East Lindfield,42.0,315.0,550.0,193.0,24.0,3.7,28.0,48.9,17.2,2.1
East Ryde,30.0,231.0,341.0,143.0,21.0,3.9,30.2,44.5,18.7,2.7
Eastern Creek,22.0,86.0,80.0,48.0,18.0,8.7,33.9,31.5,18.9,7.1
Eastlakes,674.0,1104.0,489.0,139.0,149.0,26.4,43.2,19.1,5.4,5.8
Eastwood (NSW),794.0,2327.0,1739.0,576.0,135.0,14.3,41.8,31.2,10.3,2.4
Edensor Park,116.0,657.0,996.0,805.0,68.0,4.4,24.9,37.7,30.5,2.6
Edgecliff,258.0,512.0,153.0,27.0,27.0,26.4,52.4,15.7,2.8,2.8
Edgeworth,214.0,832.0,846.0,382.0,70.0,9.1,35.5,36.1,16.3,3.0
Elanora Heights,24.0,242.0,624.0,301.0,24.0,2.0,19.9,51.4,24.8,2.0
Elderslie (Camden - NSW),61.0,396.0,681.0,288.0,40.0,4.2,27.0,46.5,19.6,2.7
Eleebana,33.0,449.0,934.0,467.0,29.0,1.7,23.5,48.8,24.4,1.5
Elermore Vale,114.0,649.0,696.0,343.0,55.0,6.1,34.9,37.5,18.5,3.0
Elizabeth Bay,1241.0,1272.0,213.0,54.0,85.0,43.3,44.4,7.4,1.9,3.0
Emerton,141.0,287.0,174.0,70.0,41.0,19.8,40.3,24.4,9.8,5.8
Empire Bay,30.0,277.0,344.0,132.0,35.0,3.7,33.9,42.1,16.1,4.3
Emu Heights (NSW),27.0,240.0,500.0,255.0,21.0,2.6,23.0,47.9,24.4,2.0
Emu Plains,183.0,973.0,1112.0,482.0,124.0,6.4,33.9,38.7,16.8,4.3
Enfield (NSW),129.0,389.0,292.0,111.0,26.0,13.6,41.1,30.8,11.7,2.7
Engadine,252.0,1689.0,2565.0,1085.0,106.0,4.4,29.6,45.0,19.0,1.9
Enmore (Marrickville - NSW),371.0,706.0,277.0,49.0,41.0,25.7,48.9,19.2,3.4,2.8
Epping (NSW),673.0,2996.0,2481.0,828.0,127.0,9.5,42.2,34.9,11.7,1.8
Erina,284.0,876.0,453.0,200.0,64.0,15.1,46.7,24.1,10.7,3.4
Ermington,387.0,1057.0,1202.0,445.0,101.0,12.1,33.1,37.7,13.9,3.2
Erskine Park,47.0,374.0,798.0,627.0,45.0,2.5,19.8,42.2,33.2,2.4
Erskineville,713.0,1801.0,574.0,90.0,56.0,22.0,55.7,17.7,2.8,1.7
Eschol Park,28.0,264.0,325.0,179.0,23.0,3.4,32.2,39.7,21.9,2.8
Ettalong Beach,382.0,1065.0,466.0,87.0,109.0,18.1,50.5,22.1,4.1,5.2
Fairfield (NSW),1131.0,2363.0,1290.0,499.0,268.0,20.4,42.6,23.2,9.0,4.8
Fairfield East,248.0,503.0,447.0,206.0,80.0,16.7,33.9,30.1,13.9,5.4
Fairfield Heights,268.0,741.0,597.0,288.0,115.0,13.3,36.9,29.7,14.3,5.7
Fairfield West,223.0,1060.0,1102.0,607.0,114.0,7.2,34.1,35.5,19.5,3.7
Fairlight,212.0,1119.0,712.0,141.0,52.0,9.5,50.0,31.8,6.3,2.3
Fairy Meadow,451.0,1118.0,730.0,284.0,113.0,16.7,41.5,27.1,10.5,4.2
Farmborough Heights,34.0,376.0,654.0,277.0,35.0,2.5,27.3,47.5,20.1,2.5
Faulconbridge,52.0,491.0,591.0,260.0,23.0,3.7,34.7,41.7,18.3,1.6
Fennell Bay,33.0,227.0,215.0,98.0,19.0,5.6,38.3,36.3,16.6,3.2
Figtree,214.0,1208.0,1534.0,661.0,86.0,5.8,32.6,41.4,17.9,2.3
Five Dock,415.0,1388.0,1153.0,339.0,109.0,12.2,40.8,33.9,10.0,3.2
Fletcher (NSW),3.0,123.0,478.0,185.0,6.0,0.4,15.5,60.1,23.3,0.8
Flinders (NSW),64.0,473.0,826.0,305.0,46.0,3.7,27.6,48.2,17.8,2.7
Floraville,12.0,145.0,214.0,130.0,14.0,2.3,28.2,41.6,25.2,2.7
Forest Lodge,320.0,544.0,220.0,49.0,40.0,27.3,46.4,18.8,4.2,3.4
Forestville (NSW),200.0,908.0,1134.0,416.0,48.0,7.4,33.6,41.9,15.4,1.8
Forresters Beach,27.0,245.0,416.0,161.0,26.0,3.1,28.0,47.5,18.4,3.0
Frenchs Forest,99.0,1106.0,2048.0,844.0,75.0,2.4,26.5,49.1,20.2,1.8
Garden Suburb,17.0,167.0,304.0,138.0,20.0,2.6,25.9,47.1,21.4,3.1
Gateshead,183.0,542.0,403.0,149.0,43.0,13.9,41.1,30.5,11.3,3.3
Georges Hall,116.0,757.0,1070.0,589.0,72.0,4.5,29.1,41.1,22.6,2.8
Georgetown (NSW),103.0,329.0,297.0,88.0,26.0,12.2,39.0,35.2,10.4,3.1
Girraween (NSW),161.0,708.0,498.0,179.0,42.0,10.1,44.6,31.4,11.3,2.6
Gladesville,583.0,1827.0,1384.0,458.0,121.0,13.3,41.8,31.6,10.5,2.8
Glebe (NSW),1578.0,2175.0,722.0,138.0,178.0,32.9,45.4,15.1,2.9,3.7
Glen Alpine,16.0,200.0,524.0,475.0,14.0,1.3,16.3,42.6,38.6,1.1
Glenbrook,72.0,522.0,712.0,359.0,37.0,4.2,30.7,41.8,21.1,2.2
Glendale (NSW),120.0,452.0,451.0,208.0,37.0,9.5,35.6,35.6,16.4,2.9
Glendenning,46.0,506.0,638.0,207.0,32.0,3.2,35.4,44.6,14.5,2.2
Glenfield (NSW),216.0,1025.0,785.0,325.0,84.0,8.9,42.1,32.2,13.3,3.4
Glenhaven,38.0,400.0,829.0,631.0,26.0,2.0,20.8,43.1,32.8,1.4
Glenmore Park,105.0,1531.0,3023.0,1416.0,85.0,1.7,24.9,49.1,23.0,1.4
Glenning Valley,11.0,165.0,319.0,159.0,16.0,1.6,24.6,47.6,23.7,2.4
Glenwood (NSW),61.0,1004.0,2199.0,908.0,69.0,1.4,23.7,51.9,21.4,1.6
Gordon (NSW),129.0,871.0,857.0,302.0,36.0,5.9,39.7,39.0,13.8,1.6
Gorokan,359.0,1438.0,904.0,337.0,154.0,11.2,45.1,28.3,10.6,4.8
Gosford,345.0,863.0,330.0,50.0,57.0,21.0,52.5,20.1,3.0,3.5
Granville (NSW),806.0,1995.0,1107.0,392.0,193.0,17.9,44.4,24.6,8.7,4.3
Grays Point,13.0,157.0,429.0,262.0,16.0,1.5,17.9,48.9,29.9,1.8
Green Point (Great Lakes - NSW),4.0,94.0,88.0,33.0,6.0,1.8,41.8,39.1,14.7,2.7
Green Valley (NSW),176.0,832.0,1339.0,860.0,99.0,5.3,25.2,40.5,26.0,3.0
Greenacre,742.0,2208.0,2312.0,1176.0,310.0,11.0,32.7,34.3,17.4,4.6
Greenfield Park,58.0,336.0,570.0,313.0,53.0,4.4,25.3,42.9,23.5,4.0
Greenwich,165.0,897.0,656.0,189.0,41.0,8.5,46.0,33.7,9.7,2.1
Greystanes,369.0,2156.0,3010.0,1394.0,162.0,5.2,30.4,42.4,19.7,2.3
Guildford (NSW),980.0,2282.0,1691.0,815.0,286.0,16.2,37.7,27.9,13.5,4.7
Guildford West,127.0,500.0,509.0,215.0,50.0,9.1,35.7,36.3,15.3,3.6
Gwynneville,227.0,460.0,265.0,95.0,41.0,20.9,42.3,24.4,8.7,3.8
Gymea,273.0,1192.0,1032.0,339.0,61.0,9.4,41.1,35.6,11.7,2.1
Gymea Bay,61.0,505.0,1064.0,507.0,44.0,2.8,23.2,48.8,23.2,2.0
Haberfield,234.0,826.0,814.0,293.0,75.0,10.4,36.8,36.3,13.1,3.3
Halekulani,91.0,446.0,317.0,118.0,47.0,8.9,43.8,31.1,11.6,4.6
Hamilton (NSW),286.0,757.0,502.0,149.0,69.0,16.2,42.9,28.5,8.5,3.9
Hamilton East,31.0,104.0,139.0,47.0,10.0,9.4,31.4,42.0,14.2,3.0
Hamilton North,33.0,136.0,132.0,44.0,8.0,9.3,38.5,37.4,12.5,2.3
Hamilton South,398.0,518.0,483.0,158.0,158.0,23.2,30.2,28.2,9.2,9.2
Hammondville,65.0,304.0,426.0,161.0,80.0,6.3,29.3,41.1,15.5,7.7
Harrington Park,24.0,389.0,1219.0,524.0,29.0,1.1,17.8,55.8,24.0,1.3
Harris Park,388.0,994.0,256.0,52.0,94.0,21.7,55.7,14.3,2.9,5.3
Hassall Grove,27.0,362.0,540.0,239.0,36.0,2.2,30.1,44.9,19.9,3.0
Haymarket,1044.0,459.0,56.0,8.0,74.0,63.6,28.0,3.4,0.5,4.5
Heathcote (NSW),125.0,608.0,823.0,421.0,42.0,6.2,30.1,40.8,20.9,2.1
Hebersham,218.0,631.0,495.0,231.0,73.0,13.2,38.3,30.0,14.0,4.4
Heckenberg,123.0,329.0,241.0,122.0,46.0,14.3,38.2,28.0,14.2,5.3
Henley,5.0,39.0,69.0,38.0,0.0,3.3,25.8,45.7,25.2,0.0
Highfields (NSW),22.0,129.0,167.0,57.0,4.0,5.8,34.0,44.1,15.0,1.1
Hillsborough (Lake Macquarie - NSW),5.0,72.0,80.0,59.0,7.0,2.2,32.3,35.9,26.5,3.1
Hillsdale,333.0,965.0,429.0,83.0,76.0,17.7,51.2,22.7,4.4,4.0
Hinchinbrook (NSW),88.0,738.0,1246.0,722.0,82.0,3.1,25.7,43.3,25.1,2.9
Holmesville,19.0,111.0,193.0,137.0,14.0,4.0,23.4,40.7,28.9,3.0
