,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Lalor Park,"1,795",199,,159,,&nbsp;,399,"1,997",65,,,,62,,,,,,,,,,,,,,61.6,6.8,,5.5,,&nbsp;,13.7,68.5,2.2,,,,2.1,,,,,,,,,,,,,
Lambton,"1,602",134,,,,&nbsp;,84,"1,737",50,,62,57,,,,,,,,,,,,,,,67.1,5.6,,,,&nbsp;,3.5,72.6,2.1,,2.6,2.4,,,,,,,,,,,,,,
Lane Cove,"2,327",170,,,,&nbsp;,"1,462","2,508","1,155",,210,,101,,,,,,,,,,,,,,45.7,3.3,,,,&nbsp;,28.7,49.3,22.7,,4.1,,2.0,,,,,,,,,,,,,
Lane Cove North,"2,317",190,,257,,&nbsp;,"1,606","2,518","1,066",,235,,,,,,,,,,,,,,,,44.2,3.6,,4.9,,&nbsp;,30.6,48.0,20.3,,4.5,,,,,,,,,,,,,,,
Lane Cove West,545,39,,,,&nbsp;,250,589,197,,35,,20,,,,,,,,,,,,,,49.5,3.5,,,,&nbsp;,22.7,53.5,17.9,,3.2,,1.8,,,,,,,,,,,,,
Lansvale,651,42,20,52,17,&nbsp;,93,689,,,,,,,,,,,,,,,,,,,68.7,4.4,2.1,5.5,1.8,&nbsp;,9.8,72.7,,,,,,,,,,,,,,,,,,
Lapstone,253,18,,57,,&nbsp;,74,275,,,10,,,5,,,,,,,,,,,,,58.0,4.1,,13.1,,&nbsp;,17.0,63.1,,,2.3,,,1.1,,,,,,,,,,,,
Lavender Bay,146,13,,123,,&nbsp;,183,156,23,,103,,,,,,,,,,,,,,,,27.4,2.4,,23.1,,&nbsp;,34.4,29.4,4.3,,19.4,,,,,,,,,,,,,,,
Leichhardt,"3,219",271,,,,&nbsp;,"2,246","3,510","1,566",,380,217,,,,,,,,,,,,,,,41.4,3.5,,,,&nbsp;,28.9,45.2,20.2,,4.9,2.8,,,,,,,,,,,,,,
Leonay,851,57,27,67,21,&nbsp;,121,910,,,,,,,,,,,,,,,,,,,66.5,4.5,2.1,5.2,1.6,&nbsp;,9.5,71.0,,,,,,,,,,,,,,,,,,
Lethbridge Park,790,119,,44,,&nbsp;,147,909,27,,,,46,,,,,,,,,,,,,,61.9,9.3,,3.4,,&nbsp;,11.5,71.1,2.1,,,,3.6,,,,,,,,,,,,,
Leumeah,"2,581",251,71,526,,&nbsp;,803,"2,841",,,,,80,,,,,,,,,,,,,,59.6,5.8,1.6,12.1,,&nbsp;,18.5,65.6,,,,,1.8,,,,,,,,,,,,,
Lewisham,537,48,,396,,&nbsp;,539,586,64,,,,48,,,,,,,,,,,,,,35.4,3.2,,26.1,,&nbsp;,35.5,38.6,4.2,,,,3.2,,,,,,,,,,,,,
Liberty Grove,510,39,18,286,,&nbsp;,363,552,,,48,,,,,,,,,,,,,,,,46.3,3.5,1.6,26.0,,&nbsp;,32.9,50.1,,,4.4,,,,,,,,,,,,,,,
Lidcombe,"3,483",401,,"2,027",,&nbsp;,"2,520","3,899",,,204,,243,,,,,,,,,,,,,,46.6,5.4,,27.1,,&nbsp;,33.7,52.2,,,2.7,,3.3,,,,,,,,,,,,,
Lilli Pilli,420,31,10,25,,&nbsp;,47,453,,,9,,,,,,,,,,,,,,,,64.5,4.8,1.5,3.8,,&nbsp;,7.2,69.6,,,1.4,,,,,,,,,,,,,,,
Lilyfield,"1,646",133,,,,&nbsp;,915,"1,785",538,,145,,,,,,,,,,,,158,,,,44.3,3.6,,,,&nbsp;,24.6,48.0,14.5,,3.9,,,,,,,,,,,,4.3,,,
Lindfield,"1,804",114,81,899,,&nbsp;,"1,151","1,919",,,126,,,,,,,,,,,,,,,,45.1,2.9,2.0,22.5,,&nbsp;,28.8,48.0,,,3.2,,,,,,,,,,,,,,,
Linley Point,132,7,4,,,&nbsp;,29,140,17,,,,,,,,,,,,,,,4,,,63.8,3.4,1.9,,,&nbsp;,14.0,67.6,8.2,,,,,,,,,,,,,,,1.9,,
Lisarow,"1,493",109,46,163,,&nbsp;,255,"1,614",,,45,,,,,,,,,,,,,,,,60.1,4.4,1.9,6.6,,&nbsp;,10.3,64.9,,,1.8,,,,,,,,,,,,,,,
Little Bay,836,83,,,,&nbsp;,164,924,113,,,19,,,21,,,,,,,,,,,,62.0,6.2,,,,&nbsp;,12.1,68.4,8.4,,,1.4,,,1.6,,,,,,,,,,,
Liverpool,"4,322",473,,814,,&nbsp;,"1,369","4,809",188,,507,,,,,,,,,,,,,,,,56.1,6.1,,10.6,,&nbsp;,17.8,62.5,2.4,,6.6,,,,,,,,,,,,,,,
Loftus,"1,112",74,43,280,19,&nbsp;,363,"1,192",,,,,,,,,,,,,,,,,,,56.1,3.7,2.2,14.1,1.0,&nbsp;,18.3,60.1,,,,,,,,,,,,,,,,,,
Long Jetty,"1,415",108,,,34,&nbsp;,128,"1,530",60,,50,,,,,,,,,,,,,,,,66.5,5.1,,,1.6,&nbsp;,6.0,71.9,2.8,,2.3,,,,,,,,,,,,,,,
Long Point,61,8,4,,8,&nbsp;,5,74,,,,,,,,,,,,,3,,,,,,55.5,7.3,3.6,,7.3,&nbsp;,4.5,66.1,,,,,,,,,,,,,2.7,,,,,
Longueville,510,46,,,,&nbsp;,164,561,70,46,18,,,,,,,,,,,,,,,,50.6,4.6,,,,&nbsp;,16.3,55.7,7.0,4.6,1.8,,,,,,,,,,,,,,,
Lugarno,"1,702",96,131,168,,&nbsp;,404,"1,811",,,,,,,,,,,,,34,,,,,,62.2,3.5,4.8,6.1,,&nbsp;,14.8,66.2,,,,,,,,,,,,,1.2,,,,,
Lurnea,"1,764",175,,100,,&nbsp;,337,"1,945",94,,,,63,,,,,,,,,,,,,,64.2,6.4,,3.6,,&nbsp;,12.3,70.8,3.4,,,,2.3,,,,,,,,,,,,,
Macquarie Fields,"2,764",311,91,687,,&nbsp;,"1,110","3,087",,,,,137,,,,,,,,,,,,,,54.9,6.2,1.8,13.7,,&nbsp;,22.1,61.4,,,,,2.7,,,,,,,,,,,,,
Macquarie Hills,"1,231",77,,,19,&nbsp;,17,"1,319",,,15,,,17,,,,,,,,,,,,,73.5,4.6,,,1.1,&nbsp;,1.0,78.7,,,0.9,,,1.0,,,,,,,,,,,,
Macquarie Links,400,25,18,64,,&nbsp;,109,423,,,,,14,,,,,,,,,,,,,,64.6,4.0,2.9,10.3,,&nbsp;,17.6,68.4,,,,,2.3,,,,,,,,,,,,,
Macquarie Park,"1,116",80,,316,,&nbsp;,773,"1,203",322,,455,,,,,,,,,,,,,,,,39.4,2.8,,11.2,,&nbsp;,27.3,42.4,11.4,,16.1,,,,,,,,,,,,,,,
Malabar,863,69,,,,&nbsp;,218,934,164,,35,27,,,,,,,,,,,,,,,59.0,4.7,,,,&nbsp;,14.9,63.8,11.2,,2.4,1.8,,,,,,,,,,,,,,
Mangerton,814,68,,37,,&nbsp;,86,883,21,,23,,,,,,,,,,,,,,,,65.2,5.4,,3.0,,&nbsp;,6.9,70.8,1.7,,1.8,,,,,,,,,,,,,,,
Manly,"2,748",,,,,&nbsp;,"3,217","2,961",688,"1,536",633,,,,,,,,411,,,,,,,,32.6,,,,,&nbsp;,38.2,35.1,8.2,18.2,7.5,,,,,,,,4.9,,,,,,,
Manly Vale,"1,560",143,,,,&nbsp;,747,"1,705",579,,125,,70,,,,,,,,,,,,,,48.8,4.5,,,,&nbsp;,23.4,53.3,18.1,,3.9,,2.2,,,,,,,,,,,,,
Marayong,"1,816",168,,334,54,&nbsp;,586,"1,994",,,,,92,,,,,,,,,,,,,,58.9,5.4,,10.8,1.8,&nbsp;,19.0,64.7,,,,,3.0,,,,,,,,,,,,,
Mardi,991,83,19,76,,&nbsp;,138,"1,075",,,31,,,,,,,,,,,,,,,,65.0,5.4,1.2,5.0,,&nbsp;,9.1,70.6,,,2.0,,,,,,,,,,,,,,,
Marks Point,488,31,,,,&nbsp;,21,525,18,,6,,,,,7,,,,,,,,,,,72.1,4.6,,,,&nbsp;,3.1,77.4,2.7,,0.9,,,,,1.0,,,,,,,,,,
Marmong Point,261,11,,3,5,&nbsp;,9,273,,,,,,5,,,,,,,,,,,,,73.3,3.1,,0.8,1.4,&nbsp;,2.5,76.3,,,,,,1.4,,,,,,,,,,,,
Maroubra,"6,843",625,,,,&nbsp;,"3,380","7,491","2,715",,422,,326,,,,,,,,,,,,,,49.6,4.5,,,,&nbsp;,24.5,54.2,19.7,,3.1,,2.4,,,,,,,,,,,,,
Marrickville,"4,653",,,"2,299",,&nbsp;,"4,204","5,110",997,,563,,481,,,,,,,,,,,,,,38.1,,,18.8,,&nbsp;,34.5,41.9,8.2,,4.6,,3.9,,,,,,,,,,,,,
Marsfield,"2,992",286,,264,,&nbsp;,"1,359","3,284",748,,253,,,,,,,,,,,,,,,,52.2,5.0,,4.6,,&nbsp;,23.7,57.2,13.0,,4.4,,,,,,,,,,,,,,,
Maryland,"2,910",214,,,40,&nbsp;,72,"3,131",37,,,,,28,,,,,,,,,,,,,74.2,5.5,,,1.0,&nbsp;,1.8,79.8,0.9,,,,,0.7,,,,,,,,,,,,
Maryville,477,39,,,,&nbsp;,34,521,16,,31,41,,,,,,,,,,,,,,,60.8,5.0,,,,&nbsp;,4.3,66.4,2.0,,3.9,5.2,,,,,,,,,,,,,,
Mascot,"2,529",282,,611,,&nbsp;,"1,396","2,816",564,,369,,,,,,,,,,,,,,,,47.1,5.3,,11.4,,&nbsp;,26.0,52.5,10.5,,6.9,,,,,,,,,,,,,,,
Matraville,"2,363",242,,,,&nbsp;,726,"2,607",563,,118,,60,,,,,,,,,,,,,,56.4,5.8,,,,&nbsp;,17.3,62.3,13.4,,2.8,,1.4,,,,,,,,,,,,,
Mayfield,"2,627",283,,,,&nbsp;,224,"2,915",143,,148,69,,,,,,,,,,,,,,,63.7,6.9,,,,&nbsp;,5.4,70.7,3.5,,3.6,1.7,,,,,,,,,,,,,,
Mayfield East,546,47,,,,&nbsp;,33,591,22,,23,20,,,,,,,,,,,,,,,67.5,5.8,,,,&nbsp;,4.1,73.0,2.7,,2.8,2.5,,,,,,,,,,,,,,
Mayfield West,472,43,,,,&nbsp;,34,518,26,,24,18,,,,,,,,,,,,,,,63.8,5.8,,,,&nbsp;,4.6,70.1,3.5,,3.2,2.4,,,,,,,,,,,,,,
Mays Hill,167,16,,33,,&nbsp;,76,185,,,14,,20,,,,,,,,,,,,,,51.7,5.0,,10.2,,&nbsp;,23.5,57.1,,,4.3,,6.2,,,,,,,,,,,,,
McMahons Point,429,44,,260,,&nbsp;,527,470,,125,169,,,,,,,,,,,,,,,,29.5,3.0,,17.9,,&nbsp;,36.1,32.3,,8.6,11.6,,,,,,,,,,,,,,,
Meadowbank,896,68,,730,,&nbsp;,887,965,,,67,,61,,,,,,,,,,,,,,41.1,3.1,,33.5,,&nbsp;,40.7,44.3,,,3.1,,2.8,,,,,,,,,,,,,
Melrose Park,417,32,,59,,&nbsp;,122,450,18,,,,18,,,,,,,,,,,,,,57.4,4.4,,8.1,,&nbsp;,16.8,61.9,2.5,,,,2.5,,,,,,,,,,,,,
Menai,"3,747",228,270,247,,&nbsp;,734,"3,985",,,82,,,,,,,,,,,,,,,,65.3,4.0,4.7,4.3,,&nbsp;,12.8,69.4,,,1.4,,,,,,,,,,,,,,,
Merewether,"3,916",287,,,,&nbsp;,152,"4,211",83,,172,172,,,,,,,,,,,,,,,67.6,5.0,,,,&nbsp;,2.6,72.7,1.4,,3.0,3.0,,,,,,,,,,,,,,
Merewether Heights,455,32,,,9,&nbsp;,6,489,,,6,11,,,,,,,,,,,,,,,68.7,4.8,,,1.4,&nbsp;,0.9,74.0,,,0.9,1.7,,,,,,,,,,,,,,
Merrylands,"5,580",708,,"1,257",,&nbsp;,"2,103","6,300",285,,,,300,,,,,,,,,,,,,,55.6,7.1,,12.5,,&nbsp;,20.9,62.7,2.8,,,,3.0,,,,,,,,,,,,,
Merrylands West,"1,416",135,,138,,&nbsp;,388,"1,561",98,,,,87,,,,,,,,,,,,,,59.7,5.7,,5.8,,&nbsp;,16.4,65.8,4.1,,,,3.7,,,,,,,,,,,,,
Middle Cove,296,33,,,,&nbsp;,123,335,83,,9,,12,,,,,,,,,,,,,,47.7,5.3,,,,&nbsp;,19.8,53.8,13.4,,1.4,,1.9,,,,,,,,,,,,,
Miller,405,83,,,19,&nbsp;,90,493,33,,,,22,,,,,,,,,,,,,,57.4,11.8,,,2.7,&nbsp;,12.8,69.8,4.7,,,,3.1,,,,,,,,,,,,,
Millers Point,160,24,,62,,&nbsp;,121,181,46,,376,,,,,,,,,,,,,,,,19.5,2.9,,7.6,,&nbsp;,14.8,22.1,5.6,,45.8,,,,,,,,,,,,,,,
Milperra,"1,351",76,34,105,36,&nbsp;,221,"1,429",,,,,,,,,,,,,,,,,,,67.4,3.8,1.7,5.2,1.8,&nbsp;,11.0,71.3,,,,,,,,,,,,,,,,,,
Milsons Point,276,19,,401,,&nbsp;,472,292,,21,181,,,,,,,,,,,,,,,,25.3,1.7,,36.7,,&nbsp;,43.1,26.7,,1.9,16.6,,,,,,,,,,,,,,,
Minchinbury,"1,826",186,57,157,,&nbsp;,351,"2,019",,,,,45,,,,,,,,,,,,,,65.4,6.7,2.0,5.6,,&nbsp;,12.6,72.4,,,,,1.6,,,,,,,,,,,,,
Minmi,261,23,,,6,&nbsp;,0,283,,,6,,,,,,,3,,,,,,,,,75.2,6.6,,,1.7,&nbsp;,0.0,81.6,,,1.7,,,,,,,0.9,,,,,,,,
Minto,"2,394",252,,615,,&nbsp;,911,"2,653",,,69,,85,,,,,,,,,,,,,,56.7,6.0,,14.6,,&nbsp;,21.6,62.8,,,1.6,,2.0,,,,,,,,,,,,,
Miranda,"4,043",313,86,814,,&nbsp;,"1,073","4,366",,,326,,,,,,,,,,,,,,,,58.1,4.5,1.2,11.7,,&nbsp;,15.4,62.8,,,4.7,,,,,,,,,,,,,,,
Mona Vale,"3,163",185,,,72,&nbsp;,465,"3,356",378,,241,,,,,,,,,,,,,,,,61.8,3.6,,,1.4,&nbsp;,9.1,65.6,7.4,,4.7,,,,,,,,,,,,,,,
Monterey,"1,246",104,,97,,&nbsp;,310,"1,348",39,,,,95,,,,,,,,,,,,,,62.5,5.2,,4.9,,&nbsp;,15.5,67.5,2.0,,,,4.8,,,,,,,,,,,,,
Moorebank,"2,274",170,82,180,,&nbsp;,405,"2,446",,,111,,,,,,,,,,,,,,,,63.1,4.7,2.3,5.0,,&nbsp;,11.2,67.9,,,3.1,,,,,,,,,,,,,,,
Mortdale,"2,458",187,,"1,283",,&nbsp;,"1,544","2,649",,,124,,113,,,,,,,,,,,,,,48.6,3.7,,25.4,,&nbsp;,30.6,52.4,,,2.5,,2.2,,,,,,,,,,,,,
Mortlake,252,18,,15,,&nbsp;,60,276,10,,,,12,,,,,,,,,,,,,,59.7,4.3,,3.6,,&nbsp;,14.2,65.4,2.4,,,,2.8,,,,,,,,,,,,,
Mosman,"5,559",436,,,,&nbsp;,"3,996","6,008","2,458",554,667,,,,,,,,,,,,,,,,41.2,3.2,,,,&nbsp;,29.6,44.5,18.2,4.1,4.9,,,,,,,,,,,,,,,
Mount Annan,"3,833",282,168,203,76,&nbsp;,531,"4,127",,,,,,,,,,,,,,,,,,,68.1,5.0,3.0,3.6,1.3,&nbsp;,9.4,73.3,,,,,,,,,,,,,,,,,,
Mount Colah,"2,136",151,139,509,,&nbsp;,823,"2,292",,,,,60,,,,,,,,,,,,,,54.6,3.9,3.6,13.0,,&nbsp;,21.0,58.6,,,,,1.5,,,,,,,,,,,,,
Mount Druitt,"3,122",395,,880,,&nbsp;,"1,266","3,531",,,168,,167,,,,,,,,,,,,,,54.6,6.9,,15.4,,&nbsp;,22.1,61.8,,,2.9,,2.9,,,,,,,,,,,,,
Mount Hutton,"1,008",91,,,16,&nbsp;,23,"1,097",,,25,,,17,,,,,,,,,,,,,72.6,6.6,,,1.2,&nbsp;,1.7,78.8,,,1.8,,,1.2,,,,,,,,,,,,
Mount Keira,504,54,,11,,&nbsp;,34,562,,,12,11,,,,,,,,,,,,,,,65.9,7.1,,1.4,,&nbsp;,4.4,73.5,,,1.6,1.4,,,,,,,,,,,,,,
Mount Kembla,363,35,,,9,&nbsp;,9,401,5,,13,,,,,,,,,,,,,,,,68.2,6.6,,,1.7,&nbsp;,1.7,75.4,0.9,,2.4,,,,,,,,,,,,,,,
Mount Lewis,212,24,8,23,,&nbsp;,52,240,,,9,,,,,,,,,,,,,,,,60.4,6.8,2.3,6.6,,&nbsp;,14.8,68.6,,,2.6,,,,,,,,,,,,,,,
Mount Ousley,455,47,,15,,&nbsp;,38,504,12,,20,,,,,,,,,,,,,,,,64.7,6.7,,2.1,,&nbsp;,5.4,71.7,1.7,,2.8,,,,,,,,,,,,,,,
Mount Pleasant,415,31,,9,,&nbsp;,26,446,,,11,12,,,,,,,,,,,,,,,71.1,5.3,,1.5,,&nbsp;,4.5,76.4,,,1.9,2.1,,,,,,,,,,,,,,
Mount Pritchard,"2,049",249,,139,,&nbsp;,400,"2,316",79,,,,75,,,,,,,,,,,,,,63.3,7.7,,4.3,,&nbsp;,12.4,71.6,2.4,,,,2.3,,,,,,,,,,,,,
Mount Riverview,996,59,45,89,22,&nbsp;,182,"1,059",,,,,,,,,,,,,,,,,,,64.5,3.8,2.9,5.8,1.4,&nbsp;,11.8,68.5,,,,,,,,,,,,,,,,,,
Mount Saint Thomas,406,52,,10,,&nbsp;,27,455,,,14,13,,,,,,,,,,,,,,,65.0,8.3,,1.6,,&nbsp;,4.3,72.9,,,2.2,2.1,,,,,,,,,,,,,,
Mount Warrigal,"1,289",109,,,17,&nbsp;,52,"1,401",21,,19,,,,,,,,,,,,,,,,70.5,6.0,,,0.9,&nbsp;,2.8,76.6,1.1,,1.0,,,,,,,,,,,,,,,
Narara,"2,313",207,73,300,38,&nbsp;,514,"2,534",,,,,,,,,,,,,,,,,,,60.2,5.4,1.9,7.8,1.0,&nbsp;,13.4,66.0,,,,,,,,,,,,,,,,,,
Narellan,"1,203",94,33,,43,&nbsp;,101,"1,298",,,47,,,,,,,,,,,,,,,,69.1,5.4,1.9,,2.5,&nbsp;,5.8,74.6,,,2.7,,,,,,,,,,,,,,,
Narellan Vale,"2,673",171,114,94,59,&nbsp;,283,"2,855",,,,,,,,,,,,,,,,,,,70.6,4.5,3.0,2.5,1.6,&nbsp;,7.5,75.4,,,,,,,,,,,,,,,,,,
Naremburn,"1,247",105,,373,,&nbsp;,908,"1,352",411,,294,,,,,,,,,,,,,,,,39.4,3.3,,11.8,,&nbsp;,28.7,42.8,13.0,,9.3,,,,,,,,,,,,,,,
Narrabeen,"2,321",131,,,,&nbsp;,516,"2,458",434,,96,,,43,,,,,,,,,,,,,62.8,3.5,,,,&nbsp;,14.0,66.5,11.7,,2.6,,,1.2,,,,,,,,,,,,
Narraweena,"1,589",171,,,55,&nbsp;,335,"1,767",241,,81,,,,,,,,,,,,,,,,58.5,6.3,,,2.0,&nbsp;,12.3,65.1,8.9,,3.0,,,,,,,,,,,,,,,
Narwee,"1,048",81,,414,,&nbsp;,520,"1,135",,,37,,45,,,,,,,,,,,,,,53.6,4.1,,21.2,,&nbsp;,26.6,58.1,,,1.9,,2.3,,,,,,,,,,,,,
Neutral Bay,"1,968",171,,222,,&nbsp;,"2,275","2,144","1,497",,717,,,,,,,,,,,,,,,,32.2,2.8,,3.6,,&nbsp;,37.3,35.1,24.5,,11.7,,,,,,,,,,,,,,,
New Lambton,"3,110",244,,,,&nbsp;,192,"3,367",112,,138,88,,,,,,,,,,,,,,,66.2,5.2,,,,&nbsp;,4.1,71.7,2.4,,2.9,1.9,,,,,,,,,,,,,,
New Lambton Heights,834,51,,,11,&nbsp;,35,888,13,,20,,,,,,,,,,,,,,,,69.6,4.3,,,0.9,&nbsp;,2.9,74.1,1.1,,1.7,,,,,,,,,,,,,,,
Newcastle,825,75,,34,,&nbsp;,98,899,40,,215,,,,,,,,,,,,,,,,57.4,5.2,,2.4,,&nbsp;,6.8,62.6,2.8,,15.0,,,,,,,,,,,,,,,
Newcastle East,247,19,,,,&nbsp;,41,266,19,,56,20,,,,,,,,,,,,,,,49.5,3.8,,,,&nbsp;,8.2,53.3,3.8,,11.2,4.0,,,,,,,,,,,,,,
Newcastle West,175,15,,11,,&nbsp;,33,190,17,,47,,,,,,,,,,,,,,,,54.3,4.7,,3.4,,&nbsp;,10.3,59.2,5.3,,14.6,,,,,,,,,,,,,,,
Newington,"1,706",115,96,141,,&nbsp;,589,"1,820",,,,,203,,,,,,,,,,,,,,60.0,4.0,3.4,5.0,,&nbsp;,20.7,64.0,,,,,7.1,,,,,,,,,,,,,
Newport,"2,982",193,,,49,&nbsp;,396,"3,185",311,,155,,,,,,,,,,,,,,,,62.3,4.0,,,1.0,&nbsp;,8.3,66.5,6.5,,3.2,,,,,,,,,,,,,,,
Newtown,"2,088",,,"2,100",,&nbsp;,"3,579","2,312","1,034",,"1,114",432,,,,,,,,,,,,,,,23.3,,,23.5,,&nbsp;,40.0,25.8,11.6,,12.5,4.8,,,,,,,,,,,,,,
Niagara Park,801,72,25,112,18,&nbsp;,165,871,,,,,,,,,,,,,,,,,,,59.9,5.4,1.9,8.4,1.3,&nbsp;,12.3,65.1,,,,,,,,,,,,,,,,,,
Norah Head,307,29,,,6,&nbsp;,15,344,7,,,,,5,,,,,,,,,,,,,66.5,6.3,,,1.3,&nbsp;,3.3,74.1,1.5,,,,,1.1,,,,,,,,,,,,
Noraville,765,55,13,,21,&nbsp;,38,829,,,14,,,,,,,,,,,,,,,,69.2,5.0,1.2,,1.9,&nbsp;,3.4,75.0,,,1.3,,,,,,,,,,,,,,,
Normanhurst,"1,178",78,52,423,,&nbsp;,573,"1,260",,,59,,,,,,,,,,,,,,,,51.2,3.4,2.3,18.4,,&nbsp;,24.9,54.8,,,2.6,,,,,,,,,,,,,,,
North Avoca,704,37,19,26,17,&nbsp;,67,747,,,,,,,,,,,,,,,,,,,67.2,3.5,1.8,2.5,1.6,&nbsp;,6.4,71.3,,,,,,,,,,,,,,,,,,
North Balgowlah,877,69,,,,&nbsp;,309,951,249,,27,30,,,,,,,,,,,,,,,52.7,4.1,,,,&nbsp;,18.6,57.2,15.0,,1.6,1.8,,,,,,,,,,,,,,
North Bondi,"2,048",164,,,,&nbsp;,"1,254","2,213",392,,149,,546,,,,,,,,,,,,,,44.9,3.6,,,,&nbsp;,27.5,48.5,8.6,,3.3,,12.0,,,,,,,,,,,,,
North Curl Curl,960,79,,,,&nbsp;,266,"1,050",186,,58,31,,,,,,,,,,,,,,,55.4,4.6,,,,&nbsp;,15.4,60.6,10.7,,3.3,1.8,,,,,,,,,,,,,,
North Epping,"1,109",79,58,236,,&nbsp;,467,"1,188",,,,,73,,,,,,,,,,,,,,52.4,3.7,2.7,11.1,,&nbsp;,22.1,56.1,,,,,3.4,,,,,,,,,,,,,
North Gosford,866,96,26,126,,&nbsp;,238,970,,,54,,,,,,,,,,,,,,,,55.4,6.1,1.7,8.1,,&nbsp;,15.2,62.0,,,3.5,,,,,,,,,,,,,,,
North Lambton,922,70,,,,&nbsp;,40,992,29,,32,19,,,,,,,,,,,,,,,66.3,5.0,,,,&nbsp;,2.9,71.4,2.1,,2.3,1.4,,,,,,,,,,,,,,
North Manly,683,65,,,,&nbsp;,201,758,131,,71,39,,,,,,,,,,,,,,,50.9,4.8,,,,&nbsp;,15.0,56.4,9.8,,5.3,2.9,,,,,,,,,,,,,,
North Narrabeen,"1,837",130,,,48,&nbsp;,284,"1,971",232,,70,,,,,,,,,,,,,,,,61.8,4.4,,,1.6,&nbsp;,9.5,66.3,7.8,,2.4,,,,,,,,,,,,,,,
North Parramatta,"2,988",,,397,,&nbsp;,"1,253","3,279",322,,385,,364,,,,,,,,,,,,,,52.3,,,6.9,,&nbsp;,21.9,57.3,5.6,,6.7,,6.4,,,,,,,,,,,,,
North Rocks,"2,377",154,,,,&nbsp;,493,"2,541",245,,60,,84,,,,,,,,,,,,,,62.9,4.1,,,,&nbsp;,13.0,67.3,6.5,,1.6,,2.2,,,,,,,,,,,,,
North Ryde,"2,535",204,,130,,&nbsp;,962,"2,742",709,,169,,,,,,,,,,,,,,,,53.9,4.3,,2.8,,&nbsp;,20.5,58.3,15.1,,3.6,,,,,,,,,,,,,,,
North St Marys,797,98,,110,27,&nbsp;,169,898,,,34,,,,,,,,,,,,,,,,60.8,7.5,,8.4,2.1,&nbsp;,12.9,68.4,,,2.6,,,,,,,,,,,,,,,
North Strathfield,980,75,,651,,&nbsp;,761,"1,059",,,77,,40,,,,,,,,,,,,,,44.7,3.4,,29.7,,&nbsp;,34.7,48.3,,,3.5,,1.8,,,,,,,,,,,,,
North Sydney,886,,,736,,&nbsp;,"1,388",963,447,,747,,102,,,,,,,,,,,,,,23.9,,,19.9,,&nbsp;,37.5,26.0,12.1,,20.2,,2.8,,,,,,,,,,,,,
North Turramurra,755,41,80,87,,&nbsp;,243,799,,,40,,,,,,,,,,,,,,,,52.5,2.8,5.6,6.0,,&nbsp;,16.9,55.5,,,2.8,,,,,,,,,,,,,,,
North Wahroonga,519,32,40,108,,&nbsp;,202,549,,,,,19,,,,,,,,,,,,,,54.5,3.4,4.2,11.3,,&nbsp;,21.2,57.7,,,,,2.0,,,,,,,,,,,,,
North Willoughby,865,71,,,,&nbsp;,519,942,405,,95,,47,,,,,,,,,,,,,,46.0,3.8,,,,&nbsp;,27.6,50.1,21.5,,5.1,,2.5,,,,,,,,,,,,,
North Wollongong,577,54,,29,,&nbsp;,114,632,57,,80,,,,,,,,,,,,,,,,52.7,4.9,,2.7,,&nbsp;,10.4,57.9,5.2,,7.3,,,,,,,,,,,,,,,
Northbridge,"1,353",104,,,,&nbsp;,620,"1,465",511,,111,,43,,,,,,,,,,,,,,47.7,3.7,,,,&nbsp;,21.8,51.6,18.0,,3.9,,1.5,,,,,,,,,,,,,
Northmead,"3,147",203,,,,&nbsp;,735,"3,359",309,,140,,141,,,,,,,,,,,,,,62.6,4.0,,,,&nbsp;,14.6,66.8,6.1,,2.8,,2.8,,,,,,,,,,,,,
Northwood,226,18,8,,,&nbsp;,76,246,32,27,,,,,,,,,,,,,,,,,52.0,4.1,1.8,,,&nbsp;,17.5,56.3,7.4,6.2,,,,,,,,,,,,,,,,
Oak Flats,"1,941",166,,49,,&nbsp;,117,"2,115",35,,77,,,,,,,,,,,,,,,,68.4,5.9,,1.7,,&nbsp;,4.1,74.6,1.2,,2.7,,,,,,,,,,,,,,,
Oakhurst,"2,039",229,73,202,,&nbsp;,494,"2,277",,,,,72,,,,,,,,,,,,,,62.9,7.1,2.3,6.2,,&nbsp;,15.2,70.3,,,,,2.2,,,,,,,,,,,,,
Oatlands,"1,572",125,,75,,&nbsp;,276,"1,706",45,,,,67,,,,,,,,,,,,,,64.0,5.1,,3.1,,&nbsp;,11.2,69.5,1.8,,,,2.7,,,,,,,,,,,,,
