,English,Australian,Scottish,Irish,German,Lebanese,Welsh,French,Dutch,Italian,Indian,Australian Aboriginal,Greek,New Zealander,Maori,Australian South Sea Islander,American,Norwegian,Chinese,Maltese,Hungarian,Colombian,Danish,Austrian,South African,"British, nec",Vietnamese,Tongan,Latvian,Egyptian,Polish,Ukrainian,Portuguese,Macedonian,Turkish,Indonesian,Japanese,Filipino,Thai,Korean,Swiss,Afghan,Slovak,Mauritian,Czech,Serbian,Samoan,Pakistani,Bangladeshi,Russian,Syrian,Nepalese,Mongolian,Iranian,Armenian,Assyrian,Iraqi,Sri Lankan,Croatian,Chaldean,Khmer (Cambodian,English (%),Australian (%),Scottish (%),Irish (%),German (%),Lebanese (%),Welsh (%),French (%),Dutch (%),Italian (%),Indian (%),Australian Aboriginal (%),Greek (%),New Zealander (%),Maori (%),Australian South Sea Islander (%),American (%),Norwegian (%),Chinese (%),Maltese (%),Hungarian (%),Colombian (%),Danish (%),Austrian (%),South African (%),"British, nec (%)",Vietnamese (%),Tongan (%),Latvian (%),Egyptian (%),Polish (%),Ukrainian (%),Portuguese (%),Macedonian (%),Turkish (%),Indonesian (%),Japanese (%),Filipino (%),Thai (%),Korean (%),Swiss (%),Afghan (%),Slovak (%),Mauritian (%),Czech (%),Serbian (%),Samoan (%),Pakistani (%),Bangladeshi (%),Russian (%),Syrian (%),Nepalese (%),Mongolian (%),Iranian (%),Armenian (%),Assyrian (%),Iraqi (%),Sri Lankan (%),Croatian (%),Chaldean (%),Khmer (Cambodian (%),SSC_CODE
Kosciuszko National Park,168,169,62,55,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,23.4,8.6,7.6,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12199
Adaminaby,135,114,27,38,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,29.5,7.0,9.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10015
Nimmitabel,167,140,38,56,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,31.8,8.6,12.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12966
Numeralla,95,91,25,42,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,26.3,7.2,12.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13039
Colinton (NSW),60,40,16,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,22.3,8.9,12.3,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10968
Dairymans Plains,59,78,15,12,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,39.0,7.5,6.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11188
Binjura,160,124,34,42,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,26.8,7.4,9.1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10370
Bunyan,66,78,22,25,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,37.1,10.5,11.9,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10691
Bredbo,161,128,36,72,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,26.2,7.4,14.8,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10559
Berridale,509,569,134,171,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,34.2,8.1,10.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10316
