,English,Australian,Scottish,Irish,German,Lebanese,Welsh,French,Dutch,Italian,Indian,Australian Aboriginal,Greek,New Zealander,Maori,Australian South Sea Islander,American,Norwegian,Chinese,Maltese,Hungarian,Colombian,Danish,Austrian,South African,"British, nec",Vietnamese,Tongan,Latvian,Egyptian,Polish,Ukrainian,Portuguese,Macedonian,Turkish,Indonesian,Japanese,Filipino,Thai,Korean,Swiss,Afghan,Slovak,Mauritian,Czech,Serbian,Samoan,Pakistani,Bangladeshi,Russian,Syrian,Nepalese,Mongolian,Iranian,Armenian,Assyrian,Iraqi,Sri Lankan,Croatian,Chaldean,Khmer (Cambodian,English (%),Australian (%),Scottish (%),Irish (%),German (%),Lebanese (%),Welsh (%),French (%),Dutch (%),Italian (%),Indian (%),Australian Aboriginal (%),Greek (%),New Zealander (%),Maori (%),Australian South Sea Islander (%),American (%),Norwegian (%),Chinese (%),Maltese (%),Hungarian (%),Colombian (%),Danish (%),Austrian (%),South African (%),"British, nec (%)",Vietnamese (%),Tongan (%),Latvian (%),Egyptian (%),Polish (%),Ukrainian (%),Portuguese (%),Macedonian (%),Turkish (%),Indonesian (%),Japanese (%),Filipino (%),Thai (%),Korean (%),Swiss (%),Afghan (%),Slovak (%),Mauritian (%),Czech (%),Serbian (%),Samoan (%),Pakistani (%),Bangladeshi (%),Russian (%),Syrian (%),Nepalese (%),Mongolian (%),Iranian (%),Armenian (%),Assyrian (%),Iraqi (%),Sri Lankan (%),Croatian (%),Chaldean (%),Khmer (Cambodian (%),SSC_CODE
Vaucluse,"2,605","2,105",734,982,,,,,,,,,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,16.3,5.7,7.6,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14071
Dover Heights,785,749,,237,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,15.5,14.8,,4.7,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,11284
Watsons Bay,306,224,83,132,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,19.0,7.1,11.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14187
Woollahra,"2,633","1,727",834,"1,108",,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,16.7,8.1,10.7,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14404
Clovelly,"1,878","1,390",499,871,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,20.3,7.3,12.7,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10938
South Coogee,"1,463","1,353",403,795,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,18.5,5.5,10.8,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13579
Coogee (NSW),"5,106","3,450","1,460","2,736",,,,,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,16.4,6.9,13.0,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015
La Perouse,83,146,,38,,,,,,,,72,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,29.0,,7.5,,,,,,,,14.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12230
Little Bay,"1,197","1,049",310,556,,,,,,,,,,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,17.7,5.2,9.4,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12349
Malabar,"1,136","1,166",304,522,,,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,17.3,4.5,7.8,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12453
Chifley (NSW),891,906,217,457,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,20.6,4.9,10.4,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10901
Phillip Bay,203,234,49,80,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,25.0,5.2,8.6,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13193
Kensington (NSW),"2,703","2,392",746,"1,439",,,,,,,,,,,,,,,"4,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,12.5,3.9,7.5,,,,,,,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12099
Kingsford (NSW),"2,127","1,910",,"1,112",,,,,,,,,"1,270",,,,,,"5,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.2,,5.9,,,,,,,,,6.8,,,,,,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12156
Maroubra,"6,572","5,793",,"3,321",,,,,,,,,"2,147",,,,,,"5,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,14.5,,8.3,,,,,,,,,5.4,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12501
Randwick,"8,671","6,228","2,533","5,059",,,,,,,,,,,,,,,"2,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,15.3,6.2,12.4,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13312
Georges Hall,"1,265","1,757",,,,"1,979",,,,653,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,15.7,,,,17.7,,,,5.8,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11601
Bass Hill,"1,218","1,492",,,,"2,315",,,,475,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,13.5,,,,20.9,,,,4.3,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10224
Yagoona,"1,934","2,359",,,,"4,263",,,,,,,,,,,,,"1,215",,,,,,,,"2,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,11.1,,,,20.0,,,,,,,,,,,,,5.7,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14453
Villawood,649,753,,,,"1,053",,,,,,,,,,,,,481,,,,,,,,"1,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,10.8,,,,15.1,,,,,,,,,,,,,6.9,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14074
Greenacre,"2,034","2,964",,,,"8,782",,,,"1,146",,,,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,10.4,,,,30.7,,,,4.0,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11757
Potts Hill,,,,,,88,,,,,62,,,,,,,,172,,,,,,,,108,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,6.3,,,,,,,,17.4,,,,,,,,11.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,13255
Milperra,"1,357","1,527",311,505,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,28.5,5.8,9.4,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12625
Revesby,"2,742","3,042",,920,,"1,217",,,,,,,,,,,,,"1,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,17.0,,5.1,,6.8,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13355
Condell Park,"1,174","1,539",,,,"3,114",,,,,,,622,,,,,,,,,,,,,,"1,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,11.3,,,,22.8,,,,,,,4.6,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001
Bankstown,"2,078","2,492",,,,"4,685",,,,,,,,,,,,,"3,499",,,,,,,,"6,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.8,,,,12.7,,,,,,,,,,,,,9.5,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180
Mount Lewis,80,158,,,,538,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,5.8,11.5,,,,39.2,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,12774
Punchbowl (Canterbury-Bankstown - NSW),"1,443","2,060",,,,"6,156",,,,,,,,,,,,,"1,347",,,,,,,,"1,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,8.8,,,,26.2,,,,,,,,,,,,,5.7,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13273
Padstow,"2,600","2,836",,888,,821,,,,,,,,,,,,,"2,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,16.9,,5.3,,4.9,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13120
Padstow Heights,"1,139","1,059",237,358,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,22.5,5.0,7.6,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13121
Panania,"3,068","3,552",,"1,195",,840,,,,,,,,,,,,,"1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,21.6,,7.3,,5.1,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13144
East Hills,867,"1,016",185,286,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,24.2,4.4,6.8,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11351
Picnic Point,"1,725","1,918",493,683,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,23.1,5.9,8.2,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13199
Revesby Heights,412,500,117,157,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,23.2,5.4,7.3,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13356
Birrong,365,435,,,,383,,,,,,,,,,,,,483,,,,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,11.7,,,,10.3,,,,,,,,,,,,,12.9,,,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10379
Belmore,"1,200","1,219",,,,"1,422",,,,,,,"2,013",,,,,,"1,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.1,,,,9.5,,,,,,,13.4,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10279
Belfield,709,856,,,,"1,110",,,,838,,,,,,,,,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,11.2,,,,14.5,,,,11.0,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10257
Campsie,"1,511","1,448",,,,"1,607",,,,,,,,,,,,,"8,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,910",,,,,,,,,,5.5,5.2,,,,5.8,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,10782
Canterbury (NSW),950,939,,416,,,,,,,,,691,,,,,,"1,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.5,,4.7,,,,,,,,,7.7,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10797
Clemton Park,193,253,,,,167,,,,,,,395,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,12.7,,,,8.4,,,,,,,19.8,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10928
Earlwood,"2,707","2,785",,,,"1,319",,,,"1,602",,,"4,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,12.5,,,,5.9,,,,7.2,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11343
Kingsgrove,"1,435","1,596",,,,,,,,"1,002",,,"2,581",,,,,,"2,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,10.7,,,,,,,,6.7,,,17.2,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12158
Riverwood,"1,500","1,464",,448,,777,,,,,,,,,,,,,"3,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.2,,3.1,,5.4,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13371
Roselands,"1,320","1,602",,,,"1,738",,,,,,,"1,754",,,,,,"1,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,11.3,,,,12.3,,,,,,,12.4,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13409
Beverly Hills,"1,287","1,274",,,,,,,,533,,,"1,044",,,,,,"3,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.4,,,,,,,,4.4,,,8.5,,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10331
Narwee,717,719,,264,,277,,,,,,,,,,,,,"1,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.7,,3.9,,4.1,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12912
Lakemba,,"1,312",,,,"1,491",,,,,"1,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,161","2,518",,,,,,,,,,,,,,6.7,,,,7.7,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.9,,,,,,,,,,,,,12257
Wiley Park,623,769,,,,"1,267",,,,,,,,,,,,,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400",,,,,,,,,,,,,5.3,6.6,,,,10.8,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,14293
Hurstville,"2,205","1,703",,,,,,,,,,,971,,,,,,"16,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,195",,,,,,,,,,6.6,5.1,,,,,,,,,,,2.9,,,,,,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,11964
Carlton (NSW),"1,406","1,379",,,,,,,,,,,880,,,,,,"2,421",,,,,,,,,,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,10.7,,,,,,,,,,,6.8,,,,,,18.8,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10819
Penshurst (NSW),"2,065","1,902",,829,,,,,,,,,,,,,,,"3,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,,,,,,,,,,13.2,12.1,,5.3,,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,13186
Oatley,"3,265","3,002",954,"1,266",,,,,,,,,,,,,,,"1,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,21.1,6.7,8.9,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13064
Mortdale,"2,409","2,185",590,893,,,,,,,,,,,,,,,"1,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,16.4,4.4,6.7,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12728
Peakhurst,"2,426","2,570",,886,,,,,,,,,650,,,,,,"1,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,18.9,,6.5,,,,,,,,,4.8,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13168
Hurstville Grove,428,490,,163,,,,,,,,,386,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,15.0,,5.0,,,,,,,,,11.8,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11965
Lugarno,"1,711","1,607",408,649,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,21.3,5.4,8.6,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12421
Peakhurst Heights,736,738,183,253,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,23.8,5.9,8.1,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13169
South Hurstville,699,675,,,,304,,,,,,,417,,,,,,"1,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.0,,,,4.9,,,,,,,6.8,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13587
Blakehurst,"1,097","1,079",,440,,,,,,,,,"1,085",,,,,,"1,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,13.8,,5.6,,,,,,,,,13.9,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10403
Kyle Bay,176,217,,,,69,,,,,,,177,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,16.2,,,,5.1,,,,,,,13.2,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12227
Connells Point,610,550,,,,,,,,207,,,406,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,15.5,,,,,,,,5.8,,,11.4,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11013
Carss Park,263,300,,98,,,,,,,,,210,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,18.5,,6.0,,,,,,,,,12.9,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10837
Arncliffe,"1,416","1,474",,,,"1,609",,,,,,,,,,,,,"1,385",,,,,,,,,,,,,,,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,11.5,,,,12.6,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,10086
Wolli Creek,623,466,,,,,,,,,231,,,,,,,,"2,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,8.4,6.3,,,,,,,,,3.1,,,,,,,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,14353
Turrella,363,346,,145,,369,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,11.3,,4.7,,12.1,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13982
Bardwell Valley,424,412,,188,,375,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,14.0,,6.4,,12.7,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10196
Bardwell Park,401,350,,,,,,,,156,,,512,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,12.3,,,,,,,,5.5,,,18.0,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10195
Bexley,"2,556","2,601",,,,"2,162",,,,,,,"1,822",,,,,,"2,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.9,,,,9.1,,,,,,,7.6,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10334
Kogarah,"1,474","1,354",,,,,,,,,"1,126",,,,,,,,"2,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,680",,,,,,,,,,8.3,7.6,,,,,,,,,6.4,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,12181
Bexley North,531,601,,,,254,,,,,,,880,,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,12.0,,,,5.1,,,,,,,17.5,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10335
Allawah,529,584,,211,,,,,,,,,,,,,,,"1,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,,8.0,8.8,,3.2,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,10038
Beverley Park,392,411,,157,,,,,,,,,489,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.6,,5.2,,,,,,,,,16.2,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10330
Kogarah Bay,353,324,,,,,,,,172,,,384,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,13.0,,,,,,,,6.9,,,15.4,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12182
Kyeemagh,109,152,,,,67,,,,57,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,14.0,,,,6.2,,,,5.2,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12226
Brighton-le-Sands,"1,184","1,136",,498,,,,,,514,,,"1,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.1,,4.9,,,,,,5.0,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10569
Rockdale,"1,426","1,270",,,,,,,,,,,,,,,,,"2,499",,,,,,,,,,,,,,,977,,,,,,,,,,,,,,,,,,"2,110",,,,,,,,,,7.9,7.1,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,13379
Monterey,653,646,,254,,,,,,221,,,"1,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.7,,4.6,,,,,,4.0,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12686
Banksia,453,535,,,,218,,,,,,,,,,,,,384,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,12.8,,,,5.2,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10178
Sandringham (NSW),336,235,66,137,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,14.7,4.1,8.6,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13478
Dolls Point,348,363,,136,,,,,,107,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,16.6,,6.2,,,,,,4.9,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11267
Sans Souci,"2,169","2,139",,817,,,,,,609,,,"1,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,16.2,,6.2,,,,,,4.6,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13489
Ramsgate,265,257,72,83,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,17.1,4.8,5.5,,,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13309
Ramsgate Beach,348,308,,124,,,,,,98,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,14.8,,5.9,,,,,,4.7,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13310
