,Personal and Household Good Retailing,Business Services,Construction Trade Services,Food Retailing,Education,Health Services,"Accommodation, Cafes and Restaurants",Community Services,Metal Product Manufacturing,Personal and Household Good Wholesaling,Finance,Government Administration,Machinery and Equipment Manufacturing,Road Transport,Property Services,General Construction,Services to Finance and Insurance,Communication Services,"Libraries, Museums and the Arts",Other Services,Defence,Machinery and Motor Vehicle Wholesaling,Motor Vehicle Retailing and Services,Sport and Recreation,"Petroleum, Coal, Chemical and Associated Product Manufacturing","Printing, Publishing and Recorded Media","Food, Beverage and Tobacco Manufacturing","Water Supply, Sewerage and Drainage Services",Air and Space Transport,Commercial Fishing,"Motion Picture, Radio and Television Services",Personal and Household Good Retailing (%),Business Services (%),Construction Trade Services (%),Food Retailing (%),Education (%),Health Services (%),"Accommodation, Cafes and Restaurants (%)",Community Services (%),Metal Product Manufacturing (%),Personal and Household Good Wholesaling (%),Finance (%),Government Administration (%),Machinery and Equipment Manufacturing (%),Road Transport (%),Property Services (%),General Construction (%),Services to Finance and Insurance (%),Communication Services (%),"Libraries, Museums and the Arts (%)",Other Services (%),Defence (%),Machinery and Motor Vehicle Wholesaling (%),Motor Vehicle Retailing and Services (%),Sport and Recreation (%),"Petroleum, Coal, Chemical and Associated Product Manufacturing (%)","Printing, Publishing and Recorded Media (%)","Food, Beverage and Tobacco Manufacturing (%)","Water Supply, Sewerage and Drainage Services (%)",Air and Space Transport (%),Commercial Fishing (%),"Motion Picture, Radio and Television Services (%)"
Maryland,231,226,,228,,268,,,190,,,,,,,,,,,,,,,,,,,,,,,4.7,4.6,,4.6,,5.4,,,3.9,,,,,,,,,,,,,,,,,,,,,,
Maryville,32,43,,,,38,43,,,,,24,,,,,,,,,,,,,,,,,,,,3.6,4.8,,,,4.3,4.8,,,,,2.7,,,,,,,,,,,,,,,,,,,
Mascot,199,345,,,195,181,274,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.2,,,3.0,2.7,4.2,,,,,,,,,,,,,,,,,,,,,,,,
Matraville,255,379,,,256,278,245,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.4,,,3.6,3.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield,,241,,232,204,266,225,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.1,2.8,3.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Mayfield East,32,36,,,,44,39,34,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.0,,,,3.7,3.2,2.8,,,,,,,,,,,,,,,,,,,,,,,
Mayfield West,46,54,,,45,60,49,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.8,,,3.2,4.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Mays Hill,14,26,11,,,11,15,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.0,2.1,,,2.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,
McMahons Point,,384,,,76,83,,,,,63,,,,,,57,,,,,,,,,,,,,,,,19.8,,,3.9,4.3,,,,,3.3,,,,,,2.9,,,,,,,,,,,,,,
Meadowbank,64,178,,,70,97,,,,,58,,,,,,,,,,,,,,,,,,,,,3.5,9.8,,,3.8,5.3,,,,,3.2,,,,,,,,,,,,,,,,,,,,
Melrose Park,,123,56,54,58,77,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,3.6,3.5,3.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Menai,343,545,,273,407,347,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,7.3,,3.7,5.5,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Merewether,363,510,,,508,559,322,,,,,,,,,,,,,,,,,,,,,,,,,4.3,6.1,,,6.1,6.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,
Merewether Heights,50,86,,33,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,8.1,,3.1,7.6,7.3,,,,,,,,,,,,,,,,,,,,,,,,,
Merrylands,464,732,469,450,,401,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.7,3.0,2.9,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Merrylands West,169,190,116,123,,121,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.3,2.6,2.8,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Cove,18,99,,,39,38,22,,,,,,,,,,,,,,,,,,,,,,,,,2.4,12.9,,,5.1,5.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Miller,50,53,,45,,,,,33,,,,34,,,,,,,,,,,,,,,,,,,2.1,2.3,,1.9,,,,,1.4,,,,1.5,,,,,,,,,,,,,,,,,,
Millers Point,37,109,,,,20,31,,,,26,,,,,,,,,,,,,,,,,,,,,3.4,10.0,,,,1.8,2.9,,,,2.4,,,,,,,,,,,,,,,,,,,,
Milperra,139,159,126,,174,,,,,,,,120,,,,,,,,,,,,,,,,,,,4.4,5.0,4.0,,5.5,,,,,,,,3.8,,,,,,,,,,,,,,,,,,
Milsons Point,,260,,,,31,,,,,66,,,,,,35,31,,,,,,,,,,,,,,,21.8,,,,2.6,,,,,5.5,,,,,,2.9,2.6,,,,,,,,,,,,,
Minchinbury,166,194,,112,,134,,,,,,,123,,,,,,,,,,,,,,,,,,,4.6,5.4,,3.1,,3.7,,,,,,,3.4,,,,,,,,,,,,,,,,,,
Minmi,17,,18,17,,26,16,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,4.0,3.8,,5.7,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Minto,216,321,,231,,,168,,,,,,169,,,,,,,,,,,,,,,,,,,2.7,4.0,,2.9,,,2.1,,,,,,2.1,,,,,,,,,,,,,,,,,,
Miranda,457,652,,289,328,374,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,6.3,,2.8,3.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Mona Vale,373,633,337,,260,291,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,8.2,4.4,,3.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,118,207,,93,,127,106,,,,,,,,,,,,,,,,,,,,,,,,,3.4,6.0,,2.7,,3.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,
Moorebank,,288,,197,229,191,,,,,,,,,,,,,,,398,,,,,,,,,,,,5.8,,4.0,4.6,3.9,,,,,,,,,,,,,,,8.0,,,,,,,,,,
Mortdale,269,541,,,324,292,243,,,,,,,,,,,,,,,,,,,,,,,,,3.5,7.1,,,4.3,3.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,
Mortlake,16,41,,,,28,,,,,,,9,,,,,,,,,,,,,12,,,,,,4.9,12.7,,,,8.6,,,,,,,2.8,,,,,,,,,,,,,3.7,,,,,
Mosman,753,"3,489",,,761,866,,,,,838,,,,,,,,,,,,,,,,,,,,,3.6,16.9,,,3.7,4.2,,,,,4.1,,,,,,,,,,,,,,,,,,,,
Mount Annan,199,241,190,,233,204,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,5.3,4.1,,5.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Colah,216,537,,169,264,275,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,10.5,,3.3,5.2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Druitt,249,394,,261,,231,201,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.5,,3.0,,2.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Mount Hutton,87,76,,81,60,103,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.3,,3.5,2.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Keira,47,70,,,121,51,,,38,,,,,,,,,,,,,,,,,,,,,,,4.3,6.3,,,11.0,4.6,,,3.4,,,,,,,,,,,,,,,,,,,,,,
Mount Kembla,34,39,,,70,37,,,41,,,,,,,,,,,,,,,,,,,,,,,4.9,5.7,,,10.2,5.4,,,6.0,,,,,,,,,,,,,,,,,,,,,,
Mount Lewis,34,27,21,25,,21,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.2,2.5,3.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Ousley,,55,,45,89,74,,,52,,,,,,,,,,,,,,,,,,,,,,,,3.9,,3.2,6.3,5.3,,,3.7,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant,26,50,,,74,39,,,29,,,,,,,,,,,,,,,,,,,,,,,3.5,6.8,,,10.0,5.3,,,3.9,,,,,,,,,,,,,,,,,,,,,,
Mount Pritchard,204,255,217,182,,182,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.7,3.2,2.6,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Riverview,95,157,,,250,128,,,,,,79,,,,,,,,,,,,,,,,,,,,3.8,6.3,,,10.1,5.2,,,,,,3.2,,,,,,,,,,,,,,,,,,,
Mount Saint Thomas,39,61,,,51,45,,,45,,,,,,,,,,,,,,,,,,,,,,,3.2,5.0,,,4.2,3.7,,,3.7,,,,,,,,,,,,,,,,,,,,,,
Mount Warrigal,171,166,,178,,157,,,257,,,,,,,,,,,,,,,,,,,,,,,3.9,3.8,,4.0,,3.6,,,5.8,,,,,,,,,,,,,,,,,,,,,,
Narara,278,356,,276,225,340,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,5.9,,4.6,3.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
Narellan,121,120,113,,119,98,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.4,4.2,,4.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Narellan Vale,227,219,223,202,252,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.6,4.7,4.2,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Naremburn,,725,,,151,185,144,,,,146,,,,,,,,,,,,,,,,,,,,,,17.6,,,3.7,4.5,3.5,,,,3.6,,,,,,,,,,,,,,,,,,,,
Narrabeen,207,447,189,,145,186,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,7.9,3.3,,2.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Narraweena,171,275,134,167,,155,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.5,3.2,3.9,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Narwee,97,142,,87,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.3,,2.7,2.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral Bay,,"1,776",,,323,335,311,,,,376,,,,,,,,,,,,,,,,,,,,,,20.3,,,3.7,3.8,3.5,,,,4.3,,,,,,,,,,,,,,,,,,,,
New Lambton,258,381,,247,381,454,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,5.2,,3.4,5.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,,
New Lambton Heights,89,133,,,191,207,62,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,8.5,9.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle,65,106,,,81,82,67,,,,,,,,,,,,,,,,,,,,,,,,,4.1,6.6,,,5.1,5.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle East,25,57,,,52,53,43,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.9,,,6.3,6.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle West,6,9,,6,6,,9,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.9,,3.9,3.9,,5.9,,,,,,,,,,,,,,,,,,,,,,,,
Newington,47,98,,,,48,,,,30,,,,,,,,,,,,27,,,,,,,,,,1.7,3.5,,,,1.7,,,,1.1,,,,,,,,,,,,1.0,,,,,,,,,
Newport,352,682,256,,304,312,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,9.4,3.5,,4.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Newtown,469,"1,460",,,707,520,537,,,,,,,,,,,,,,,,,,,,,,,,,4.2,13.0,,,6.3,4.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,
Niagara Park,84,109,62,,78,72,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.3,3.6,,4.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Norah Head,43,37,35,,47,35,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.0,3.8,,5.1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Noraville,73,73,98,,59,65,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,4.9,,3.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Normanhurst,141,363,,92,258,183,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.2,,2.6,7.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,
North Avoca,95,110,,,127,114,78,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.4,,,7.4,6.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,
North Balgowlah,130,256,82,,105,93,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,10.6,3.4,,4.4,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
North Bondi,291,822,,,303,287,342,,,,,,,,,,,,,,,,,,,,,,,,,4.2,11.9,,,4.4,4.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,
North Curl Curl,106,257,100,,108,89,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,10.1,3.9,,4.3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
North Epping,158,360,,73,268,164,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,10.9,,2.2,8.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
North Gosford,89,120,,89,93,130,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.8,,3.6,3.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
North Lambton,76,114,,,111,117,65,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.6,,,4.5,4.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,
North Manly,113,178,74,,63,94,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,8.4,3.5,,3.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
North Narrabeen,213,346,249,,174,191,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,5.8,,4.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
North Parramatta,184,469,,,312,259,163,,,,,,,,,,,,,,,,,,,,,,,,,2.6,6.5,,,4.3,3.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,
North Rocks,298,512,176,,380,324,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,8.7,3.0,,6.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
North Ryde,308,674,,203,288,308,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,8.4,,2.5,3.6,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
North St Marys,81,104,65,85,,69,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.7,2.3,3.0,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
North Strathfield,92,213,,,96,119,80,,,,,,,,,,,,,,,,,,,,,,,,,3.7,8.5,,,3.8,4.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,
North Sydney,,944,,,174,152,175,,,,156,,,,,,,,,,,,,,,,,,,,,,18.8,,,3.5,3.0,3.5,,,,3.1,,,,,,,,,,,,,,,,,,,,
North Turramurra,108,282,,,136,136,,,,,53,,,,,,,,,,,,,,,,,,,,,3.5,9.1,,,4.4,4.4,,,,,1.7,,,,,,,,,,,,,,,,,,,,
North Wahroonga,76,233,,,126,92,,,,,53,,,,,,,,,,,,,,,,,,,,,4.3,13.1,,,7.1,5.2,,,,,3.0,,,,,,,,,,,,,,,,,,,,
North Willoughby,133,359,,89,116,126,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,11.7,,2.9,3.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,
North Wollongong,58,89,,,118,,92,,67,,,,,,,,,,,,,,,,,,,,,,,3.1,4.8,,,6.3,,4.9,,3.6,,,,,,,,,,,,,,,,,,,,,,
Northbridge,156,639,,,193,225,,,,,146,,,,,,,,,,,,,,,,,,,,,3.5,14.1,,,4.3,5.0,,,,,3.2,,,,,,,,,,,,,,,,,,,,
Northmead,244,388,184,,280,302,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,7.3,3.4,,5.2,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
Northwood,31,106,,,37,42,,,,,27,,,,,,,,,,,,,,,,,,,,,4.2,14.5,,,5.1,5.7,,,,,3.7,,,,,,,,,,,,,,,,,,,,
Oak Flats,224,186,200,223,,,,,272,,,,,,,,,,,,,,,,,,,,,,,4.4,3.6,3.9,4.4,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,
Oakhurst,146,216,,155,,154,,,,,,,150,,,,,,,,,,,,,,,,,,,3.4,5.0,,3.6,,3.6,,,,,,,3.5,,,,,,,,,,,,,,,,,,
Oatlands,186,306,97,,184,201,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,7.9,2.5,,4.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Oatley,278,635,,,501,366,,,,,,183,,,,,,,,,,,,,,,,,,,,3.6,8.3,,,6.6,4.8,,,,,,2.4,,,,,,,,,,,,,,,,,,,
Old Guildford,34,62,43,36,39,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.9,2.7,2.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Toongabbie,140,229,90,,156,185,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,5.9,2.3,,4.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,
Ourimbah,74,85,87,,79,110,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.4,4.5,,4.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
Oxley Park,53,79,73,46,,46,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.2,3.9,2.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Oyster Bay,179,359,144,,241,193,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,8.5,3.4,,5.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
Paddington,411,"1,722",,,408,501,450,,,,,,,,,,,,,,,,,,,,,,,,,4.0,16.8,,,4.0,4.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,
Padstow,281,473,,247,308,254,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.8,,2.5,3.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Padstow Heights,91,175,93,,132,102,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,6.3,3.4,,4.8,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Pagewood,129,160,,,106,97,97,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.8,,,3.8,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,
Palm Beach,64,126,,,36,33,39,,,,,,,,,,,,,,,,,,,,,,,,,4.8,9.5,,,2.7,2.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Panania,253,409,248,,333,239,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.8,2.9,,3.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Parramatta,407,"1,067",,321,,451,453,,,,,,,,,,,,,,,,,,,,,,,,,2.7,7.1,,2.1,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Peakhurst,211,330,,180,237,205,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.0,,2.7,3.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Peakhurst Heights,63,130,,52,94,71,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,6.7,,2.7,4.8,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Beach,,10,,,,,,,,,,,3,,,,,,,4,,,,,,,3,3,,,,,7.2,,,,,,,,,,,2.2,,,,,,,2.9,,,,,,,2.2,2.2,,,
Pelican,22,,21,29,,20,,16,,,,,,,,,,,,,,,,,,,,,,,,3.3,,3.2,4.4,,3.0,,2.4,,,,,,,,,,,,,,,,,,,,,,,
Pendle Hill,229,401,180,,225,288,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.5,2.5,,3.1,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Pennant Hills,205,505,,117,332,257,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,10.2,,2.4,6.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Penrith,347,383,,271,301,310,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.1,,2.9,3.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Penrose,51,44,,52,,58,,,58,,,,,,,,,,,,,,,,,,,,,,,4.5,3.9,,4.6,,5.2,,,5.2,,,,,,,,,,,,,,,,,,,,,,
Penshurst,257,655,,,315,321,266,,,,,,,,,,,,,,,,,,,,,,,,,2.9,7.5,,,3.6,3.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Petersham,201,581,,,363,266,228,,,,,,,,,,,,,,,,,,,,,,,,,3.5,10.2,,,6.4,4.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Bay,23,32,19,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.5,3.3,,3.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Picnic Point,160,227,163,,224,142,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.5,4.0,,5.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Plumpton,184,247,,164,,191,,,,,,,150,,,,,,,,,,,,,,,,,,,3.9,5.2,,3.5,,4.0,,,,,,,3.2,,,,,,,,,,,,,,,,,,
Point Clare,84,106,,96,81,113,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.1,,3.7,3.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Point Frederick,54,92,,,43,89,39,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.8,,,3.2,6.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,
Point Piper,50,119,,,,62,,,,41,,,,,47,,,,,,,,,,,,,,,,,4.3,10.2,,,,5.3,,,,3.5,,,,,4.0,,,,,,,,,,,,,,,,
Port Kembla,130,88,,76,,,,,226,,,76,,,,,,,,,,,,,,,,,,,,3.4,2.3,,2.0,,,,,6.0,,,2.0,,,,,,,,,,,,,,,,,,,
Potts Point,217,812,,,218,212,504,,,,,,,,,,,,,,,,,,,,,,,,,3.3,12.2,,,3.3,3.2,7.6,,,,,,,,,,,,,,,,,,,,,,,,
Prairiewood,99,109,73,78,,68,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.1,2.8,3.0,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Prestons,195,343,,194,203,221,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,5.7,,3.2,3.4,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Primbee,36,39,,36,37,,,,57,,,,,,,,,,,,,,,,,,,,,,,2.8,3.0,,2.8,2.9,,,,4.4,,,,,,,,,,,,,,,,,,,,,,
Prospect,166,185,,147,113,130,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.6,,4.4,3.4,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Punchbowl,348,490,300,355,,,293,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.8,2.3,2.8,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,
Putney,99,201,,,108,118,64,,,,,,,,,,,,,,,,,,,,,,,,,4.4,8.9,,,4.8,5.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Pymble,276,935,,,366,441,,,,,208,,,,,,,,,,,,,,,,,,,,,3.8,12.9,,,5.1,6.1,,,,,2.9,,,,,,,,,,,,,,,,,,,,
Pyrmont,267,"1,045",,,,,478,,,,253,,,,,,,,,,,,,167,,,,,,,,3.7,14.6,,,,,6.7,,,,3.5,,,,,,,,,,,,,2.3,,,,,,,
Quakers Hill,640,"1,146",,602,592,711,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,6.9,,3.6,3.6,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Park,,307,,,108,120,89,,,,71,,,,,,,,,,,,,,,,,,,,,,13.9,,,4.9,5.4,4.0,,,,3.2,,,,,,,,,,,,,,,,,,,,
Raby,195,223,194,231,182,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.8,4.2,5.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsgate,22,30,,22,,23,,,,16,,,,,,,,,,,,,,,,,,,,,,3.7,5.1,,3.7,,3.9,,,,2.7,,,,,,,,,,,,,,,,,,,,,
Ramsgate Beach,33,58,,33,,35,,,,,,,,,,,,,,,,,,,,,,,33,,,2.8,4.9,,2.8,,2.9,,,,,,,,,,,,,,,,,,,,,,,2.8,,
Randwick,785,"2,303",,,"1,326","1,490",936,,,,,,,,,,,,,,,,,,,,,,,,,3.4,10.1,,,5.8,6.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,
Rankin Park,87,128,,89,178,155,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,6.2,,4.3,8.6,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
Redfern,314,"1,036",,,331,252,482,,,,,,,,,,,,,,,,,,,,,,,,,3.1,10.3,,,3.3,2.5,4.8,,,,,,,,,,,,,,,,,,,,,,,,
Redhead,76,100,80,,130,91,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.8,3.1,,5.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Regents Park,87,135,,73,75,90,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4.5,,2.4,2.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Regentville,31,36,44,24,,26,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.1,7.5,4.1,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Revesby,271,464,242,272,292,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.1,2.7,3.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Revesby Heights,28,50,31,,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,5.1,3.1,,3.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodes,24,36,,,23,37,,,,,,,22,,,,,,,,,,,,,,,,,,,4.1,6.1,,,3.9,6.3,,,,,,,3.7,,,,,,,,,,,,,,,,,,
Riverstone,133,191,229,161,129,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,4.0,4.8,3.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverview,76,311,,,169,161,,,,,53,,,,,,,,,,,,,,,,,,,,,3.1,12.6,,,6.9,6.5,,,,,2.2,,,,,,,,,,,,,,,,,,,,
Riverwood,202,353,,221,,191,216,,,,,,,,,,,,,,,,,,,,,,,,,2.4,4.2,,2.6,,2.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,
Rockdale,316,568,,287,,254,423,,,,,,,,,,,,,,,,,,,,,,,,,3.3,6.0,,3.0,,2.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Point,7,6,7,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.9,4.5,,7.8,3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Rodd Point,32,90,,,59,55,27,,,,,,,,,,,,,,,,,,,,,,,,,3.2,8.9,,,5.8,5.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,
Rooty Hill,272,343,,244,,341,,,,,,,202,,,,,,,,,,,,,,,,,,,3.2,4.0,,2.9,,4.0,,,,,,,2.4,,,,,,,,,,,,,,,,,,
