,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Magenta (NSW),886.0,2053.0,1968.0,--,--,--,12441
The Entrance,511.0,1078.0,846.0,--,--,--,13818
Toukley,497.0,1217.0,903.0,--,--,--,13925
Canton Beach,456.0,874.0,673.0,--,--,--,10798
Noraville,594.0,1439.0,1194.0,--,--,--,12974
Norah Head,715.0,1739.0,1567.0,--,--,--,12973
Kangy Angy,548.0,1525.0,1093.0,--,--,--,12064
Tuggerah,652.0,1512.0,1276.0,--,--,--,13950
Wyong,490.0,1150.0,918.0,--,--,--,14446
Mardi,682.0,1801.0,1637.0,--,--,--,12488
Tacoma South,657.0,1803.0,1687.0,--,--,--,13725
Hamlyn Terrace,576.0,1698.0,1553.0,--,--,--,11843
Woongarrah,678.0,1925.0,1903.0,--,--,--,14415
Warnervale,613.0,1766.0,1652.0,--,--,--,14154
Wallarah,586.0,1589.0,1562.0,--,--,--,14109
Wadalba,682.0,1828.0,1598.0,--,--,--,14080
Watanobbi,529.0,1363.0,1220.0,--,--,--,14181
Tacoma,609.0,1518.0,1487.0,--,--,--,13724
Llanarth (NSW),829.0,2299.0,2151.0,--,--,--,12362
South Bathurst,581.0,1331.0,1099.0,--,--,--,13577
Bathurst,598.0,1385.0,1029.0,--,--,--,10231
Robin Hill,933.0,2425.0,2262.0,--,--,--,13375
West Bathurst,613.0,1315.0,1061.0,--,--,--,14241
Mitchell (NSW),262.0,1062.0,658.0,--,--,--,12650
Gormans Hill,550.0,1375.0,881.0,--,--,--,11720
Abercrombie,813.0,2200.0,2006.0,--,--,--,10004
Eglinton (NSW),715.0,1729.0,1565.0,--,--,--,11386
Windradyne,675.0,1587.0,1309.0,--,--,--,14324
Raglan (NSW),673.0,1606.0,1463.0,--,--,--,13304
White Rock (NSW),733.0,2250.0,2033.0,--,--,--,14275
Kelso (NSW),663.0,1673.0,1445.0,--,--,--,12090
O'Connell (NSW),757.0,2026.0,1578.0,--,--,--,13052
Brewongle,602.0,1437.0,1281.0,--,--,--,10564
Trunkey Creek,612.0,1156.0,1036.0,--,--,--,13942
Perthville,707.0,1897.0,1513.0,--,--,--,13189
Sofala,452.0,1041.0,575.0,--,--,--,13569
Wattle Flat (NSW),404.0,880.0,700.0,--,--,--,14191
Peel,795.0,1910.0,1687.0,--,--,--,13174
Limekilns,593.0,1625.0,1531.0,--,--,--,12330
Clear Creek,787.0,2049.0,1812.0,--,--,--,10925
Rockley,575.0,1281.0,833.0,--,--,--,13380
Georges Plains,785.0,1875.0,1625.0,--,--,--,11602
Duramana,680.0,1593.0,1513.0,--,--,--,11330
Billywillinga,619.0,1468.0,1359.0,--,--,--,10357
Mount Rankin,728.0,2050.0,1906.0,--,--,--,12786
Rock Forest,704.0,2166.0,1792.0,--,--,--,13377
Evans Plains,807.0,2075.0,2019.0,--,--,--,11470
The Lagoon,711.0,1625.0,1402.0,--,--,--,13828
Wisemans Creek,552.0,1458.0,1178.0,--,--,--,14343
Yetholme,741.0,1906.0,1541.0,--,--,--,14513
Meadow Flat,707.0,1958.0,1721.0,--,--,--,12549
Tarana,812.0,1937.0,1521.0,--,--,--,13760
Glanmire (NSW),669.0,1583.0,1421.0,--,--,--,11640
Napoleon Reef,592.0,1333.0,1235.0,--,--,--,12893
Oberon,581.0,1475.0,1188.0,--,--,--,13068
Black Springs (NSW),575.0,1428.0,1312.0,--,--,--,10389
Condobolin,565.0,1290.0,1025.0,--,--,--,11002
Tullamore,491.0,1300.0,1009.0,--,--,--,13954
Lake Cargelligo,523.0,1216.0,1048.0,--,--,--,12242
Tullibigeal,606.0,1375.0,1031.0,--,--,--,13957
