,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Tempe,3179.0,1585.0,1594.0,37.0,2591.0,1071.0,17.0,818.0,1277.0,2.6,1157.0,1950.0,300.0
Teralba,1458.0,729.0,729.0,41.0,1349.0,104.0,4.0,391.0,575.0,2.5,751.0,1268.0,150.0
Terrey Hills,2876.0,1396.0,1480.0,40.0,2471.0,560.0,3.0,729.0,918.0,3.1,1584.0,2167.0,450.0
Terrigal,9746.0,4741.0,5005.0,39.0,8465.0,1838.0,97.0,2660.0,4796.0,2.6,1121.0,1733.0,260.0
The Entrance,2632.0,1293.0,1339.0,46.0,2225.0,309.0,9.0,614.0,2769.0,1.8,576.0,1350.0,180.0
The Entrance North,1106.0,601.0,505.0,42.0,947.0,105.0,0.0,292.0,887.0,2.3,669.0,1550.0,200.0
The Hill,2101.0,1038.0,1063.0,32.0,1626.0,267.0,38.0,399.0,1150.0,2.0,1073.0,1700.0,195.0
The Junction,1295.0,640.0,655.0,35.0,1177.0,130.0,0.0,287.0,679.0,2.0,967.0,1404.0,200.0
Thirroul,5541.0,2676.0,2865.0,40.0,5069.0,733.0,29.0,1516.0,2363.0,2.6,1151.0,1689.0,240.0
Thornleigh,7673.0,3782.0,3891.0,37.0,6909.0,2130.0,55.0,2145.0,2756.0,2.9,1603.0,2000.0,305.0
Tighes Hill,1482.0,755.0,727.0,36.0,1335.0,162.0,9.0,393.0,727.0,2.2,695.0,1200.0,195.0
Tingira Heights,3193.0,1565.0,1628.0,36.0,2879.0,235.0,8.0,818.0,1070.0,2.9,1128.0,1495.0,180.0
Toongabbie,12343.0,6105.0,6238.0,34.0,10750.0,4155.0,97.0,3413.0,4673.0,2.8,1135.0,1668.0,225.0
Toowoon Bay,488.0,229.0,259.0,52.0,437.0,51.0,3.0,115.0,350.0,2.0,640.0,2495.0,200.0
Toronto,5161.0,2472.0,2689.0,43.0,4687.0,512.0,11.0,1385.0,2289.0,2.4,666.0,1200.0,165.0
Toukley,4200.0,1993.0,2207.0,48.0,3760.0,508.0,11.0,1080.0,2175.0,2.1,582.0,1430.0,180.0
Towradgi,3077.0,1474.0,1603.0,42.0,2801.0,673.0,12.0,790.0,1329.0,2.4,757.0,1430.0,168.0
Tregear,3809.0,1892.0,1917.0,28.0,3090.0,811.0,5.0,939.0,1336.0,3.0,632.0,1138.0,140.0
Tuggerah,939.0,450.0,489.0,31.0,836.0,134.0,4.0,260.0,389.0,2.6,902.0,1313.0,220.0
Tuggerawong,1151.0,546.0,605.0,39.0,1038.0,119.0,4.0,300.0,507.0,2.5,840.0,1300.0,178.0
Tumbi Umbi,4327.0,2106.0,2221.0,39.0,3980.0,549.0,0.0,1235.0,1627.0,2.8,1004.0,1517.0,200.0
Turramurra,10341.0,4984.0,5357.0,42.0,9135.0,3015.0,110.0,2829.0,3926.0,2.8,1878.0,2300.0,351.0
Turrella,1010.0,511.0,499.0,34.0,869.0,401.0,12.0,250.0,349.0,3.2,1028.0,2050.0,240.0
Ultimo,5550.0,2914.0,2636.0,28.0,2055.0,2620.0,411.0,811.0,3102.0,2.0,938.0,1904.0,335.0
Umina Beach,15392.0,7339.0,8053.0,42.0,12925.0,1745.0,42.0,3928.0,7056.0,2.4,746.0,1408.0,200.0
Unanderra,5886.0,2757.0,3129.0,40.0,5121.0,1186.0,11.0,1538.0,2348.0,2.5,637.0,1358.0,129.0
Valentine,5677.0,2829.0,2848.0,40.0,5311.0,586.0,6.0,1654.0,2099.0,2.8,1265.0,1387.0,260.0
Valley Heights,1337.0,680.0,657.0,39.0,1253.0,232.0,0.0,393.0,515.0,2.7,1357.0,1560.0,223.0
Vaucluse,9121.0,4308.0,4813.0,39.0,6978.0,3008.0,121.0,2154.0,3616.0,2.7,2045.0,2942.0,375.0
Villawood,5130.0,2642.0,2488.0,37.0,4252.0,2261.0,10.0,1205.0,1978.0,2.7,480.0,1350.0,100.0
Voyager Point,1306.0,655.0,651.0,33.0,1204.0,386.0,9.0,356.0,377.0,3.5,2127.0,2234.0,195.0
Wahroonga,14163.0,6747.0,7416.0,41.0,12366.0,4093.0,121.0,3723.0,4940.0,2.9,2018.0,2400.0,350.0
Waitara,5117.0,2427.0,2690.0,33.0,3552.0,2278.0,76.0,1309.0,2671.0,2.1,1156.0,2000.0,310.0
Wakeley,4768.0,2388.0,2380.0,34.0,4238.0,2634.0,14.0,1319.0,1435.0,3.4,1104.0,1551.0,240.0
Wallsend,11801.0,5604.0,6197.0,40.0,10992.0,1195.0,43.0,3246.0,5094.0,2.4,724.0,1213.0,185.0
Wamberal,5713.0,2797.0,2916.0,38.0,5012.0,690.0,11.0,1529.0,2399.0,2.7,1123.0,1733.0,260.0
Warabrook,2160.0,1009.0,1151.0,39.0,1962.0,318.0,6.0,542.0,793.0,2.6,1019.0,1365.0,200.0
Waratah,4287.0,1976.0,2311.0,40.0,3637.0,532.0,22.0,919.0,1930.0,2.2,676.0,1300.0,165.0
Waratah West,2733.0,1345.0,1388.0,35.0,2398.0,324.0,17.0,688.0,1164.0,2.5,745.0,1200.0,200.0
Wareemba,1390.0,632.0,758.0,42.0,1244.0,456.0,3.0,403.0,626.0,2.3,1137.0,2000.0,320.0
Warilla,5613.0,2734.0,2879.0,41.0,4842.0,1145.0,9.0,1519.0,2443.0,2.4,591.0,1230.0,150.0
Warners Bay,7009.0,3300.0,3709.0,41.0,6545.0,764.0,24.0,2018.0,3087.0,2.4,876.0,1300.0,220.0
Warrawee,2625.0,1365.0,1260.0,39.0,2349.0,612.0,40.0,671.0,863.0,3.2,2601.0,2500.0,430.0
Warrawong,5001.0,2463.0,2538.0,42.0,4240.0,1951.0,6.0,1330.0,2314.0,2.3,500.0,1200.0,110.0
Warriewood,4994.0,2440.0,2554.0,36.0,4438.0,1163.0,31.0,1402.0,1855.0,2.9,1620.0,2320.0,408.0
Warrimoo,2285.0,1163.0,1122.0,35.0,2141.0,320.0,10.0,646.0,862.0,2.8,1426.0,1600.0,230.0
Warwick Farm,3887.0,1991.0,1896.0,36.0,2991.0,1771.0,18.0,926.0,1888.0,2.2,592.0,1192.0,150.0
Watanobbi,3585.0,1702.0,1883.0,32.0,3159.0,485.0,3.0,965.0,1330.0,2.8,810.0,1400.0,200.0
Waterloo,8508.0,4533.0,3975.0,35.0,5321.0,3730.0,178.0,1595.0,5133.0,1.8,557.0,2167.0,164.0
Watsons Bay,691.0,363.0,328.0,37.0,595.0,163.0,10.0,156.0,277.0,2.4,1721.0,3450.0,361.0
Wattle Grove,6874.0,3431.0,3443.0,29.0,6320.0,1797.0,19.0,1891.0,2304.0,3.2,1553.0,1732.0,160.0
Waverley,4180.0,1904.0,2276.0,39.0,3308.0,1378.0,62.0,858.0,1884.0,2.2,1179.0,2300.0,301.0
Waverton,3160.0,1487.0,1673.0,37.0,2464.0,1014.0,33.0,799.0,1720.0,2.1,1848.0,2266.0,363.0
Wentworthville,10815.0,5392.0,5423.0,32.0,7567.0,5243.0,156.0,2694.0,4441.0,2.6,1051.0,1753.0,235.0
Werrington,3528.0,1717.0,1811.0,32.0,2958.0,854.0,13.0,926.0,1488.0,2.5,890.0,1343.0,190.0
Werrington County,3803.0,1876.0,1927.0,33.0,3456.0,621.0,7.0,1092.0,1307.0,3.0,1306.0,1517.0,230.0
Werrington Downs,3317.0,1654.0,1663.0,30.0,3062.0,525.0,3.0,917.0,1092.0,3.2,1426.0,1500.0,230.0
West Gosford,1653.0,776.0,877.0,44.0,1391.0,336.0,0.0,424.0,777.0,2.1,741.0,1500.0,210.0
West Hoxton,7891.0,3944.0,3947.0,29.0,6785.0,2814.0,20.0,2027.0,2266.0,3.7,1450.0,2040.0,290.0
West Pennant Hills,16485.0,8067.0,8418.0,39.0,14804.0,5665.0,138.0,4556.0,5345.0,3.2,2082.0,2167.0,360.0
West Pymble,4728.0,2278.0,2450.0,39.0,4266.0,1251.0,29.0,1300.0,1677.0,3.0,1920.0,2200.0,445.0
West Ryde,11204.0,5562.0,5642.0,36.0,8641.0,4764.0,126.0,2979.0,4835.0,2.4,1072.0,1756.0,225.0
West Wallsend,1606.0,784.0,822.0,35.0,1512.0,90.0,0.0,468.0,625.0,2.7,840.0,1118.0,185.0
West Wollongong,4144.0,2025.0,2119.0,36.0,3626.0,942.0,27.0,1117.0,1866.0,2.4,868.0,1400.0,171.0
Westleigh,4523.0,2222.0,2301.0,40.0,4083.0,1214.0,20.0,1316.0,1545.0,3.1,2043.0,2000.0,403.0
Westmead,9482.0,4772.0,4710.0,33.0,6191.0,5369.0,198.0,2313.0,3770.0,2.5,1064.0,1649.0,230.0
Wetherill Park,6127.0,3042.0,3085.0,35.0,5456.0,2964.0,14.0,1730.0,1922.0,3.3,1148.0,1500.0,250.0
Whalan,5502.0,2620.0,2882.0,33.0,4615.0,1293.0,8.0,1411.0,1996.0,2.9,669.0,1213.0,140.0
Whitebridge,2494.0,1200.0,1294.0,39.0,2324.0,158.0,0.0,704.0,945.0,2.8,1079.0,1300.0,220.0
Wickham,893.0,455.0,438.0,32.0,736.0,108.0,8.0,189.0,482.0,2.0,842.0,1400.0,200.0
Wiley Park,8919.0,4589.0,4330.0,30.0,6463.0,4797.0,68.0,2137.0,3340.0,2.9,704.0,1300.0,170.0
Willmot,2404.0,1200.0,1204.0,29.0,1871.0,466.0,6.0,593.0,847.0,3.0,642.0,1083.0,140.0
Willoughby,5411.0,2613.0,2798.0,37.0,4626.0,1736.0,39.0,1444.0,2309.0,2.5,1531.0,2383.0,328.0
Willoughby East,1652.0,805.0,847.0,37.0,1517.0,381.0,9.0,458.0,604.0,3.0,2075.0,2700.0,430.0
Windale,2789.0,1313.0,1476.0,38.0,2490.0,141.0,0.0,756.0,1221.0,2.4,433.0,1083.0,105.0
Windang,2406.0,1226.0,1180.0,49.0,2105.0,380.0,0.0,661.0,1211.0,2.1,552.0,1500.0,150.0
Winmalee,6345.0,3121.0,3224.0,36.0,5904.0,936.0,17.0,1765.0,2287.0,2.9,1340.0,1523.0,235.0
Winston Hills,8858.0,4281.0,4577.0,37.0,7980.0,2320.0,33.0,2528.0,3159.0,2.9,1455.0,1900.0,300.0
Wollongong,14363.0,7429.0,6934.0,34.0,11221.0,4151.0,229.0,3131.0,8207.0,2.0,793.0,1536.0,195.0
Wollstonecraft,7580.0,3595.0,3985.0,34.0,5771.0,2773.0,151.0,1915.0,4273.0,1.9,1807.0,2167.0,350.0
Wombarra,818.0,414.0,404.0,39.0,741.0,129.0,5.0,233.0,356.0,2.8,1478.0,1767.0,310.0
Woodbine,2637.0,1363.0,1274.0,32.0,2339.0,710.0,6.0,729.0,897.0,3.1,1251.0,1417.0,210.0
Woodcroft,5355.0,2628.0,2727.0,32.0,4711.0,3043.0,42.0,1427.0,1525.0,3.6,1688.0,1917.0,250.0
Woodpark,1281.0,663.0,618.0,35.0,1147.0,414.0,0.0,356.0,447.0,3.0,1136.0,1517.0,240.0
Woodrising,1568.0,776.0,792.0,32.0,1475.0,120.0,0.0,439.0,531.0,3.0,1078.0,1262.0,230.0
Woollahra,7296.0,3268.0,4028.0,41.0,5514.0,1941.0,118.0,1631.0,3868.0,2.1,1787.0,2817.0,380.0
Woolloomooloo,3518.0,1914.0,1604.0,36.0,2149.0,1152.0,379.0,639.0,2400.0,1.7,1075.0,2090.0,300.0
Woolooware,7155.0,3506.0,3649.0,39.0,6413.0,1094.0,24.0,1897.0,2727.0,2.8,1538.0,2167.0,243.0
Woolwich,812.0,394.0,418.0,48.0,653.0,156.0,10.0,205.0,339.0,2.6,2507.0,2750.0,300.0
Woonona,10882.0,5266.0,5616.0,38.0,9895.0,1620.0,38.0,2942.0,4456.0,2.6,1023.0,1733.0,195.0
Woronora,2151.0,1080.0,1071.0,37.0,2022.0,268.0,7.0,599.0,753.0,3.0,1769.0,2150.0,300.0
Woronora Heights,3072.0,1540.0,1532.0,33.0,2916.0,378.0,0.0,809.0,849.0,3.7,2178.0,1733.0,378.0
Woy Woy,9985.0,4685.0,5300.0,47.0,8541.0,1320.0,23.0,2552.0,4828.0,2.2,635.0,1430.0,190.0
Woy Woy Bay,722.0,346.0,376.0,39.0,596.0,83.0,0.0,188.0,297.0,2.8,1368.0,1907.0,235.0
Wyoming,8782.0,4260.0,4522.0,36.0,7957.0,1365.0,37.0,2436.0,3523.0,2.6,979.0,1473.0,200.0
Wyong,3116.0,1563.0,1553.0,44.0,2749.0,487.0,8.0,812.0,1557.0,2.2,592.0,1213.0,159.0
Wyongah,1824.0,919.0,905.0,36.0,1661.0,182.0,4.0,498.0,715.0,2.7,893.0,1300.0,200.0
Yagoona,14876.0,7364.0,7512.0,35.0,12964.0,5809.0,57.0,3794.0,5147.0,3.0,852.0,1625.0,200.0
Yarrawarrah,1464.0,700.0,764.0,35.0,1403.0,131.0,0.0,398.0,440.0,3.4,2006.0,1705.0,330.0
Yattalunga,476.0,247.0,229.0,38.0,412.0,81.0,4.0,134.0,197.0,2.7,1006.0,1517.0,250.0
Yennora,1337.0,635.0,702.0,39.0,1102.0,669.0,3.0,296.0,451.0,2.9,536.0,1669.0,110.0
Yowie Bay,3737.0,1870.0,1867.0,41.0,3475.0,483.0,7.0,1057.0,1344.0,3.0,1617.0,2080.0,375.0
Zetland,2614.0,1416.0,1198.0,31.0,1709.0,1082.0,49.0,629.0,1380.0,2.2,1721.0,2300.0,410.0
