,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
North Gosford,3438.0,1646.0,1792.0,34.0,2965.0,562.0,19.0,914.0,1481.0,2.5,1001.0,1376.0,210.0
North Lambton,3020.0,1551.0,1469.0,34.0,2678.0,440.0,27.0,798.0,1292.0,2.4,905.0,1289.0,215.0
North Manly,2736.0,1361.0,1375.0,38.0,2336.0,743.0,21.0,734.0,959.0,2.9,1466.0,2167.0,400.0
North Narrabeen,5279.0,2636.0,2643.0,37.0,4559.0,994.0,62.0,1441.0,1973.0,2.8,1421.0,2167.0,375.0
North Parramatta,8365.0,4254.0,4111.0,33.0,5784.0,3119.0,96.0,1729.0,3896.0,2.1,1025.0,1600.0,220.0
North Rocks,7234.0,3525.0,3709.0,40.0,6514.0,2068.0,33.0,2084.0,2545.0,3.0,1619.0,1924.0,320.0
North Ryde,10195.0,4959.0,5236.0,40.0,8828.0,3278.0,72.0,2718.0,3712.0,2.8,1238.0,2000.0,301.0
North St Marys,3646.0,1825.0,1821.0,33.0,3092.0,785.0,4.0,984.0,1368.0,2.8,762.0,1406.0,171.0
North Strathfield,3281.0,1565.0,1716.0,33.0,2590.0,1326.0,65.0,875.0,1382.0,2.5,1392.0,2000.0,305.0
North Sydney,6059.0,2961.0,3098.0,34.0,4064.0,2130.0,241.0,1272.0,3553.0,1.8,1605.0,2400.0,335.0
North Turramurra,3840.0,1712.0,2128.0,50.0,3279.0,1053.0,31.0,1044.0,1501.0,2.6,1565.0,2200.0,493.0
North Wahroonga,2234.0,1098.0,1136.0,42.0,1977.0,725.0,16.0,663.0,752.0,3.2,2407.0,2383.0,500.0
North Willoughby,3847.0,1829.0,2018.0,37.0,3260.0,1335.0,42.0,1072.0,1639.0,2.6,1467.0,2393.0,340.0
North Wollongong,1769.0,969.0,800.0,29.0,1351.0,524.0,107.0,304.0,934.0,2.0,792.0,1575.0,210.0
Northbridge,6031.0,2973.0,3058.0,40.0,5337.0,1583.0,69.0,1603.0,2280.0,2.9,2387.0,2700.0,421.0
Northmead,6969.0,3375.0,3594.0,35.0,6072.0,1645.0,41.0,1932.0,2912.0,2.6,1272.0,1842.0,270.0
Northwood,905.0,432.0,473.0,42.0,816.0,190.0,3.0,256.0,329.0,3.1,2831.0,3500.0,530.0
Oak Flats,6400.0,3152.0,3248.0,39.0,5726.0,1215.0,7.0,1829.0,2474.0,2.7,922.0,1300.0,200.0
Oakhurst,6522.0,3244.0,3278.0,28.0,5666.0,2498.0,26.0,1674.0,1916.0,3.5,1229.0,1700.0,230.0
Oatlands,5350.0,2570.0,2780.0,38.0,4633.0,1658.0,69.0,1404.0,1965.0,2.9,1402.0,2000.0,310.0
Oatley,9531.0,4620.0,4911.0,41.0,8781.0,1828.0,49.0,2626.0,3782.0,2.7,1444.0,2000.0,260.0
Old Guildford,2272.0,1123.0,1149.0,30.0,1903.0,825.0,9.0,541.0,683.0,3.5,907.0,1649.0,225.0
Old Toongabbie,5063.0,2367.0,2696.0,40.0,4481.0,1466.0,28.0,1403.0,2060.0,2.5,988.0,1733.0,215.0
Ourimbah,3074.0,1515.0,1559.0,32.0,2751.0,457.0,4.0,815.0,1152.0,2.8,1108.0,1512.0,210.0
