,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Mayfield East,689.0,50.0,93.2,6.8
Mayfield West,693.0,46.0,93.8,6.2
Mays Hill,234.0,7.0,97.1,2.9
McMahons Point,1115.0,190.0,85.4,14.6
Meadowbank (NSW),1694.0,153.0,91.7,8.3
Melrose Park (NSW),493.0,26.0,95.0,5.0
Menai,3314.0,97.0,97.2,2.8
Merewether,4256.0,413.0,91.2,8.8
Merewether Heights,488.0,40.0,92.4,7.6
Merrylands,8384.0,529.0,94.1,5.9
Merrylands West,2117.0,175.0,92.4,7.6
Middle Cove,422.0,35.0,92.3,7.7
Miller,1049.0,65.0,94.2,5.8
Millers Point,778.0,227.0,77.4,22.6
Milperra,1270.0,48.0,96.4,3.6
Milsons Point,874.0,141.0,86.1,13.9
Minchinbury,1542.0,61.0,96.2,3.8
Minmi,225.0,13.0,94.5,5.5
Minto,3193.0,111.0,96.6,3.4
Miranda (NSW),5574.0,349.0,94.1,5.9
Mona Vale,3636.0,348.0,91.3,8.7
Monterey,1718.0,158.0,91.6,8.4
Moorebank,2453.0,124.0,95.2,4.8
Mortdale,3762.0,267.0,93.4,6.6
Mortlake (NSW),286.0,51.0,84.9,15.1
Mosman,10742.0,1243.0,89.6,10.4
Mount Annan,3137.0,72.0,97.8,2.2
Mount Colah,2294.0,95.0,96.0,4.0
Mount Druitt,4771.0,209.0,95.8,4.2
Mount Hutton (NSW),1224.0,80.0,93.9,6.1
Mount Keira,536.0,30.0,94.7,5.3
Mount Kembla,357.0,19.0,94.9,5.1
Mount Lewis,327.0,24.0,93.2,6.8
Mount Ousley,538.0,31.0,94.6,5.4
Mount Pleasant (NSW),423.0,36.0,92.2,7.8
Mount Pritchard,2783.0,144.0,95.1,4.9
Mount Riverview,1024.0,42.0,96.1,3.9
Mount Saint Thomas,519.0,39.0,93.0,7.0
Mount Warrigal,1646.0,110.0,93.7,6.3
Narara,2696.0,137.0,95.2,4.8
Narellan Vale,2226.0,65.0,97.2,2.8
Naremburn,2218.0,176.0,92.6,7.4
Narrabeen,3237.0,333.0,90.7,9.3
Narraweena,2210.0,122.0,94.8,5.2
Narwee,1717.0,68.0,96.2,3.8
Neutral Bay,4440.0,629.0,87.6,12.4
New Lambton,3902.0,325.0,92.3,7.7
New Lambton Heights,713.0,56.0,92.7,7.3
Newcastle,1084.0,299.0,78.4,21.6
Newcastle East,463.0,125.0,78.7,21.3
Newcastle West,281.0,51.0,84.6,15.4
Newington (NSW),1850.0,118.0,94.0,6.0
Newport (NSW),3295.0,350.0,90.4,9.6
Newtown (NSW),6042.0,520.0,92.1,7.9
Niagara Park,987.0,55.0,94.7,5.3
