"address","lon","lat"
"Sub 14/ 96 Duntroon St, Hurlstone Park NSW 2193",151.132968,-33.909518
"23 Thomas St, Ashfield NSW 2131",151.1190575,-33.8864708
"8 The Strand, Croydon NSW 2132",151.1149041,-33.8836604
"137/ 10 Webb St, Croydon NSW 2132",151.114025,-33.8793036
"137/ 10 Webb St, Croydon NSW 2132",151.114025,-33.8793036
"16A Deepwater Rd, Castle Cove NSW 2069",151.200669,-33.7826756
"Shop 16 124 Marine Parade, Maroubra NSW 2035",151.260716,-33.9444891
"24 Darley Rd, Manly NSW 2095",151.2874038,-33.8003412
"464 Bunnerong Rd, Matraville NSW 2036",151.2302689,-33.956614
"28 The Boulevarde, Strathfield NSW 2135",151.0944034,-33.8734695
"94 Pittwater St, Manly NSW 2095",151.2858389,-33.7927752
"23 Railway St, Banksia NSW 2216",151.1399611,-33.9450004
"2 Devlin St, Ryde NSW 2112",151.1056221,-33.8126241
"6 King St, Rockdale NSW 2216",151.138706,-33.9521934
"6 King St, Rockdale NSW 2216",151.138706,-33.9521934
"90 Railway St, Rockdale NSW 2216",151.1359881,-33.9520134
"Shop 3/ 13A Montgomery St, Kogarah NSW 2217",151.1335297,-33.963649
"999B Victoria Rd, West Ryde NSW 2114",151.0879985,-33.8073239
"114 The Crescent, Homebush NSW 2140",151.0683936,-33.8651107
"62 Scarborough St, Monterey NSW 2217",151.1458188,-33.9750509
"Unit 1/ 180 Haldon St, Lakemba NSW 2195",151.0787343,-33.9234281
"104 Croydon Rd, Hurstville NSW 2220",151.1078204,-33.95636
"3/ 3 Short St, Carlton NSW 2218",151.1232249,-33.9679857
"156 Wangee Rd, Greenacre NSW 2190",151.0686841,-33.9105551
"43 Jubilee Ave, Carlton NSW 2218",151.1266852,-33.971454
"219 Rowe St, Eastwood NSW 2122",151.0788655,-33.791886
"231 Rowe St, Eastwood NSW 2122",151.0785554,-33.7918611
"181 Forest Rd, Hurstville NSW 2220",151.1051803,-33.9677116
"50 Joseph St, Lidcombe NSW 2141",151.0430435,-33.8661547
"11 Penshurst St, Penshurst NSW 2222",151.088481,-33.9657763
"1 Hannans Rd, Narwee NSW 2209",151.0670095,-33.9470412
"95 Laycock Rd, Penshurst NSW 2222",151.0928489,-33.9707043
"Unit 1/ 180 South Creek Rd, Wheeler Heights NSW 2097",151.2784425,-33.73289
"11/ 191 Parramatta Rd, Auburn NSW 2144",151.0345891,-33.8395335
"Ste 1/ 152A Woodburn Rd, Berala NSW 2141",151.0321368,-33.8710634
"6 Rookwood Rd, Yagoona NSW 2199",151.0359235,-33.9057863
"396 Victoria Rd, Rydalmere NSW 2116",151.0425565,-33.8118193
"1113 Pittwater Rd, Collaroy Beach NSW 2097",151.3010436,-33.7323511
"1113 Pittwater Rd, Collaroy Beach NSW 2097",151.3010436,-33.7323511
"Shop 40/ 83 North Tce, Bankstown NSW 2200",151.0330004,-33.9177242
"Shop 12 Compass Centre North Tce, Bankstown NSW 2200",151.034842,-33.917067
"Unit 313 145-149 Chapel Rd, Bankstown NSW 2200",151.0311111,-33.9265897
"9 Park St, Peakhurst NSW 2210",151.0567561,-33.9640715
"245 Bobbin Head Rd, North Turramurra NSW 2074",151.1474022,-33.713801
"Hume Hwy, Yagoona NSW 2199",151.0188011,-33.9069313
"40 Pindari Rd, Peakhurst NSW 2210",151.0542738,-33.9708705
"18 Dellwood St, South Granville NSW 2142",151.0088495,-33.8533912
"28A South St, Granville NSW 2142",151.0107978,-33.8335462
"712 Pennant Hills Rd, Carlingford NSW 2118",151.0474278,-33.7635765
"154 Parramatta Rd, Granville NSW 2142",151.0103344,-33.8303862
"69 Howard Rd, Padstow NSW 2211",151.0313486,-33.9523672
"159 Church St, Parramatta NSW 2150",151.0042547,-33.8175506
"26 Marco Ave, Revesby NSW 2212",151.0163996,-33.9515656
"4 Booralie Rd, Terrey Hills NSW 2084",151.2281199,-33.682892
"Cnr Kleins and Boundary Rds, Northmead NSW 2152",150.9965099,-33.7963972
"4D/ 6 Boundary Rd, Northmead NSW 2152",150.9973817,-33.794176
"75 Hawkesbury Rd, Westmead NSW 2145",150.9865634,-33.812921
"74 Hawkesbury Rd, Westmead NSW 2145",150.9853317,-33.8123547
"38 Douglas St, Merrylands NSW 2160",150.973305,-33.8270444
"621 Port Hacking Rd, Lilli Pilli NSW 2229",151.1201795,-34.0638303
"22 Chadderton St, Lansvale NSW 2166",150.9533941,-33.8932385
"267 Old Northern Rd, Castle Hill NSW 2154",151.004158,-33.7340869
"54 Fitzwilliam Rd, Toongabbie NSW 2146",150.9671341,-33.7865597
"757 Pacific Hwy, Mt Kuring Gai NSW 2080",151.1341477,-33.6560622
"Unit 11/ 85 John St, Cabramatta NSW 2166",150.9359011,-33.8947683
"Shop 4/ 97 Rawson Rd, Fairfield NSW 2165",150.9307472,-33.8626664
"644 Old Northern Rd, Dural NSW 2158",151.0279426,-33.6817937
"78 Glenhaven Rd, Glenhaven NSW 2156",151.0011709,-33.698197
"Shop 5/ 105 Bella Vista Dr, Baulkham Hills NSW 2153",150.9592319,-33.7432718
"Westfield Shopng Cntr Shop 1008/ Macquarie St, Liverpool NSW 2170",150.923629,-33.91941
"469 Cabramatta Rd, Cabramatta NSW 2166",150.9125918,-33.8965775
"Moorebank Ave Cnr Halles Ave, Moorebank NSW 2170",150.9257161,-33.9370585
"Shop 5/ 105 Bella Vista Dr, Baulkham Hills NSW 2153",150.9592319,-33.7432718
"Westfield Shopng Cntr Shop 1008/ Macquarie St, Liverpool NSW 2170",150.923629,-33.91941
"469 Cabramatta Rd, Cabramatta NSW 2166",150.9125918,-33.8965775
"Moorebank Ave Cnr Halles Ave, Moorebank NSW 2170",150.9257161,-33.9370585
"2 Shadwell Crst, Kings Langley NSW 2147",150.9464207,-33.7506328
"30 Bulls Rd, Fairfield West NSW 2165",150.9110769,-33.8694737
"56 Meadows Rd, Moorebank NSW 2170",150.9026814,-33.8956777
"19 Turner Rd, Berowra Heights NSW 2082",151.1371035,-33.6122215
"35 Engadine Ct, Engadine NSW 2233",151.008728,-34.0686744
"93-97 Main St, Blacktown NSW 2148",150.9100874,-33.770353
"37 Bessemer St, Blacktown NSW 2148",150.9069907,-33.7513968
"1331 Princes Hwy, Heathcote NSW 2233",151.0083186,-34.0865898
"Cnr Edensor and Allambie Rds, Edensor Park NSW 2176",150.8769775,-33.8762168
"12 Ash St, Blacktown NSW 2148",150.8879871,-33.767173
"450 The Pkwy, Quakers Hill NSW 2763",150.9023622,-33.729993
"1842 Horsley Dr, Horsley Park NSW 2164",150.8468613,-33.8415508
"33 Dixon St, Mt Druitt NSW 2770",150.8217717,-33.7771263
"Shop 12/ 12 Pembroke Rd, Minto NSW 2566",150.8486543,-34.0281065
"101 Carlisle Ave, Bidwill NSW 2770",150.8219796,-33.7353043
"St Clair Shopping Centre Shop 2 Endeavour Ave, St Clair NSW 2759",150.788228,-33.7942519
"Junction Rd, Ruse NSW 2560",150.8423148,-34.0686965
"112 Queen St, Campbelltown NSW 2560",150.8166294,-34.0644858
"Shop 1/ 111 Queen St, Campbelltown NSW 2560",150.8149451,-34.0655518
"1 Littimer Way, Ambarvale NSW 2560",150.7991886,-34.0945032
"Fairwater Dr & Lake View Ct, Currans Hill NSW 2567",-82.3117742,27.8856868
"2130 The Northern Rd, Luddenham NSW 2745",150.6937504,-33.8836884
"171 Smith St, Penrith NSW 2750",150.7022888,-33.7667394
"229 High St, Penrith NSW 2750",150.705087,-33.7549364
"6 Iris Ct, Glenmore Park NSW 2745",150.6659289,-33.7831326
"Shop 3 2320 Silverdale Rd, Silverdale NSW 2752",150.6170184,-33.8925257
"100 Argyle St, Picton NSW 2571",150.6121348,-34.1687501
"71 Darling St, Balmain East NSW 2041",151.1925981,-33.8573244
"230-238 New South Head Rd, Edgecliff NSW 2027",151.2382007,-33.8790102
"644 Old Northern Rd, Dural NSW 2158",151.0279426,-33.6817937
"78 Glenhaven Rd, Glenhaven NSW 2156",151.0011709,-33.698197
"Shop 5/ 105 Bella Vista Dr, Baulkham Hills NSW 2153",150.9592319,-33.7432718
"Westfield Shopng Cntr Shop 1008/ Macquarie St, Liverpool NSW 2170",150.923629,-33.91941
"469 Cabramatta Rd, Cabramatta NSW 2166",150.9125918,-33.8965775
"Moorebank Ave Cnr Halles Ave, Moorebank NSW 2170",150.9257161,-33.9370585
"2 Shadwell Crst, Kings Langley NSW 2147",150.9464207,-33.7506328
"30 Bulls Rd, Fairfield West NSW 2165",150.9110769,-33.8694737
"56 Meadows Rd, Moorebank NSW 2170",150.9026814,-33.8956777
"19 Turner Rd, Berowra Heights NSW 2082",151.1371035,-33.6122215
"35 Engadine Ct, Engadine NSW 2233",151.008728,-34.0686744
"93-97 Main St, Blacktown NSW 2148",150.9100874,-33.770353
"37 Bessemer St, Blacktown NSW 2148",150.9069907,-33.7513968
"Cnr Edensor and Allambie Rds, Edensor Park NSW 2176",150.8769775,-33.8762168
"12 Ash St, Blacktown NSW 2148",150.8879871,-33.767173
"450 The Pkwy, Quakers Hill NSW 2763",150.9023622,-33.729993
"1842 Horsley Dr, Horsley Park NSW 2164",150.8468613,-33.8415508
"33 Dixon St, Mt Druitt NSW 2770",150.8217717,-33.7771263
"Shop 12/ 12 Pembroke Rd, Minto NSW 2566",150.8486543,-34.0281065
"101 Carlisle Ave, Bidwill NSW 2770",150.8219796,-33.7353043
"St Clair Shopping Centre Shop 2 Endeavour Ave, St Clair NSW 2759",150.788228,-33.7942519
"Junction Rd, Ruse NSW 2560",150.8423148,-34.0686965
"112 Queen St, Campbelltown NSW 2560",150.8166294,-34.0644858
"Shop 1/ 111 Queen St, Campbelltown NSW 2560",150.8149451,-34.0655518
"1 Littimer Way, Ambarvale NSW 2560",150.7991886,-34.0945032
"Fairwater Dr & Lake View Ct, Currans Hill NSW 2567",-82.3117742,27.8856868
"2130 The Northern Rd, Luddenham NSW 2745",150.6937504,-33.8836884
"171 Smith St, Penrith NSW 2750",150.7022888,-33.7667394
"229 High St, Penrith NSW 2750",150.705087,-33.7549364
"6 Iris Ct, Glenmore Park NSW 2745",150.6659289,-33.7831326
"Shop 3 2320 Silverdale Rd, Silverdale NSW 2752",150.6170184,-33.8925257
"100 Argyle St, Picton NSW 2571",150.6121348,-34.1687501
"71 Darling St, Balmain East NSW 2041",151.1925981,-33.8573244
"644 Old Northern Rd, Dural NSW 2158",151.0279426,-33.6817937
"78 Glenhaven Rd, Glenhaven NSW 2156",151.0011709,-33.698197
"Shop 5/ 105 Bella Vista Dr, Baulkham Hills NSW 2153",150.9592319,-33.7432718
"Westfield Shopng Cntr Shop 1008/ Macquarie St, Liverpool NSW 2170",150.923629,-33.91941
"469 Cabramatta Rd, Cabramatta NSW 2166",150.9125918,-33.8965775
"Moorebank Ave Cnr Halles Ave, Moorebank NSW 2170",150.9257161,-33.9370585
"2 Shadwell Crst, Kings Langley NSW 2147",150.9464207,-33.7506328
"30 Bulls Rd, Fairfield West NSW 2165",150.9110769,-33.8694737
"56 Meadows Rd, Moorebank NSW 2170",150.9026814,-33.8956777
"19 Turner Rd, Berowra Heights NSW 2082",151.1371035,-33.6122215
"35 Engadine Ct, Engadine NSW 2233",151.008728,-34.0686744
"93-97 Main St, Blacktown NSW 2148",150.9100874,-33.770353
"37 Bessemer St, Blacktown NSW 2148",150.9069907,-33.7513968
"Cnr Edensor and Allambie Rds, Edensor Park NSW 2176",150.8769775,-33.8762168
"12 Ash St, Blacktown NSW 2148",150.8879871,-33.767173
"450 The Pkwy, Quakers Hill NSW 2763",150.9023622,-33.729993
"1842 Horsley Dr, Horsley Park NSW 2164",150.8468613,-33.8415508
"33 Dixon St, Mt Druitt NSW 2770",150.8217717,-33.7771263
"Shop 12/ 12 Pembroke Rd, Minto NSW 2566",150.8486543,-34.0281065
"101 Carlisle Ave, Bidwill NSW 2770",150.8219796,-33.7353043
"St Clair Shopping Centre Shop 2 Endeavour Ave, St Clair NSW 2759",150.788228,-33.7942519
"Junction Rd, Ruse NSW 2560",150.8423148,-34.0686965
"112 Queen St, Campbelltown NSW 2560",150.8166294,-34.0644858
"Shop 1/ 111 Queen St, Campbelltown NSW 2560",150.8149451,-34.0655518
"1 Littimer Way, Ambarvale NSW 2560",150.7991886,-34.0945032
"Fairwater Dr & Lake View Ct, Currans Hill NSW 2567",-82.3117742,27.8856868
"2130 The Northern Rd, Luddenham NSW 2745",150.6937504,-33.8836884
"171 Smith St, Penrith NSW 2750",150.7022888,-33.7667394
"229 High St, Penrith NSW 2750",150.705087,-33.7549364
"6 Iris Ct, Glenmore Park NSW 2745",150.6659289,-33.7831326
"Shop 3 2320 Silverdale Rd, Silverdale NSW 2752",150.6170184,-33.8925257
"100 Argyle St, Picton NSW 2571",150.6121348,-34.1687501
"71 Darling St, Balmain East NSW 2041",151.1925981,-33.8573244
"54 Fitzwilliam Rd, Toongabbie NSW 2146",150.9671341,-33.7865597
"757 Pacific Hwy, Mt Kuring Gai NSW 2080",151.1341477,-33.6560622
