"SSC_2006_NAME","SSC_CODE_2001","SSC_CODE_2006","SSC_CODE_2011","SSC_CODE_2016"
"Teralba",16406,14431,12242,13793
"Terrey Hills",13346,11975,12248,13804
"Terrigal",15291,13366,12249,13805
"The Entrance",15296,13371,12255,13818
"The Entrance North",15301,13376,12256,13819
"The Hill",16411,14436,12257,13826
"The Junction",16416,14441,12258,13827
"Thirroul",17231,15246,12271,13848
"Thornleigh",13356,11979,12273,13850
"Tighes Hill",16421,14446,12278,13863
"Tingira Heights",16426,14451,12281,13875
"Toongabbie",13361,11981,12293,13907
"Toowoon Bay",15306,13381,12296,13916
"Toronto",16431,14456,12297,13918
"Toukley",15311,13386,12300,13925
"Towradgi",17236,15251,12303,13929
"Tregear",13366,11983,12307,13934
"Tuggerah",15316,13391,12314,13950
"Tuggerawong",15321,13396,12315,13951
"Tumbi Umbi",15326,13401,12321,13962
"Turramurra",13371,11985,12329,13980
"Turrella",13376,11987,12330,13982
"Ultimo",13381,11989,12343,14006
"Umina Beach",15331,13406,12344,14007
"Unanderra",17241,15256,12345,14008
"Valentine",16436,14461,12364,14065
"Valley Heights",13386,11991,12367,14069
"Vaucluse",13391,11993,12369,14071
"Villawood",13396,11995,12372,14074
"Voyager Point",13401,11997,12376,14079
"Wahroonga",13406,11999,12380,14085
"Waitara",13411,12001,12381,14086
"Wakeley",13416,12003,12383,14089
"Wallsend",16441,14466,12401,14118
"Wamberal",15336,13421,12402,14122
"Warabrook",16446,14471,12409,14140
"Waratah",16451,14476,12410,14141
"Waratah West",16456,14481,12411,14142
"Wareemba",13421,12005,12414,14148
"Warilla",17246,15261,12417,14151
"Warners Bay",16461,14486,12418,14153
"Warrawee",13426,12007,12423,14165
"Warrawong",17251,15266,12424,14167
"Warriewood",13431,12009,12429,14173
"Warrimoo",13436,12011,12430,14174
"Warwick Farm",13441,12013,12431,14177
"Watanobbi",15341,13426,12432,14181
"Waterloo",13446,12015,12434,14183
"Watsons Bay",13451,12017,12436,14187
"Wattle Grove",13456,12019,12440,14192
"Waverley",13461,12021,12444,14200
"Waverton",13466,12023,12445,14202
"Wentworthville",13471,12027,12459,14228
"Werrington",13476,12029,12463,14235
"Werrington County",13481,12031,12464,14236
"Werrington Downs",13486,12033,12465,14237
"West Gosford",15346,13431,12470,14244
"West Hoxton",13491,12035,12472,14246
"West Pennant Hills",13496,12037,12475,14249
"West Pymble",13501,12039,12476,14250
"West Ryde",13506,12041,12477,14251
"West Wallsend",16466,14491,12479,14253
"West Wollongong",17256,15271,12480,14255
"Westleigh",13511,12043,12483,14260
"Westmead",13516,12045,12484,14261
"Wetherill Park",13521,12047,12486,14264
"Whalan",13526,12049,12487,14266
"Whitebridge",16471,14496,12492,14276
"Wickham",16476,14501,12497,14285
"Wiley Park",13531,12051,12501,14293
"Willmot",13536,12053,12504,14302
"Willoughby",13541,12055,12505,14303
"Willoughby East",13546,12057,12506,14304
"Windale",16481,14506,12511,14315
"Windang",17261,15276,12512,14316
