POA_CODE_2016,POA_NAME_2016,SSC_CODE_2016,SSC_NAME_2016,n_MB_CODE_2016,share_MB_CODE_2016
2760,2760,13397,Ropes Crossing,56,0.9824561403508771
2029,2029,13398,Rose Bay (NSW),141,0.986013986013986
2018,2018,13405,Rosebery (NSW),90,1
2142,2142,13408,Rosehill (NSW),49,1
2196,2196,13409,Roselands,132,1
2069,2069,13412,Roseville,116,1
2069,2069,13413,Roseville Chase,18,1
2155,2155,13429,Rouse Hill,97,1
2233,2233,13433,Royal National Park,8,1
2039,2039,13435,Rozelle,130,1
2011,2011,13444,Rushcutters Bay,45,1
2046,2046,13447,Russell Lea,66,1
2116,2116,13453,Rydalmere,87,1
2112,2112,13454,Ryde,281,1
2168,2168,13461,Sadleir,29,1
2219,2219,13478,Sandringham (NSW),27,1
2172,2172,13487,Sandy Point (NSW),5,1
2219,2219,13489,Sans Souci,148,1
2762,2762,13502,Schofields,45,1
2105,2105,13505,Scotland Island,13,1
2092,2092,13509,Seaforth (NSW),92,1
2162,2162,13516,Sefton,65,1
2147,2147,13518,Seven Hills (NSW),238,1
2770,2770,13523,Shalvey,42,1
2747,2747,13524,Shanes Park,5,1
2128,2128,13547,Silverwater (Parramatta - NSW),69,1
2164,2164,13559,Smithfield (NSW),187,1
2034,2034,13579,South Coogee,63,1
2142,2142,13583,South Granville,74,1
2221,2221,13587,South Hurstville,61,1
2750,2750,13596,South Penrith,129,1
2074,2074,13598,South Turramurra,58,1
2145,2145,13599,South Wentworthville,71,1
2759,2759,13632,St Clair (Penrith - NSW),201,1
2075,2075,13639,St Ives (NSW),192,1
2075,2075,13640,St Ives Chase,41,1
2176,2176,13641,St Johns Park,64,1
2065,2065,13642,St Leonards (NSW),49,1
2760,2760,13643,St Marys (NSW),204,1
2044,2044,13644,St Peters (NSW),47,1
2768,2768,13649,Stanhope Gardens,92,1
2048,2048,13650,Stanmore (NSW),97,1
2135,2135,13675,Strathfield (NSW),265,0.9888059701492538
2136,2136,13676,Strathfield South,49,1
2130,2130,13687,Summer Hill (Inner West - NSW),112,1
2010,2010,13699,Surry Hills,198,1
2232,2232,13701,Sutherland (NSW),129,1
2044,2044,13714,Sydenham (NSW),17,1
2000,2000,13715,Sydney,193,1
2127,2127,13716,Sydney Olympic Park,20,1
2224,2224,13717,Sylvania,105,1
2224,2224,13718,Sylvania Waters,34,1
2026,2026,13741,Tamarama,29,1
2229,2229,13766,Taren Point,24,1
2117,2117,13782,Telopea,59,1
2044,2044,13785,Tempe,47,1
2111,2111,13790,Tennyson Point,16,1
2084,2084,13804,Terrey Hills,38,1
2769,2769,13835,The Ponds,109,1
