ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Chifley,21.2,27,701,2225,1816,3.9000000000000004,33.1,32.1,31.7,237,13.3,2600,6.6,57.3,23.6,18.3,10901,2036
Kensington,23,22.6,514,2200,1646,20.1,21.9,17,57.8,515,31.5,2600,4.7,19.2,6.5,72.9,12099,2033
Randwick,12.9,33.1,1105,2716,2169,5.3,23.1,23.3,50.7,560,18.5,2600,4.9,14,16.5,67.5,13312,2031
Bass Hill,24.9,12.2,469,1396,1225,1.8,31.8,32.3,32.1,380,16.1,2080,10.7,72,21,6.2,10224,2197
Yagoona,25.3,10.7,467,1343,1203,2.8,30.1,30.8,34.5,380,19,2000,10.8,67.7,15.2,16.5,14453,2199
Villawood,40.6,5.9,381,993,781,5.4,16.4,18.6,59.4,177,27.4,1950,7.3,73.7,7.2,18.1,14074,2163
Greenacre,25.7,12.4,436,1334,1184,0,30.9,32,32.6,370,17.4,2058,12.6,64.5,28.9,5.8,11757,2190
Milperra,12.9,20.1,697,1985,1851,2.4,45.1,44,9.4,500,3.7,2253,11.8,95.3,4.5,0,12625,2214
Condell Park,20.7,14.9,489,1434,1392,0,35.9,34,26.2,450,14.3,2167,12.6,68.3,29.7,1,11001,2200
Panania,19.2,19.7,658,1929,1642,6.6,34,35.7,27.6,410,10.7,2300,8.4,71.9,24.2,2.4,13144,2213
East Hills,24.5,19.2,659,1990,1511,5,31.4,33.3,31.2,322,13.1,2200,9,65.2,22.3,11.9,11351,2213
Picnic Point,13.5,27.9,780,2214,2015,3.3,42.1,41.8,13.6,525,5.4,2349,9.8,76.2,23.4,0.2,13199,2213
Revesby Heights,11,30,857,2363,2188,4.9,36.2,44.3,16.1,510,5,2400,10.2,76.9,22.4,0,13356,2212
Birrong,22.3,13.8,473,1402,1373,10.2,40.2,27.6,28.8,430,12.7,1948,8.4,83.8,10.6,4.1,10379,2143
Belmore,23.2,9.6,504,1339,1192,4.6,28.7,24.2,43.6,360,20.7,2000,8,48.3,10.3,40.6,10279,2192
Belfield,21.8,15.5,548,1675,1440,5.4,33.6,33.7,29.4,430,12.9,2378,10.7,67.4,25.1,6.6,10257,2191
Campsie,22.3,8.8,486,1274,1239,31.200000000000003,21.2,22.1,52.7,395,26.7,1742,8.4,23.1,11.3,65,10782,2194
Earlwood,15.8,25.2,681,2051,1824,0,44.6,31.7,20.2,500,7.6,2500,7.8,81.5,8.6,9.5,11343,2206
Kingsgrove,19.7,19.9,588,1774,1564,14.7,42.4,29.4,24.9,480,10.5,2350,8.9,82.3,7.7,8.5,12158,2208
Narwee,25.4,13.1,527,1516,1308,30.6,26.4,28.6,40.8,350,19.8,2167,8.9,50.4,20.6,28.2,12912,2209
Lakemba,26.2,5.4,427,1052,1012,0,19.8,19.3,56.4,350,33.7,1600,7.5,24.8,3.9,70.4,12257,2195
Wiley Park,24.2,4.9,443,1110,1072,3.2,18.7,21,56,350,32.1,1690,7.7,28.5,5.3,65.8,14293,2195
Carlton,17.6,17.2,628,1714,1600,19.200000000000003,30.5,28.3,37.4,440,15.3,2024,8.1,48.1,6.7,43,10819,2218
Oatley,11.8,33.4,867,2445,2142,10.3,45.5,31.4,20.5,460,6.9,2500,7.3,71.7,10.5,16.7,13064,2223
Mortdale,14.2,19.9,762,2016,1731,14.8,30,32.4,34.9,405,13.5,2167,7.5,43.1,16.1,40.4,12728,2223
Hurstville Grove,11.1,31.4,715,2219,2094,21.299999999999997,49.3,34.3,14,518,5.5,2600,8.9,86.6,8.6,4.2,11965,2220
Lugarno,11.4,33.4,784,2356,2168,5,50.5,38.8,8.6,500,2.6,2600,8.4,94.6,4.4,0.7,12421,2210
South Hurstville,17.4,16.2,592,1719,1581,30.2,34.8,34,28.3,470,14,2167,11.9,51.7,23,24.8,13587,2221
Kyle Bay,7.9,41,914,2677,2511,12.2,49.7,40.3,9,698,4.2,3000,11.7,97.8,2.2,0,12227,2221
Connells Point,11.3,36,850,2528,2287,15.5,50.2,39,9,595,3.4,2800,10.4,89.8,10.2,0,11013,2221
Carss Park,20.3,33,708,2333,1779,7.699999999999999,42.8,35,19.1,212,6.9,2913,11.1,77.9,14.2,7,10837,2221
Turrella,16.1,19.6,621,1746,1789,15.5,23.1,30.7,42.9,570,18.7,2200,9.3,50.7,7.8,41,13982,2205
Bardwell Valley,20.8,23.1,645,1984,1684,3.6,44.3,34.4,17.5,490,5.4,2288,9.8,69.7,25.9,3.6,10196,2207
Bardwell Park,14,28.3,770,2216,1992,10.2,44.3,37.5,16,500,6.9,2257,8.9,85.3,6.4,6.2,10195,2207
Bexley,18.1,17,606,1739,1556,11.399999999999999,35.3,35.2,26.3,450,12.5,2167,10.8,53.2,25.8,19.8,10334,2207
Bexley North,22.2,21.1,613,1836,1570,13.3,40.3,27.7,27.8,430,12.5,2200,7.1,75.6,11.2,11.2,10335,2207
Allawah,17.8,12,614,1507,1494,30.299999999999997,26,25.2,45.9,440,19.6,1950,8,16.9,3.7,78.6,10038,2218
Beverley Park,16,24.8,754,2103,1819,6.3,38.8,30.2,27.6,550,12.2,2500,9.8,75.1,8.6,16.3,10330,2217
