,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Numulgi,209.0,0.517,0.483,49.0,57.0,1.6,0.5,87.0,2.7,1649.0,1800.0,280.0,2.3,13041
Fingal Head,592.0,0.498,0.502,45.0,143.0,2.0,0.8,327.0,2.7,1208.0,2210.0,360.0,1.9,11519
Casuarina (NSW),2678.0,0.498,0.502,36.0,718.0,1.9,1.0,1211.0,2.9,1913.0,2362.0,460.0,1.9,10851
Kingscliff,7464.0,0.478,0.522,46.0,1977.0,1.8,0.6,3670.0,2.4,1230.0,2000.0,360.0,1.7,12154
Chinderah,1566.0,0.521,0.479,60.0,373.0,1.9,0.3,961.0,1.8,664.0,1733.0,211.0,1.3,10905
Cudgen,857.0,0.49200000000000005,0.508,41.0,236.0,1.9,0.9,321.0,2.8,1435.0,1517.0,340.0,2.0,11143
Kings Forest,35.0,0.48600000000000004,0.514,44.0,12.0,1.7,0.7,15.0,2.6,1542.0,0.0,0.0,1.9,12148
Murwillumbah,7032.0,0.467,0.533,45.0,1796.0,1.9,0.7,3043.0,2.4,957.0,1603.0,280.0,1.6,12866
South Murwillumbah,1114.0,0.522,0.478,47.0,269.0,1.8,0.7,469.0,2.4,1042.0,1387.0,320.0,1.8,13593
Bray Park (NSW),795.0,0.456,0.544,44.0,212.0,1.9,0.8,328.0,2.6,933.0,1517.0,285.0,1.7,10552
Smiths Creek (Tweed - NSW),301.0,0.483,0.517,48.0,76.0,2.1,0.8,140.0,2.5,1014.0,1300.0,275.0,1.9,13562
Doon Doon,97.0,0.533,0.467,57.0,18.0,1.5,0.3,46.0,1.9,749.0,1760.0,190.0,1.7,11273
Chowan Creek,37.0,0.5,0.5,56.0,5.0,2.0,0.6,23.0,2.3,575.0,0.0,0.0,1.5,10913
Rowlands Creek,74.0,0.479,0.521,56.0,18.0,1.0,0.1,37.0,2.0,850.0,1650.0,0.0,2.3,13432
Commissioners Creek,65.0,0.6,0.4,51.0,9.0,0.0,0.0,29.0,2.0,1042.0,867.0,250.0,1.5,10995
Mount Burrell,217.0,0.502,0.498,51.0,48.0,2.1,0.6,126.0,2.1,665.0,1400.0,165.0,1.7,12749
Kunghur Creek,44.0,0.46299999999999997,0.537,49.0,10.0,1.0,0.2,26.0,2.9,1333.0,1598.0,0.0,2.3,12214
Kunghur,107.0,0.574,0.42600000000000005,42.0,28.0,1.8,0.6,44.0,2.8,924.0,1473.0,290.0,1.6,12213
Midginbil,72.0,0.563,0.438,53.0,17.0,1.7,0.7,30.0,2.3,979.0,1400.0,0.0,2.2,12609
Byrrill Creek,124.0,0.523,0.47700000000000004,52.0,37.0,1.6,0.7,61.0,2.2,737.0,1101.0,225.0,1.8,10734
Cedar Creek (Tweed - NSW),20.0,0.588,0.41200000000000003,44.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10869
Terragon,73.0,0.438,0.562,48.0,18.0,1.5,0.4,37.0,2.5,1375.0,1625.0,0.0,2.4,13800
Tyalgum Creek,107.0,0.526,0.474,56.0,29.0,1.0,0.1,57.0,2.3,1083.0,1625.0,185.0,1.7,13995
Pumpenbil,204.0,0.529,0.47100000000000003,53.0,50.0,1.7,0.5,101.0,2.3,857.0,1300.0,335.0,1.6,13272
Brays Creek,71.0,0.438,0.562,51.0,14.0,1.4,0.5,23.0,2.6,850.0,1624.0,320.0,2.1,10553
Back Creek (Tweed - NSW),14.0,0.643,0.35700000000000004,52.0,3.0,0.0,0.0,14.0,1.0,1624.0,0.0,0.0,2.0,10128
Tumbulgum,405.0,0.46,0.54,43.0,111.0,1.7,0.6,175.0,2.5,1337.0,1521.0,340.0,2.0,13964
Limpinwood,215.0,0.5,0.5,54.0,60.0,1.7,0.5,104.0,2.2,962.0,1745.0,215.0,2.1,12333
Tyalgum,545.0,0.45799999999999996,0.542,43.0,135.0,2.1,0.9,225.0,2.7,900.0,1300.0,305.0,1.8,13994
Mount Warning,100.0,0.557,0.443,55.0,21.0,1.3,0.3,70.0,2.0,487.0,0.0,173.0,1.6,12800
Dum Dum,117.0,0.61,0.39,56.0,35.0,1.5,0.3,53.0,2.3,1104.0,1517.0,295.0,2.1,11304
Byangum,133.0,0.48200000000000004,0.518,50.0,43.0,1.3,0.3,56.0,2.3,1104.0,1300.0,350.0,2.0,10729
Eungella (NSW),338.0,0.551,0.449,44.0,81.0,2.1,0.8,127.0,2.7,1024.0,1660.0,200.0,2.0,11460
North Arm (NSW),126.0,0.538,0.462,43.0,33.0,2.0,0.9,47.0,2.7,1218.0,1300.0,343.0,1.9,12978
Crystal Creek (NSW),259.0,0.48100000000000004,0.519,44.0,70.0,2.1,0.9,107.0,2.7,1125.0,1810.0,250.0,1.9,11138
Chillingham,232.0,0.504,0.49600000000000005,50.0,68.0,1.9,0.6,101.0,2.3,850.0,1560.0,320.0,1.9,10904
Zara,76.0,0.507,0.493,50.0,17.0,1.5,0.6,35.0,2.4,1031.0,1300.0,100.0,2.0,14523
Stokers Siding,663.0,0.522,0.478,46.0,177.0,1.9,0.7,286.0,2.7,1196.0,1517.0,300.0,2.0,13664
Numinbah,129.0,0.488,0.512,49.0,31.0,1.6,0.5,62.0,2.2,949.0,1180.0,170.0,1.7,13040
Hopkins Creek,113.0,0.466,0.534,39.0,30.0,1.9,0.9,45.0,2.7,1218.0,1733.0,303.0,2.0,11934
Upper Crystal Creek,189.0,0.549,0.451,51.0,56.0,1.8,0.6,94.0,2.4,850.0,1454.0,295.0,2.1,14021
Nobbys Creek,271.0,0.507,0.493,47.0,80.0,1.6,0.6,125.0,2.6,1278.0,1900.0,310.0,2.2,12968
Dungay,219.0,0.521,0.479,44.0,67.0,1.5,0.7,92.0,2.7,1569.0,2340.0,270.0,2.1,11318
Kynnumboon,134.0,0.512,0.488,52.0,38.0,1.6,0.2,60.0,2.3,919.0,1706.0,183.0,1.8,12228
Dunbible,354.0,0.523,0.47700000000000004,52.0,105.0,1.8,0.6,132.0,2.8,1291.0,1938.0,235.0,2.1,11309
Fernvale (NSW),265.0,0.549,0.451,44.0,75.0,1.7,0.9,99.0,2.7,1125.0,1495.0,288.0,2.3,11511
Wardrop Valley,89.0,0.5579999999999999,0.44200000000000006,46.0,21.0,2.3,0.7,37.0,2.6,1050.0,0.0,165.0,1.9,14145
Kielvale,258.0,0.51,0.49,47.0,75.0,1.7,0.7,103.0,2.5,1325.0,1733.0,185.0,2.1,12122
Palmvale,83.0,0.489,0.511,44.0,23.0,1.3,0.4,34.0,3.1,1312.0,1900.0,200.0,2.3,13138
Reserve Creek,126.0,0.527,0.473,46.0,31.0,2.1,0.7,58.0,2.8,1062.0,1734.0,220.0,1.9,13353
Tygalgah,126.0,0.524,0.47600000000000003,35.0,33.0,1.9,0.6,58.0,2.1,1437.0,1600.0,285.0,2.0,13996
Dulguigan,127.0,0.49600000000000005,0.504,49.0,38.0,1.7,0.7,63.0,2.5,1292.0,1200.0,250.0,2.5,11302
Urliup,194.0,0.513,0.48700000000000004,54.0,61.0,1.5,0.6,86.0,2.4,1156.0,2000.0,275.0,2.2,14060
Eviron,194.0,0.485,0.515,43.0,58.0,1.9,0.8,79.0,3.0,1416.0,2210.0,380.0,2.1,11472
Stotts Creek,3.0,0.5,0.5,57.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,13671
Duranbah,239.0,0.521,0.479,42.0,60.0,1.9,0.6,90.0,2.8,1312.0,1733.0,345.0,2.4,11331
Condong,308.0,0.534,0.466,45.0,85.0,1.6,0.6,124.0,2.6,1230.0,1733.0,400.0,2.1,11003
Farrants Hill,124.0,0.504,0.49600000000000005,57.0,38.0,1.6,0.3,59.0,2.0,1275.0,1734.0,265.0,1.8,11493
Clothiers Creek,277.0,0.55,0.45,42.0,73.0,1.8,0.8,111.0,3.0,1968.0,2335.0,340.0,2.6,10936
Nunderi,656.0,0.49200000000000005,0.508,47.0,185.0,1.8,0.8,253.0,2.7,1510.0,1767.0,400.0,2.4,13042
Uki,696.0,0.509,0.49100000000000005,47.0,178.0,1.7,0.7,300.0,2.5,1053.0,1517.0,305.0,1.9,14000
Bogangar,3060.0,0.499,0.501,42.0,820.0,1.8,0.7,1359.0,2.5,1280.0,1708.0,360.0,1.7,10439
Mooball,194.0,0.518,0.48200000000000004,43.0,50.0,2.0,0.9,82.0,2.7,1083.0,1500.0,350.0,1.9,12687
Sleepy Hollow,98.0,0.5700000000000001,0.43,41.0,24.0,1.4,0.4,42.0,2.3,1437.0,2167.0,320.0,2.3,13557
Cabarita Beach,103.0,0.47500000000000003,0.525,40.0,25.0,1.5,0.7,72.0,2.2,1083.0,1733.0,363.0,1.5,10737
Pottsville,6704.0,0.479,0.521,40.0,1879.0,2.0,0.9,2736.0,2.7,1281.0,1950.0,395.0,1.8,13257
Crabbes Creek,290.0,0.512,0.488,48.0,74.0,1.8,0.7,141.0,2.5,1031.0,1417.0,368.0,2.2,11102
Upper Burringbar,279.0,0.551,0.449,46.0,69.0,1.8,0.5,134.0,2.2,883.0,1400.0,300.0,1.9,14015
Burringbar,852.0,0.48100000000000004,0.519,44.0,216.0,1.8,0.7,353.0,2.5,1165.0,1517.0,290.0,2.0,10713
Hastings Point,653.0,0.456,0.544,67.0,186.0,1.5,0.2,471.0,1.8,723.0,1042.0,277.0,1.2,11868
Tanglewood,97.0,0.511,0.489,45.0,25.0,1.6,0.9,42.0,2.7,1281.0,1430.0,295.0,1.8,13747
Round Mountain,143.0,0.514,0.48600000000000004,47.0,38.0,1.4,0.5,50.0,3.2,1468.0,1700.0,350.0,2.6,13425
Cudgera Creek,331.0,0.523,0.47700000000000004,42.0,90.0,1.9,0.9,126.0,2.9,1430.0,2000.0,360.0,2.3,11144
Tweed Heads,8176.0,0.478,0.522,56.0,2089.0,1.6,0.4,4889.0,2.0,928.0,1517.0,330.0,1.4,13984
Tweed Heads West,6196.0,0.47500000000000003,0.525,49.0,1571.0,1.6,0.5,3075.0,2.1,842.0,1517.0,300.0,1.5,13986
Cobaki Lakes,42.0,0.489,0.511,43.0,11.0,2.0,0.7,14.0,2.6,1125.0,1400.0,0.0,1.8,10948
Piggabeen,322.0,0.532,0.46799999999999997,43.0,87.0,2.1,0.9,115.0,2.9,1268.0,1733.0,370.0,2.3,13202
Bilambil Heights,3364.0,0.49200000000000005,0.508,43.0,931.0,1.8,0.8,1353.0,2.6,1295.0,1744.0,370.0,1.9,10348
Cobaki,205.0,0.55,0.45,41.0,57.0,1.8,0.9,72.0,3.2,1612.0,1820.0,260.0,2.2,10947
Upper Duroby,104.0,0.495,0.505,45.0,28.0,1.8,0.7,36.0,2.8,1875.0,1600.0,370.0,2.0,14024
Bilambil,417.0,0.517,0.483,44.0,112.0,1.9,0.9,155.0,2.8,1346.0,1801.0,330.0,2.2,10347
Duroby,58.0,0.5,0.5,50.0,21.0,1.5,0.5,26.0,2.1,1208.0,2175.0,0.0,2.2,11333
Carool,174.0,0.564,0.436,47.0,46.0,1.8,0.9,82.0,2.9,1281.0,2084.0,295.0,2.5,10822
Tomewin,108.0,0.555,0.445,41.0,30.0,1.7,0.7,50.0,2.6,1300.0,1784.0,375.0,2.3,13895
Glengarrie,141.0,0.594,0.406,59.0,27.0,1.3,0.2,188.0,1.9,512.0,1400.0,120.0,1.7,11666
Banora Point,16167.0,0.466,0.534,50.0,4497.0,1.8,0.6,7147.0,2.4,1080.0,1733.0,360.0,1.7,10185
Terranora,2926.0,0.495,0.505,40.0,826.0,2.0,1.0,995.0,3.1,1752.0,2000.0,480.0,2.3,13802
North Tumbulgum,256.0,0.535,0.465,46.0,67.0,2.0,0.7,109.0,2.6,1422.0,2000.0,220.0,2.3,13012
Bungalora,69.0,0.49200000000000005,0.508,57.0,24.0,1.0,0.2,32.0,2.4,1350.0,1650.0,200.0,2.2,10680
Tweed Heads South,7615.0,0.46299999999999997,0.537,52.0,1936.0,1.8,0.5,4026.0,2.1,798.0,1595.0,340.0,1.4,13985
Griffith (NSW),18196.0,0.493,0.507,36.0,4442.0,1.9,0.8,7440.0,2.6,1287.0,1500.0,230.0,1.8,11782
Yoogali,1231.0,0.506,0.494,41.0,302.0,2.1,1.0,421.0,2.9,1674.0,1600.0,250.0,2.3,14516
Bilbul,555.0,0.523,0.47700000000000004,38.0,139.0,2.2,0.9,216.0,2.9,1442.0,1415.0,240.0,2.3,10349
Yenda (NSW),1537.0,0.503,0.49700000000000005,40.0,402.0,2.0,0.8,644.0,2.6,1266.0,1264.0,185.0,2.1,14504
Beelbangera,409.0,0.502,0.498,37.0,115.0,1.8,0.9,159.0,2.6,1368.0,1380.0,231.0,2.3,10251
Myall Park (NSW),198.0,0.503,0.49700000000000005,41.0,50.0,2.2,1.2,69.0,2.8,1937.0,1885.0,120.0,2.6,12873
Binya,140.0,0.555,0.445,37.0,36.0,2.4,1.3,52.0,3.4,1449.0,1031.0,0.0,2.2,10373
Hillston,1465.0,0.493,0.507,39.0,361.0,1.8,0.6,699.0,2.4,1234.0,975.0,150.0,1.9,11912
Lake Brewster,11.0,0.7270000000000001,0.273,34.0,4.0,0.0,0.0,4.0,0.0,1749.0,0.0,0.0,1.0,12240
Roto,41.0,0.7270000000000001,0.273,40.0,9.0,3.0,0.8,16.0,1.3,1374.0,0.0,0.0,3.0,13421
Monia Gap,16.0,0.375,0.625,29.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12680
Wallanthery,33.0,0.469,0.531,47.0,12.0,1.4,0.5,19.0,2.3,949.0,0.0,0.0,1.8,14108
Melbergen,4.0,1.0,0.0,40.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12559
Erigolia,47.0,0.537,0.46299999999999997,36.0,14.0,1.8,1.0,22.0,3.0,1375.0,0.0,0.0,2.6,11431
Rankins Springs,173.0,0.54,0.46,45.0,45.0,1.9,0.4,95.0,2.3,1125.0,693.0,0.0,2.4,13316
Boorga,14.0,0.7140000000000001,0.28600000000000003,46.0,6.0,0.0,0.0,5.0,2.0,1875.0,0.0,0.0,2.0,10497
Widgelli,67.0,0.543,0.457,39.0,16.0,3.0,1.2,29.0,3.0,1224.0,0.0,155.0,2.4,14287
Willbriggie,131.0,0.49600000000000005,0.504,32.0,32.0,2.0,1.1,49.0,3.3,1531.0,1603.0,88.0,2.6,14296
Kooba,76.0,0.52,0.48,43.0,15.0,1.7,1.2,27.0,2.8,1124.0,0.0,200.0,2.9,12183
Benerembah,130.0,0.493,0.507,35.0,28.0,1.9,0.9,48.0,2.5,1218.0,1733.0,0.0,2.3,10293
Whitton,496.0,0.524,0.47600000000000003,42.0,117.0,2.0,0.7,220.0,2.4,1006.0,650.0,150.0,1.8,14280
Tharbogang,511.0,0.546,0.454,40.0,123.0,2.1,1.0,183.0,3.0,1399.0,1000.0,190.0,2.4,13811
Warrawidgee,86.0,0.47200000000000003,0.528,41.0,14.0,2.0,0.8,34.0,2.4,1208.0,0.0,150.0,2.8,14166
Warburn,98.0,0.5650000000000001,0.435,35.0,18.0,2.3,1.5,39.0,3.1,1333.0,1400.0,125.0,1.9,14143
Tabbita,73.0,0.514,0.48600000000000004,30.0,18.0,1.5,0.5,33.0,2.4,2062.0,0.0,0.0,1.9,13721
Hanwood,1256.0,0.521,0.479,39.0,317.0,2.0,0.9,504.0,2.8,1461.0,1359.0,220.0,2.2,11850
Coleambally,1331.0,0.526,0.474,39.0,319.0,2.1,0.8,659.0,2.5,1323.0,900.0,140.0,2.2,10964
Darlington Point,1162.0,0.526,0.474,41.0,310.0,1.9,0.8,540.0,2.5,1131.0,1083.0,170.0,1.9,11215
Carrathool,238.0,0.568,0.43200000000000005,36.0,57.0,2.1,0.8,114.0,2.4,1261.0,195.0,0.0,2.4,10827
Goolgowi,402.0,0.546,0.454,39.0,109.0,1.9,0.7,199.0,2.4,1197.0,836.0,150.0,2.0,11705
Merriwagga,107.0,0.542,0.45799999999999996,43.0,26.0,2.4,0.9,63.0,2.4,1025.0,433.0,90.0,2.2,12586
Gunbar,54.0,0.7000000000000001,0.3,40.0,9.0,0.0,0.0,25.0,2.1,1062.0,0.0,0.0,1.9,11802
Nericon,293.0,0.495,0.505,41.0,76.0,2.0,0.9,108.0,2.7,1424.0,1517.0,180.0,2.5,12927
Lake Wyangan,897.0,0.511,0.489,42.0,244.0,2.1,1.1,312.0,3.0,1691.0,1733.0,200.0,2.5,12255
Murrami,235.0,0.56,0.44,34.0,61.0,2.2,1.0,100.0,2.8,1262.0,820.0,40.0,1.9,12850
Gogeldrie,91.0,0.495,0.505,36.0,21.0,2.0,0.7,33.0,2.8,1812.0,0.0,135.0,2.7,11692
Stanbridge,206.0,0.515,0.485,37.0,53.0,2.0,0.8,84.0,2.6,1053.0,1292.0,85.0,2.7,13646
Leeton,8623.0,0.49100000000000005,0.509,40.0,2175.0,1.9,0.7,3765.0,2.4,1207.0,1300.0,200.0,1.9,12293
Yanco,984.0,0.479,0.521,18.0,156.0,1.8,0.7,302.0,2.3,1018.0,1168.0,133.0,1.9,14460
Corbie Hill,228.0,0.5870000000000001,0.413,49.0,66.0,2.1,0.9,111.0,2.8,1312.0,1517.0,200.0,2.7,11068
Merungle Hill,262.0,0.46299999999999997,0.537,43.0,66.0,2.1,0.9,112.0,2.8,1211.0,1300.0,0.0,2.6,12590
Narrandera,4375.0,0.489,0.511,44.0,1064.0,1.9,0.6,2080.0,2.3,963.0,1083.0,180.0,1.7,12906
Grong Grong,250.0,0.49600000000000005,0.504,46.0,58.0,1.9,0.5,128.0,2.2,1218.0,1042.0,40.0,2.2,11784
Landervale,22.0,0.5910000000000001,0.409,56.0,7.0,1.0,0.4,10.0,2.5,2750.0,0.0,0.0,3.5,12265
Colinroobie,65.0,0.47100000000000003,0.529,37.0,13.0,2.0,1.3,24.0,3.2,1625.0,500.0,0.0,2.8,10967
Moombooldool,30.0,0.688,0.313,45.0,7.0,1.0,0.2,16.0,2.5,1041.0,0.0,0.0,3.5,12695
Brobenah,15.0,0.667,0.33299999999999996,42.0,6.0,1.0,1.0,7.0,3.0,1624.0,0.0,0.0,2.7,10582
Cudgel,32.0,0.514,0.48600000000000004,45.0,10.0,2.0,0.4,15.0,2.2,1166.0,0.0,0.0,1.7,11142
Euroley,77.0,0.519,0.48100000000000004,45.0,18.0,2.1,1.0,31.0,2.4,1562.0,0.0,0.0,2.2,11465
Boree Creek,199.0,0.495,0.505,44.0,54.0,1.9,0.7,121.0,2.4,1034.0,644.0,150.0,2.1,10512
Morundah,69.0,0.574,0.42600000000000005,53.0,17.0,2.0,0.6,53.0,2.3,1187.0,0.0,0.0,2.5,12733
Galore,95.0,0.516,0.484,42.0,22.0,1.6,0.7,49.0,2.6,1062.0,0.0,100.0,2.6,11581
Corobimilla,71.0,0.5,0.5,42.0,19.0,1.3,0.6,31.0,2.3,1399.0,417.0,120.0,3.1,11079
Sandigo,84.0,0.5579999999999999,0.44200000000000006,46.0,20.0,1.9,0.6,44.0,2.5,1291.0,767.0,0.0,2.5,13475
Gillenbah,137.0,0.511,0.489,50.0,30.0,1.4,0.3,75.0,2.1,1375.0,0.0,110.0,2.5,11622
Tumbarumba,1862.0,0.49200000000000005,0.508,46.0,491.0,1.9,0.6,904.0,2.3,1102.0,1170.0,180.0,1.8,13961
Khancoban,304.0,0.502,0.498,54.0,74.0,2.1,0.4,235.0,1.9,914.0,867.0,150.0,1.5,12111
Mannus,222.0,0.8690000000000001,0.131,40.0,18.0,1.3,0.4,31.0,2.1,1399.0,1517.0,75.0,2.3,12479
Munderoo,42.0,0.512,0.488,58.0,17.0,1.0,0.2,24.0,1.8,1333.0,0.0,0.0,2.4,12839
Glenroy (Snowy Valleys - NSW),70.0,0.527,0.473,51.0,21.0,2.0,0.8,34.0,2.5,1843.0,1250.0,60.0,2.0,11679
Rosewood (Snowy Valleys - NSW),214.0,0.538,0.462,43.0,60.0,2.2,0.8,102.0,2.7,956.0,1235.0,150.0,2.2,13415
Humula,124.0,0.49600000000000005,0.504,51.0,31.0,1.5,0.4,68.0,2.3,974.0,867.0,85.0,2.3,11952
Courabyra,99.0,0.51,0.49,45.0,28.0,2.6,0.7,35.0,2.6,1437.0,1733.0,75.0,2.3,11090
Willigobung,48.0,0.5,0.5,54.0,19.0,1.0,0.2,27.0,1.6,1093.0,1441.0,0.0,2.4,14300
Taradale (NSW),35.0,0.516,0.484,55.0,15.0,0.0,0.0,12.0,2.0,1875.0,0.0,0.0,2.6,13757
Laurel Hill,20.0,0.368,0.632,58.0,5.0,0.0,0.0,10.0,2.0,1087.0,1603.0,0.0,2.0,12282
Jingellic,61.0,0.5,0.5,58.0,12.0,0.0,0.0,31.0,1.8,900.0,1334.0,0.0,2.3,12033
Burra (Snowy Valleys - NSW),65.0,0.418,0.5820000000000001,42.0,10.0,2.5,1.0,21.0,2.3,1156.0,1317.0,250.0,2.5,10698
Paddys River (Snowy Valleys - NSW),21.0,0.667,0.33299999999999996,44.0,3.0,0.0,0.0,19.0,1.0,1687.0,0.0,0.0,1.0,13118
Maragle,58.0,0.533,0.467,55.0,18.0,1.5,0.4,39.0,2.0,1375.0,1148.0,0.0,2.3,12483
Ournie,33.0,0.38200000000000006,0.618,49.0,12.0,2.0,0.4,16.0,2.1,2050.0,984.0,0.0,2.3,13104
Tooma,104.0,0.542,0.45799999999999996,43.0,27.0,1.6,0.4,51.0,2.3,1499.0,929.0,170.0,2.3,13906
Welaregang,38.0,0.5,0.5,54.0,12.0,1.5,0.5,18.0,2.8,1156.0,0.0,0.0,1.7,14218
Bringenbrong,52.0,0.519,0.48100000000000004,33.0,11.0,2.0,0.5,17.0,2.4,866.0,889.0,0.0,2.0,10576
Indi,39.0,0.561,0.439,46.0,13.0,1.5,0.6,13.0,2.3,1624.0,0.0,230.0,2.9,11976
Greg Greg,36.0,0.535,0.465,44.0,9.0,1.5,0.4,27.0,2.3,1624.0,0.0,100.0,2.0,11772
Nurenmerenmong,11.0,0.0,1.0,32.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13046
Cabramurra,37.0,0.606,0.394,40.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,10742
Tumut,6230.0,0.488,0.512,43.0,1599.0,1.9,0.7,2861.0,2.3,1073.0,1361.0,200.0,1.7,13966
Gilmore (NSW),177.0,0.552,0.44799999999999995,45.0,56.0,1.5,0.6,85.0,2.7,1850.0,2000.0,150.0,2.6,11626
Batlow,1313.0,0.508,0.49200000000000005,50.0,341.0,1.8,0.5,653.0,2.2,928.0,1001.0,150.0,1.8,10232
Talbingo,239.0,0.521,0.479,59.0,54.0,1.5,0.3,291.0,1.7,909.0,1049.0,130.0,1.6,13730
Kunama,71.0,0.459,0.541,58.0,18.0,1.0,0.1,51.0,1.8,762.0,1227.0,110.0,2.0,12208
Windowie,28.0,0.556,0.444,57.0,7.0,0.0,0.0,10.0,2.4,1312.0,1542.0,0.0,3.0,14323
Gadara,47.0,0.56,0.44,36.0,15.0,1.4,0.5,21.0,2.5,1312.0,1993.0,0.0,2.0,11577
Goobarragandra,70.0,0.544,0.456,46.0,19.0,2.2,1.0,34.0,2.5,1350.0,1362.0,25.0,1.8,11698
Brindabella,22.0,0.435,0.5650000000000001,66.0,8.0,1.0,0.4,32.0,2.2,1125.0,0.0,0.0,2.0,10573
Wermatong,45.0,0.512,0.488,45.0,15.0,2.0,0.5,12.0,2.8,1937.0,1809.0,0.0,2.0,14231
Argalong,29.0,0.36700000000000005,0.633,35.0,5.0,2.0,0.8,19.0,2.5,900.0,1500.0,0.0,2.2,10077
Tumut Plains,60.0,0.515,0.485,41.0,16.0,2.0,1.0,22.0,3.0,1437.0,2811.0,0.0,2.1,13967
Little River (NSW),47.0,0.549,0.451,53.0,18.0,1.0,0.4,17.0,2.8,1937.0,1842.0,0.0,2.6,12357
Jones Bridge,22.0,0.583,0.41700000000000004,41.0,6.0,2.0,0.9,8.0,2.0,0.0,0.0,0.0,2.0,12039
Darlow,39.0,0.649,0.35100000000000003,50.0,13.0,1.0,0.2,17.0,1.9,2125.0,0.0,0.0,2.4,11216
Westwood (NSW),12.0,0.7270000000000001,0.273,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14263
Yaven Creek,58.0,0.532,0.46799999999999997,40.0,19.0,1.9,1.0,24.0,2.8,2124.0,834.0,0.0,2.9,14498
Sharps Creek,17.0,0.632,0.368,39.0,3.0,0.0,0.0,6.0,0.0,1437.0,0.0,0.0,3.0,13530
Cooleys Creek,8.0,0.5,0.5,50.0,3.0,0.0,0.0,5.0,3.0,900.0,0.0,0.0,0.0,11030
Wondalga,100.0,0.535,0.465,48.0,31.0,1.7,0.8,43.0,2.5,1625.0,1997.0,0.0,2.5,14372
Black Creek (Snowy Valleys - NSW),17.0,0.538,0.462,33.0,3.0,3.0,3.0,7.0,5.0,725.0,0.0,0.0,2.0,10383
Ellerslie (Snowy Valleys - NSW),52.0,0.40399999999999997,0.596,29.0,10.0,2.0,0.5,21.0,1.6,1875.0,0.0,150.0,1.8,11402
Lower Bago,7.0,1.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12400
Minjary,37.0,0.485,0.515,35.0,9.0,2.0,0.6,17.0,2.2,1666.0,1300.0,0.0,2.0,12637
Gocup,153.0,0.534,0.466,38.0,42.0,2.4,1.0,55.0,2.7,1792.0,2167.0,200.0,2.4,11690
Bombowlee,293.0,0.546,0.454,47.0,79.0,1.9,0.8,124.0,2.7,1524.0,1647.0,200.0,2.2,10459
Lacmalac,159.0,0.525,0.47500000000000003,51.0,43.0,2.3,0.8,67.0,2.1,1625.0,2000.0,235.0,2.1,12231
Mundongo,207.0,0.469,0.531,47.0,66.0,2.2,0.9,76.0,2.9,1916.0,2012.0,250.0,2.2,12840
Brungle,112.0,0.504,0.49600000000000005,35.0,23.0,2.7,0.7,46.0,2.5,850.0,784.0,170.0,2.2,10618
Killimicat,29.0,0.444,0.556,51.0,12.0,1.0,0.3,17.0,2.1,1875.0,0.0,0.0,3.0,12136
Wyangle,47.0,0.595,0.405,39.0,10.0,1.7,0.9,13.0,2.8,2125.0,2167.0,175.0,2.3,14435
Bombowlee Creek,51.0,0.47100000000000003,0.529,51.0,13.0,1.8,1.2,24.0,2.8,1562.0,2225.0,0.0,2.6,10460
Tumorrama,33.0,0.556,0.444,37.0,11.0,1.6,1.6,17.0,3.0,1062.0,0.0,0.0,3.3,13965
Couragago,5.0,0.41700000000000004,0.583,22.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11092
Brungle Creek,32.0,0.613,0.387,32.0,10.0,1.0,0.2,16.0,1.6,1687.0,0.0,0.0,2.6,10619
Adelong,943.0,0.504,0.49600000000000005,46.0,253.0,1.8,0.6,457.0,2.3,1018.0,1083.0,180.0,1.7,10018
Mount Adrah,37.0,0.556,0.444,46.0,8.0,0.0,0.0,16.0,1.8,1124.0,0.0,0.0,1.6,12744
Grahamstown,61.0,0.552,0.44799999999999995,51.0,17.0,1.5,0.5,29.0,2.1,1125.0,1600.0,0.0,2.5,11735
Sandy Gully (NSW),23.0,0.6,0.4,43.0,6.0,0.0,0.0,15.0,2.3,1875.0,1115.0,0.0,2.0,13484
Mount Horeb,27.0,0.593,0.40700000000000003,51.0,11.0,3.0,1.0,17.0,2.9,1375.0,0.0,0.0,2.2,12764
Bangadang,11.0,0.308,0.6920000000000001,25.0,4.0,0.0,0.0,7.0,0.0,1649.0,0.0,0.0,3.0,10172
Califat,15.0,0.41700000000000004,0.583,23.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10753
