,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Unumgar,26.0,0.5710000000000001,0.429,64.0,10.0,1.0,0.5,9.0,2.4,483.0,0.0,0.0,2.0,14012
Roseberry Creek,35.0,0.531,0.469,57.0,12.0,1.0,0.2,25.0,1.7,933.0,715.0,0.0,1.6,13404
Sherwood (Kyogle - NSW),28.0,0.7140000000000001,0.28600000000000003,57.0,4.0,0.0,0.0,23.0,2.0,687.0,0.0,0.0,1.5,13538
Grevillia,77.0,0.544,0.456,51.0,24.0,1.6,0.8,44.0,2.1,675.0,1360.0,170.0,1.8,11780
Eden Creek,150.0,0.533,0.467,55.0,47.0,1.3,0.3,78.0,2.1,971.0,1592.0,125.0,2.1,11376
West Wiangaree,114.0,0.528,0.47200000000000003,48.0,31.0,1.9,0.6,53.0,2.3,1199.0,2080.0,170.0,2.2,14254
Wyneden,49.0,0.523,0.47700000000000004,53.0,18.0,0.0,0.0,25.0,1.7,949.0,1212.0,0.0,2.3,14444
Toonumbar,39.0,0.7140000000000001,0.28600000000000003,51.0,9.0,1.5,0.5,24.0,1.7,725.0,834.0,0.0,1.3,13909
Upper Eden Creek,46.0,0.46299999999999997,0.537,52.0,9.0,2.0,0.4,24.0,2.0,724.0,0.0,0.0,2.4,14025
Smiths Creek (Kyogle - NSW),62.0,0.49200000000000005,0.508,53.0,23.0,1.4,0.5,33.0,2.2,1062.0,1470.0,0.0,1.7,13561
Afterlee,50.0,0.569,0.43100000000000005,55.0,13.0,1.0,0.3,24.0,2.2,850.0,0.0,135.0,1.9,10020
Wiangaree,131.0,0.47100000000000003,0.529,40.0,38.0,2.4,1.2,63.0,2.8,858.0,867.0,190.0,1.9,14283
Kilgra,77.0,0.519,0.48100000000000004,52.0,18.0,2.3,0.7,27.0,2.7,739.0,412.0,0.0,2.0,12127
Doubtful Creek,140.0,0.5670000000000001,0.433,48.0,37.0,1.7,0.6,63.0,2.6,1013.0,1101.0,0.0,2.1,11282
Woolners Arm,12.0,0.7270000000000001,0.273,49.0,0.0,0.0,0.0,11.0,1.0,612.0,0.0,0.0,1.0,14407
Ghinni Ghi,36.0,0.5,0.5,59.0,12.0,0.0,0.0,25.0,1.7,900.0,910.0,155.0,1.9,11609
Sextonville,24.0,0.5,0.5,45.0,7.0,2.0,0.5,8.0,1.5,1125.0,0.0,0.0,1.7,13520
Babyl Creek,9.0,0.75,0.25,43.0,4.0,0.0,0.0,4.0,1.0,933.0,0.0,0.0,2.0,10122
Edenville,76.0,0.5,0.5,54.0,20.0,1.0,0.2,28.0,2.2,1083.0,1300.0,0.0,2.0,11378
Ettrick (NSW),134.0,0.459,0.541,42.0,40.0,1.6,0.6,56.0,2.2,734.0,1207.0,200.0,2.0,11448
Iron Pot Creek,28.0,0.48100000000000004,0.519,53.0,7.0,1.0,0.3,10.0,2.4,1625.0,912.0,128.0,1.6,11984
Boorabee Park,104.0,0.5670000000000001,0.433,48.0,29.0,1.6,0.5,49.0,2.6,1333.0,1000.0,150.0,1.7,10494
Kyogle,2197.0,0.47700000000000004,0.523,48.0,517.0,1.9,0.6,1020.0,2.2,814.0,1200.0,235.0,1.5,12229
Cedar Point,170.0,0.547,0.45299999999999996,51.0,47.0,1.7,0.7,76.0,2.6,1357.0,1463.0,280.0,2.3,10871
Horse Station Creek,101.0,0.505,0.495,56.0,37.0,2.0,0.4,54.0,2.1,974.0,1235.0,230.0,1.7,11938
Geneva,713.0,0.462,0.538,48.0,193.0,1.9,0.6,318.0,2.3,988.0,1430.0,250.0,1.7,11599
Upper Horseshoe Creek,124.0,0.49600000000000005,0.504,40.0,33.0,2.1,1.1,45.0,3.0,824.0,932.0,220.0,1.8,14028
Barkers Vale,165.0,0.524,0.47600000000000003,45.0,41.0,1.4,0.4,91.0,2.2,575.0,680.0,138.0,1.6,10201
Wadeville,170.0,0.563,0.43700000000000006,55.0,43.0,1.7,0.4,112.0,1.9,525.0,867.0,170.0,1.6,14082
Lillian Rock,218.0,0.462,0.538,51.0,45.0,1.6,0.5,122.0,1.9,706.0,802.0,175.0,1.4,12323
Fawcetts Plain,154.0,0.503,0.49700000000000005,45.0,44.0,2.1,0.8,57.0,2.6,1542.0,1500.0,230.0,2.3,11498
New Park,147.0,0.52,0.48,49.0,37.0,2.4,0.8,70.0,2.3,774.0,966.0,290.0,1.9,12945
Horseshoe Creek,85.0,0.5,0.5,43.0,25.0,2.0,0.7,31.0,2.2,1300.0,1863.0,220.0,2.2,11940
Little Back Creek,43.0,0.605,0.395,37.0,8.0,2.0,0.9,18.0,2.3,1562.0,1517.0,0.0,1.6,12348
Homeleigh,109.0,0.44,0.56,49.0,33.0,1.6,0.3,55.0,2.0,939.0,1647.0,215.0,2.2,11931
Cawongla,192.0,0.55,0.45,54.0,46.0,1.4,0.3,109.0,2.1,738.0,1300.0,245.0,1.9,10864
Boomi Creek,20.0,0.524,0.47600000000000003,66.0,9.0,0.0,0.0,11.0,1.7,962.0,0.0,0.0,1.7,10490
Dairy Flat,17.0,0.778,0.222,62.0,6.0,0.0,0.0,12.0,1.0,469.0,0.0,0.0,2.0,11187
Lindesay Creek,21.0,0.45799999999999996,0.542,15.0,4.0,2.0,1.0,10.0,2.0,1124.0,0.0,0.0,2.0,12338
The Glen (NSW),4.0,0.5,0.5,40.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13823
Rukenvale,32.0,0.483,0.517,62.0,13.0,1.0,0.2,26.0,1.8,725.0,601.0,0.0,1.3,13439
Old Grevillia,48.0,0.569,0.43100000000000005,48.0,14.0,1.0,0.1,23.0,1.8,668.0,1200.0,184.0,1.6,13076
Terrace Creek,52.0,0.51,0.49,44.0,11.0,3.5,1.0,25.0,2.4,674.0,2152.0,160.0,2.4,13799
Sawpit Creek,9.0,0.33299999999999996,0.667,62.0,4.0,0.0,0.0,15.0,2.0,574.0,0.0,0.0,2.0,13497
Gradys Creek,47.0,0.523,0.47700000000000004,53.0,11.0,0.0,0.0,38.0,1.6,724.0,1083.0,0.0,1.2,11732
Findon Creek,28.0,0.391,0.609,59.0,9.0,1.4,0.7,20.0,1.7,575.0,0.0,0.0,1.3,11516
Roseberry,42.0,0.452,0.5479999999999999,34.0,7.0,1.5,0.8,18.0,1.8,612.0,0.0,180.0,1.4,13403
The Risk,64.0,0.485,0.515,39.0,17.0,1.4,0.5,23.0,2.7,1124.0,0.0,0.0,1.8,13837
Cougal,38.0,0.7709999999999999,0.22899999999999998,59.0,10.0,1.0,0.3,22.0,1.6,725.0,0.0,0.0,1.5,11088
Loadstone,37.0,0.5,0.5,56.0,14.0,1.0,0.5,30.0,1.7,849.0,1517.0,0.0,1.7,12366
Lynchs Creek,94.0,0.533,0.467,49.0,23.0,1.3,0.4,50.0,1.9,939.0,1532.0,210.0,1.9,12424
Warrazambil Creek,20.0,0.524,0.47600000000000003,54.0,4.0,1.0,0.2,15.0,2.3,941.0,0.0,0.0,1.6,14168
Green Pigeon,155.0,0.525,0.47500000000000003,48.0,39.0,1.9,0.4,75.0,2.1,714.0,1000.0,200.0,1.9,11752
Collins Creek,132.0,0.53,0.47000000000000003,53.0,35.0,1.7,0.6,75.0,2.0,966.0,874.0,200.0,1.7,10978
East Lismore,4985.0,0.465,0.535,40.0,1143.0,1.8,0.7,2183.0,2.3,1000.0,1430.0,260.0,1.5,11358
Lismore (NSW),3579.0,0.488,0.512,40.0,753.0,1.7,0.6,1717.0,2.2,838.0,1300.0,240.0,1.4,12344
Lismore Heights,2193.0,0.47500000000000003,0.525,40.0,575.0,1.8,0.6,1027.0,2.2,1134.0,1350.0,280.0,1.6,12345
Howards Grass,76.0,0.5750000000000001,0.425,43.0,18.0,1.6,1.0,30.0,2.6,1156.0,1450.0,340.0,2.1,11946
South Lismore,1879.0,0.527,0.473,39.0,412.0,1.9,0.7,778.0,2.4,912.0,1228.0,250.0,1.6,13589
Girards Hill,1318.0,0.473,0.527,44.0,312.0,1.8,0.6,661.0,2.1,1002.0,1288.0,250.0,1.4,11631
Lagoon Grass,54.0,0.509,0.49100000000000005,47.0,17.0,1.7,0.7,23.0,2.5,1375.0,919.0,300.0,2.1,12236
Monaltrie,195.0,0.549,0.451,47.0,57.0,1.6,0.5,85.0,2.4,1303.0,1325.0,300.0,2.2,12674
North Lismore,768.0,0.539,0.461,44.0,185.0,1.9,0.7,352.0,2.3,883.0,1300.0,260.0,1.6,12994
Loftville,229.0,0.638,0.36200000000000004,51.0,35.0,1.6,0.3,159.0,1.4,486.0,0.0,163.0,1.0,12372
Modanville,624.0,0.509,0.49100000000000005,45.0,169.0,1.9,0.8,236.0,2.7,1259.0,1584.0,305.0,2.1,12655
Clunes (NSW),868.0,0.506,0.494,44.0,256.0,1.9,0.8,361.0,2.6,1383.0,1733.0,395.0,1.9,10939
Terania Creek,185.0,0.5,0.5,46.0,46.0,1.9,0.6,95.0,2.4,816.0,1320.0,235.0,1.7,13794
The Channon,374.0,0.503,0.49700000000000005,46.0,99.0,1.9,0.7,165.0,2.5,939.0,1322.0,250.0,1.9,13816
Koonorigan,303.0,0.511,0.489,48.0,93.0,1.7,0.7,135.0,2.3,1069.0,1300.0,265.0,2.0,12188
Repentance Creek,104.0,0.49100000000000005,0.509,44.0,29.0,1.6,0.7,53.0,2.4,1047.0,1138.0,200.0,2.0,13351
Rosebank,413.0,0.47600000000000003,0.524,50.0,115.0,1.8,0.5,210.0,2.3,1023.0,1717.0,275.0,1.9,13401
Corndale (NSW),320.0,0.506,0.494,45.0,93.0,2.0,0.7,145.0,2.6,1343.0,1767.0,290.0,2.0,11076
East Coraki,205.0,0.473,0.527,45.0,62.0,1.9,0.8,90.0,2.5,1140.0,1517.0,240.0,2.3,11347
Dungarubba,59.0,0.583,0.41700000000000004,42.0,20.0,1.0,0.5,23.0,2.7,1343.0,1550.0,0.0,2.4,11317
