Suburb_Code,Suburb_Name,State_Code,State_Name
16126,Croudace Bay,1,New South Wales
16131,Dudley,1,New South Wales
16136,Edgeworth,1,New South Wales
16141,Eleebana,1,New South Wales
16146,Elermore Vale,1,New South Wales
16151,Estelville,1,New South Wales
16156,Fennell Bay,1,New South Wales
16161,Fletcher,1,New South Wales
16166,Floraville,1,New South Wales
16171,Garden Suburb,1,New South Wales
16176,Gateshead,1,New South Wales
16181,Georgetown,1,New South Wales
16186,Glendale,1,New South Wales
16191,Hamilton,1,New South Wales
16196,Hamilton East,1,New South Wales
16201,Hamilton North,1,New South Wales
16206,Hamilton South,1,New South Wales
16211,Highfields,1,New South Wales
16216,Hillsborough,1,New South Wales
16221,Holmesville,1,New South Wales
16226,Islington,1,New South Wales
16231,Jesmond,1,New South Wales
16236,Jewells,1,New South Wales
16241,Kahibah,1,New South Wales
16246,Kilaben Bay,1,New South Wales
16251,Kotara,1,New South Wales
16256,Kotara South,1,New South Wales
16261,Lakelands,1,New South Wales
16266,Lambton,1,New South Wales
16271,Macquarie Hills,1,New South Wales
16276,Marks Point,1,New South Wales
16281,Marmong Point,1,New South Wales
16286,Maryland,1,New South Wales
16291,Maryville,1,New South Wales
16296,Mayfield,1,New South Wales
16301,Mayfield East,1,New South Wales
16306,Mayfield West,1,New South Wales
16311,Merewether,1,New South Wales
16316,Merewether Heights,1,New South Wales
16321,Minmi,1,New South Wales
16326,Mount Hutton,1,New South Wales
16331,New Lambton,1,New South Wales
16336,New Lambton Heights,1,New South Wales
16341,Newcastle,1,New South Wales
16346,Newcastle East,1,New South Wales
16351,Newcastle West,1,New South Wales
16356,North Lambton,1,New South Wales
16361,Pelican,1,New South Wales
16366,Rankin Park,1,New South Wales
16371,Redhead,1,New South Wales
16381,Shortland,1,New South Wales
16386,Speers Point,1,New South Wales
16391,Stockton,1,New South Wales
16396,Swansea,1,New South Wales
16401,Swansea Heads,1,New South Wales
16406,Teralba,1,New South Wales
16411,The Hill,1,New South Wales
16416,The Junction,1,New South Wales
16421,Tighes Hill,1,New South Wales
16426,Tingira Heights,1,New South Wales
16431,Toronto,1,New South Wales
16436,Valentine,1,New South Wales
16441,Wallsend,1,New South Wales
16446,Warabrook,1,New South Wales
16451,Waratah,1,New South Wales
16456,Waratah West,1,New South Wales
16461,Warners Bay,1,New South Wales
16466,West Wallsend,1,New South Wales
16471,Whitebridge,1,New South Wales
16476,Wickham,1,New South Wales
16481,Windale,1,New South Wales
16486,Woodrising,1,New South Wales
17006,Albion Park,1,New South Wales
17011,Albion Park Rail,1,New South Wales
17016,Austinmer,1,New South Wales
17021,Balgownie,1,New South Wales
17026,Barrack Heights,1,New South Wales
17031,Barrack Point,1,New South Wales
17036,Bellambi,1,New South Wales
17041,Berkeley,1,New South Wales
17046,Blackbutt,1,New South Wales
17051,Bulli,1,New South Wales
17056,Coledale,1,New South Wales
17061,Coniston,1,New South Wales
17066,Cordeaux Heights,1,New South Wales
17071,Corrimal,1,New South Wales
17076,Cringila,1,New South Wales
17081,Dapto,1,New South Wales
17086,Fairy Meadow,1,New South Wales
17091,Farmborough Heights,1,New South Wales
17096,Figtree,1,New South Wales
17101,Flinders,1,New South Wales
17106,Gwynneville,1,New South Wales
17111,Horsley,1,New South Wales
17116,Kanahooka,1,New South Wales
17121,Keiraville,1,New South Wales
17126,Kembla Grange,1,New South Wales
17131,Koonawarra,1,New South Wales
17136,Lake Heights,1,New South Wales
17141,Lake Illawarra,1,New South Wales
17146,Mangerton,1,New South Wales
17151,Mount Keira,1,New South Wales
17156,Mount Kembla,1,New South Wales
17161,Mount Ousley,1,New South Wales
17166,Mount Pleasant,1,New South Wales
17171,Mount Saint Thomas,1,New South Wales
17176,Mount Warrigal,1,New South Wales
17181,North Wollongong,1,New South Wales
17186,Oak Flats,1,New South Wales
17191,Penrose,1,New South Wales
17196,Port Kembla,1,New South Wales
17201,Primbee,1,New South Wales
17206,Russell Vale,1,New South Wales
17211,Scarborough,1,New South Wales
17216,Shell Cove,1,New South Wales
17221,Shellharbour,1,New South Wales
17226,Tarrawanna,1,New South Wales
17231,Thirroul,1,New South Wales
17236,Towradgi,1,New South Wales
17241,Unanderra,1,New South Wales
17246,Warilla,1,New South Wales
17251,Warrawong,1,New South Wales
17256,West Wollongong,1,New South Wales
17261,Windang,1,New South Wales
17266,Wollongong,1,New South Wales
17271,Wombarra,1,New South Wales
17276,Woonona,1,New South Wales
19999,Unclassified NSW,1,New South Wales
21006,Abbotsford,2,Victoria
21011,Aberfeldie,2,Victoria
21016,Airport West,2,Victoria
21021,Albanvale,2,Victoria
21026,Albert Park,2,Victoria
21031,Albion,2,Victoria
21036,Alphington,2,Victoria
21041,Altona,2,Victoria
21046,Altona Meadows,2,Victoria
21051,Altona North,2,Victoria
21056,Ardeer,2,Victoria
21061,Armadale,2,Victoria
21066,Arthurs Seat,2,Victoria
21071,Ascot Vale,2,Victoria
21076,Ashburton,2,Victoria
21081,Ashwood,2,Victoria
21086,Aspendale,2,Victoria
21091,Aspendale Gardens,2,Victoria
21096,Attwood,2,Victoria
21101,Avondale Heights,2,Victoria
21106,Balaclava,2,Victoria
21111,Balwyn,2,Victoria
21116,Balwyn North,2,Victoria
21126,Baxter,2,Victoria
21131,Bayswater,2,Victoria
21136,Bayswater North,2,Victoria
21141,Beaconsfield,2,Victoria
21146,Beaumaris,2,Victoria
21151,Belgrave,2,Victoria
21156,Belgrave Heights,2,Victoria
21161,Belgrave South,2,Victoria
21166,Bellfield,2,Victoria
21171,Bentleigh,2,Victoria
21176,Bentleigh East,2,Victoria
21181,Berwick,2,Victoria
21186,Black Rock,2,Victoria
21191,Blackburn,2,Victoria
21196,Blackburn North,2,Victoria
21201,Blackburn South,2,Victoria
21206,Blairgowrie,2,Victoria
21211,Bonbeach,2,Victoria
21216,Boronia,2,Victoria
21221,Box Hill,2,Victoria
21226,Box Hill North,2,Victoria
21231,Box Hill South,2,Victoria
21236,Braeside,2,Victoria
21241,Braybrook,2,Victoria
21246,Briar Hill,2,Victoria
