"RA_2006_CODE","RA_2006_NAME","SSC_2006_CODE","SSC_2006_NAME","RATIO","PERCENT"
"10","Major Cities of Australia","11465","Henley",1,100
"10","Major Cities of Australia","11467","Hillsdale",1,100
"10","Major Cities of Australia","11469","Hinchinbrook",1,100
"10","Major Cities of Australia","11471","Holroyd",1,100
"10","Major Cities of Australia","11473","Holsworthy",1,100
"10","Major Cities of Australia","11475","Homebush",1,100
"10","Major Cities of Australia","11477","Homebush Bay",1,100
"10","Major Cities of Australia","11479","Homebush West",1,100
"10","Major Cities of Australia","11481","Horningsea Park",1,100
"10","Major Cities of Australia","11483","Hornsby",1,100
"10","Major Cities of Australia","11485","Hornsby Heights",1,100
"10","Major Cities of Australia","11487","Hoxton Park",1,100
"10","Major Cities of Australia","11489","Hunters Hill",1,100
"10","Major Cities of Australia","11491","Huntleys Cove",1,100
"10","Major Cities of Australia","11493","Huntleys Point",1,100
"10","Major Cities of Australia","11495","Hurlstone Park",1,100
"10","Major Cities of Australia","11497","Hurstville",1,100
"10","Major Cities of Australia","11499","Hurstville Grove",1,100
"10","Major Cities of Australia","11501","Illawong",1,100
"10","Major Cities of Australia","11503","Ingleburn",1,100
"10","Major Cities of Australia","11505","Ingleside",1,100
"10","Major Cities of Australia","11507","Jamisontown",1,100
"10","Major Cities of Australia","11509","Jannali",1,100
"10","Major Cities of Australia","11511","Kangaroo Point",1,100
"10","Major Cities of Australia","11513","Kareela",1,100
"10","Major Cities of Australia","11515","Katoomba",1,100
"10","Major Cities of Australia","11517","Kearns",1,100
"10","Major Cities of Australia","11519","Kellyville",1,100
"10","Major Cities of Australia","11521","Kellyville Ridge",1,100
"10","Major Cities of Australia","11523","Kensington",1,100
"10","Major Cities of Australia","11525","Killara",1,100
"10","Major Cities of Australia","11527","Killarney Heights",1,100
"10","Major Cities of Australia","11529","Kings Langley",1,100
"10","Major Cities of Australia","11531","Kings Park",1,100
"10","Major Cities of Australia","11533","Kingsford",1,100
"10","Major Cities of Australia","11535","Kingsgrove",1,100
"10","Major Cities of Australia","11537","Kingswood (Penrith)",1,100
"10","Major Cities of Australia","11539","Kirrawee",1,100
"10","Major Cities of Australia","11541","Kirribilli",1,100
"10","Major Cities of Australia","11543","Kogarah",1,100
"10","Major Cities of Australia","11545","Kogarah Bay",1,100
"10","Major Cities of Australia","11547","Kurnell",1,100
"10","Major Cities of Australia","11549","Kyeemagh",1,100
"10","Major Cities of Australia","11551","Kyle Bay",1,100
"10","Major Cities of Australia","11553","La Perouse",1,100
