SSC_NAME_2016,POA_NAME_2016,n_MB_CODE_2016,share_MB_CODE_2016
St Johns Park,2176,64,1
St Leonards (NSW),2065,49,1
St Marys (NSW),2760,204,1
St Peters (NSW),2044,47,1
Stanhope Gardens,2768,92,1
Stanmore (NSW),2048,97,1
Strathfield (NSW),2135,265,0.9888059701492538
Strathfield South,2136,49,1
Summer Hill (Inner West - NSW),2130,112,1
Surry Hills,2010,198,1
Sutherland (NSW),2232,129,1
Sydenham (NSW),2044,17,1
Sydney,2000,193,1
Sydney Olympic Park,2127,20,1
Sylvania,2224,105,1
Sylvania Waters,2224,34,1
Tamarama,2026,29,1
Taren Point,2229,24,1
Telopea,2117,59,1
Tempe,2044,47,1
Tennyson Point,2111,16,1
Terrey Hills,2084,38,1
The Ponds,2769,109,1
The Rocks (Sydney - NSW),2000,14,1
Thornleigh,2120,106,1
Toongabbie (NSW),2146,180,1
Tregear,2770,38,1
Turramurra,2074,123,1
Turrella,2205,20,0.9523809523809523
Ultimo,2007,58,1
Vaucluse,2030,132,1
Villawood,2163,82,1
Vineyard,2765,16,1
Voyager Point,2172,13,1
Wahroonga,2076,189,1
Waitara,2077,48,1
Wakeley,2176,57,0.9827586206896551
Wareemba,2046,19,1
Warrawee,2074,25,1
Warriewood,2102,82,1
Warwick Farm,2170,84,1
Waterfall,2233,15,1
Waterloo (NSW),2017,87,1
Watsons Bay,2030,18,1
Wattle Grove (NSW),2173,98,1
Waverley (NSW),2024,61,1
Waverton,2060,48,1
Wentworth Point,2127,25,1
Wentworthville,2145,138,1
Werrington,2747,75,1
Werrington County,2747,48,1
Werrington Downs,2747,34,1
West Hoxton,2171,81,1
West Pennant Hills,2125,177,1
West Pymble,2073,60,1
West Ryde,2114,165,1
Westleigh,2120,51,1
Westmead,2145,164,1
Wetherill Park,2164,99,1
Whalan,2770,55,1
Whale Beach,2107,18,1
Wheeler Heights,2097,28,1
Wiley Park,2195,104,1
Willmot,2770,32,1
Willoughby (NSW),2068,76,1
Willoughby East,2068,18,1
Winston Hills,2153,137,1
Wolli Creek,2205,26,1
Wollstonecraft,2065,123,1
Woodcroft (NSW),2767,66,1
Woodpark,2164,15,1
Woollahra,2025,113,1
Woolloomooloo,2011,60,1
Woolooware,2230,59,1
Woolwich,2110,16,1
Woronora,2232,34,1
Woronora Heights,2233,43,1
Yagoona,2199,180,1
Yarrawarrah,2233,40,1
Yennora,2161,34,1
Yowie Bay,2228,33,1
Zetland,2017,52,1
