mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2026,2198,2026,0.2850081181657956,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2199,2026,0.25260215910629613,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2200,2026,0.2601230464742349,1,0.1,1,113
n_hospitals,radial_distance,2026,2203,2026,0.13366554187267402,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2204,2026,0.11887511717299579,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2205,2026,0.1334238619944536,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2206,2026,0.15064623705746374,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2207,2026,0.16209730412730208,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2208,2026,0.18019845885244595,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2209,2026,0.20380345539294073,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2210,2026,0.2318140578895786,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2211,2026,0.24912573538331637,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2212,2026,0.2653022907447293,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2213,2026,0.28269670835320465,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2214,2026,0.29511280720024247,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2216,2026,0.14034880879355555,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2217,2026,0.15907686261706636,5,0.1,20,203
n_hospitals,radial_distance,2026,2218,2026,0.17318599237129143,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2219,2026,0.17240059160359725,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2220,2026,0.18862334445926074,3,0.1,8,191
n_hospitals,radial_distance,2026,2221,2026,0.19230029397596946,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2222,2026,0.20068072795318806,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2223,2026,0.2173553672883892,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2224,2026,0.2109287990386405,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2225,2026,0.22353262939528168,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2226,2026,0.242518324584665,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2227,2026,0.24058051261913344,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2228,2026,0.22380985428664313,2,0.1,4,173
n_hospitals,radial_distance,2026,2229,2026,0.2156379278751726,3,0.1,6,182
n_hospitals,radial_distance,2026,2230,2026,0.20521732904444964,0.1,0.1,0,1
